,ACTION_TYPE,EVENT_TYPE,GAME_EVENT_ID,GAME_ID,GRID_TYPE,LOC_X,LOC_Y,MINUTES_REMAINING,PERIOD,PLAYER_ID,PLAYER_NAME,SECONDS_REMAINING,SHOT_ATTEMPTED_FLAG,SHOT_DISTANCE,SHOT_MADE_FLAG,SHOT_TYPE,SHOT_ZONE_AREA,SHOT_ZONE_BASIC,SHOT_ZONE_RANGE,TEAM_ID,TEAM_NAME
0,Layup Shot,Missed Shot,11,0021500108,Shot Chart Detail,-35,19,11,1,2548,Dwyane Wade,42,1,3,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
1,Jump Shot,Made Shot,2,0021500108,Shot Chart Detail,-83,13,11,1,202355,Hassan Whiteside,38,1,8,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612748,Miami Heat
2,Jump Shot,Made Shot,3,0021500108,Shot Chart Detail,-63,156,11,1,1626156,D'Angelo Russell,19,1,16,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers
3,Jump Shot,Made Shot,4,0021500108,Shot Chart Detail,101,154,11,1,2547,Chris Bosh,0,1,18,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612748,Miami Heat
4,Reverse Layup Shot,Made Shot,6,0021500108,Shot Chart Detail,19,0,10,1,202355,Hassan Whiteside,29,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
5,Jump Shot,Missed Shot,7,0021500108,Shot Chart Detail,-219,120,10,1,203903,Jordan Clarkson,14,1,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers
6,Fadeaway Jump Shot,Missed Shot,12,0021500108,Shot Chart Detail,-117,11,9,1,2548,Dwyane Wade,54,1,11,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612748,Miami Heat
7,Layup Shot,Made Shot,20,0021500108,Shot Chart Detail,19,2,9,1,1897,Metta World Peace,42,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers
8,Step Back Jump shot,Made Shot,21,0021500108,Shot Chart Detail,-88,134,9,1,201609,Goran Dragic,18,1,16,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612748,Miami Heat
9,Jump Shot,Missed Shot,22,0021500108,Shot Chart Detail,-97,151,9,1,203944,Julius Randle,5,1,17,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers
10,Hook Shot,Made Shot,24,0021500108,Shot Chart Detail,-66,11,8,1,202355,Hassan Whiteside,53,1,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612748,Miami Heat
11,Driving Layup Shot,Missed Shot,25,0021500108,Shot Chart Detail,19,11,8,1,203903,Jordan Clarkson,35,1,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers
12,Layup Shot,Missed Shot,28,0021500108,Shot Chart Detail,9,2,8,1,203903,Jordan Clarkson,22,1,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers
13,Jump Shot,Made Shot,30,0021500108,Shot Chart Detail,240,0,8,1,2736,Luol Deng,15,1,24,1,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612748,Miami Heat
14,Jump Shot,Missed Shot,35,0021500108,Shot Chart Detail,-30,164,8,1,1626156,D'Angelo Russell,2,1,16,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers
15,Layup Shot,Missed Shot,37,0021500108,Shot Chart Detail,10,13,7,1,2547,Chris Bosh,52,1,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
16,Running Layup Shot,Made Shot,39,0021500108,Shot Chart Detail,9,8,7,1,203903,Jordan Clarkson,46,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers
17,Turnaround Hook Shot,Missed Shot,40,0021500108,Shot Chart Detail,-45,65,7,1,2548,Dwyane Wade,24,1,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612748,Miami Heat
18,Jump Shot,Missed Shot,48,0021500108,Shot Chart Detail,-135,205,7,1,201609,Goran Dragic,7,1,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612748,Miami Heat
19,Driving Finger Roll Layup Shot,Missed Shot,56,0021500108,Shot Chart Detail,-16,-1,6,1,1897,Metta World Peace,46,1,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers
20,Jump Shot,Missed Shot,58,0021500108,Shot Chart Detail,240,7,6,1,2736,Luol Deng,32,1,24,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612748,Miami Heat
21,Dunk Shot,Made Shot,60,0021500108,Shot Chart Detail,0,1,6,1,201579,Roy Hibbert,14,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers
22,Jump Shot,Missed Shot,61,0021500108,Shot Chart Detail,232,11,5,1,1626159,Justise Winslow,52,1,23,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612748,Miami Heat
23,Hook Shot,Missed Shot,63,0021500108,Shot Chart Detail,61,-5,5,1,201579,Roy Hibbert,40,1,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers
24,Driving Layup Shot,Missed Shot,65,0021500108,Shot Chart Detail,1,21,5,1,201609,Goran Dragic,27,1,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
25,Putback Dunk Shot,Made Shot,67,0021500108,Shot Chart Detail,0,1,5,1,202355,Hassan Whiteside,25,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
26,Jump Shot,Missed Shot,68,0021500108,Shot Chart Detail,-232,7,5,1,1626156,D'Angelo Russell,11,1,23,0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612747,Los Angeles Lakers
27,Running Layup Shot,Missed Shot,70,0021500108,Shot Chart Detail,0,7,5,1,201609,Goran Dragic,5,1,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
28,Tip Layup Shot,Missed Shot,71,0021500108,Shot Chart Detail,16,0,5,1,1626159,Justise Winslow,3,1,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
29,Layup Shot,Made Shot,75,0021500108,Shot Chart Detail,6,11,5,1,2736,Luol Deng,2,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
30,Dunk Shot,Made Shot,82,0021500108,Shot Chart Detail,0,1,4,1,204028,Tarik Black,49,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers
31,Jump Shot,Made Shot,86,0021500108,Shot Chart Detail,17,188,4,1,203903,Jordan Clarkson,3,1,18,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers
32,Pullup Jump shot,Made Shot,87,0021500108,Shot Chart Detail,-99,149,3,1,204020,Tyler Johnson,41,1,17,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612748,Miami Heat
33,Jump Shot,Missed Shot,95,0021500108,Shot Chart Detail,-245,11,3,1,201609,Goran Dragic,17,1,24,0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612748,Miami Heat
34,Jump Shot,Missed Shot,97,0021500108,Shot Chart Detail,78,62,3,1,2547,Chris Bosh,6,1,9,0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612748,Miami Heat
35,Jump Shot,Missed Shot,99,0021500108,Shot Chart Detail,-189,154,2,1,203903,Jordan Clarkson,48,1,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers
36,Running Layup Shot,Made Shot,101,0021500108,Shot Chart Detail,9,11,2,1,1626159,Justise Winslow,44,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
37,Layup Shot,Made Shot,111,0021500108,Shot Chart Detail,1,8,2,1,201177,Josh McRoberts,19,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
38,Dunk Shot,Made Shot,112,0021500108,Shot Chart Detail,0,1,2,1,1626204,Larry Nance Jr.,2,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers
39,Jump Shot,Made Shot,113,0021500108,Shot Chart Detail,187,8,1,1,2547,Chris Bosh,41,1,18,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612748,Miami Heat
40,Jump Shot,Made Shot,115,0021500108,Shot Chart Detail,-88,129,1,1,203903,Jordan Clarkson,12,1,15,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers
41,Jump Shot,Missed Shot,116,0021500108,Shot Chart Detail,179,175,0,1,201177,Josh McRoberts,58,1,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612748,Miami Heat
42,Jump Shot,Made Shot,124,0021500108,Shot Chart Detail,-161,188,0,1,101150,Lou Williams,2,1,24,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers
43,Jump Shot,Missed Shot,128,0021500108,Shot Chart Detail,-197,7,11,2,101150,Lou Williams,37,1,19,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers
44,Jump Shot,Made Shot,130,0021500108,Shot Chart Detail,213,129,11,2,201156,Nick Young,32,1,24,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers
45,Driving Layup Shot,Made Shot,131,0021500108,Shot Chart Detail,-24,2,11,2,204020,Tyler Johnson,8,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
46,Alley Oop Dunk Shot,Missed Shot,132,0021500108,Shot Chart Detail,0,1,10,2,204028,Tarik Black,56,1,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers
47,Jump Shot,Made Shot,134,0021500108,Shot Chart Detail,-230,3,10,2,201156,Nick Young,52,1,23,1,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612747,Los Angeles Lakers
48,Jump Shot,Missed Shot,135,0021500108,Shot Chart Detail,184,164,10,2,2547,Chris Bosh,31,1,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612748,Miami Heat
49,Jump Shot,Missed Shot,137,0021500108,Shot Chart Detail,96,139,10,2,1626204,Larry Nance Jr.,21,1,16,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers
50,Jump Shot,Made Shot,144,0021500108,Shot Chart Detail,-47,242,9,2,201156,Nick Young,52,1,24,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers
51,Fadeaway Jump Shot,Made Shot,150,0021500108,Shot Chart Detail,-94,144,9,2,201156,Nick Young,24,1,17,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers
52,Jump Shot,Missed Shot,151,0021500108,Shot Chart Detail,-233,11,9,2,2547,Chris Bosh,10,1,23,0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612748,Miami Heat
53,Jump Shot,Made Shot,153,0021500108,Shot Chart Detail,-169,18,8,2,1626204,Larry Nance Jr.,52,1,16,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers
