,ACTION_TYPE,EVENT_TYPE,GAME_EVENT_ID,GAME_ID,GRID_TYPE,LOC_X,LOC_Y,MINUTES_REMAINING,PERIOD,PLAYER_ID,PLAYER_NAME,SECONDS_REMAINING,SHOT_ATTEMPTED_FLAG,SHOT_DISTANCE,SHOT_MADE_FLAG,SHOT_TYPE,SHOT_ZONE_AREA,SHOT_ZONE_BASIC,SHOT_ZONE_RANGE,TEAM_ID,TEAM_NAME
0,Jump Shot,Missed Shot,3,0021500017,Shot Chart Detail,-11,257,11,1,977,Kobe Bryant,17,1,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers
1,Jump Shot,Missed Shot,5,0021500017,Shot Chart Detail,-81,120,11,1,201937,Ricky Rubio,7,1,14,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612750,Minnesota Timberwolves
2,Driving Finger Roll Layup Shot,Made Shot,7,0021500017,Shot Chart Detail,20,21,10,1,203903,Jordan Clarkson,51,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers
3,Cutting Layup Shot,Made Shot,8,0021500017,Shot Chart Detail,-4,31,10,1,203952,Andrew Wiggins,36,1,3,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612750,Minnesota Timberwolves
4,Hook Shot,Missed Shot,9,0021500017,Shot Chart Detail,138,-16,10,1,201579,Roy Hibbert,19,1,13,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers
5,Hook Shot,Missed Shot,11,0021500017,Shot Chart Detail,28,28,10,1,1626157,Karl-Anthony Towns,2,1,3,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612750,Minnesota Timberwolves
6,Jump Shot,Missed Shot,13,0021500017,Shot Chart Detail,92,154,9,1,203944,Julius Randle,56,1,17,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers
7,Layup Shot,Missed Shot,15,0021500017,Shot Chart Detail,-2,16,9,1,203944,Julius Randle,43,1,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers
8,Floating Jump shot,Made Shot,22,0021500017,Shot Chart Detail,-11,90,9,1,203903,Jordan Clarkson,23,1,9,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers
9,Driving Layup Shot,Missed Shot,23,0021500017,Shot Chart Detail,2,28,9,1,201937,Ricky Rubio,14,1,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612750,Minnesota Timberwolves
