,ACTION_TYPE,EVENT_TYPE,GAME_EVENT_ID,GAME_ID,GRID_TYPE,LOC_X,LOC_Y,MINUTES_REMAINING,PERIOD,PLAYER_ID,PLAYER_NAME,SECONDS_REMAINING,SHOT_ATTEMPTED_FLAG,SHOT_DISTANCE,SHOT_MADE_FLAG,SHOT_TYPE,SHOT_ZONE_AREA,SHOT_ZONE_BASIC,SHOT_ZONE_RANGE,TEAM_ID,TEAM_NAME
0,Jump Shot,Missed Shot,2,0021500713,Shot Chart Detail,156,31,11,1,202681,Kyrie Irving,46,1,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612739,Cleveland Cavaliers
1,Jump Shot,Missed Shot,4,0021500713,Shot Chart Detail,-184,174,11,1,201567,Kevin Love,39,1,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612739,Cleveland Cavaliers
2,Layup Shot,Made Shot,6,0021500713,Shot Chart Detail,-12,8,11,1,2561,David West,23,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612759,San Antonio Spurs
3,Fadeaway Jump Shot,Missed Shot,10,0021500713,Shot Chart Detail,123,13,11,1,2544,LeBron James,7,1,12,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612739,Cleveland Cavaliers
4,Cutting Dunk Shot,Made Shot,12,0021500713,Shot Chart Detail,0,1,10,1,202695,Kawhi Leonard,56,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612759,San Antonio Spurs
5,Running Finger Roll Layup Shot,Made Shot,20,0021500713,Shot Chart Detail,-11,-1,10,1,202681,Kyrie Irving,29,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612739,Cleveland Cavaliers
6,Turnaround Bank shot,Missed Shot,21,0021500713,Shot Chart Detail,-96,31,10,1,2561,David West,15,1,10,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612759,San Antonio Spurs
7,Jump Shot,Made Shot,23,0021500713,Shot Chart Detail,227,65,10,1,2747,J.R. Smith,6,1,23,1,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612739,Cleveland Cavaliers
8,Turnaround Jump Shot,Missed Shot,24,0021500713,Shot Chart Detail,69,62,9,1,200746,LaMarcus Aldridge,48,1,9,0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612759,San Antonio Spurs
9,Jump Shot,Made Shot,26,0021500713,Shot Chart Detail,-173,82,9,1,201567,Kevin Love,38,1,19,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612739,Cleveland Cavaliers
10,Jump Shot,Made Shot,32,0021500713,Shot Chart Detail,-35,149,9,1,200746,LaMarcus Aldridge,17,1,15,1,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612759,San Antonio Spurs
11,Jump Shot,Made Shot,33,0021500713,Shot Chart Detail,230,-11,9,1,201567,Kevin Love,2,1,23,1,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612739,Cleveland Cavaliers
12,Jump Bank Shot,Missed Shot,34,0021500713,Shot Chart Detail,79,41,8,1,2225,Tony Parker,37,1,8,0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612759,San Antonio Spurs
13,Jump Shot,Missed Shot,36,0021500713,Shot Chart Detail,-112,129,8,1,202695,Kawhi Leonard,29,1,17,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612759,San Antonio Spurs
14,Jump Shot,Made Shot,38,0021500713,Shot Chart Detail,-241,2,8,1,202695,Kawhi Leonard,14,1,24,1,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612759,San Antonio Spurs
15,Jump Shot,Missed Shot,39,0021500713,Shot Chart Detail,-158,134,7,1,202681,Kyrie Irving,57,1,20,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612739,Cleveland Cavaliers
16,Driving Layup Shot,Made Shot,41,0021500713,Shot Chart Detail,-1,3,7,1,2225,Tony Parker,44,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612759,San Antonio Spurs
17,Jump Shot,Missed Shot,42,0021500713,Shot Chart Detail,79,262,7,1,2544,LeBron James,18,1,27,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612739,Cleveland Cavaliers
18,Jump Bank Shot,Made Shot,49,0021500713,Shot Chart Detail,-78,23,6,1,2225,Tony Parker,54,1,8,1,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612759,San Antonio Spurs
19,Jump Bank Shot,Made Shot,50,0021500713,Shot Chart Detail,87,26,6,1,201567,Kevin Love,38,1,9,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612739,Cleveland Cavaliers
