,ACTION_TYPE,EVENT_TYPE,GAME_EVENT_ID,GAME_ID,GRID_TYPE,LOC_X,LOC_Y,MINUTES_REMAINING,PERIOD,PLAYER_ID,PLAYER_NAME,SECONDS_REMAINING,SHOT_ATTEMPTED_FLAG,SHOT_DISTANCE,SHOT_MADE_FLAG,SHOT_TYPE,SHOT_ZONE_AREA,SHOT_ZONE_BASIC,SHOT_ZONE_RANGE,TEAM_ID,TEAM_NAME
0,Floating Jump shot,Made Shot,12,0021500450,Shot Chart Detail,-1,61,11,1,2561,David West,16,1,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612759,San Antonio Spurs
1,Reverse Layup Shot,Made Shot,13,0021500450,Shot Chart Detail,-4,2,10,1,203530,Joffrey Lauvergne,58,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612743,Denver Nuggets
2,Pullup Jump shot,Missed Shot,14,0021500450,Shot Chart Detail,-147,2,10,1,2225,Tony Parker,43,1,14,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612759,San Antonio Spurs
3,Pullup Jump shot,Made Shot,16,0021500450,Shot Chart Detail,143,120,10,1,2749,Jameer Nelson,33,1,18,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612743,Denver Nuggets
4,Pullup Jump shot,Made Shot,17,0021500450,Shot Chart Detail,130,0,10,1,202695,Kawhi Leonard,19,1,13,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612759,San Antonio Spurs
5,Driving Layup Shot,Missed Shot,19,0021500450,Shot Chart Detail,12,16,9,1,203914,Gary Harris,56,1,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612743,Denver Nuggets
6,Jump Shot,Made Shot,21,0021500450,Shot Chart Detail,-142,149,9,1,2561,David West,46,1,20,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612759,San Antonio Spurs
7,Pullup Jump shot,Missed Shot,22,0021500450,Shot Chart Detail,-24,247,9,1,203123,Kostas Papanikolaou,21,1,24,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612743,Denver Nuggets
8,Jump Bank Shot,Missed Shot,24,0021500450,Shot Chart Detail,148,-6,8,1,200746,LaMarcus Aldridge,58,1,14,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612759,San Antonio Spurs
9,Jump Shot,Missed Shot,27,0021500450,Shot Chart Detail,86,237,8,1,2749,Jameer Nelson,43,1,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612743,Denver Nuggets
10,Driving Layup Shot,Missed Shot,29,0021500450,Shot Chart Detail,22,11,8,1,202695,Kawhi Leonard,35,1,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612759,San Antonio Spurs
11,Running Layup Shot,Missed Shot,31,0021500450,Shot Chart Detail,10,2,8,1,203123,Kostas Papanikolaou,27,1,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612743,Denver Nuggets
12,Layup Shot,Missed Shot,33,0021500450,Shot Chart Detail,1,16,8,1,202695,Kawhi Leonard,5,1,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612759,San Antonio Spurs
13,Putback Layup Shot,Missed Shot,34,0021500450,Shot Chart Detail,-7,0,8,1,202695,Kawhi Leonard,3,1,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612759,San Antonio Spurs
14,Putback Layup Shot,Made Shot,36,0021500450,Shot Chart Detail,10,2,8,1,202695,Kawhi Leonard,1,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612759,San Antonio Spurs
15,Pullup Jump shot,Missed Shot,40,0021500450,Shot Chart Detail,123,146,7,1,2225,Tony Parker,30,1,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612759,San Antonio Spurs
16,Driving Finger Roll Layup Shot,Made Shot,42,0021500450,Shot Chart Detail,24,-1,7,1,203914,Gary Harris,14,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612743,Denver Nuggets
17,Jump Shot,Made Shot,43,0021500450,Shot Chart Detail,140,134,7,1,202695,Kawhi Leonard,2,1,19,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612759,San Antonio Spurs
18,Cutting Dunk Shot,Made Shot,44,0021500450,Shot Chart Detail,0,1,6,1,202702,Kenneth Faried,40,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612743,Denver Nuggets
19,Running Finger Roll Layup Shot,Made Shot,46,0021500450,Shot Chart Detail,-6,16,6,1,203123,Kostas Papanikolaou,15,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612743,Denver Nuggets
20,Driving Layup Shot,Missed Shot,47,0021500450,Shot Chart Detail,-22,2,5,1,2225,Tony Parker,59,1,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612759,San Antonio Spurs
21,Layup Shot,Missed Shot,49,0021500450,Shot Chart Detail,-14,-1,5,1,202702,Kenneth Faried,52,1,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612743,Denver Nuggets
22,Cutting Dunk Shot,Made Shot,58,0021500450,Shot Chart Detail,0,1,5,1,202702,Kenneth Faried,43,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612743,Denver Nuggets
23,Turnaround Jump Shot,Made Shot,59,0021500450,Shot Chart Detail,15,51,5,1,200746,LaMarcus Aldridge,20,1,5,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612759,San Antonio Spurs
24,Jump Shot,Made Shot,61,0021500450,Shot Chart Detail,228,2,5,1,201988,Patty Mills,2,1,22,1,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612759,San Antonio Spurs
25,Floating Jump shot,Missed Shot,62,0021500450,Shot Chart Detail,0,144,4,1,203914,Gary Harris,47,1,14,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612743,Denver Nuggets
26,Floating Jump shot,Missed Shot,65,0021500450,Shot Chart Detail,-2,61,4,1,203530,Joffrey Lauvergne,15,1,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612743,Denver Nuggets
27,Turnaround Jump Shot,Missed Shot,67,0021500450,Shot Chart Detail,-137,11,4,1,200746,LaMarcus Aldridge,4,1,13,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612759,San Antonio Spurs
28,Step Back Jump shot,Missed Shot,69,0021500450,Shot Chart Detail,69,101,3,1,2749,Jameer Nelson,54,1,12,0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612743,Denver Nuggets
29,Jump Shot,Made Shot,73,0021500450,Shot Chart Detail,87,237,3,1,201988,Patty Mills,19,1,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612759,San Antonio Spurs
30,Jump Shot,Made Shot,79,0021500450,Shot Chart Detail,-133,131,3,1,201589,Darrell Arthur,8,1,18,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612743,Denver Nuggets
31,Pullup Jump shot,Missed Shot,80,0021500450,Shot Chart Detail,150,100,2,1,202695,Kawhi Leonard,49,1,18,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612759,San Antonio Spurs
32,Jump Shot,Missed Shot,82,0021500450,Shot Chart Detail,186,-5,2,1,201589,Darrell Arthur,28,1,18,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612743,Denver Nuggets
33,Jump Shot,Missed Shot,84,0021500450,Shot Chart Detail,173,169,2,1,200751,Randy Foye,23,1,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612743,Denver Nuggets
34,Driving Bank shot,Missed Shot,86,0021500450,Shot Chart Detail,-96,8,2,1,203613,Jonathon Simmons,13,1,9,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612759,San Antonio Spurs
35,Jump Shot,Made Shot,88,0021500450,Shot Chart Detail,125,141,1,1,201589,Darrell Arthur,56,1,18,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612743,Denver Nuggets
36,Cutting Dunk Shot,Made Shot,91,0021500450,Shot Chart Detail,0,1,1,1,200746,LaMarcus Aldridge,34,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612759,San Antonio Spurs
37,Fadeaway Jump Shot,Made Shot,92,0021500450,Shot Chart Detail,-143,101,1,1,203914,Gary Harris,7,1,17,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612743,Denver Nuggets
38,Layup Shot,Missed Shot,93,0021500450,Shot Chart Detail,19,7,0,1,2564,Boris Diaw,55,1,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612759,San Antonio Spurs
39,Tip Layup Shot,Missed Shot,94,0021500450,Shot Chart Detail,4,-5,0,1,2564,Boris Diaw,54,1,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612759,San Antonio Spurs
