,ACTION_TYPE,EVENT_TYPE,GAME_EVENT_ID,GAME_ID,GRID_TYPE,LOC_X,LOC_Y,MINUTES_REMAINING,PERIOD,PLAYER_ID,PLAYER_NAME,SECONDS_REMAINING,SHOT_ATTEMPTED_FLAG,SHOT_DISTANCE,SHOT_MADE_FLAG,SHOT_TYPE,SHOT_ZONE_AREA,SHOT_ZONE_BASIC,SHOT_ZONE_RANGE,TEAM_ID,TEAM_NAME
0,Fadeaway Bank shot,Missed Shot,2,0021500731,Shot Chart Detail,-73,62,11,1,2405,Amar'e Stoudemire,41,1,9,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612748,Miami Heat
1,Jump Shot,Made Shot,4,0021500731,Shot Chart Detail,192,159,11,1,201976,Patrick Beverley,22,1,24,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612745,Houston Rockets
2,Layup Shot,Made Shot,6,0021500731,Shot Chart Detail,17,-6,10,1,2746,Josh Smith,44,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612745,Houston Rockets
3,Layup Shot,Missed Shot,7,0021500731,Shot Chart Detail,6,26,10,1,2405,Amar'e Stoudemire,32,1,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
4,Layup Shot,Missed Shot,9,0021500731,Shot Chart Detail,-11,23,10,1,2405,Amar'e Stoudemire,29,1,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
5,Cutting Dunk Shot,Made Shot,11,0021500731,Shot Chart Detail,0,1,10,1,2772,Trevor Ariza,23,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612745,Houston Rockets
6,Step Back Jump shot,Made Shot,16,0021500731,Shot Chart Detail,-97,134,9,1,201609,Goran Dragic,38,1,16,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612748,Miami Heat
7,Alley Oop Layup shot,Missed Shot,17,0021500731,Shot Chart Detail,9,-6,9,1,2772,Trevor Ariza,31,1,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612745,Houston Rockets
8,Alley Oop Layup shot,Missed Shot,19,0021500731,Shot Chart Detail,12,7,9,1,2548,Dwyane Wade,24,1,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
9,Driving Layup Shot,Missed Shot,22,0021500731,Shot Chart Detail,-16,7,9,1,201935,James Harden,17,1,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612745,Houston Rockets
10,Layup Shot,Made Shot,24,0021500731,Shot Chart Detail,9,-1,9,1,201609,Goran Dragic,7,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
11,Pullup Jump shot,Missed Shot,25,0021500731,Shot Chart Detail,32,178,8,1,201147,Corey Brewer,53,1,18,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612745,Houston Rockets
12,Layup Shot,Made Shot,29,0021500731,Shot Chart Detail,-20,2,8,1,2736,Luol Deng,41,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
13,Jump Shot,Missed Shot,30,0021500731,Shot Chart Detail,15,242,8,1,2746,Josh Smith,28,1,24,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612745,Houston Rockets
14,Layup Shot,Missed Shot,32,0021500731,Shot Chart Detail,-24,11,8,1,201609,Goran Dragic,21,1,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
15,Driving Finger Roll Layup Shot,Made Shot,34,0021500731,Shot Chart Detail,15,13,8,1,2736,Luol Deng,15,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
16,Jump Shot,Missed Shot,35,0021500731,Shot Chart Detail,-235,-5,7,1,201147,Corey Brewer,59,1,23,0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612745,Houston Rockets
17,Pullup Jump shot,Made Shot,37,0021500731,Shot Chart Detail,182,97,7,1,2548,Dwyane Wade,40,1,20,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612748,Miami Heat
18,Jump Shot,Missed Shot,39,0021500731,Shot Chart Detail,166,198,7,1,201935,James Harden,23,1,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612745,Houston Rockets
19,Layup Shot,Made Shot,41,0021500731,Shot Chart Detail,28,7,7,1,201609,Goran Dragic,18,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
20,Floating Jump shot,Missed Shot,46,0021500731,Shot Chart Detail,66,21,6,1,201976,Patrick Beverley,56,1,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612745,Houston Rockets
21,Cutting Finger Roll Layup Shot,Made Shot,48,0021500731,Shot Chart Detail,4,3,6,1,2405,Amar'e Stoudemire,46,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
22,Turnaround Hook Shot,Made Shot,52,0021500731,Shot Chart Detail,-34,72,6,1,2746,Josh Smith,24,1,7,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612745,Houston Rockets
23,Running Layup Shot,Made Shot,54,0021500731,Shot Chart Detail,9,2,6,1,201935,James Harden,2,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612745,Houston Rockets
24,Turnaround Jump Shot,Missed Shot,55,0021500731,Shot Chart Detail,-65,11,5,1,2548,Dwyane Wade,42,1,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612748,Miami Heat
25,Driving Layup Shot,Made Shot,57,0021500731,Shot Chart Detail,-11,7,5,1,2405,Amar'e Stoudemire,24,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
26,Hook Shot,Missed Shot,58,0021500731,Shot Chart Detail,0,1,5,1,203093,Terrence Jones,7,1,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612745,Houston Rockets
27,Dunk Shot,Made Shot,60,0021500731,Shot Chart Detail,0,1,4,1,2736,Luol Deng,58,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
28,Step Back Jump shot,Made Shot,61,0021500731,Shot Chart Detail,-120,121,4,1,201935,James Harden,42,1,17,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612745,Houston Rockets
29,Driving Layup Shot,Made Shot,66,0021500731,Shot Chart Detail,15,-1,4,1,2548,Dwyane Wade,15,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
30,Jump Shot,Made Shot,67,0021500731,Shot Chart Detail,-189,164,4,1,201977,Marcus Thornton,9,1,25,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612745,Houston Rockets
31,Driving Finger Roll Layup Shot,Made Shot,76,0021500731,Shot Chart Detail,-2,13,3,1,201935,James Harden,36,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612745,Houston Rockets
32,Jump Shot,Made Shot,81,0021500731,Shot Chart Detail,-61,31,3,1,203093,Terrence Jones,0,1,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612745,Houston Rockets
33,Jump Shot,Made Shot,82,0021500731,Shot Chart Detail,-106,90,2,1,101123,Gerald Green,52,1,13,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612748,Miami Heat
34,Jump Shot,Missed Shot,88,0021500731,Shot Chart Detail,-155,3,2,1,201177,Josh McRoberts,36,1,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612748,Miami Heat
35,Cutting Layup Shot,Made Shot,92,0021500731,Shot Chart Detail,22,-1,2,1,1626159,Justise Winslow,24,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
36,Driving Finger Roll Layup Shot,Made Shot,93,0021500731,Shot Chart Detail,-7,11,2,1,201147,Corey Brewer,7,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612745,Houston Rockets
37,Driving Layup Shot,Made Shot,96,0021500731,Shot Chart Detail,-24,11,1,1,201147,Corey Brewer,42,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612745,Houston Rockets
38,Layup Shot,Made Shot,97,0021500731,Shot Chart Detail,-38,3,1,1,1626159,Justise Winslow,21,1,3,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
39,Driving Layup Shot,Made Shot,98,0021500731,Shot Chart Detail,45,11,1,1,201951,Ty Lawson,7,1,4,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612745,Houston Rockets
40,Alley Oop Layup shot,Made Shot,100,0021500731,Shot Chart Detail,20,3,0,1,1626159,Justise Winslow,53,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
41,Running Layup Shot,Missed Shot,105,0021500731,Shot Chart Detail,22,7,0,1,201147,Corey Brewer,31,1,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612745,Houston Rockets
42,Pullup Jump shot,Made Shot,107,0021500731,Shot Chart Detail,76,237,0,1,201977,Marcus Thornton,11,1,24,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612745,Houston Rockets
43,Pullup Jump shot,Missed Shot,113,0021500731,Shot Chart Detail,-168,188,11,2,201977,Marcus Thornton,48,1,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612745,Houston Rockets
44,Turnaround Hook Shot,Missed Shot,122,0021500731,Shot Chart Detail,-24,16,11,2,203093,Terrence Jones,16,1,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612745,Houston Rockets
45,Driving Reverse Layup Shot,Missed Shot,124,0021500731,Shot Chart Detail,15,-1,11,2,2547,Chris Bosh,5,1,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
46,Jump Shot,Made Shot,126,0021500731,Shot Chart Detail,192,-6,10,2,2547,Chris Bosh,59,1,19,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612748,Miami Heat
47,Jump Shot,Missed Shot,127,0021500731,Shot Chart Detail,-223,141,10,2,1891,Jason Terry,45,1,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612745,Houston Rockets
48,Jump Shot,Made Shot,137,0021500731,Shot Chart Detail,-204,149,10,2,201147,Corey Brewer,24,1,25,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612745,Houston Rockets
49,Jump Shot,Missed Shot,143,0021500731,Shot Chart Detail,35,242,9,2,2746,Josh Smith,47,1,24,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612745,Houston Rockets
50,Jump Shot,Missed Shot,146,0021500731,Shot Chart Detail,64,237,9,2,201951,Ty Lawson,23,1,24,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612745,Houston Rockets
51,Jump Shot,Made Shot,153,0021500731,Shot Chart Detail,205,77,8,2,101123,Gerald Green,55,1,21,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612748,Miami Heat
52,Driving Layup Shot,Missed Shot,154,0021500731,Shot Chart Detail,10,2,8,2,2772,Trevor Ariza,37,1,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612745,Houston Rockets
53,Hook Shot,Missed Shot,156,0021500731,Shot Chart Detail,-7,41,8,2,2746,Josh Smith,31,1,4,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612745,Houston Rockets
54,Driving Layup Shot,Made Shot,162,0021500731,Shot Chart Detail,19,2,8,2,201951,Ty Lawson,21,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612745,Houston Rockets
55,Jump Shot,Missed Shot,163,0021500731,Shot Chart Detail,-227,-1,7,2,101123,Gerald Green,54,1,22,0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612748,Miami Heat
56,Jump Shot,Missed Shot,176,0021500731,Shot Chart Detail,-71,244,7,2,201935,James Harden,25,1,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612745,Houston Rockets
57,Driving Layup Shot,Made Shot,181,0021500731,Shot Chart Detail,9,2,7,2,201976,Patrick Beverley,5,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612745,Houston Rockets
58,Driving Layup Shot,Missed Shot,192,0021500731,Shot Chart Detail,22,11,6,2,2548,Dwyane Wade,33,1,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
