,ACTION_TYPE,EVENT_TYPE,GAME_EVENT_ID,GAME_ID,GRID_TYPE,LOC_X,LOC_Y,MINUTES_REMAINING,PERIOD,PLAYER_ID,PLAYER_NAME,SECONDS_REMAINING,SHOT_ATTEMPTED_FLAG,SHOT_DISTANCE,SHOT_MADE_FLAG,SHOT_TYPE,SHOT_ZONE_AREA,SHOT_ZONE_BASIC,SHOT_ZONE_RANGE,TEAM_ID,TEAM_NAME
0,Jump Shot,Missed Shot,2,0021500842,Shot Chart Detail,-17,239,11,1,1626144,Emmanuel Mudiay,32,1,23,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612743,Denver Nuggets
1,Running Jump Shot,Missed Shot,5,0021500842,Shot Chart Detail,-20,36,11,1,203914,Gary Harris,25,1,4,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612743,Denver Nuggets
2,Jump Shot,Missed Shot,8,0021500842,Shot Chart Detail,-178,170,11,1,1626144,Emmanuel Mudiay,13,1,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612743,Denver Nuggets
3,Layup Shot,Missed Shot,10,0021500842,Shot Chart Detail,20,11,11,1,203112,Quincy Acy,4,1,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612758,Sacramento Kings
4,Layup Shot,Missed Shot,12,0021500842,Shot Chart Detail,12,-5,10,1,203914,Gary Harris,58,1,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612743,Denver Nuggets
5,Layup Shot,Missed Shot,14,0021500842,Shot Chart Detail,10,7,10,1,203999,Nikola Jokic,55,1,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612743,Denver Nuggets
6,Jump Shot,Missed Shot,23,0021500842,Shot Chart Detail,238,8,10,1,203463,Ben McLemore,24,1,23,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612758,Sacramento Kings
7,Driving Finger Roll Layup Shot,Missed Shot,25,0021500842,Shot Chart Detail,14,2,10,1,203914,Gary Harris,18,1,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612743,Denver Nuggets
8,Running Layup Shot,Made Shot,27,0021500842,Shot Chart Detail,19,11,10,1,203463,Ben McLemore,9,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612758,Sacramento Kings
9,Jump Shot,Missed Shot,28,0021500842,Shot Chart Detail,15,254,10,1,203999,Nikola Jokic,1,1,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612743,Denver Nuggets
10,Layup Shot,Missed Shot,31,0021500842,Shot Chart Detail,-24,8,9,1,1626144,Emmanuel Mudiay,48,1,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612743,Denver Nuggets
11,Layup Shot,Made Shot,33,0021500842,Shot Chart Detail,-17,16,9,1,201568,Danilo Gallinari,43,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612743,Denver Nuggets
12,Jump Shot,Missed Shot,35,0021500842,Shot Chart Detail,-27,16,9,1,203914,Gary Harris,37,1,3,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612743,Denver Nuggets
