,ACTION_TYPE,EVENT_TYPE,GAME_EVENT_ID,GAME_ID,GRID_TYPE,LOC_X,LOC_Y,MINUTES_REMAINING,PERIOD,PLAYER_ID,PLAYER_NAME,SECONDS_REMAINING,SHOT_ATTEMPTED_FLAG,SHOT_DISTANCE,SHOT_MADE_FLAG,SHOT_TYPE,SHOT_ZONE_AREA,SHOT_ZONE_BASIC,SHOT_ZONE_RANGE,TEAM_ID,TEAM_NAME
0,Driving Layup Shot,Made Shot,5,0021500396,Shot Chart Detail,10,0,11,1,202087,Alonzo Gee,24,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612740,New Orleans Pelicans
1,Jump Shot,Missed Shot,6,0021500396,Shot Chart Detail,1,31,11,1,2199,Tyson Chandler,11,1,3,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612756,Phoenix Suns
2,Layup Shot,Made Shot,7,0021500396,Shot Chart Detail,19,-1,11,1,202720,Jon Leuer,9,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612756,Phoenix Suns
3,Jump Shot,Missed Shot,10,0021500396,Shot Chart Detail,199,154,10,1,201569,Eric Gordon,41,1,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612740,New Orleans Pelicans
4,Jump Shot,Missed Shot,12,0021500396,Shot Chart Detail,-184,175,10,1,202720,Jon Leuer,33,1,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612756,Phoenix Suns
5,Floating Jump shot,Made Shot,14,0021500396,Shot Chart Detail,19,46,10,1,201936,Tyreke Evans,20,1,4,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612740,New Orleans Pelicans
6,Driving Reverse Layup Shot,Missed Shot,15,0021500396,Shot Chart Detail,19,-1,10,1,200782,PJ Tucker,4,1,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612756,Phoenix Suns
7,Pullup Jump shot,Missed Shot,17,0021500396,Shot Chart Detail,-133,124,9,1,201569,Eric Gordon,48,1,18,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612740,New Orleans Pelicans
8,Jump Shot,Missed Shot,20,0021500396,Shot Chart Detail,189,151,9,1,202688,Brandon Knight,34,1,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612756,Phoenix Suns
9,Jump Shot,Missed Shot,22,0021500396,Shot Chart Detail,35,8,9,1,201569,Eric Gordon,20,1,3,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612740,New Orleans Pelicans
10,Tip Layup Shot,Missed Shot,23,0021500396,Shot Chart Detail,6,8,9,1,201600,Omer Asik,18,1,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612740,New Orleans Pelicans
