,ACTION_TYPE,EVENT_TYPE,GAME_EVENT_ID,GAME_ID,GRID_TYPE,LOC_X,LOC_Y,MINUTES_REMAINING,PERIOD,PLAYER_ID,PLAYER_NAME,SECONDS_REMAINING,SHOT_ATTEMPTED_FLAG,SHOT_DISTANCE,SHOT_MADE_FLAG,SHOT_TYPE,SHOT_ZONE_AREA,SHOT_ZONE_BASIC,SHOT_ZONE_RANGE,TEAM_ID,TEAM_NAME
0,Jump Shot,Made Shot,5,0021500287,Shot Chart Detail,215,129,11,1,201976,Patrick Beverley,9,1,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612745,Houston Rockets
1,Jump Shot,Missed Shot,6,0021500287,Shot Chart Detail,74,252,10,1,101109,Raymond Felton,44,1,26,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612742,Dallas Mavericks
2,Tip Layup Shot,Missed Shot,7,0021500287,Shot Chart Detail,4,11,10,1,2585,Zaza Pachulia,43,1,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612742,Dallas Mavericks
3,Floating Jump shot,Missed Shot,10,0021500287,Shot Chart Detail,79,46,10,1,203093,Terrence Jones,31,1,9,0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612745,Houston Rockets
4,Jump Shot,Made Shot,12,0021500287,Shot Chart Detail,-217,124,10,1,201976,Patrick Beverley,25,1,24,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612745,Houston Rockets
5,Jump Shot,Missed Shot,13,0021500287,Shot Chart Detail,233,65,10,1,202083,Wesley Matthews,4,1,24,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612742,Dallas Mavericks
6,Jump Shot,Made Shot,16,0021500287,Shot Chart Detail,195,144,9,1,101114,Deron Williams,48,1,24,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612742,Dallas Mavericks
7,Jump Shot,Missed Shot,18,0021500287,Shot Chart Detail,79,228,9,1,1717,Dirk Nowitzki,28,1,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612742,Dallas Mavericks
8,Jump Shot,Made Shot,26,0021500287,Shot Chart Detail,-228,-6,9,1,202083,Wesley Matthews,3,1,22,1,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612742,Dallas Mavericks
9,Jump Shot,Made Shot,27,0021500287,Shot Chart Detail,42,234,8,1,201976,Patrick Beverley,44,1,23,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612745,Houston Rockets
