,ACTION_TYPE,EVENT_TYPE,GAME_EVENT_ID,GAME_ID,GRID_TYPE,LOC_X,LOC_Y,MINUTES_REMAINING,PERIOD,PLAYER_ID,PLAYER_NAME,SECONDS_REMAINING,SHOT_ATTEMPTED_FLAG,SHOT_DISTANCE,SHOT_MADE_FLAG,SHOT_TYPE,SHOT_ZONE_AREA,SHOT_ZONE_BASIC,SHOT_ZONE_RANGE,TEAM_ID,TEAM_NAME
0,Jump Shot,Made Shot,11,0021501097,Shot Chart Detail,-81,134,11,1,2405,Amar'e Stoudemire,26,1,15,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612748,Miami Heat
1,Reverse Layup Shot,Made Shot,12,0021501097,Shot Chart Detail,-9,7,11,1,201152,Thaddeus Young,10,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612751,Brooklyn Nets
2,Jump Shot,Missed Shot,13,0021501097,Shot Chart Detail,84,7,10,1,2548,Dwyane Wade,54,1,8,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612748,Miami Heat
3,Layup Shot,Missed Shot,17,0021501097,Shot Chart Detail,6,7,10,1,2207,Joe Johnson,30,1,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
4,Jump Bank Shot,Made Shot,19,0021501097,Shot Chart Detail,56,41,10,1,202711,Bojan Bogdanovic,23,1,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612751,Brooklyn Nets
5,Jump Shot,Missed Shot,20,0021501097,Shot Chart Detail,76,237,10,1,2736,Luol Deng,4,1,24,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612748,Miami Heat
6,Reverse Layup Shot,Made Shot,22,0021501097,Shot Chart Detail,-16,3,9,1,201572,Brook Lopez,48,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612751,Brooklyn Nets
7,Jump Shot,Made Shot,23,0021501097,Shot Chart Detail,-63,2,9,1,2548,Dwyane Wade,31,1,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612748,Miami Heat
8,Cutting Dunk Shot,Made Shot,28,0021501097,Shot Chart Detail,0,1,8,1,2405,Amar'e Stoudemire,53,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
9,Pullup Jump shot,Made Shot,29,0021501097,Shot Chart Detail,-119,165,8,1,203499,Shane Larkin,40,1,20,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612751,Brooklyn Nets
10,Running Dunk Shot,Made Shot,31,0021501097,Shot Chart Detail,0,1,8,1,202711,Bojan Bogdanovic,25,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612751,Brooklyn Nets
11,Layup Shot,Missed Shot,33,0021501097,Shot Chart Detail,19,3,7,1,202711,Bojan Bogdanovic,54,1,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612751,Brooklyn Nets
12,Jump Shot,Made Shot,35,0021501097,Shot Chart Detail,164,57,7,1,1626196,Josh Richardson,46,1,17,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612748,Miami Heat
13,Hook Shot,Missed Shot,36,0021501097,Shot Chart Detail,115,47,7,1,201572,Brook Lopez,22,1,12,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612751,Brooklyn Nets
14,Floating Jump shot,Made Shot,38,0021501097,Shot Chart Detail,25,11,7,1,2548,Dwyane Wade,16,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
15,Pullup Jump shot,Made Shot,40,0021501097,Shot Chart Detail,84,151,7,1,203508,Sergey Karasev,2,1,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612751,Brooklyn Nets
16,Jump Shot,Made Shot,41,0021501097,Shot Chart Detail,-122,92,6,1,2548,Dwyane Wade,40,1,15,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612748,Miami Heat
17,Layup Shot,Made Shot,42,0021501097,Shot Chart Detail,-6,16,6,1,201572,Brook Lopez,24,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612751,Brooklyn Nets
18,Floating Jump shot,Missed Shot,43,0021501097,Shot Chart Detail,-48,23,6,1,2736,Luol Deng,3,1,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612748,Miami Heat
19,Driving Layup Shot,Made Shot,50,0021501097,Shot Chart Detail,-19,7,5,1,2548,Dwyane Wade,31,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
20,Jump Shot,Missed Shot,51,0021501097,Shot Chart Detail,-35,41,5,1,201572,Brook Lopez,7,1,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612751,Brooklyn Nets
21,Jump Shot,Made Shot,53,0021501097,Shot Chart Detail,-148,31,4,1,1626196,Josh Richardson,56,1,15,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612748,Miami Heat
22,Jump Bank Shot,Made Shot,54,0021501097,Shot Chart Detail,82,2,4,1,202711,Bojan Bogdanovic,36,1,8,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612751,Brooklyn Nets
23,Jump Shot,Made Shot,55,0021501097,Shot Chart Detail,204,144,4,1,1626196,Josh Richardson,12,1,24,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612748,Miami Heat
24,Floating Jump shot,Made Shot,56,0021501097,Shot Chart Detail,9,101,4,1,201152,Thaddeus Young,1,1,10,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612751,Brooklyn Nets
25,Reverse Layup Shot,Made Shot,68,0021501097,Shot Chart Detail,15,11,3,1,2736,Luol Deng,18,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612748,Miami Heat
26,Floating Jump shot,Made Shot,69,0021501097,Shot Chart Detail,37,97,2,1,201152,Thaddeus Young,54,1,10,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612751,Brooklyn Nets
27,Jump Shot,Made Shot,70,0021501097,Shot Chart Detail,78,82,2,1,2207,Joe Johnson,37,1,11,1,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612748,Miami Heat
