,ACTION_TYPE,EVENT_TYPE,GAME_EVENT_ID,GAME_ID,GRID_TYPE,LOC_X,LOC_Y,MINUTES_REMAINING,PERIOD,PLAYER_ID,PLAYER_NAME,SECONDS_REMAINING,SHOT_ATTEMPTED_FLAG,SHOT_DISTANCE,SHOT_MADE_FLAG,SHOT_TYPE,SHOT_ZONE_AREA,SHOT_ZONE_BASIC,SHOT_ZONE_RANGE,TEAM_ID,TEAM_NAME
0,Jump Shot,Missed Shot,2,0021500081,Shot Chart Detail,-119,121,11,1,201143,Al Horford,44,1,16,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612737,Atlanta Hawks
1,Jump Shot,Missed Shot,4,0021500081,Shot Chart Detail,-140,134,11,1,203076,Anthony Davis,22,1,19,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612740,New Orleans Pelicans
2,Jump Shot,Missed Shot,6,0021500081,Shot Chart Detail,-110,228,11,1,200794,Paul Millsap,5,1,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612737,Atlanta Hawks
3,Layup Shot,Missed Shot,8,0021500081,Shot Chart Detail,-16,11,10,1,201967,Dante Cunningham,53,1,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612740,New Orleans Pelicans
4,Jump Shot,Missed Shot,11,0021500081,Shot Chart Detail,56,80,10,1,201569,Eric Gordon,22,1,9,0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612740,New Orleans Pelicans
5,Running Dunk Shot,Made Shot,14,0021500081,Shot Chart Detail,0,1,10,1,201569,Eric Gordon,4,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612740,New Orleans Pelicans
6,Layup Shot,Missed Shot,15,0021500081,Shot Chart Detail,-6,21,9,1,201143,Al Horford,47,1,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612737,Atlanta Hawks
7,Jump Shot,Missed Shot,17,0021500081,Shot Chart Detail,-176,198,9,1,202337,Luke Babbitt,31,1,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612740,New Orleans Pelicans
8,Jump Shot,Made Shot,19,0021500081,Shot Chart Detail,0,208,9,1,201143,Al Horford,17,1,20,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612737,Atlanta Hawks
9,Jump Shot,Made Shot,20,0021500081,Shot Chart Detail,110,51,9,1,203076,Anthony Davis,5,1,12,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612740,New Orleans Pelicans
10,Jump Shot,Made Shot,21,0021500081,Shot Chart Detail,53,190,8,1,200794,Paul Millsap,48,1,19,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612737,Atlanta Hawks
11,Jump Shot,Made Shot,22,0021500081,Shot Chart Detail,-232,-1,8,1,201967,Dante Cunningham,30,1,23,1,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612740,New Orleans Pelicans
12,Jump Shot,Missed Shot,23,0021500081,Shot Chart Detail,55,232,8,1,201143,Al Horford,14,1,23,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612737,Atlanta Hawks
13,Jump Shot,Made Shot,25,0021500081,Shot Chart Detail,232,-1,7,1,201569,Eric Gordon,52,1,23,1,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612740,New Orleans Pelicans
14,Jump Shot,Missed Shot,31,0021500081,Shot Chart Detail,-78,175,7,1,203076,Anthony Davis,25,1,19,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612740,New Orleans Pelicans
15,Running Layup Shot,Made Shot,42,0021500081,Shot Chart Detail,10,2,6,1,201952,Jeff Teague,57,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612737,Atlanta Hawks
16,Jump Shot,Missed Shot,43,0021500081,Shot Chart Detail,197,149,6,1,201950,Jrue Holiday,44,1,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612740,New Orleans Pelicans
17,Driving Layup Shot,Missed Shot,49,0021500081,Shot Chart Detail,-22,2,6,1,201952,Jeff Teague,24,1,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612737,Atlanta Hawks
18,Jump Shot,Missed Shot,51,0021500081,Shot Chart Detail,94,144,6,1,202397,Ish Smith,0,1,17,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612740,New Orleans Pelicans
19,Layup Shot,Missed Shot,53,0021500081,Shot Chart Detail,17,7,5,1,201952,Jeff Teague,47,1,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612737,Atlanta Hawks
20,Jump Shot,Missed Shot,56,0021500081,Shot Chart Detail,-241,3,5,1,201967,Dante Cunningham,33,1,24,0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612740,New Orleans Pelicans
21,Jump Shot,Made Shot,59,0021500081,Shot Chart Detail,35,177,5,1,203076,Anthony Davis,16,1,18,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612740,New Orleans Pelicans
22,Layup Shot,Missed Shot,60,0021500081,Shot Chart Detail,-9,7,5,1,201168,Tiago Splitter,1,1,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612737,Atlanta Hawks
23,Jump Shot,Made Shot,62,0021500081,Shot Chart Detail,202,-11,4,1,201967,Dante Cunningham,52,1,20,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612740,New Orleans Pelicans
24,Reverse Layup Shot,Made Shot,63,0021500081,Shot Chart Detail,20,2,4,1,201168,Tiago Splitter,37,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612737,Atlanta Hawks
25,Jump Shot,Made Shot,64,0021500081,Shot Chart Detail,-79,247,4,1,201569,Eric Gordon,24,1,25,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612740,New Orleans Pelicans
26,Driving Layup Shot,Made Shot,75,0021500081,Shot Chart Detail,-16,11,3,1,203076,Anthony Davis,50,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612740,New Orleans Pelicans
27,Jump Shot,Missed Shot,82,0021500081,Shot Chart Detail,232,-1,3,1,202397,Ish Smith,11,1,23,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612740,New Orleans Pelicans
28,Driving Finger Roll Layup Shot,Made Shot,100,0021500081,Shot Chart Detail,-19,8,2,1,200794,Paul Millsap,18,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612737,Atlanta Hawks
29,Jump Shot,Made Shot,101,0021500081,Shot Chart Detail,101,131,2,1,201582,Alexis Ajinca,7,1,16,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612740,New Orleans Pelicans
30,Pullup Jump shot,Made Shot,102,0021500081,Shot Chart Detail,-60,144,1,1,203471,Dennis Schroder,53,1,15,1,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612737,Atlanta Hawks
31,Jump Shot,Made Shot,103,0021500081,Shot Chart Detail,225,31,1,1,202337,Luke Babbitt,35,1,22,1,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612740,New Orleans Pelicans
32,Jump Shot,Missed Shot,104,0021500081,Shot Chart Detail,-4,242,1,1,200794,Paul Millsap,14,1,24,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612737,Atlanta Hawks
33,Jump Shot,Missed Shot,106,0021500081,Shot Chart Detail,227,51,1,1,201583,Ryan Anderson,2,1,23,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612740,New Orleans Pelicans
34,Jump Shot,Made Shot,108,0021500081,Shot Chart Detail,-238,2,0,1,203471,Dennis Schroder,55,1,23,1,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612737,Atlanta Hawks
35,Alley Oop Layup shot,Made Shot,109,0021500081,Shot Chart Detail,22,7,0,1,201582,Alexis Ajinca,45,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612740,New Orleans Pelicans
36,Jump Shot,Missed Shot,110,0021500081,Shot Chart Detail,132,-5,0,1,200794,Paul Millsap,18,1,13,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612737,Atlanta Hawks
37,Driving Layup Shot,Made Shot,123,0021500081,Shot Chart Detail,-27,8,11,2,202397,Ish Smith,42,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612740,New Orleans Pelicans
38,Driving Dunk Shot,Made Shot,125,0021500081,Shot Chart Detail,0,1,11,2,201143,Al Horford,23,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612737,Atlanta Hawks
39,Jump Shot,Missed Shot,126,0021500081,Shot Chart Detail,122,124,11,2,202397,Ish Smith,13,1,17,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612740,New Orleans Pelicans
40,Cutting Layup Shot,Made Shot,132,0021500081,Shot Chart Detail,19,7,11,2,203118,Mike Scott,2,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612737,Atlanta Hawks
41,Jump Shot,Missed Shot,133,0021500081,Shot Chart Detail,125,129,10,2,201583,Ryan Anderson,47,1,17,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612740,New Orleans Pelicans
42,Jump Shot,Made Shot,137,0021500081,Shot Chart Detail,-156,195,10,2,2594,Kyle Korver,12,1,24,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612737,Atlanta Hawks
43,Jump Shot,Missed Shot,138,0021500081,Shot Chart Detail,-125,214,9,2,202397,Ish Smith,58,1,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612740,New Orleans Pelicans
44,Layup Shot,Made Shot,141,0021500081,Shot Chart Detail,22,7,9,2,202397,Ish Smith,45,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612740,New Orleans Pelicans
45,Jump Shot,Missed Shot,143,0021500081,Shot Chart Detail,9,252,9,2,203118,Mike Scott,33,1,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612737,Atlanta Hawks
46,Jump Shot,Missed Shot,147,0021500081,Shot Chart Detail,107,23,9,2,201962,Toney Douglas,9,1,10,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612740,New Orleans Pelicans
47,Pullup Jump shot,Made Shot,149,0021500081,Shot Chart Detail,1,52,8,2,203118,Mike Scott,52,1,5,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612737,Atlanta Hawks
48,Jump Shot,Missed Shot,155,0021500081,Shot Chart Detail,-16,252,8,2,201583,Ryan Anderson,27,1,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612740,New Orleans Pelicans
49,Pullup Bank shot,Made Shot,158,0021500081,Shot Chart Detail,61,28,8,2,2594,Kyle Korver,16,1,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612737,Atlanta Hawks
50,Jump Shot,Missed Shot,159,0021500081,Shot Chart Detail,166,190,8,2,201962,Toney Douglas,3,1,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612740,New Orleans Pelicans
51,Driving Layup Shot,Made Shot,161,0021500081,Shot Chart Detail,15,7,7,2,201952,Jeff Teague,56,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612737,Atlanta Hawks
52,Jump Shot,Missed Shot,169,0021500081,Shot Chart Detail,-169,188,7,2,203118,Mike Scott,22,1,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612737,Atlanta Hawks
53,Jump Shot,Missed Shot,171,0021500081,Shot Chart Detail,40,242,7,2,201583,Ryan Anderson,14,1,24,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612740,New Orleans Pelicans
54,Jump Shot,Missed Shot,177,0021500081,Shot Chart Detail,166,139,6,2,202087,Alonzo Gee,59,1,21,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612740,New Orleans Pelicans
55,Layup Shot,Missed Shot,179,0021500081,Shot Chart Detail,27,7,6,2,201168,Tiago Splitter,46,1,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612737,Atlanta Hawks
56,Running Layup Shot,Missed Shot,181,0021500081,Shot Chart Detail,27,16,6,2,202087,Alonzo Gee,42,1,3,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612740,New Orleans Pelicans
57,Jump Shot,Missed Shot,183,0021500081,Shot Chart Detail,128,213,6,2,201569,Eric Gordon,38,1,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612740,New Orleans Pelicans
58,Layup Shot,Missed Shot,185,0021500081,Shot Chart Detail,-19,3,6,2,201952,Jeff Teague,30,1,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612737,Atlanta Hawks
59,Cutting Dunk Shot,Made Shot,195,0021500081,Shot Chart Detail,0,1,5,2,203200,Justin Holiday,51,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612737,Atlanta Hawks
60,Jump Shot,Made Shot,196,0021500081,Shot Chart Detail,-106,232,5,2,201583,Ryan Anderson,35,1,25,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612740,New Orleans Pelicans
61,Jump Shot,Missed Shot,207,0021500081,Shot Chart Detail,105,75,4,2,203076,Anthony Davis,56,1,12,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612740,New Orleans Pelicans
62,Jump Shot,Made Shot,209,0021500081,Shot Chart Detail,-50,237,4,2,2594,Kyle Korver,44,1,24,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612737,Atlanta Hawks
63,Layup Shot,Made Shot,210,0021500081,Shot Chart Detail,0,21,4,2,201583,Ryan Anderson,27,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612740,New Orleans Pelicans
64,Jump Shot,Made Shot,211,0021500081,Shot Chart Detail,-50,31,4,2,200794,Paul Millsap,7,1,5,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612737,Atlanta Hawks
65,Hook Shot,Missed Shot,212,0021500081,Shot Chart Detail,-6,43,3,2,203076,Anthony Davis,50,1,4,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612740,New Orleans Pelicans
66,Driving Layup Shot,Made Shot,214,0021500081,Shot Chart Detail,-6,8,3,2,203471,Dennis Schroder,39,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612737,Atlanta Hawks
67,Jump Shot,Missed Shot,215,0021500081,Shot Chart Detail,46,120,3,2,203076,Anthony Davis,13,1,12,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612740,New Orleans Pelicans
68,Driving Layup Shot,Made Shot,217,0021500081,Shot Chart Detail,6,21,3,2,203471,Dennis Schroder,2,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612737,Atlanta Hawks
