,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
0,0,12,0,0029701180,,,12:00,1,0,0,0,0,,,,,,0,,,,,,0,,,,,,,,,3:13 PM
1,0,10,1,0029701180,Jump Ball Dampier vs. Massenburg: Tip to Bogues,,12:00,1,4,5,4,956,Erick Dampier,GSW,Golden State,1610612744.0,Warriors,763,Tony Massenburg,VAN,Vancouver,1610612763.0,Grizzlies,177,Muggsy Bogues,GSW,Golden State,1610612744.0,Warriors,,,,3:13 PM
2,1,2,2,0029701180,MISS Jackson 15' Jump Shot,,11:49,1,4,0,0,754,Jim Jackson,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,,3:13 PM
3,0,4,3,0029701180,WARRIORS Rebound,,11:39,1,2,0,0,1610612744,,,,,,0,,,,,,0,,,,,,,,,3:14 PM
4,1,1,4,0029701180,Caffey 17' Jump Shot (2 PTS) (Dampier 1 AST),,11:22,1,4,4,0,679,Jason Caffey,GSW,Golden State,1610612744.0,Warriors,956,Erick Dampier,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0 - 2,2,,3:14 PM
5,1,2,5,0029701180,,,11:06,1,5,0,0,949,Shareef Abdur-Rahim,VAN,Vancouver,1610612763.0,Grizzlies,0,,,,,,0,,,,,,,,MISS Abdur-Rahim 4' Jump Shot,3:14 PM
6,0,4,6,0029701180,,,11:04,1,5,0,0,763,Tony Massenburg,VAN,Vancouver,1610612763.0,Grizzlies,0,,,,,,0,,,,,,,,Massenburg REBOUND (Off:1 Def:0),3:14 PM
7,5,2,7,0029701180,,,11:03,1,5,0,0,763,Tony Massenburg,VAN,Vancouver,1610612763.0,Grizzlies,0,,,,,,0,,,,,,,,MISS Massenburg 3' Layup,3:14 PM
8,0,4,8,0029701180,Weatherspoon REBOUND (Off:0 Def:1),,11:02,1,4,0,0,221,Clar. Weatherspoon,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,,3:14 PM
9,2,5,9,0029701180,Caffey Lost Ball Turnover (P1.T1),,10:58,1,4,0,0,679,Jason Caffey,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,,3:14 PM
10,1,1,10,0029701180,,,10:35,1,5,5,0,898,Blue Edwards,VAN,Vancouver,1610612763.0,Grizzlies,195,Lee Mayberry,VAN,Vancouver,1610612763.0,Grizzlies,0,,,,,,2 - 2,TIE,Edwards 22' Jump Shot (2 PTS) (Mayberry 1 AST),3:15 PM
11,1,1,11,0029701180,Caffey 15' Jump Shot (4 PTS) (Bogues 1 AST),,10:19,1,4,4,0,679,Jason Caffey,GSW,Golden State,1610612744.0,Warriors,177,Muggsy Bogues,GSW,Golden State,1610612744.0,Warriors,0,,,,,,2 - 4,2,,3:15 PM
12,5,1,12,0029701180,,,10:02,1,5,0,0,949,Shareef Abdur-Rahim,VAN,Vancouver,1610612763.0,Grizzlies,0,,,,,,0,,,,,,4 - 4,TIE,Abdur-Rahim  Layup (2 PTS),3:16 PM
