,AGE,CFID,CFPARAMS,GP,L,MIN,PCT_AST,PCT_BLK,PCT_BLKA,PCT_DREB,PCT_FG3A,PCT_FG3M,PCT_FGA,PCT_FGM,PCT_FTA,PCT_FTM,PCT_OREB,PCT_PF,PCT_PFD,PCT_PTS,PCT_REB,PCT_STL,PCT_TOV,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TEAM_ID,USG_PCT,W,W_PCT
24,24.0,5,"685,1610612750",1,1,12.0,0.0,0.0,0.0,0.714,0.0,0.0,0.176,0.286,0.0,0.0,0.0,0.556,0.571,0.2,0.556,0.5,0.0,685,Cherokee Parks,MIN,1610612750,0.133,0,0.0
25,23.0,5,"713,1610612750",1,1,9.0,0.25,0.0,0.0,1.0,0.333,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,713,Chris Carr,MIN,1610612750,0.164,0,0.0
26,29.0,5,"164,1610612752",10,4,339.0,0.437,0.0,0.194,0.202,0.265,0.273,0.171,0.164,0.152,0.165,0.127,0.244,0.25,0.17,0.182,0.364,0.25,164,Chris Childs,NYK,1610612752,0.182,6,0.6
27,32.0,5,"201,1610612757",4,3,75.0,0.125,0.556,0.0,0.514,0.0,0.0,0.101,0.109,0.133,0.067,0.476,0.388,0.286,0.095,0.5,0.4,0.0,201,Chris Dudley,POR,1610612757,0.096,1,0.25
28,31.0,5,"356,1610612762",20,7,183.0,0.063,0.2,0.25,0.223,0.481,0.4,0.189,0.175,0.136,0.107,0.122,0.184,0.195,0.172,0.198,0.258,0.105,356,Chris Morris,UTA,1610612762,0.169,13,0.65
29,24.0,5,"185,1610612764",3,3,112.0,0.244,0.538,0.0,0.327,0.44,0.5,0.19,0.241,0.148,0.093,0.259,0.305,0.324,0.223,0.304,0.182,0.356,185,Chris Webber,WAS,1610612764,0.218,0,0.0
30,25.0,5,"43,1610612764",3,3,21.0,0.4,0.0,0.0,0.333,0.571,0.667,0.172,0.143,0.05,0.059,0.0,0.1,0.0,0.146,0.167,0.0,0.625,43,Chris Whitney,WAS,1610612764,0.228,0,0.0
31,27.0,5,"363,1610612737",10,6,414.0,0.191,0.222,0.481,0.214,0.115,0.069,0.257,0.232,0.25,0.279,0.207,0.204,0.203,0.23,0.212,0.238,0.233,363,Christian Laettner,ATL,1610612737,0.252,4,0.4
32,30.0,5,"361,1610612757",4,3,169.0,0.176,0.286,0.278,0.179,0.246,0.167,0.189,0.15,0.168,0.155,0.3,0.137,0.133,0.152,0.218,0.105,0.189,361,Clifford Robinson,POR,1610612757,0.186,1,0.25
33,35.0,5,"17,1610612745",16,7,644.0,0.266,0.125,0.267,0.17,0.311,0.322,0.239,0.228,0.139,0.139,0.148,0.184,0.186,0.216,0.163,0.248,0.182,17,Clyde Drexler,HOU,1610612745,0.218,9,0.563
34,28.0,5,"916,1610612747",3,0,8.0,0.25,0.0,0.0,0.286,0.0,0.0,0.077,0.167,0.5,0.333,0.0,0.333,0.0,0.2,0.25,0.0,0.0,916,Corie Blount,LAL,1610612747,0.106,3,1.0
35,31.0,5,"105,1610612748",17,9,515.0,0.267,0.085,0.178,0.178,0.279,0.301,0.158,0.159,0.091,0.086,0.133,0.14,0.124,0.154,0.166,0.333,0.076,105,Dan Majerle,MIA,1610612748,0.136,8,0.471
36,38.0,5,"7,1610612753",5,3,96.0,0.156,0.111,0.143,0.16,0.0,0.0,0.167,0.132,0.073,0.095,0.286,0.41,0.333,0.116,0.188,0.143,0.222,7,Dan Schayes,ORL,1610612753,0.16,2,0.4
37,31.0,5,"330,1610612756",5,3,120.0,0.132,0.636,0.4,0.342,0.048,0.0,0.242,0.329,0.183,0.23,0.2,0.5,0.52,0.278,0.312,0.222,0.211,330,Danny Manning,PHX,1610612756,0.229,2,0.4
38,29.0,5,"353,1610612753",5,3,148.0,0.37,0.067,0.0,0.207,0.265,0.261,0.195,0.204,0.149,0.162,0.136,0.094,0.148,0.199,0.193,0.364,0.269,353,Darrell Armstrong,ORL,1610612753,0.196,2,0.4
39,26.0,5,"239,1610612746",3,3,82.0,0.433,0.0,0.2,0.027,0.3,0.385,0.207,0.2,0.243,0.231,0.071,0.209,0.2,0.221,0.039,0.0,0.118,239,Darrick Martin,LAC,1610612746,0.201,0,0.0
