,AST,AST_RANK,BLK,BLKA,BLKA_RANK,BLK_RANK,COURT_STATUS,DREB,DREB_RANK,FG3A,FG3A_RANK,FG3M,FG3M_RANK,FG3_PCT,FG3_PCT_RANK,FGA,FGA_RANK,FGM,FGM_RANK,FG_PCT,FG_PCT_RANK,FTA,FTA_RANK,FTM,FTM_RANK,FT_PCT,FT_PCT_RANK,GP,GP_RANK,GROUP_SET,L,L_RANK,MIN,MIN_RANK,OREB,OREB_RANK,PF,PFD,PFD_RANK,PF_RANK,PLUS_MINUS,PLUS_MINUS_RANK,PTS,PTS_RANK,REB,REB_RANK,STL,STL_RANK,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,TOV_RANK,VS_PLAYER_ID,VS_PLAYER_NAME,W,W_PCT,W_PCT_RANK,W_RANK
5,407,7,77,85,9,7,On,506,8,568,10,211,10,0.371,5,1331,8,635,8,0.477,2,297,10,222,10,0.747,9,32,10,On/Off Court,9,7,742.788333333,8,174,7,284,266,10,6,31.0,10,1703,9,680,8,113,10,HOU,1610612745,Houston Rockets,231.0,8,203991,"Capela, Clint",23,0.719,11,10
6,475,6,90,91,10,6,On,624,6,729,6,262,6,0.359,11,1632,6,745,6,0.456,10,437,6,318,7,0.728,10,47,1,On/Off Court,13,12,913.256666667,6,201,6,380,362,6,10,61.0,9,2070,6,825,6,148,6,HOU,1610612745,Houston Rockets,290.0,10,1626155,"Dekker, Sam",34,0.723,6,1
7,77,12,20,22,5,12,On,120,12,118,12,44,12,0.373,4,306,12,136,12,0.444,12,53,12,37,12,0.698,14,27,11,On/Off Court,8,5,179.418333333,12,40,12,92,59,11,5,-53.0,15,353,12,160,12,28,12,HOU,1610612745,Houston Rockets,74.0,4,203898,"Ennis, Tyler",19,0.704,13,11
8,705,4,141,144,13,3,On,985,3,1129,3,408,4,0.361,9,2466,3,1138,4,0.461,9,733,3,555,3,0.757,8,45,5,On/Off Court,12,9,1377.81666667,3,308,3,578,587,3,13,237.0,4,3239,3,1293,3,229,3,HOU,1610612745,Houston Rockets,430.0,13,201569,"Gordon, Eric",33,0.733,4,5
9,919,1,156,168,15,1,On,1188,1,1453,1,534,1,0.368,6,3083,1,1458,1,0.473,3,938,1,725,1,0.773,6,47,1,On/Off Court,13,12,1715.375,1,388,1,664,721,1,15,293.0,1,4175,1,1576,1,277,1,HOU,1610612745,Houston Rockets,544.0,15,201935,"Harden, James",34,0.723,6,1
10,396,9,77,77,8,7,On,519,7,614,7,238,7,0.388,1,1338,7,639,7,0.478,1,402,7,328,6,0.816,2,38,8,On/Off Court,9,7,745.49,7,165,8,306,328,7,8,154.0,7,1844,7,684,7,127,9,HOU,1610612745,Houston Rockets,241.0,9,1626149,"Harrell, Montrezl",29,0.763,2,7
11,89,11,23,19,4,11,On,132,11,139,11,50,11,0.36,10,350,11,162,11,0.463,8,70,11,56,11,0.8,3,25,12,On/Off Court,7,4,198.64,11,49,11,84,58,12,4,-26.0,12,430,11,181,11,31,11,HOU,1610612745,Houston Rockets,74.0,4,203909,"McDaniels, KJ",18,0.72,10,12
12,365,10,54,61,6,10,On,487,10,607,8,214,9,0.353,12,1261,10,569,10,0.451,11,399,8,279,8,0.699,13,41,7,On/Off Court,12,9,692.211666667,10,158,10,289,297,9,7,163.0,6,1631,10,645,10,133,7,HOU,1610612745,Houston Rockets,219.0,6,2403,Nene,29,0.707,12,7
13,2,15,0,3,1,15,On,7,15,8,15,1,15,0.125,15,20,15,7,15,0.35,15,3,15,3,14,1.0,1,2,15,On/Off Court,1,1,9.83333333333,15,4,15,3,3,15,1,-12.0,11,18,15,11,15,1,15,HOU,1610612745,Houston Rockets,5.0,1,1627778,"Onuaku, Chinanu",1,0.5,15,15
14,7,14,4,3,1,14,On,23,14,18,14,4,14,0.222,14,49,14,19,14,0.388,13,7,13,5,13,0.714,12,9,14,On/Off Court,1,1,29.35,14,8,13,11,7,13,2,-28.0,13,47,14,31,14,2,14,HOU,1610612745,Houston Rockets,18.0,3,1627787,"Wiltjer, Kyle",8,0.889,1,14
0,710,1,180,159,15,1,On,1126,1,615,1,191,1,0.311,9,2849,1,1267,1,0.445,3,826,1,676,1,0.818,3,43,3,On/Off Court,21,12,1578.11666667,1,445,1,546,634,1,15,105.0,1,3401,1,1571,1,260,1,CHI,1610612741,Chicago Bulls,432.0,15,202710,"Butler, Jimmy",22,0.512,4,1
1,199,10,50,53,6,9,On,346,9,265,9,80,9,0.302,12,924,9,380,10,0.411,13,254,10,198,10,0.78,11,28,11,On/Off Court,15,5,518.818333333,9,141,9,192,207,9,7,-70.0,15,1038,10,487,9,92,8,CHI,1610612741,Chicago Bulls,149.0,7,203477,"Canaan, Isaiah",13,0.464,13,10
2,164,11,52,40,5,8,On,282,11,167,13,55,13,0.329,5,695,11,296,11,0.426,8,205,11,161,11,0.785,10,18,13,On/Off Court,7,2,392.206666667,11,112,11,150,169,11,5,-42.0,14,808,11,394,11,65,12,CHI,1610612741,Chicago Bulls,121.0,5,203487,"Carter-Williams, Michael",11,0.611,2,13
3,217,8,43,56,8,10,On,376,8,280,8,93,8,0.332,4,945,8,387,8,0.41,14,291,8,224,8,0.77,12,37,6,On/Off Court,19,8,538.68,8,159,8,220,217,8,8,-31.0,12,1091,8,535,8,88,9,CHI,1610612741,Chicago Bulls,157.0,8,1626245,"Felicio, Cristiano",18,0.486,8,6
4,550,3,154,136,14,3,On,873,3,393,6,118,6,0.3,13,2209,4,983,3,0.445,2,576,4,477,4,0.828,2,44,2,On/Off Court,22,14,1211.995,4,347,4,409,459,4,12,-13.0,8,2561,4,1220,3,205,2,CHI,1610612741,Chicago Bulls,348.0,13,201959,"Gibson, Taj",22,0.5,5,1
5,204,9,40,55,7,11,On,339,10,228,10,80,9,0.351,3,888,10,385,9,0.434,6,262,9,207,9,0.79,9,34,8,On/Off Court,20,11,500.278333333,10,134,10,187,207,9,6,22.0,4,1057,9,473,10,76,10,CHI,1610612741,Chicago Bulls,125.0,6,1626170,"Grant, Jerian",14,0.412,14,9
6,1,15,0,3,1,15,On,10,15,5,15,1,15,0.2,15,22,15,2,15,0.091,15,0,15,0,15,0.0,15,3,15,On/Off Court,1,1,9.15,15,6,15,5,0,15,1,-10.0,7,5,15,16,15,0,15,CHI,1610612741,Chicago Bulls,2.0,1,1626154,"Hunter, RJ",2,0.667,1,15
7,571,2,155,128,12,2,On,910,2,445,4,141,4,0.317,7,2331,2,1021,2,0.438,4,593,3,483,3,0.815,4,45,1,On/Off Court,23,15,1272.19666667,2,368,2,427,492,3,13,-20.0,9,2666,2,1278,2,186,4,CHI,1610612741,Chicago Bulls,356.0,14,201577,"Lopez, Robin",22,0.489,7,1
8,365,7,71,89,10,7,On,591,7,394,5,122,5,0.31,10,1477,7,645,7,0.437,5,430,7,360,7,0.837,1,32,9,On/Off Court,16,6,820.668333333,7,226,7,308,326,7,9,41.0,3,1772,7,817,7,108,7,CHI,1610612741,Chicago Bulls,242.0,9,203926,"McDermott, Doug",16,0.5,5,8
9,383,6,83,88,9,6,On,636,6,493,2,154,2,0.312,8,1588,6,676,6,0.426,9,519,5,421,5,0.811,5,39,5,On/Off Court,19,8,900.511666667,6,230,6,372,388,5,11,63.0,2,1927,6,866,6,139,6,CHI,1610612741,Chicago Bulls,248.0,10,202703,"Mirotic, Nikola",20,0.513,3,4
10,139,12,17,39,4,13,On,239,12,192,11,61,12,0.318,6,638,12,267,12,0.418,11,199,12,145,12,0.729,13,30,10,On/Off Court,18,7,363.56,12,100,12,140,155,12,4,-24.0,11,740,12,339,12,68,11,CHI,1610612741,Chicago Bulls,104.0,4,1626171,"Portis, Bobby",12,0.4,15,12
11,485,5,113,101,11,5,On,713,5,381,7,111,7,0.291,14,1861,5,834,5,0.448,1,475,6,385,6,0.811,6,36,7,On/Off Court,19,8,1013.08333333,5,294,5,355,386,6,10,-1.0,6,2164,5,1007,5,168,5,CHI,1610612741,Chicago Bulls,303.0,11,200765,"Rondo, Rajon",17,0.472,11,7
12,127,13,26,33,3,12,On,216,13,175,12,65,11,0.371,1,555,13,233,13,0.42,10,156,13,126,13,0.808,7,27,12,On/Off Court,14,4,321.733333333,13,81,13,134,126,13,3,-20.0,9,657,13,297,13,63,13,CHI,1610612741,Chicago Bulls,96.0,3,1627756,"Valentine, Denzel",13,0.481,9,10
13,532,4,138,129,13,4,On,853,4,474,3,146,3,0.308,11,2243,3,962,4,0.429,7,614,2,494,2,0.805,8,40,4,On/Off Court,21,12,1219.77166667,3,352,3,468,501,2,14,-40.0,13,2564,3,1205,4,194,3,CHI,1610612741,Chicago Bulls,333.0,12,2548,"Wade, Dwyane",19,0.475,10,5
14,63,14,13,16,2,14,On,120,14,73,14,27,14,0.37,2,280,14,117,14,0.418,12,90,14,63,14,0.7,14,15,14,On/Off Court,8,3,164.23,14,50,14,47,68,14,2,10.0,5,324,14,170,14,28,14,CHI,1610612741,Chicago Bulls,49.0,2,1627835,"Zipser, Paul",7,0.467,12,14
0,221,10,48,69,7,10,On,382,10,259,10,88,10,0.34,9,1032,10,456,10,0.442,9,304,10,233,10,0.766,6,36,8,On/Off Court,21,6,560.365,10,167,9,247,242,10,6,-7.0,2,1233,10,549,10,97,10,LAL,1610612747,Los Angeles Lakers,170.0,6,204028,"Black, Tarik",15,0.417,1,4
1,121,12,22,41,4,12,On,167,12,131,12,41,12,0.313,14,476,12,195,12,0.41,14,88,13,63,14,0.716,13,21,12,On/Off Court,15,3,258.755,12,67,12,105,85,13,4,-126.0,10,494,12,234,12,41,12,LAL,1610612747,Los Angeles Lakers,94.0,4,101181,"Calderon, Jose",6,0.286,12,12
2,524,3,108,163,15,1,On,862,3,659,5,217,5,0.329,12,2359,2,1056,2,0.448,5,697,2,531,2,0.762,9,48,1,On/Off Court,32,12,1314.54333333,2,326,1,578,553,2,15,-191.0,14,2860,2,1188,2,231,2,LAL,1610612747,Los Angeles Lakers,444.0,15,203903,"Clarkson, Jordan",16,0.333,7,1
3,519,4,88,136,12,4,On,839,4,689,3,250,3,0.363,2,2165,4,946,5,0.437,11,530,5,410,5,0.774,4,44,5,On/Off Court,29,11,1206.59333333,4,283,5,507,444,5,12,-164.0,11,2552,5,1122,4,180,5,LAL,1610612747,Los Angeles Lakers,392.0,12,2736,"Deng, Luol",15,0.341,6,4
4,88,13,10,25,3,14,On,127,13,98,13,33,13,0.337,10,368,13,165,13,0.448,4,111,12,74,12,0.667,14,20,13,On/Off Court,15,3,207.428333333,13,42,13,72,91,12,3,-44.0,4,437,13,169,13,40,13,LAL,1610612747,Los Angeles Lakers,67.0,3,1626273,"Huertas, Marcelo",5,0.25,13,13
5,552,2,107,153,14,2,On,888,1,684,4,236,4,0.345,8,2377,1,1071,1,0.451,3,749,1,566,1,0.756,10,48,1,On/Off Court,32,12,1354.01166667,1,314,2,577,590,1,14,-183.0,13,2944,1,1202,1,233,1,LAL,1610612747,Los Angeles Lakers,423.0,14,1627742,"Ingram, Brandon",16,0.333,7,1
6,464,7,55,117,10,8,On,698,7,556,7,200,7,0.36,3,1799,7,782,7,0.435,12,399,8,299,8,0.749,11,47,4,On/Off Court,32,12,993.488333333,7,233,7,393,350,7,9,-202.0,15,2063,7,931,7,142,7,LAL,1610612747,Los Angeles Lakers,324.0,10,202389,"Mozgov, Timofey",15,0.319,10,4
7,281,9,55,62,6,8,On,410,9,309,9,111,9,0.359,4,1140,9,532,9,0.467,1,311,9,244,9,0.785,3,29,11,On/Off Court,18,5,636.84,9,147,10,273,263,9,7,-23.0,3,1419,9,557,9,127,9,LAL,1610612747,Los Angeles Lakers,202.0,7,1626204,"Nance Jr., Larry",11,0.379,3,10
8,576,1,88,139,13,4,On,872,2,743,1,263,2,0.354,6,2282,3,1012,3,0.443,7,602,4,459,4,0.762,8,43,6,On/Off Court,28,10,1264.55833333,3,304,3,554,470,4,13,-179.0,12,2746,3,1176,3,192,4,LAL,1610612747,Los Angeles Lakers,413.0,13,203944,"Randle, Julius",15,0.349,5,4
9,136,11,26,44,5,11,On,224,11,163,11,53,11,0.325,13,660,11,289,11,0.438,10,208,11,150,11,0.721,12,34,9,On/Off Court,24,8,373.808333333,11,101,11,159,166,11,5,-109.0,8,781,11,325,11,63,11,LAL,1610612747,Los Angeles Lakers,119.0,5,203080,"Robinson, Thomas",10,0.294,11,11
10,423,8,64,84,8,7,On,606,8,555,8,199,8,0.359,5,1605,8,718,8,0.447,6,430,7,331,7,0.77,5,34,9,On/Off Court,21,6,893.53,8,195,8,388,337,8,8,-96.0,7,1966,8,801,8,134,8,LAL,1610612747,Los Angeles Lakers,256.0,8,1626156,"Russell, D'Angelo",13,0.382,2,9
11,477,6,102,133,11,3,On,774,5,603,6,212,6,0.352,7,2116,5,979,4,0.463,2,650,3,510,3,0.785,2,48,1,On/Off Court,32,12,1165.19,5,292,4,502,510,3,11,26.0,1,2680,4,1066,5,206,3,LAL,1610612747,Los Angeles Lakers,376.0,11,101150,"Williams, Lou",16,0.333,7,1
12,26,15,4,7,1,15,On,43,15,41,15,7,15,0.171,15,138,15,51,15,0.37,15,42,15,28,15,0.667,14,17,14,On/Off Court,14,2,79.2966666667,15,19,15,32,33,15,1,-64.0,6,137,15,62,15,11,15,LAL,1610612747,Los Angeles Lakers,24.0,1,1897,"World Peace, Metta",3,0.176,15,14
13,513,5,69,110,9,6,On,730,6,696,2,267,1,0.384,1,1999,6,885,6,0.443,8,462,6,353,6,0.764,7,41,7,On/Off Court,26,9,1080.74166667,6,256,6,486,381,6,10,-122.0,9,2390,6,986,6,160,6,LAL,1610612747,Los Angeles Lakers,320.0,9,201156,"Young, Nick",15,0.366,4,4
14,54,14,14,17,2,13,On,83,14,54,14,18,14,0.333,11,229,14,98,14,0.428,13,77,14,64,13,0.831,1,13,15,On/Off Court,10,1,130.85,14,29,14,47,50,14,2,-46.0,5,278,14,112,14,18,14,LAL,1610612747,Los Angeles Lakers,41.0,2,1627826,"Zubac, Ivica",3,0.231,14,14
0,654,1,159,139,15,1,On,1007,1,725,1,284,1,0.392,1,2755,1,1243,1,0.451,6,625,1,488,1,0.781,11,44,3,On/Off Court,25,11,1471.30333333,1,391,1,624,539,1,15,-90.0,12,3258,1,1398,1,198,1,NYK,1610612752,New York Knicks,393.0,15,2546,"Anthony, Carmelo",19,0.432,5,1
1,101,12,29,36,4,12,On,166,12,140,12,51,12,0.364,7,415,12,180,12,0.434,14,137,12,107,12,0.781,10,20,13,On/Off Court,14,3,233.858333333,12,61,12,86,99,12,3,23.0,1,518,12,227,12,46,12,NYK,1610612752,New York Knicks,75.0,4,1627758,"Baker, Ron",6,0.3,15,13
2,224,10,64,59,6,11,On,363,9,268,10,93,10,0.347,12,873,11,391,11,0.448,8,251,8,207,8,0.825,3,37,10,On/Off Court,21,6,494.9,11,115,11,217,196,10,5,20.0,2,1082,11,478,11,81,10,NYK,1610612752,New York Knicks,178.0,6,1626195,"Hernangomez, Willy",16,0.432,4,8
3,386,7,99,86,10,6,On,595,7,483,6,166,6,0.344,13,1566,7,696,7,0.444,10,385,6,307,6,0.797,6,45,1,On/Off Court,26,14,847.94,7,224,7,390,341,6,10,-4.0,6,1865,7,819,7,131,6,NYK,1610612752,New York Knicks,254.0,10,203200,"Holiday, Justin",19,0.422,7,1
4,479,5,132,87,11,5,On,720,5,609,4,214,5,0.351,10,1894,5,840,5,0.444,11,473,5,368,5,0.778,12,45,1,On/Off Court,26,14,1043.87166667,5,237,6,491,414,5,11,-100.0,13,2262,5,957,5,158,5,NYK,1610612752,New York Knicks,324.0,11,201943,"Jennings, Brandon",19,0.422,7,1
5,250,9,65,65,8,9,On,361,10,322,9,109,9,0.339,14,976,9,438,9,0.449,7,199,11,162,11,0.814,4,38,8,On/Off Court,23,9,520.068333333,10,151,9,228,184,11,6,-11.0,7,1147,9,512,9,94,8,NYK,1610612752,New York Knicks,181.0,7,1627851,"Kuzminskas, Mindaugas",15,0.395,10,9
6,543,4,138,112,12,4,On,827,4,604,5,229,4,0.379,3,2267,4,1028,4,0.453,3,509,4,395,4,0.776,13,40,5,On/Off Court,23,9,1231.12333333,4,307,3,499,442,4,12,-76.0,11,2680,4,1134,4,169,4,NYK,1610612752,New York Knicks,345.0,12,201584,"Lee, Courtney",17,0.425,6,6
7,60,14,17,19,2,14,On,82,14,74,14,26,14,0.351,11,234,14,106,14,0.453,4,68,14,57,14,0.838,1,17,14,On/Off Court,11,2,132.025,14,31,14,52,57,14,2,4.0,5,295,14,113,14,29,14,NYK,1610612752,New York Knicks,44.0,2,1626254,"Ndour, Maurice",6,0.353,13,13
8,393,6,96,78,9,7,On,638,6,439,7,163,7,0.371,5,1690,6,747,6,0.442,12,359,7,261,7,0.727,15,39,7,On/Off Court,25,11,897.031666667,6,256,5,358,314,7,9,-125.0,14,1918,6,894,6,114,7,NYK,1610612752,New York Knicks,244.0,9,201149,"Noah, Joakim",14,0.359,12,10
9,311,8,90,64,7,8,On,442,8,327,8,116,8,0.355,9,1220,8,551,8,0.452,5,238,9,192,9,0.807,5,43,4,On/Off Court,25,11,651.726666667,8,169,8,274,240,8,8,-58.0,9,1410,8,611,8,83,9,NYK,1610612752,New York Knicks,199.0,8,203124,"O'Quinn, Kyle",18,0.419,9,4
10,31,15,6,8,1,15,On,31,15,41,15,15,15,0.366,6,109,15,50,15,0.459,1,23,15,19,15,0.826,2,5,15,On/Off Court,2,1,57.1833333333,15,17,15,30,21,15,1,9.0,4,134,15,48,15,9,15,NYK,1610612752,New York Knicks,12.0,1,1627850,"Plumlee, Marshall",3,0.6,1,15
11,581,2,156,124,13,2,On,895,2,669,2,243,2,0.363,8,2359,3,1053,3,0.446,9,566,2,446,2,0.788,8,38,8,On/Off Court,21,6,1289.49,2,304,4,550,505,2,14,-46.0,8,2795,3,1199,3,191,2,NYK,1610612752,New York Knicks,384.0,14,204001,"Porzingis, Kristaps",17,0.447,3,6
12,567,3,146,125,14,3,On,888,3,615,3,232,3,0.377,4,2408,2,1103,2,0.458,2,563,3,436,3,0.774,14,40,5,On/Off Court,22,8,1281.82333333,3,353,2,529,468,3,13,-58.0,9,2874,2,1241,2,174,3,NYK,1610612752,New York Knicks,353.0,13,201565,"Rose, Derrick",18,0.45,2,4
13,207,11,65,44,5,9,On,355,11,241,11,76,11,0.315,15,962,10,418,10,0.435,13,234,10,183,10,0.782,9,30,11,On/Off Court,20,5,526.686666667,9,135,10,246,204,9,7,-127.0,15,1095,10,490,10,66,11,NYK,1610612752,New York Knicks,160.0,5,202498,"Thomas, Lance",10,0.333,14,11
14,93,13,28,19,2,13,On,160,13,113,13,43,13,0.381,2,352,13,151,13,0.429,15,85,13,67,13,0.788,7,23,12,On/Off Court,14,3,195.968333333,13,39,13,86,71,13,3,14.0,3,412,13,199,13,37,13,NYK,1610612752,New York Knicks,69.0,3,2756,"Vujacic, Sasha",9,0.391,11,12
0,8,14,5,4,1,13,On,18,14,10,14,4,14,0.4,2,44,14,17,14,0.386,13,9,14,4,14,0.444,14,8,13,On/Off Court,1,1,22.9816666667,14,12,13,9,7,14,1,4.0,10,42,14,30,14,10,13,TOR,1610612761,Toronto Raptors,10.0,1,203998,"Caboclo, Bruno",7,0.875,1,13
1,415,4,107,96,11,4,On,672,4,491,7,179,7,0.365,11,1838,4,853,4,0.464,9,539,5,455,4,0.844,1,39,8,On/Off Court,14,8,1035.05166667,4,245,4,431,433,6,9,87.0,6,2340,4,917,4,183,6,TOR,1610612761,Toronto Raptors,269.0,11,201960,"Carroll, DeMarre",25,0.641,8,8
2,586,2,160,140,13,1,On,1033,2,715,2,262,2,0.366,10,2756,2,1281,2,0.465,8,874,1,721,1,0.825,2,44,1,On/Off Court,16,11,1556.73833333,2,345,2,658,657,2,13,102.0,5,3545,2,1378,2,270,2,TOR,1610612761,Toronto Raptors,391.0,13,201942,"DeRozan, DeMar",28,0.636,9,1
3,355,7,95,90,10,6,On,608,7,531,5,196,5,0.369,9,1751,5,787,6,0.449,11,528,6,425,6,0.805,8,43,2,On/Off Court,16,11,972.313333333,5,219,5,450,442,4,11,3.0,11,2195,7,827,6,184,5,TOR,1610612761,Toronto Raptors,221.0,10,202709,"Joseph, Cory",27,0.628,11,2
4,675,1,158,150,14,2,On,1045,1,839,1,330,1,0.393,4,2813,1,1336,1,0.475,2,850,2,700,2,0.824,4,43,2,On/Off Court,16,11,1598.765,1,368,1,685,705,1,14,292.0,1,3702,1,1413,1,298,1,TOR,1610612761,Toronto Raptors,397.0,14,200768,"Lowry, Kyle",27,0.628,11,2
5,300,8,91,60,6,7,On,513,8,410,8,168,8,0.41,1,1302,8,617,8,0.474,3,406,8,331,8,0.815,6,35,9,On/Off Court,13,6,734.866666667,8,163,9,307,311,8,7,199.0,3,1733,8,676,8,137,9,TOR,1610612761,Toronto Raptors,165.0,6,203512,"Nogueira, Lucas",22,0.629,10,9
6,378,5,80,82,8,8,On,631,5,550,4,213,4,0.387,5,1647,7,766,7,0.465,7,554,4,453,5,0.818,5,33,10,On/Off Court,11,5,923.938333333,7,212,6,405,440,5,8,257.0,2,2198,6,843,5,171,7,TOR,1610612761,Toronto Raptors,208.0,8,202335,"Patterson, Patrick",22,0.667,5,9
7,85,11,27,32,4,11,On,164,11,137,11,41,11,0.299,14,454,11,189,11,0.416,12,112,11,81,11,0.723,12,25,11,On/Off Court,6,4,253.7,11,63,11,129,109,11,4,-43.0,13,500,11,227,11,55,11,TOR,1610612761,Toronto Raptors,69.0,4,1627751,"Poeltl, Jakob",19,0.76,3,11
8,225,10,65,51,5,10,On,386,10,305,9,120,9,0.393,3,1030,10,498,10,0.483,1,347,9,272,9,0.784,10,40,6,On/Off Court,14,8,586.185,10,108,10,277,256,9,5,70.0,8,1388,10,494,10,126,10,TOR,1610612761,Toronto Raptors,147.0,5,1626181,"Powell, Norman",26,0.65,6,7
9,378,5,104,84,9,5,On,618,6,566,3,217,3,0.383,6,1729,6,806,5,0.466,6,520,7,410,7,0.788,9,43,2,On/Off Court,16,11,958.271666667,6,209,7,435,423,7,10,147.0,4,2239,5,827,6,193,4,TOR,1610612761,Toronto Raptors,204.0,7,203082,"Ross, Terrence",27,0.628,11,2
10,269,9,72,71,7,9,On,435,9,269,10,101,10,0.375,8,1217,9,570,9,0.468,5,295,10,239,10,0.81,7,40,6,On/Off Court,13,6,699.271666667,9,164,8,283,246,10,6,-58.0,14,1480,9,599,9,142,8,TOR,1610612761,Toronto Raptors,214.0,9,1627783,"Siakam, Pascal",27,0.675,4,2
11,14,13,5,4,1,13,On,26,13,26,13,8,13,0.308,13,73,13,23,13,0.315,14,18,13,14,13,0.778,11,3,14,On/Off Court,3,2,42.8166666667,13,5,14,23,16,13,2,-18.0,12,68,13,31,13,6,14,TOR,1610612761,Toronto Raptors,11.0,2,203096,"Sullinger, Jared",0,0.0,14,14
12,454,3,111,105,12,3,On,722,3,505,6,193,6,0.382,7,2019,3,956,3,0.474,4,594,3,490,3,0.825,3,42,5,On/Off Court,15,10,1136.18666667,3,270,3,457,476,3,12,84.0,7,2595,3,992,3,199,3,TOR,1610612761,Toronto Raptors,293.0,12,202685,"Valanciunas, Jonas",27,0.643,7,2
13,33,12,15,11,3,12,On,69,12,41,12,13,12,0.317,12,167,12,76,12,0.455,10,29,12,20,12,0.69,13,14,12,On/Off Court,3,2,88.9133333333,12,22,12,41,24,12,3,19.0,9,185,12,91,12,21,12,TOR,1610612761,Toronto Raptors,26.0,3,1627832,"VanVleet, Fred",11,0.786,2,12
0,628,2,152,90,14,2,On,870,2,580,2,241,2,0.416,7,2200,2,1050,2,0.477,11,570,2,466,2,0.818,7,39,5,On/Off Court,8,7,1265.625,2,247,2,456,506,2,14,205.0,3,2807,2,1117,2,193,2,SAS,1610612759,San Antonio Spurs,297.0,14,200746,"Aldridge, LaMarcus",31,0.795,6,5
1,226,11,61,42,5,11,On,340,11,188,12,79,12,0.42,5,779,11,384,11,0.493,3,245,11,204,11,0.833,4,38,7,On/Off Court,8,7,475.326666667,11,81,11,183,199,11,5,95.0,11,1051,11,421,11,91,11,SAS,1610612759,San Antonio Spurs,140.0,5,203937,"Anderson, Kyle",30,0.789,8,6
2,196,12,42,32,4,12,On,227,12,195,11,80,11,0.41,9,599,12,291,12,0.486,7,156,12,128,12,0.821,6,35,10,On/Off Court,5,4,348.05,12,60,12,159,139,12,4,63.0,12,790,12,287,12,65,12,SAS,1610612759,San Antonio Spurs,107.0,4,202722,"Bertans, Davis",30,0.857,1,6
3,275,10,70,63,7,10,On,421,10,262,10,107,10,0.408,11,951,10,450,10,0.473,13,284,10,228,10,0.803,11,37,8,On/Off Court,9,11,575.423333333,10,127,10,267,253,10,6,112.0,10,1235,10,548,10,96,10,SAS,1610612759,San Antonio Spurs,185.0,6,203473,"Dedmon, Dewayne",28,0.757,14,10
4,22,15,7,9,1,15,On,43,15,30,15,10,15,0.333,14,107,15,39,15,0.364,15,33,15,24,15,0.727,15,15,15,On/Off Court,4,2,62.235,15,13,15,36,22,15,1,-41.0,14,112,15,56,15,9,15,SAS,1610612759,San Antonio Spurs,20.0,1,1627854,"Forbes, Bryn",11,0.733,15,15
5,532,3,124,79,13,3,On,714,3,457,4,192,4,0.42,6,1780,3,872,3,0.49,4,420,4,340,4,0.81,9,39,5,On/Off Court,9,11,1029.345,3,173,4,333,400,4,11,143.0,8,2276,3,887,3,153,5,SAS,1610612759,San Antonio Spurs,254.0,11,2200,"Gasol, Pau",30,0.769,13,6
6,383,9,71,64,8,9,On,486,9,371,7,157,6,0.423,1,1231,9,592,9,0.481,9,379,7,313,6,0.826,5,37,8,On/Off Court,8,7,706.561666667,9,148,9,324,324,7,10,168.0,7,1654,9,634,9,135,7,SAS,1610612759,San Antonio Spurs,217.0,9,1938,"Ginobili, Manu",29,0.784,10,9
7,461,5,121,67,9,4,On,638,5,414,5,169,5,0.408,12,1558,5,770,4,0.494,2,404,5,322,5,0.797,13,35,10,On/Off Court,7,5,908.515,5,173,4,292,353,5,9,187.0,4,2031,5,811,5,136,6,SAS,1610612759,San Antonio Spurs,211.0,8,201980,"Green, Danny",28,0.8,5,10
8,65,14,21,15,2,13,On,121,13,74,13,28,13,0.378,13,277,14,113,14,0.408,14,87,13,68,13,0.782,14,18,14,On/Off Court,3,1,174.036666667,13,27,14,76,74,13,3,-44.0,15,322,14,148,14,31,14,SAS,1610612759,San Antonio Spurs,52.0,3,1627879,"Laprovittola, Nicolas",15,0.833,2,14
9,385,8,77,58,6,8,On,527,8,344,8,145,8,0.422,3,1276,8,622,8,0.487,6,352,8,297,8,0.844,1,42,2,On/Off Court,9,11,748.103333333,8,150,8,289,302,9,8,171.0,5,1686,8,677,8,128,8,SAS,1610612759,San Antonio Spurs,232.0,10,101135,"Lee, David",33,0.786,9,3
10,706,1,162,98,15,1,On,947,1,644,1,272,1,0.422,2,2403,1,1159,1,0.482,8,652,1,544,1,0.834,3,41,4,On/Off Court,9,11,1378.29166667,1,268,1,471,572,1,15,255.0,1,3134,1,1215,1,209,1,SAS,1610612759,San Antonio Spurs,314.0,15,202695,"Leonard, Kawhi",32,0.78,12,4
11,499,4,96,77,12,6,On,639,4,504,3,212,3,0.421,4,1593,4,755,5,0.474,12,482,3,404,3,0.838,2,42,2,On/Off Court,8,7,921.69,4,194,3,387,415,3,13,247.0,2,2126,4,833,4,169,3,SAS,1610612759,San Antonio Spurs,255.0,12,201988,"Mills, Patty",34,0.81,4,1
12,77,13,18,15,2,14,On,121,13,68,14,22,14,0.324,15,288,13,141,13,0.49,5,71,14,58,14,0.817,8,22,13,On/Off Court,4,2,170.83,14,29,13,67,53,14,2,2.0,13,362,13,150,13,33,13,SAS,1610612759,San Antonio Spurs,50.0,2,1627749,"Murray, Dejounte",18,0.818,3,13
