,AST,AST_RANK,BLK,BLKA,BLKA_RANK,BLK_RANK,COURT_STATUS,DREB,DREB_RANK,FG3A,FG3A_RANK,FG3M,FG3M_RANK,FG3_PCT,FG3_PCT_RANK,FGA,FGA_RANK,FGM,FGM_RANK,FG_PCT,FG_PCT_RANK,FTA,FTA_RANK,FTM,FTM_RANK,FT_PCT,FT_PCT_RANK,GP,GP_RANK,GROUP_SET,L,L_RANK,MIN,MIN_RANK,OREB,OREB_RANK,PF,PFD,PFD_RANK,PF_RANK,PLUS_MINUS,PLUS_MINUS_RANK,PTS,PTS_RANK,REB,REB_RANK,STL,STL_RANK,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,TOV_RANK,VS_PLAYER_ID,VS_PLAYER_NAME,W,W_PCT,W_PCT_RANK,W_RANK
13,234,8,44,53,9,8,On,337,7,248,7,86,7,0.347,8,1023,7,465,7,0.455,9,249,7,186,7,0.747,12,33,9,On/Off Court,18,8,574.671666667,7,133,7,303,237,7,9,-148.0,15,1202,7,470,7,90,7,WAS,1610612764,Washington Wizards,177.0,9,201977,"Thornton, Marcus",15,0.455,13,9
14,760,1,120,130,14,2,On,1008,2,752,2,283,1,0.376,3,2685,2,1293,2,0.482,1,689,1,545,1,0.791,5,41,4,On/Off Court,18,8,1489.42,2,303,2,614,610,2,15,119.0,2,3414,1,1311,2,281,1,WAS,1610612764,Washington Wizards,439.0,14,202322,"Wall, John",23,0.561,4,1
0,39,16,5,9,2,17,On,43,17,55,16,27,16,0.491,1,123,16,66,16,0.537,1,44,16,36,16,0.818,2,6,17,On/Off Court,5,2,68.885,16,15,17,32,38,16,3,22.0,2,195,16,58,17,15,16,BKN,1610612751,Brooklyn Nets,26.0,3,203112,"Acy, Quincy",1,0.167,14,15
1,114,14,22,33,5,14,On,188,14,183,14,60,14,0.328,13,446,14,197,14,0.442,10,205,11,158,11,0.771,13,23,11,On/Off Court,20,8,264.15,14,59,13,103,145,13,5,-68.0,9,612,14,247,14,33,14,BKN,1610612751,Brooklyn Nets,92.0,5,203461,"Bennett, Anthony",3,0.13,15,12
2,519,2,118,134,16,2,On,820,3,754,3,261,3,0.346,11,2005,3,899,2,0.448,6,532,3,437,3,0.821,1,43,1,On/Off Court,34,17,1141.81333333,2,181,5,487,451,3,16,-272.0,17,2496,3,1001,3,176,1,BKN,1610612751,Brooklyn Nets,404.0,17,202711,"Bogdanovic, Bojan",9,0.209,7,1
3,447,4,98,126,15,4,On,775,4,712,4,233,4,0.327,15,1879,4,820,4,0.436,14,464,5,367,5,0.791,7,39,4,On/Off Court,31,14,1060.64333333,4,188,3,466,406,4,15,-288.0,18,2240,4,963,4,171,2,BKN,1610612751,Brooklyn Nets,397.0,16,202344,"Booker, Trevor",8,0.205,8,4
4,170,12,43,59,10,10,On,292,11,247,12,82,12,0.332,12,696,12,296,12,0.425,16,182,13,143,12,0.786,10,20,13,On/Off Court,18,6,385.706666667,12,65,12,154,153,12,7,-70.0,10,817,12,357,12,56,12,BKN,1610612751,Brooklyn Nets,114.0,6,203915,"Dinwiddie, Spencer",2,0.1,16,14
5,63,15,11,10,3,15,On,91,15,124,15,43,15,0.347,9,272,15,121,15,0.445,9,67,15,49,15,0.731,17,10,16,On/Off Court,9,3,151.33,15,30,15,64,62,15,4,-44.0,5,334,15,121,15,23,15,BKN,1610612751,Brooklyn Nets,52.0,4,1627812,"Ferrell, Yogi",1,0.1,16,15
6,220,9,53,57,9,9,On,336,9,387,9,142,9,0.367,4,925,9,414,9,0.448,7,262,9,205,9,0.782,11,30,10,On/Off Court,24,9,518.015,9,95,9,211,222,9,10,-57.0,8,1175,9,431,9,98,9,BKN,1610612751,Brooklyn Nets,172.0,10,200751,"Foye, Randy",6,0.2,10,10
7,334,8,77,89,11,6,On,542,8,546,6,179,7,0.328,14,1348,8,580,8,0.43,15,323,8,246,8,0.762,14,37,7,On/Off Court,29,12,748.72,8,137,8,298,306,8,11,-182.0,14,1585,8,679,8,123,6,BKN,1610612751,Brooklyn Nets,272.0,12,203120,"Hamilton, Justin",8,0.216,6,4
