,AVG_DRIB_PER_TOUCH,AVG_SEC_PER_TOUCH,ELBOW_TOUCHES,FRONT_CT_TOUCHES,GP,L,MIN,PAINT_TOUCHES,PLAYER_ID,PLAYER_NAME,POINTS,POST_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_PAINT_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_TOUCH,TEAM_ABBREVIATION,TEAM_ID,TIME_OF_POSS,TOUCHES,W
0,0.35,1.58,4,53,17,14,77.0,6,1627773,AJ Hammons,24,11,0.0,0.667,0.364,0.312,DAL,1610612742,2.0,77,3
1,6.29,5.6,4,996,36,16,531.0,2,201166,Aaron Brooks,203,4,0.5,0.0,0.5,0.182,IND,1610612754,104.3,1118,20
2,1.5,2.17,35,1300,43,26,1172.0,53,203932,Aaron Gordon,491,77,0.314,1.321,0.935,0.321,ORL,1610612753,55.4,1530,17
3,2.16,2.93,3,25,5,3,17.0,0,1626151,Aaron Harrison,1,1,0.0,0.0,0.0,0.036,CHA,1610612766,1.4,28,2
4,0.53,1.54,13,103,10,7,88.0,11,203940,Adreian Payne,48,11,0.615,0.545,0.545,0.259,MIN,1610612750,4.7,185,3
5,0.74,1.65,103,1517,31,10,1023.0,80,201143,Al Horford,477,110,0.155,0.838,0.745,0.222,BOS,1610612738,59.2,2152,21
6,0.49,1.88,101,612,39,18,589.0,71,2744,Al Jefferson,317,98,0.287,1.38,1.102,0.323,IND,1610612754,30.7,982,21
7,0.97,1.62,28,536,25,14,697.0,27,202329,Al-Farouq Aminu,180,28,0.214,0.593,0.786,0.175,POR,1610612757,27.8,1028,11
8,1.07,1.98,2,131,16,6,184.0,2,101187,Alan Anderson,49,3,0.0,1.0,1.333,0.257,LAC,1610612746,6.3,191,10
9,0.41,1.15,12,83,15,13,115.0,12,1626210,Alan Williams,47,14,0.083,0.917,0.929,0.29,PHX,1610612756,3.1,162,2
10,2.51,3.04,0,57,7,2,45.0,1,202692,Alec Burks,18,1,0.0,0.0,0.0,0.273,UTA,1610612762,3.3,66,5
11,0.82,1.51,17,467,36,17,512.0,3,203518,Alex Abrines,204,5,0.353,0.0,0.4,0.321,OKC,1610612760,16.0,636,19
12,0.27,1.19,84,565,37,26,795.0,133,203458,Alex Len,303,160,0.333,0.917,0.838,0.264,PHX,1610612756,22.7,1148,11
13,0.23,1.12,34,230,21,15,297.0,29,201582,Alexis Ajinca,90,36,0.294,0.966,0.944,0.176,NOP,1610612740,9.5,511,6
14,0.58,1.39,40,1061,43,25,1260.0,24,203459,Allen Crabbe,462,34,0.625,0.75,0.676,0.315,POR,1610612757,33.8,1465,18
15,1.25,1.53,3,74,13,9,89.0,5,202087,Alonzo Gee,11,5,0.0,0.4,0.4,0.115,DEN,1610612743,2.4,96,4
16,0.47,1.37,60,789,40,15,814.0,104,101161,Amir Johnson,252,123,0.1,1.019,0.943,0.201,BOS,1610612738,28.7,1256,25
17,0.74,1.69,13,85,10,2,68.0,6,2760,Anderson Varejao,13,8,0.308,0.667,0.375,0.087,GSW,1610612744,4.2,149,8
18,0.6,1.64,89,1027,41,23,1270.0,277,203083,Andre Drummond,605,307,0.213,0.989,0.977,0.313,DET,1610612765,52.8,1934,18
19,1.82,2.57,46,1110,40,5,1002.0,53,2738,Andre Iguodala,236,75,0.13,0.642,0.773,0.167,GSW,1610612744,60.5,1411,35
20,0.47,1.24,22,942,43,18,1330.0,52,203460,Andre Roberson,290,68,0.136,0.942,0.882,0.199,OKC,1610612760,30.1,1455,25
21,0.48,1.58,94,453,22,16,518.0,45,101106,Andrew Bogut,67,48,0.043,0.622,0.583,0.076,DAL,1610612742,23.1,880,6
22,5.05,5.01,32,1946,40,17,1001.0,14,1626150,Andrew Harrison,280,18,0.156,0.643,0.389,0.127,MEM,1610612763,184.3,2208,23
23,0.42,1.51,23,181,25,10,221.0,20,203094,Andrew Nicholson,69,26,0.261,0.9,0.962,0.211,WAS,1610612764,8.2,327,15
24,2.22,3.26,86,1811,41,27,1511.0,65,203952,Andrew Wiggins,897,99,0.523,1.0,0.768,0.422,MIN,1610612750,115.3,2124,14
25,0.42,1.14,6,185,20,17,213.0,19,203461,Anthony Bennett,91,23,0.333,0.895,0.913,0.257,BKN,1610612751,6.7,354,3
26,1.26,1.94,1,125,9,6,143.0,3,1626148,Anthony Brown,34,3,0.0,0.667,0.667,0.2,NOP,1610612740,5.5,170,3
27,0.8,1.77,265,1920,39,24,1434.0,137,203076,Anthony Davis,1130,142,0.57,1.015,1.028,0.376,NOP,1610612740,89.0,3009,15
28,0.77,1.46,9,362,30,13,468.0,2,201627,Anthony Morrow,170,5,1.444,0.0,0.8,0.415,OKC,1610612760,10.0,410,17
29,0.25,1.25,87,512,28,16,599.0,27,201229,Anthony Tolliver,189,28,0.046,0.963,0.929,0.21,SAC,1610612758,18.8,902,12
30,3.08,3.45,2,34,3,2,30.0,0,203462,Archie Goodwin,15,1,0.0,0.0,0.0,0.395,NOP,1610612740,2.2,38,1
31,0.34,1.6,7,35,8,5,28.0,3,202620,Arinze Onuaku,4,7,0.286,0.0,0.0,0.073,ORL,1610612753,1.5,55,3
