,AVG_DRIB_PER_TOUCH,AVG_SEC_PER_TOUCH,ELBOW_TOUCHES,FRONT_CT_TOUCHES,GP,L,MIN,PAINT_TOUCHES,PLAYER_ID,PLAYER_NAME,POINTS,POST_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_PAINT_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_TOUCH,TEAM_ABBREVIATION,TEAM_ID,TIME_OF_POSS,TOUCHES,W
0,4.94,4.87,4,207,28,13,99.0,0,201985,A.J. Price,44,3,0.5,0.0,0.667,0.18,MIN,1610612750,19.9,245,15
1,5.16,4.77,10,2478,72,30,1557.0,19,201166,Aaron Brooks,645,19,0.2,0.421,0.421,0.224,DEN,1610612743,228.7,2877,42
2,0.36,1.44,61,261,36,25,348.0,29,201189,Aaron Gray,61,35,0.098,0.828,0.743,0.114,SAC,1610612758,12.9,535,11
3,1.1,1.65,0,32,6,4,38.0,1,203519,Adonis Thomas,14,1,0.0,2.0,2.0,0.359,PHI,1610612755,1.1,39,2
4,0.55,1.25,25,490,33,13,497.0,19,1733,Al Harrington,217,21,0.2,0.684,0.857,0.264,WAS,1610612764,17.1,823,20
5,0.41,1.53,192,1200,29,13,958.0,141,201143,Al Horford,538,165,0.385,0.844,0.885,0.289,ATL,1610612737,47.5,1863,16
6,0.48,2.03,407,2707,72,35,2517.0,379,2744,Al Jefferson,1568,649,0.403,0.913,0.831,0.393,CHA,1610612766,134.8,3993,37
7,0.93,1.64,123,1784,80,47,2045.0,111,202329,Al-Farouq Aminu,572,131,0.301,1.018,0.954,0.218,NOP,1610612740,71.9,2628,33
8,1.74,2.48,32,1565,77,35,1745.0,24,101187,Alan Anderson,549,36,0.25,0.917,0.556,0.264,BKN,1610612751,86.0,2078,42
9,2.7,3.14,166,3638,78,54,2193.0,46,202692,Alec Burks,1089,45,0.289,1.478,1.244,0.257,UTA,1610612762,221.6,4232,24
10,0.3,1.21,32,219,42,18,362.0,41,203458,Alex Len,86,56,0.063,0.854,0.75,0.163,PHX,1610612756,10.6,526,24
11,3.27,3.56,10,850,63,35,664.0,4,203144,Alexey Shved,250,7,0.0,0.25,0.429,0.241,MIN,1610612750,61.5,1037,28
12,0.33,1.38,161,694,56,34,951.0,125,201582,Alexis Ajinca,328,146,0.193,1.12,0.952,0.215,NOP,1610612740,35.2,1526,22
13,0.76,1.54,3,102,15,3,100.0,5,203459,Allen Crabbe,33,4,0.667,0.4,0.0,0.254,POR,1610612757,3.3,130,12
14,1.18,1.7,12,1076,65,36,1020.0,28,202087,Alonzo Gee,258,48,0.5,0.929,0.667,0.19,CLE,1610612739,38.4,1359,29
15,0.48,1.77,193,1192,65,39,1466.0,110,2405,Amar'e Stoudemire,772,158,0.549,1.091,1.038,0.389,NYK,1610612752,58.6,1986,26
16,0.37,1.19,269,2142,76,34,2181.0,241,101161,Amir Johnson,788,250,0.279,1.0,1.004,0.215,TOR,1610612761,72.5,3663,42
17,0.43,1.45,474,1751,65,40,1800.0,183,2760,Anderson Varejao,546,198,0.211,0.634,0.657,0.157,CLE,1610612739,84.1,3479,25
18,0.71,1.76,285,1785,72,33,1591.0,167,101154,Andray Blatche,801,202,0.189,0.874,0.871,0.282,BKN,1610612751,83.5,2843,39
