,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL,PP36,TSA,TS
0,7,0,6,0,0,0.0,21,10,0.476,8,6,0.75,"DEC 18, 2016",0021600406,LAC @ WAS,38,1,1,-5,26,201933,7,22016,1,2,1,L,24.6315789474,24.52,0.530179445351
1,4,0,6,0,0,0.0,15,9,0.6,2,2,1.0,"DEC 16, 2016",0021600397,LAC @ MIA,38,2,3,-2,20,201933,8,22016,1,5,1,W,18.9473684211,15.88,0.629722921914
2,3,0,6,0,0,0.0,14,9,0.643,7,5,0.714,"DEC 14, 2016",0021600376,LAC @ ORL,33,1,4,-1,23,201933,7,22016,0,4,1,W,25.0909090909,17.08,0.673302107728
3,6,1,8,0,0,0.0,25,12,0.48,3,2,0.667,"DEC 12, 2016",0021600366,LAC vs. POR,40,4,3,1,26,201933,12,22016,0,5,1,W,23.4,26.32,0.493920972644
4,2,0,5,1,0,0.0,20,5,0.25,4,2,0.5,"DEC 07, 2016",0021600330,LAC vs. GSW,31,4,4,-12,12,201933,9,22016,1,7,1,L,13.935483871,21.76,0.275735294118
5,5,2,12,0,0,0.0,21,10,0.476,7,4,0.571,"DEC 04, 2016",0021600303,LAC vs. IND,34,4,3,9,24,201933,16,22016,1,3,1,L,25.4117647059,24.08,0.498338870432
6,4,0,8,2,1,0.5,22,12,0.545,3,2,0.667,"DEC 02, 2016",0021600287,LAC @ NOP,34,1,4,25,27,201933,9,22016,0,2,1,W,28.5882352941,23.32,0.578902229846
7,11,0,3,1,0,0.0,14,4,0.286,8,5,0.625,"DEC 01, 2016",0021600279,LAC @ CLE,31,2,0,19,13,201933,5,22016,1,3,1,W,15.0967741935,17.52,0.37100456621
8,3,0,6,1,0,0.0,15,6,0.4,4,4,1.0,"NOV 27, 2016",0021600249,LAC @ IND,34,3,1,-14,16,201933,9,22016,0,3,1,L,16.9411764706,16.76,0.477326968974
9,5,1,1,1,1,1.0,17,9,0.529,8,5,0.625,"NOV 25, 2016",0021600230,LAC @ DET,36,2,0,-9,24,201933,3,22016,1,1,1,L,24.0,20.52,0.584795321637
10,7,0,6,1,1,1.0,10,4,0.4,6,3,0.5,"NOV 23, 2016",0021600220,LAC @ DAL,26,0,2,14,12,201933,6,22016,2,4,1,W,16.6153846154,12.64,0.474683544304
11,7,1,6,0,0,0.0,17,10,0.588,8,6,0.75,"NOV 21, 2016",0021600207,LAC vs. TOR,36,1,5,9,26,201933,7,22016,1,0,1,W,26.0,20.52,0.633528265107
12,5,0,11,0,0,0.0,15,8,0.533,10,10,1.0,"NOV 19, 2016",0021600192,LAC vs. CHI,39,2,3,13,26,201933,13,22016,1,3,1,W,24.0,19.4,0.670103092784
13,6,1,5,1,0,0.0,15,7,0.467,16,15,0.938,"NOV 18, 2016",0021600183,LAC @ SAC,37,2,4,9,29,201933,7,22016,2,2,1,W,28.2162162162,22.04,0.657894736842
14,3,2,7,1,0,0.0,15,8,0.533,12,9,0.75,"NOV 16, 2016",0021600167,LAC vs. MEM,38,1,2,8,25,201933,8,22016,1,0,1,L,23.6842105263,20.28,0.616370808679
15,6,0,5,1,0,0.0,15,9,0.6,3,2,0.667,"NOV 14, 2016",0021600152,LAC vs. BKN,26,1,3,39,20,201933,6,22016,2,1,1,W,27.6923076923,16.32,0.612745098039
16,4,1,10,0,0,0.0,17,7,0.412,8,6,0.75,"NOV 12, 2016",0021600135,LAC @ MIN,37,1,3,27,20,201933,11,22016,0,2,1,W,19.4594594595,20.52,0.487329434698
17,3,0,4,1,0,0.0,20,10,0.5,7,5,0.714,"NOV 11, 2016",0021600126,LAC @ OKC,36,2,1,6,25,201933,6,22016,2,3,1,W,25.0,23.08,0.541594454073
18,5,1,9,1,0,0.0,14,7,0.5,10,8,0.8,"NOV 09, 2016",0021600115,LAC vs. POR,26,4,0,34,22,201933,13,22016,2,0,1,W,30.4615384615,18.4,0.597826086957
19,9,0,9,1,0,0.0,11,5,0.455,4,3,0.75,"NOV 07, 2016",0021600098,LAC vs. DET,28,1,2,27,13,201933,10,22016,0,1,1,W,16.7142857143,12.76,0.509404388715
20,3,0,4,2,0,0.0,19,13,0.684,3,2,0.667,"NOV 05, 2016",0021600086,LAC @ SAS,29,1,2,24,28,201933,5,22016,1,0,1,W,34.7586206897,20.32,0.688976377953
21,2,0,8,0,0,0.0,13,5,0.385,6,4,0.667,"NOV 04, 2016",0021600074,LAC @ MEM,36,2,3,8,14,201933,10,22016,1,2,1,W,14.0,15.64,0.447570332481
22,5,1,6,2,0,0.0,21,7,0.333,3,0,0.0,"NOV 02, 2016",0021600064,LAC vs. OKC,34,3,4,-5,14,201933,9,22016,2,2,1,L,14.8235294118,22.32,0.313620071685
23,5,1,11,1,1,1.0,7,4,0.571,14,12,0.857,"OCT 31, 2016",0021600045,LAC vs. PHX,32,0,5,18,21,201933,11,22016,0,5,1,W,23.625,13.16,0.797872340426
24,1,0,7,1,0,0.0,14,7,0.5,6,4,0.667,"OCT 30, 2016",0021600035,LAC vs. UTA,30,3,2,12,18,201933,10,22016,1,2,1,W,21.6,16.64,0.540865384615
25,2,1,8,3,1,0.333,22,9,0.409,9,8,0.889,"OCT 27, 2016",0021600017,LAC @ POR,37,5,5,-10,27,201933,13,22016,3,1,1,W,26.2702702703,25.96,0.520030816641
