,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL,PP36,TSA,TS
0,1,0,2,5,1,0.2,14,6,0.429,3,3,1.0,"MAR 20, 2017",0021601050,NYK @ LAC,25,2,3,-14,16,2546,4,22016,0,0,1,L,23.04,15.32,52.21932114882506
1,5,1,6,6,0,0.0,18,6,0.333,5,5,1.0,"MAR 16, 2017",0021601016,NYK vs. BKN,37,0,5,-10,17,2546,6,22016,1,1,1,L,16.54054054054054,20.2,42.079207920792086
2,1,0,13,6,3,0.5,17,8,0.471,5,3,0.6,"MAR 14, 2017",0021601001,NYK vs. IND,41,0,0,9,22,2546,13,22016,1,2,1,W,19.31707317073171,19.2,57.29166666666667
3,3,1,6,5,1,0.2,26,10,0.385,7,6,0.857,"MAR 12, 2017",0021600986,NYK @ BKN,37,1,2,-3,27,2546,7,22016,0,3,1,L,26.27027027027027,29.08,46.423658872077034
4,4,0,1,6,3,0.5,9,4,0.444,2,2,1.0,"MAR 11, 2017",0021600975,NYK @ DET,36,0,1,-21,13,2546,1,22016,0,2,1,L,13.0,9.88,65.78947368421052
5,3,0,2,5,2,0.4,13,6,0.462,3,2,0.667,"MAR 08, 2017",0021600952,NYK @ MIL,40,2,5,-9,16,2546,4,22016,1,2,1,L,14.4,14.32,55.865921787709496
6,2,2,4,4,1,0.25,12,6,0.5,2,2,1.0,"MAR 05, 2017",0021600928,NYK vs. GSW,35,2,1,-9,15,2546,6,22016,0,2,1,L,15.428571428571427,12.88,58.22981366459628
7,2,2,5,5,2,0.4,18,5,0.278,6,6,1.0,"MAR 03, 2017",0021600909,NYK @ PHI,36,1,3,5,18,2546,6,22016,2,2,1,L,18.0,20.64,43.604651162790695
8,2,0,8,7,2,0.286,16,4,0.25,8,7,0.875,"MAR 01, 2017",0021600895,NYK @ ORL,39,0,2,18,17,2546,8,22016,2,2,1,W,15.692307692307693,19.52,43.545081967213115
9,2,0,3,9,2,0.222,26,9,0.346,4,4,1.0,"FEB 27, 2017",0021600882,NYK vs. TOR,39,1,1,7,24,2546,4,22016,1,3,1,L,22.153846153846153,27.76,43.22766570605187
10,2,1,5,7,2,0.286,25,15,0.6,7,5,0.714,"FEB 25, 2017",0021600868,NYK vs. PHI,37,1,4,3,37,2546,6,22016,0,3,1,W,36.0,28.08,65.88319088319089
11,6,0,4,8,2,0.25,25,9,0.36,0,0,0.0,"FEB 23, 2017",0021600853,NYK @ CLE,40,1,3,-11,20,2546,5,22016,0,5,1,L,18.0,25.0,40.0
12,4,2,4,7,6,0.857,20,11,0.55,2,2,1.0,"FEB 15, 2017",0021600845,NYK @ OKC,39,0,4,-8,30,2546,4,22016,1,4,1,L,27.692307692307693,20.88,71.83908045977012
13,2,0,6,5,3,0.6,21,9,0.429,6,4,0.667,"FEB 12, 2017",0021600817,NYK vs. SAS,40,1,2,4,25,2546,7,22016,0,4,1,W,22.5,23.64,52.87648054145516
14,4,0,5,10,6,0.6,20,13,0.65,2,1,0.5,"FEB 10, 2017",0021600800,NYK vs. DEN,35,1,2,-13,33,2546,6,22016,2,2,1,L,33.94285714285714,20.88,79.02298850574712
15,1,2,7,7,3,0.429,20,10,0.5,6,5,0.833,"FEB 08, 2017",0021600791,NYK vs. LAC,37,2,5,-5,28,2546,9,22016,1,1,1,L,27.243243243243246,22.64,61.83745583038869
16,5,0,3,2,0,0.0,17,10,0.588,8,6,0.75,"FEB 06, 2017",0021600768,NYK vs. LAL,37,0,3,-9,26,2546,3,22016,1,4,1,L,25.2972972972973,20.52,63.35282651072125
17,2,1,4,6,1,0.167,20,6,0.3,5,4,0.8,"FEB 04, 2017",0021600759,NYK vs. CLE,35,2,4,-18,17,2546,6,22016,2,2,1,L,17.485714285714284,22.2,38.28828828828829
18,0,0,1,6,1,0.167,22,6,0.273,3,2,0.667,"FEB 01, 2017",0021600733,NYK @ BKN,27,2,1,-15,15,2546,3,22016,1,3,1,W,20.0,23.32,32.16123499142367
19,0,0,4,3,1,0.333,17,10,0.588,5,5,1.0,"JAN 31, 2017",0021600724,NYK @ WAS,32,1,1,-12,26,2546,5,22016,0,1,1,L,29.25,19.2,67.70833333333334
20,4,1,6,9,3,0.333,36,18,0.5,7,6,0.857,"JAN 29, 2017",0021600711,NYK @ ATL,46,0,6,-3,45,2546,6,22016,0,3,1,L,35.21739130434783,39.08,57.574206755373595
21,0,1,11,7,1,0.143,26,8,0.308,3,1,0.333,"JAN 27, 2017",0021600699,NYK vs. CHA,35,0,0,0,18,2546,11,22016,0,0,1,W,18.514285714285712,27.32,32.942898975109806
22,3,0,7,7,3,0.429,24,13,0.542,2,1,0.5,"JAN 25, 2017",0021600688,NYK @ DAL,39,1,3,-15,30,2546,8,22016,0,7,1,L,27.692307692307693,24.88,60.28938906752411
23,2,1,4,3,1,0.333,17,9,0.529,8,7,0.875,"JAN 23, 2017",0021600672,NYK @ IND,34,1,4,-1,26,2546,5,22016,0,4,1,W,27.52941176470588,20.52,63.35282651072125
24,6,0,6,6,5,0.833,17,9,0.529,10,8,0.8,"JAN 21, 2017",0021600654,NYK vs. PHX,41,1,2,3,31,2546,7,22016,1,3,1,L,27.21951219512195,21.4,72.42990654205607
25,2,0,9,7,3,0.429,27,13,0.481,7,5,0.714,"JAN 19, 2017",0021600638,NYK vs. WAS,35,1,2,1,34,2546,10,22016,1,1,1,L,34.97142857142857,30.08,56.51595744680852
26,3,1,3,9,3,0.333,14,5,0.357,0,0,0.0,"JAN 18, 2017",0021600630,NYK @ BOS,33,1,2,-1,13,2546,4,22016,0,1,1,W,14.181818181818182,14.0,46.42857142857143
