,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
0,0,12,0,0020000122,,,12:00,1,0,0,0,0,,,,,,0,,,,,,0,,,,,,,,,1:11 PM
1,0,10,1,0020000122,Jump Ball McDyess vs. Ruffin: Tip to Davis,,12:00,1,4,5,4,686,Antonio McDyess,DEN,Denver,1610612743.0,Nuggets,1913,Michael Ruffin,CHI,Chicago,1610612741.0,Bulls,426,Terry Davis,DEN,Denver,1610612743.0,Nuggets,,,,1:11 PM
2,1,1,2,0020000122,McDyess 17' Jump Shot (2 PTS) (Posey 1 AST),,11:46,1,4,4,0,686,Antonio McDyess,DEN,Denver,1610612743.0,Nuggets,1899,James Posey,DEN,Denver,1610612743.0,Nuggets,0,,,,,,0 - 2,2,,1:12 PM
3,1,2,3,0020000122,,,11:27,1,5,0,0,1882,Elton Brand,CHI,Chicago,1610612741.0,Bulls,0,,,,,,0,,,,,,,,MISS Brand 11' Jump Shot,1:12 PM
4,0,4,4,0020000122,Posey REBOUND (Off:0 Def:1),,11:25,1,4,0,0,1899,James Posey,DEN,Denver,1610612743.0,Nuggets,0,,,,,,0,,,,,,,,,1:12 PM
5,2,6,5,0020000122,,,11:22,1,5,0,1,1897,Metta World Peace,CHI,Chicago,1610612741.0,Bulls,0,,,,,,0,,,,,,,,World Peace S.FOUL (P1.T1),1:12 PM
6,11,3,6,0020000122,Van Exel Free Throw 1 of 2 (1 PTS),,11:22,1,4,0,0,89,Nick Van Exel,DEN,Denver,1610612743.0,Nuggets,0,,,,,,0,,,,,,0 - 3,3,,1:12 PM
7,12,3,7,0020000122,Van Exel Free Throw 2 of 2 (2 PTS),,11:22,1,4,0,0,89,Nick Van Exel,DEN,Denver,1610612743.0,Nuggets,0,,,,,,0,,,,,,0 - 4,4,,1:13 PM
8,1,1,8,0020000122,,,11:00,1,5,5,0,1897,Metta World Peace,CHI,Chicago,1610612741.0,Bulls,1500,Ron Mercer,CHI,Chicago,1610612741.0,Bulls,0,,,,,,2 - 4,2,World Peace 17' Jump Shot (2 PTS) (Mercer 1 AST),1:13 PM
9,5,2,9,0020000122,MISS Davis  Layup,,10:45,1,4,0,5,426,Terry Davis,DEN,Denver,1610612743.0,Nuggets,0,,,,,,1882,Elton Brand,CHI,Chicago,1610612741.0,Bulls,,,Brand BLOCK (1 BLK),1:13 PM
10,0,4,10,0020000122,Posey REBOUND (Off:1 Def:1),,10:41,1,4,0,0,1899,James Posey,DEN,Denver,1610612743.0,Nuggets,0,,,,,,0,,,,,,,,,1:13 PM
11,46,1,11,0020000122,Posey 5' Running Jump Shot (2 PTS),,10:38,1,4,0,0,1899,James Posey,DEN,Denver,1610612743.0,Nuggets,0,,,,,,0,,,,,,2 - 6,4,,1:13 PM
12,1,6,12,0020000122,Posey P.FOUL (P1.T1),,10:25,1,4,0,1,1899,James Posey,DEN,Denver,1610612743.0,Nuggets,0,,,,,,0,,,,,,,,,1:14 PM
13,1,2,13,0020000122,,,10:15,1,5,0,0,1500,Ron Mercer,CHI,Chicago,1610612741.0,Bulls,0,,,,,,0,,,,,,,,MISS Mercer 19' Jump Shot,1:14 PM
14,0,4,14,0020000122,NUGGETS Rebound,,10:15,1,2,0,0,1610612743,,,,,,0,,,,,,0,,,,,,,,,1:14 PM
15,3,6,15,0020000122,,,10:15,1,5,0,1,1913,Michael Ruffin,CHI,Chicago,1610612741.0,Bulls,0,,,,,,0,,,,,,,,Ruffin L.B.FOUL (P1.T2),1:14 PM
16,8,2,16,0020000122,MISS McDyess  Slam Dunk,,10:05,1,4,0,0,686,Antonio McDyess,DEN,Denver,1610612743.0,Nuggets,0,,,,,,0,,,,,,,,,1:14 PM
17,0,4,17,0020000122,Posey REBOUND (Off:2 Def:1),,10:00,1,4,0,0,1899,James Posey,DEN,Denver,1610612743.0,Nuggets,0,,,,,,0,,,,,,,,,1:15 PM
18,2,6,18,0020000122,,,9:57,1,5,0,1,2062,A.J. Guyton,CHI,Chicago,1610612741.0,Bulls,0,,,,,,0,,,,,,,,Guyton S.FOUL (P1.T3),1:15 PM
19,11,3,19,0020000122,MISS Van Exel Free Throw 1 of 2,,9:57,1,4,0,0,89,Nick Van Exel,DEN,Denver,1610612743.0,Nuggets,0,,,,,,0,,,,,,,,,1:15 PM
20,1,4,20,0020000122,NUGGETS Rebound,,9:57,1,2,0,0,1610612743,,,,,,0,,,,,,0,,,,,,,,,1:15 PM
21,12,3,21,0020000122,Van Exel Free Throw 2 of 2 (3 PTS),,9:57,1,4,0,0,89,Nick Van Exel,DEN,Denver,1610612743.0,Nuggets,0,,,,,,0,,,,,,2 - 7,5,,1:15 PM
