,AGE,AST_PCT,AST_RATIO,AST_TO,CFID,CFPARAMS,DEF_RATING,DREB_PCT,EFG_PCT,FGA,FGA_PG,FGM,FGM_PG,FG_PCT,GP,L,MIN,NET_RATING,OFF_RATING,OREB_PCT,PACE,PIE,PLAYER_ID,PLAYER_NAME,REB_PCT,TEAM_ABBREVIATION,TEAM_ID,TM_TOV_PCT,TS_PCT,USG_PCT,W,W_PCT
253,36.0,0.107,10.0,0.78,5,"788,1610612761",99.6,0.231,0.418,447,10.6,187,4.5,0.418,42,24,29.0,-3.6,95.9,0.102,90.28,0.116,788,Kevin Willis,0.165,TOR,1610612761,12.9,0.489,0.228,18,0.429
254,26.0,0.18,24.4,1.57,5,"234,1610612765",96.9,0.047,0.405,21,1.9,8,0.7,0.381,11,5,10.1,0.3,97.2,0.027,89.72,0.025,234,Khalid Reeves,0.036,DET,1610612765,15.5,0.46,0.137,6,0.545
255,20.0,0.176,15.1,1.21,5,"977,1610612747",101.4,0.128,0.482,779,15.6,362,7.2,0.465,50,19,37.9,2.8,104.1,0.033,94.25,0.131,977,Kobe Bryant,0.081,LAL,1610612747,12.5,0.549,0.254,31,0.62
256,20.0,0.125,7.8,1.0,5,"1748,1610612765",70.1,0.154,0.55,10,3.3,5,1.7,0.5,3,3,5.3,26.9,97.1,0.143,88.95,0.203,1748,Korleone Young,0.148,DET,1610612765,7.8,0.597,0.341,0,0.0
257,27.0,0.087,10.5,0.83,5,"1600,1610612741",102.1,0.142,0.449,243,4.9,109,2.2,0.449,50,37,18.0,-15.2,86.9,0.088,92.46,0.092,1600,Kornel David,0.114,CHI,1610612741,12.6,0.528,0.175,13,0.26
258,26.0,0.091,10.1,0.75,5,"703,1610612752",92.1,0.199,0.462,368,7.4,170,3.4,0.462,50,23,23.6,-0.6,91.5,0.087,89.66,0.094,703,Kurt Thomas,0.145,NYK,1610612752,13.4,0.489,0.2,27,0.54
259,29.0,0.065,6.7,0.53,5,"111,1610612737",93.1,0.18,0.424,190,9.5,80,4.0,0.421,20,9,27.0,1.2,94.4,0.053,90.56,0.088,111,LaPhonso Ellis,0.116,ATL,1610612737,12.6,0.47,0.216,11,0.55
260,26.0,0.089,7.6,0.62,5,"441,1610612746",108.1,0.13,0.42,578,11.6,226,4.5,0.391,50,41,26.3,-13.3,94.8,0.049,92.77,0.086,441,Lamond Murray,0.087,LAC,1610612746,12.3,0.473,0.254,9,0.18
261,20.0,0.15,12.3,1.13,5,"1716,1610612755",96.1,0.126,0.42,414,8.3,170,3.4,0.411,50,22,19.8,1.1,97.2,0.093,93.01,0.109,1716,Larry Hughes,0.109,PHI,1610612755,10.9,0.474,0.246,28,0.56
262,30.0,0.135,16.1,1.34,5,"913,1610612752",92.8,0.131,0.495,458,9.3,210,4.3,0.459,49,23,33.5,4.0,96.8,0.07,89.32,0.11,913,Larry Johnson,0.102,NYK,1610612752,12.1,0.554,0.182,26,0.531
263,28.0,0.148,11.8,1.15,5,"84,1610612752",100.9,0.11,0.435,518,14.0,215,5.8,0.415,37,19,33.4,-1.5,99.4,0.04,88.95,0.12,84,Latrell Sprewell,0.076,NYK,1610612752,10.2,0.503,0.263,18,0.486
264,28.0,0.057,6.9,0.58,5,"1444,1610612758",104.2,0.147,0.56,299,6.4,167,3.6,0.559,47,22,19.9,-5.8,98.4,0.119,96.34,0.119,1444,Lawrence Funderburke,0.133,SAC,1610612758,12.0,0.597,0.189,25,0.532
265,29.0,0.28,41.7,2.09,5,"195,1610612763",102.9,0.027,0.421,19,2.1,7,0.8,0.368,9,9,14.1,-10.1,92.8,0.0,94.47,0.049,195,Lee Mayberry,0.014,VAN,1610612763,19.9,0.472,0.115,0,0.0
266,28.0,0.191,22.8,2.1,5,"283,1610612765",98.0,0.1,0.491,524,10.7,228,4.7,0.435,49,20,35.8,5.0,103.0,0.018,88.01,0.096,283,Lindsey Hunter,0.059,DET,1610612765,10.8,0.517,0.179,29,0.592
267,29.0,0.0,0.0,0.0,5,"1036,1610612739",108.7,0.0,0.0,1,1.0,0,0.0,0.0,1,1,1.7,-42.0,66.7,0.0,83.78,-0.667,1036,Litterial Green,0.0,CLE,1610612739,0.0,0.0,0.333,0,0.0
268,26.0,0.026,3.0,0.25,5,"684,1610612743",95.6,0.148,0.268,28,2.0,7,0.5,0.25,14,10,5.0,-4.3,91.4,0.059,98.68,-0.1,684,Loren Meyer,0.107,DEN,1610612743,11.8,0.277,0.195,4,0.286
269,23.0,0.049,8.4,0.69,5,"953,1610612746",105.5,0.237,0.458,260,5.4,119,2.5,0.458,48,39,23.6,-8.0,97.5,0.141,92.03,0.094,953,Lorenzen Wright,0.187,LAC,1610612746,12.2,0.512,0.143,9,0.188
270,31.0,0.043,5.8,0.65,5,"919,1610612765",95.1,0.259,0.381,155,4.2,59,1.6,0.381,37,16,13.0,-0.6,94.6,0.09,87.57,0.087,919,Loy Vaught,0.177,DET,1610612765,9.0,0.394,0.181,21,0.568
271,30.0,0.082,10.7,0.85,5,"26,1610612756",96.7,0.202,0.483,290,7.4,140,3.6,0.483,39,20,23.9,4.8,101.5,0.072,92.41,0.091,26,Luc Longley,0.136,PHX,1610612756,12.6,0.524,0.188,19,0.487
272,28.0,0.091,12.3,1.72,5,"446,1610612751",97.2,0.089,0.434,181,5.0,73,2.0,0.403,36,23,16.7,4.9,102.1,0.039,92.48,0.066,446,Lucious Harris,0.064,NJN,1610612751,7.2,0.477,0.167,13,0.361
273,25.0,0.05,12.9,1.0,5,"1823,1610612763",123.5,0.133,0.25,4,1.0,1,0.3,0.25,4,4,6.7,-15.7,107.8,0.13,86.69,-0.049,1823,Makhtar N'Diaye,0.132,VAN,1610612763,12.9,0.434,0.111,0,0.0
274,24.0,0.091,8.3,0.52,5,"990,1610612759",93.9,0.167,0.463,201,4.3,93,2.0,0.463,47,11,12.9,7.0,100.9,0.174,91.21,0.107,990,Malik Rose,0.17,SAS,1610612759,16.0,0.535,0.24,36,0.766
275,29.0,0.084,11.0,1.09,5,"907,1610612750",97.0,0.112,0.424,231,7.5,95,3.1,0.411,31,16,23.6,-2.9,94.1,0.032,93.88,0.075,907,Malik Sealy,0.069,MIN,1610612750,10.1,0.487,0.176,15,0.484
276,25.0,0.025,3.4,0.31,5,"948,1610612752",98.1,0.19,0.521,261,5.7,136,3.0,0.521,46,19,20.6,0.6,98.7,0.136,87.38,0.111,948,Marcus Camby,0.164,NYK,1610612752,10.9,0.537,0.181,27,0.587
277,25.0,0.0,0.0,0.0,5,"712,1610612741",105.8,0.2,0.333,6,2.0,2,0.7,0.333,3,2,6.2,-33.1,72.7,0.083,95.37,0.05,712,Mario Bennett,0.128,CHI,1610612741,11.4,0.451,0.192,1,0.333
278,35.0,0.112,16.7,1.46,5,"53,1610612759",93.1,0.082,0.532,331,7.0,156,3.3,0.471,47,13,27.5,10.1,103.2,0.034,90.83,0.098,53,Mario Elie,0.06,SAS,1610612759,11.4,0.593,0.161,34,0.723
279,29.0,0.0,0.0,0.0,5,"1858,1610612761",104.2,0.0,0.0,1,1.0,0,0.0,0.0,1,1,1.6,-64.2,40.0,0.0,119.44,4.0,1858,Mark Baker,0.0,TOR,1610612761,50.0,0.0,0.4,0,0.0
280,34.0,0.085,9.4,0.71,5,"95,1610612741",100.9,0.148,0.483,348,7.7,168,3.7,0.483,45,33,26.8,-12.8,88.0,0.088,89.39,0.079,95,Mark Bryant,0.116,CHI,1610612741,13.3,0.513,0.184,12,0.267
281,26.0,0.059,6.0,0.14,5,"707,1610612748",103.9,0.125,0.333,6,1.5,2,0.5,0.333,4,2,8.8,-4.4,99.5,0.065,94.14,-0.077,707,Mark Davis,0.099,MIA,1610612748,42.1,0.521,0.205,2,0.5
282,25.0,0.053,9.4,0.87,5,"971,1610612751",106.7,0.128,0.443,88,4.0,39,1.8,0.443,22,12,18.1,-3.7,103.1,0.077,92.69,0.069,971,Mark Hendrickson,0.101,NJN,1610612751,10.9,0.545,0.143,10,0.455
283,34.0,0.423,45.5,3.9,5,"349,1610612754",101.2,0.121,0.468,329,6.7,138,2.8,0.419,49,17,28.2,6.8,108.0,0.029,89.31,0.136,349,Mark Jackson,0.077,IND,1610612754,11.7,0.513,0.159,32,0.653
284,30.0,0.078,13.3,0.67,5,"1855,1610612765",91.9,0.036,0.225,20,2.9,4,0.6,0.2,7,5,10.0,6.4,98.3,0.048,94.99,-0.032,1855,Mark Macon,0.042,DET,1610612765,20.0,0.225,0.165,2,0.286
285,26.0,0.0,0.0,0.0,5,"998,1610612754",96.1,0.105,0.143,7,1.8,1,0.3,0.143,4,1,6.3,-6.3,89.7,0.071,89.1,-0.217,998,Mark Pope,0.085,IND,1610612754,11.8,0.134,0.143,3,0.75
286,28.0,0.048,6.7,0.69,5,"1110,1610612748",97.1,0.167,0.495,101,3.2,50,1.6,0.495,32,10,11.1,0.7,97.8,0.089,87.98,0.108,1110,Mark Strickland,0.129,MIA,1610612748,9.7,0.529,0.172,22,0.688
287,38.0,0.046,12.1,0.81,5,"770,1610612737",98.9,0.176,0.373,59,1.2,22,0.4,0.373,49,18,10.1,-6.3,92.6,0.106,88.94,0.023,770,Mark West,0.14,ATL,1610612737,14.8,0.381,0.09,31,0.633
288,22.0,0.074,7.1,0.33,5,"1527,1610612756",109.1,0.044,0.4,20,1.8,8,0.7,0.4,11,3,4.8,-19.5,89.7,0.061,92.06,0.0,1527,Marko Milic,0.053,PHX,1610612756,21.4,0.4,0.219,8,0.727
289,23.0,0.171,20.0,1.5,5,"1831,1610612738",89.1,0.088,0.353,51,2.1,15,0.6,0.294,24,15,8.5,-9.5,79.7,0.014,97.9,0.049,1831,Marlon Garnett,0.051,BOS,1610612738,13.4,0.426,0.15,9,0.375
290,31.0,0.045,5.6,0.33,5,"55,1610612748",99.1,0.125,0.231,13,1.9,3,0.4,0.231,7,2,5.0,-10.7,88.3,0.033,99.04,-0.058,55,Marty Conlon,0.081,MIA,1610612748,16.8,0.288,0.204,5,0.714
291,32.0,0.067,12.0,1.29,5,"672,1610612745",105.6,0.09,0.482,114,2.8,43,1.0,0.377,41,17,10.0,-1.6,104.0,0.026,91.84,0.054,672,Matt Bullard,0.059,HOU,1610612745,9.3,0.494,0.149,24,0.585
292,29.0,0.071,7.3,0.57,5,"761,1610612755",93.4,0.173,0.48,555,11.1,266,5.3,0.479,50,22,30.8,4.9,98.3,0.103,90.83,0.121,761,Matt Geiger,0.137,PHI,1610612755,12.8,0.532,0.217,28,0.56
293,23.0,0.072,9.0,0.62,5,"1723,1610612753",97.8,0.14,0.478,320,6.4,148,3.0,0.463,50,17,22.3,-0.3,97.5,0.09,91.59,0.082,1723,Matt Harpring,0.114,ORL,1610612753,14.6,0.533,0.184,33,0.66
294,27.0,0.159,31.0,1.5,5,"1074,1610612745",102.8,0.047,0.196,28,1.9,5,0.3,0.179,15,8,12.4,-3.6,99.2,0.012,92.44,0.017,1074,Matt Maloney,0.03,HOU,1610612745,20.6,0.32,0.112,7,0.467
295,22.0,0.087,7.0,0.56,5,"1508,1610612746",109.6,0.119,0.461,675,14.7,311,6.8,0.461,46,37,32.7,-12.2,97.4,0.075,91.94,0.075,1508,Maurice Taylor,0.096,LAC,1610612746,12.6,0.505,0.27,9,0.196
296,30.0,0.113,21.9,2.11,5,"688,1610612749",99.1,0.09,0.439,206,4.1,90,1.8,0.437,50,22,22.9,1.9,101.0,0.021,89.63,0.051,688,Michael Curry,0.057,MIL,1610612749,10.4,0.507,0.12,28,0.56
297,24.0,0.101,14.5,1.44,5,"1722,1610612745",98.8,0.039,0.542,462,9.2,215,4.3,0.465,50,19,31.1,4.4,103.2,0.021,91.61,0.063,1722,Michael Dickerson,0.031,HOU,1610612745,10.1,0.554,0.169,31,0.62
298,22.0,0.044,5.7,0.77,5,"1720,1610612753",97.2,0.13,0.468,267,5.4,125,2.6,0.468,49,17,15.9,5.5,102.7,0.097,92.05,0.07,1720,Michael Doleac,0.113,ORL,1610612753,7.5,0.503,0.186,32,0.653
299,26.0,0.193,16.8,2.04,5,"714,1610612742",102.7,0.106,0.47,876,17.5,389,7.8,0.444,50,31,41.1,-2.4,100.3,0.037,91.44,0.126,714,Michael Finley,0.071,DAL,1610612742,8.2,0.517,0.242,19,0.38
300,26.0,0.203,33.2,2.08,5,"1138,1610612758",103.3,0.087,0.413,40,1.7,14,0.6,0.35,24,12,8.5,-0.4,102.9,0.057,93.8,0.051,1138,Michael Hawkins,0.072,SAC,1610612758,16.0,0.436,0.123,12,0.5
301,24.0,0.034,4.5,0.29,5,"1709,1610612746",107.3,0.24,0.431,399,8.9,172,3.8,0.431,45,36,28.5,-12.1,95.2,0.107,91.63,0.07,1709,Michael Olowokandi,0.169,LAC,1610612746,15.2,0.445,0.194,9,0.2
302,27.0,0.074,15.6,0.8,5,"63,1610612763",104.6,0.235,0.535,144,3.0,77,1.6,0.535,48,41,22.9,-6.8,97.8,0.143,89.87,0.105,63,Michael Smith,0.188,VAN,1610612763,19.5,0.574,0.11,7,0.146
303,24.0,0.021,6.2,0.42,5,"1565,1610612761",98.7,0.173,0.415,53,1.3,22,0.5,0.415,42,23,9.3,-2.4,96.3,0.121,93.22,0.033,1565,Michael Stewart,0.146,TOR,1610612761,14.8,0.477,0.085,19,0.452
304,32.0,0.0,0.0,0.0,5,"52,1610612761",110.2,0.0,0.2,5,2.5,1,0.5,0.2,2,2,7.5,-20.4,89.8,0.1,83.64,-0.106,52,Micheal Williams,0.056,TOR,1610612761,16.7,0.2,0.202,0,0.0
305,21.0,0.343,28.3,2.23,5,"1710,1610612763",105.9,0.072,0.442,605,12.1,260,5.2,0.43,50,42,35.1,-9.6,96.3,0.02,92.61,0.1,1710,Mike Bibby,0.046,VAN,1610612763,12.7,0.487,0.215,8,0.16
306,23.0,0.0,0.0,0.0,5,"1630,1610612765",31.8,0.167,1.0,1,0.5,1,0.5,1.0,2,2,2.6,89.7,121.5,0.0,88.04,0.37,1630,Mikki Moore,0.091,DET,1610612765,0.0,1.064,0.158,0,0.0
307,23.0,0.0,0.0,0.0,5,"1750,1610612753",100.6,0.059,0.2,5,1.0,1,0.2,0.2,5,0,3.7,-29.2,71.4,0.071,95.61,-0.059,1750,Miles Simon,0.065,ORL,1610612753,37.5,0.2,0.208,5,1.0
308,33.0,0.114,10.3,0.9,5,"782,1610612764",101.7,0.089,0.456,803,16.1,331,6.6,0.412,50,32,38.2,-2.7,99.0,0.018,91.8,0.099,782,Mitch Richmond,0.053,WAS,1610612764,11.4,0.527,0.258,18,0.36
309,28.0,0.116,10.8,0.76,5,"348,1610612739",98.4,0.092,0.522,139,4.5,67,2.2,0.482,31,19,13.4,-0.9,97.5,0.042,85.48,0.089,348,Mitchell Butler,0.068,CLE,1610612739,14.2,0.549,0.221,12,0.387
310,27.0,0.0,0.0,0.0,5,"42,1610612743",101.1,0.0,0.0,2,2.0,0,0.0,0.0,1,1,5.5,-21.6,79.5,0.0,97.17,-0.16,42,Monty Williams,0.0,DEN,1610612743,0.0,0.174,0.201,0,0.0
311,25.0,0.316,27.6,1.5,5,"983,1610612760",96.2,0.137,0.4,40,3.3,13,1.1,0.325,12,4,11.6,-9.7,86.4,0.03,96.52,0.049,983,Moochie Norris,0.08,SEA,1610612760,18.4,0.404,0.201,8,0.667
312,32.0,0.308,25.6,2.42,5,"302,1610612737",92.6,0.118,0.439,651,13.6,247,5.1,0.379,48,18,36.7,6.2,98.8,0.03,88.45,0.143,302,Mookie Blaylock,0.074,ATL,1610612737,10.6,0.463,0.214,30,0.625
313,34.0,0.338,38.2,2.85,5,"177,1610612744",95.6,0.091,0.494,154,4.3,76,2.1,0.494,36,21,19.9,-2.1,93.5,0.025,89.19,0.142,177,Muggsy Bogues,0.058,GSW,1610612744,13.4,0.539,0.138,15,0.417
314,21.0,0.031,3.1,0.17,5,"1737,1610612755",86.5,0.165,0.357,42,1.6,15,0.6,0.357,26,9,4.6,15.9,102.4,0.175,98.15,0.032,1737,Nazr Mohammed,0.17,PHI,1610612755,18.4,0.41,0.227,17,0.654
315,32.0,0.25,32.3,1.14,5,"1861,1610612761",110.3,0.125,0.375,8,1.3,3,0.5,0.375,6,3,9.6,-11.6,98.7,0.02,90.12,0.018,1861,Negele Knight,0.067,TOR,1610612761,28.3,0.41,0.138,3,0.5
316,31.0,0.107,10.3,1.1,5,"98,1610612753",94.9,0.162,0.47,640,13.6,253,5.4,0.395,47,17,33.6,2.1,97.0,0.037,91.45,0.113,98,Nick Anderson,0.1,ORL,1610612753,9.4,0.493,0.23,30,0.638
317,27.0,0.375,27.6,3.04,5,"89,1610612743",109.1,0.065,0.445,769,15.4,306,6.1,0.398,50,36,36.0,-8.4,100.7,0.009,93.84,0.106,89,Nick Van Exel,0.036,DEN,1610612743,9.1,0.488,0.242,14,0.28
