,AGE,BLK,BLKA,CFID,CFPARAMS,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
30,32.0,0.003,0.01,5,"422,1610612759",76,57,0.485,0.151,0.119,0.152,0.404,0.028,0.0,422,Avery Johnson,0.013,0.029,0.032,0.078,SAS,1610612759.0,19,0.25
31,29.0,0.001,0.007,5,"769,1610612744",49,30,0.472,0.139,0.113,0.169,0.403,0.024,0.0,769,B.J. Armstrong,0.013,0.026,0.04,0.056,GSW,1610612744.0,19,0.388
32,24.0,0.004,0.025,5,"989,1610612756",20,8,0.433,0.103,0.095,0.128,0.438,0.066,0.0,989,Ben Davis,0.033,0.0,0.017,0.058,PHX,1610612756.0,12,0.6
33,22.0,0.025,0.018,5,"1112,1610612764",34,13,0.464,0.147,0.12,0.168,0.345,0.061,0.002,1112,Ben Wallace,0.034,0.005,0.023,0.068,WAS,1610612764.0,21,0.618
34,32.0,0.0,0.02,5,"104,1610612761",4,2,0.44,0.14,0.24,0.14,0.419,0.05,0.0,104,Benoit Benjamin,0.04,0.08,0.04,0.08,TOR,1610612761.0,2,0.5
35,34.0,0.006,0.005,5,"82,1610612741",61,8,0.465,0.132,0.108,0.134,0.365,0.07,0.0,82,Bill Wennington,0.035,0.009,0.021,0.036,CHI,1610612741.0,53,0.869
36,28.0,0.006,0.01,5,"182,1610612758",66,40,0.463,0.13,0.119,0.163,0.391,0.042,0.0,182,Billy Owens,0.031,0.023,0.026,0.091,SAC,1610612758.0,26,0.394
37,29.0,0.003,0.008,5,"902,1610612744",51,32,0.473,0.15,0.1,0.176,0.398,0.036,0.0,902,Bimbo Coles,0.011,0.015,0.02,0.051,GSW,1610612744.0,19,0.373
38,28.0,0.017,0.021,5,"183,1610612741",9,3,0.497,0.155,0.103,0.127,0.392,0.069,0.0,183,Bison Dele,0.038,0.021,0.024,0.124,CHI,1610612741.0,6,0.667
39,31.0,0.007,0.009,5,"898,1610612763",61,52,0.485,0.161,0.14,0.175,0.432,0.043,0.0,898,Blue Edwards,0.027,0.023,0.036,0.045,VAN,1610612763.0,9,0.148
40,26.0,0.029,0.006,5,"448,1610612746",82,46,0.468,0.126,0.101,0.166,0.382,0.044,0.001,448,Bo Outlaw,0.035,0.022,0.021,0.098,LAC,1610612746.0,36,0.439
41,24.0,0.007,0.011,5,"682,1610612739",82,40,0.518,0.112,0.093,0.172,0.344,0.045,0.001,682,Bob Sura,0.015,0.026,0.039,0.081,CLE,1610612739.0,42,0.512
42,26.0,0.002,0.004,5,"310,1610612758",49,31,0.448,0.14,0.131,0.177,0.415,0.036,0.0,310,Bobby Hurley,0.008,0.008,0.018,0.011,SAC,1610612758.0,18,0.367
43,27.0,0.004,0.01,5,"184,1610612739",69,33,0.522,0.116,0.087,0.161,0.341,0.034,0.0,184,Bobby Phills,0.024,0.024,0.043,0.058,CLE,1610612739.0,36,0.522
44,32.0,0.0,0.01,5,"38,1610612761",6,5,0.431,0.134,0.153,0.201,0.477,0.057,0.0,38,Brad Lohaus,0.019,0.019,0.0,0.019,TOR,1610612761.0,1,0.167
45,25.0,0.006,0.003,5,"699,1610612746",59,35,0.456,0.12,0.105,0.154,0.396,0.035,0.0,699,Brent Barry,0.014,0.04,0.031,0.049,LAC,1610612746.0,24,0.407
46,28.0,0.0,0.006,5,"85,1610612745",25,11,0.473,0.15,0.13,0.166,0.437,0.038,0.0,85,Brent Price,0.02,0.036,0.049,0.042,HOU,1610612745.0,14,0.56
47,26.0,0.008,0.016,5,"1064,1610612754",16,9,0.449,0.149,0.087,0.212,0.346,0.11,0.0,1064,Brent Scott,0.031,0.016,0.008,0.11,IND,1610612754.0,7,0.438
48,29.0,0.02,0.008,5,"1136,1610612738",70,59,0.433,0.125,0.153,0.195,0.445,0.071,0.001,1136,Brett Szabo,0.026,0.009,0.017,0.05,BOS,1610612738.0,11,0.157
49,23.0,0.014,0.0,5,"967,1610612753",14,6,0.418,0.147,0.259,0.182,0.406,0.035,0.0,967,Brian Evans,0.014,0.0,0.028,0.028,ORL,1610612753.0,8,0.571
50,25.0,0.018,0.015,5,"258,1610612758",24,15,0.461,0.122,0.115,0.219,0.396,0.054,0.0,258,Brian Grant,0.026,0.023,0.035,0.091,SAC,1610612758.0,9,0.375
51,31.0,0.006,0.008,5,"216,1610612753",77,36,0.475,0.14,0.156,0.187,0.412,0.047,0.0,216,Brian Shaw,0.016,0.007,0.025,0.048,ORL,1610612753.0,41,0.532
52,26.0,0.001,0.008,5,"240,1610612743",67,49,0.459,0.147,0.123,0.165,0.426,0.051,0.0,240,Brooks Thompson,0.016,0.017,0.029,0.016,DEN,1610612743.0,18,0.269
53,26.0,1.0,0.0,5,"1477,1610612748",1,0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,1477,Bruce Bowen,0.0,0.0,0.0,0.0,MIA,1610612748.0,1,1.0
54,24.0,0.011,0.013,5,"735,1610612763",75,61,0.476,0.153,0.143,0.173,0.45,0.042,0.0,735,Bryant Reeves,0.032,0.007,0.031,0.112,VAN,1610612763.0,14,0.187
55,26.0,0.005,0.013,5,"179,1610612743",52,39,0.461,0.128,0.122,0.183,0.391,0.028,0.0,179,Bryant Stith,0.016,0.023,0.031,0.047,DEN,1610612743.0,13,0.25
56,26.0,0.005,0.005,5,"935,1610612762",81,18,0.48,0.121,0.071,0.146,0.339,0.04,0.0,935,Bryon Russell,0.015,0.033,0.042,0.058,UTA,1610612762.0,63,0.778
57,37.0,0.012,0.007,5,"433,1610612752",74,21,0.485,0.11,0.079,0.173,0.299,0.06,0.001,433,Buck Williams,0.035,0.017,0.027,0.097,NYK,1610612752.0,53,0.716
58,36.0,0.005,0.003,5,"2,1610612747",79,25,0.471,0.145,0.117,0.149,0.384,0.021,0.0,2,Byron Scott,0.012,0.03,0.034,0.033,LAL,1610612747.0,54,0.684
59,25.0,0.003,0.007,5,"384,1610612764",79,37,0.463,0.129,0.121,0.175,0.383,0.038,0.0,384,Calbert Cheaney,0.018,0.027,0.032,0.077,WAS,1610612764.0,42,0.532
60,30.0,0.014,0.013,5,"61,1610612759",75,58,0.484,0.142,0.121,0.174,0.386,0.048,0.001,61,Carl Herrera,0.028,0.007,0.027,0.09,SAS,1610612759.0,17,0.227
61,27.0,0.005,0.0,5,"1063,1610612739",19,6,0.438,0.099,0.137,0.214,0.275,0.033,0.0,1063,Carl Thomas,0.022,0.011,0.038,0.044,CLE,1610612739.0,13,0.684
62,26.0,0.022,0.007,5,"435,1610612761",56,39,0.454,0.138,0.178,0.184,0.415,0.043,0.0,435,Carlos Rogers,0.038,0.044,0.035,0.106,TOR,1610612761.0,17,0.304
63,27.0,0.007,0.019,5,"76,1610612756",50,21,0.46,0.145,0.124,0.153,0.401,0.034,0.0,76,Cedric Ceballos,0.04,0.051,0.04,0.133,PHX,1610612756.0,29,0.58
64,34.0,0.006,0.011,5,"787,1610612745",53,12,0.463,0.128,0.11,0.161,0.357,0.033,0.0,787,Charles Barkley,0.046,0.024,0.038,0.104,HOU,1610612745.0,41,0.774
65,40.0,0.02,0.0,5,"279,1610612745",12,5,0.485,0.2,0.115,0.17,0.42,0.035,0.0,279,Charles Jones,0.0,0.0,0.0,0.02,HOU,1610612745.0,7,0.583
66,33.0,0.003,0.004,5,"891,1610612752",80,25,0.478,0.116,0.086,0.174,0.326,0.046,0.0,891,Charles Oakley,0.038,0.014,0.026,0.055,NYK,1610612752.0,55,0.688
67,31.0,0.031,0.008,5,"293,1610612759",19,14,0.479,0.124,0.138,0.164,0.351,0.051,0.0,293,Charles Smith,0.013,0.011,0.025,0.042,SAS,1610612759.0,5,0.263
68,26.0,0.004,0.004,5,"369,1610612752",79,23,0.477,0.12,0.094,0.176,0.327,0.045,0.0,369,Charlie Ward,0.007,0.011,0.024,0.039,NYK,1610612752.0,56,0.709
69,24.0,0.022,0.006,5,"685,1610612750",76,38,0.461,0.133,0.138,0.165,0.378,0.064,0.0,685,Cherokee Parks,0.035,0.009,0.018,0.063,MIN,1610612750.0,38,0.5
70,23.0,0.005,0.012,5,"713,1610612750",55,27,0.465,0.135,0.138,0.147,0.381,0.048,0.001,713,Chris Carr,0.032,0.033,0.033,0.069,MIN,1610612750.0,28,0.509
71,29.0,0.002,0.004,5,"164,1610612752",65,23,0.479,0.114,0.077,0.172,0.312,0.041,0.0,164,Chris Childs,0.01,0.022,0.026,0.034,NYK,1610612752.0,42,0.646
72,32.0,0.024,0.004,5,"201,1610612757",81,33,0.472,0.113,0.114,0.187,0.346,0.054,0.001,201,Chris Dudley,0.033,0.004,0.015,0.055,POR,1610612757.0,48,0.593
73,29.0,0.011,0.013,5,"423,1610612751",47,31,0.467,0.136,0.13,0.167,0.37,0.045,0.002,423,Chris Gatling,0.059,0.033,0.056,0.172,NJN,1610612751.0,16,0.34
74,27.0,0.0,0.0,5,"1137,1610612752",3,1,0.381,0.388,0.078,0.155,0.388,0.078,0.0,1137,Chris Jent,0.116,0.0,0.116,0.0,NYK,1610612752.0,2,0.667
75,27.0,0.007,0.007,5,"168,1610612739",80,39,0.52,0.123,0.092,0.153,0.35,0.034,0.0,168,Chris Mills,0.024,0.018,0.032,0.056,CLE,1610612739.0,41,0.513
76,31.0,0.012,0.008,5,"356,1610612762",73,14,0.492,0.145,0.099,0.181,0.337,0.053,0.0,356,Chris Morris,0.018,0.023,0.031,0.064,UTA,1610612762.0,59,0.808
77,33.0,0.005,0.005,5,"904,1610612744",79,52,0.46,0.14,0.118,0.2,0.414,0.025,0.0,904,Chris Mullin,0.021,0.028,0.034,0.058,GSW,1610612744.0,27,0.342
78,23.0,0.006,0.002,5,"997,1610612763",41,35,0.484,0.132,0.147,0.182,0.461,0.051,0.001,997,Chris Robinson,0.016,0.015,0.02,0.029,VAN,1610612763.0,6,0.146
79,24.0,0.022,0.007,5,"185,1610612764",72,32,0.461,0.126,0.124,0.163,0.375,0.039,0.0,185,Chris Webber,0.044,0.037,0.045,0.145,WAS,1610612764.0,40,0.556
80,25.0,0.002,0.006,5,"43,1610612764",82,38,0.471,0.139,0.113,0.149,0.36,0.04,0.0,43,Chris Whitney,0.016,0.027,0.027,0.043,WAS,1610612764.0,44,0.537
81,27.0,0.01,0.01,5,"363,1610612737",82,26,0.494,0.141,0.107,0.15,0.352,0.04,0.0,363,Christian Laettner,0.039,0.013,0.039,0.098,ATL,1610612737.0,56,0.683
82,29.0,0.013,0.004,5,"359,1610612749",70,45,0.474,0.144,0.159,0.169,0.426,0.057,0.001,359,Chucky Brown,0.03,0.017,0.022,0.065,MIL,1610612749.0,25,0.357
83,26.0,0.012,0.012,5,"221,1610612755",82,60,0.437,0.142,0.151,0.182,0.416,0.026,0.0,221,Clar. Weatherspoon,0.029,0.007,0.021,0.072,PHI,1610612755.0,22,0.268
84,30.0,0.01,0.009,5,"361,1610612757",81,33,0.469,0.112,0.118,0.163,0.369,0.034,0.0,361,Clifford Robinson,0.021,0.016,0.033,0.064,POR,1610612757.0,48,0.593
85,24.0,0.027,0.01,5,"32,1610612761",42,27,0.457,0.126,0.167,0.179,0.405,0.056,0.0,32,Clifford Rozier,0.039,0.023,0.015,0.091,TOR,1610612761.0,15,0.357
86,35.0,0.007,0.008,5,"17,1610612745",62,16,0.46,0.127,0.12,0.163,0.359,0.027,0.0,17,Clyde Drexler,0.022,0.039,0.038,0.081,HOU,1610612745.0,46,0.742
87,28.0,0.012,0.004,5,"916,1610612747",58,18,0.465,0.126,0.128,0.166,0.408,0.051,0.0,916,Corie Blount,0.022,0.022,0.019,0.071,LAL,1610612747.0,40,0.69
88,23.0,0.011,0.013,5,"722,1610612758",79,47,0.464,0.133,0.123,0.175,0.39,0.056,0.0,722,Corliss Williamson,0.036,0.033,0.037,0.138,SAC,1610612758.0,32,0.405
