,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
0,0,12,0,0021200261,,,12:00,1,0.0,0,0,0,,,,,,0,,,,,,0,,,,,,,,,7:40 PM
1,0,10,1,0021200261,Jump Ball Monroe vs. Ezeli: Tip to Lee,,12:00,1,4.0,5,5,202328,Greg Monroe,DET,Detroit,1610612765.0,Pistons,203105,Festus Ezeli,GSW,Golden State,1610612744.0,Warriors,101135,David Lee,GSW,Golden State,1610612744.0,Warriors,,,,7:40 PM
2,1,5,2,0021200261,,,11:49,1,5.0,0,1,203084,Harrison Barnes,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,Barnes Bad Pass Turnover (P1.T1),7:40 PM
3,1,2,3,0021200261,MISS Maxiell 18' Jump Shot,,11:30,1,4.0,0,0,101131,Jason Maxiell,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,7:41 PM
4,0,4,4,0021200261,,,11:29,1,5.0,0,0,201939,Stephen Curry,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,Curry REBOUND (Off:0 Def:1),7:41 PM
5,1,2,5,0021200261,Monroe BLOCK (1 BLK),,11:11,1,5.0,0,4,203105,Festus Ezeli,GSW,Golden State,1610612744.0,Warriors,0,,,,,,202328,Greg Monroe,DET,Detroit,1610612765.0,Pistons,,,MISS Ezeli 6' Jump Shot,7:41 PM
6,0,4,6,0021200261,Knight REBOUND (Off:0 Def:1),,11:08,1,4.0,0,0,202688,Brandon Knight,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,7:41 PM
7,5,2,7,0021200261,MISS Knight 1' Layup,,11:03,1,4.0,0,5,202688,Brandon Knight,DET,Detroit,1610612765.0,Pistons,0,,,,,,203105,Festus Ezeli,GSW,Golden State,1610612744.0,Warriors,,,Ezeli BLOCK (1 BLK),7:41 PM
8,0,4,8,0021200261,,,11:00,1,5.0,0,0,203105,Festus Ezeli,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,Ezeli REBOUND (Off:0 Def:1),7:41 PM
9,42,1,9,0021200261,,,10:49,1,5.0,0,0,101135,David Lee,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,2 - 0,-2,Lee 1' Driving Layup (2 PTS),7:41 PM
10,17,6,10,0021200261,,,10:30,1,5.0,0,1,203105,Festus Ezeli,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,Warriors T.Foul (Def. 3 Sec Ezeli ),7:42 PM
11,16,3,11,0021200261,MISS Knight Free Throw Technical,,10:30,1,4.0,0,0,202688,Brandon Knight,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,7:42 PM
12,1,4,12,0021200261,PISTONS Rebound,,10:30,1,2.0,0,0,1610612765,,,,,,0,,,,,,0,,,,,,,,,7:42 PM
13,3,1,13,0021200261,Prince 6' Hook Shot (2 PTS),,10:19,1,4.0,0,0,2419,Tayshaun Prince,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,2 - 2,TIE,,7:42 PM
14,5,1,14,0021200261,,,10:07,1,5.0,5,0,101135,David Lee,GSW,Golden State,1610612744.0,Warriors,201939,Stephen Curry,GSW,Golden State,1610612744.0,Warriors,0,,,,,,4 - 2,-2,Lee 1' Layup (4 PTS) (Curry 1 AST),7:43 PM
15,1,2,15,0021200261,MISS Knight 26' 3PT Jump Shot,,9:44,1,4.0,0,0,202688,Brandon Knight,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,7:43 PM
16,0,4,16,0021200261,,,9:43,1,5.0,0,0,101135,David Lee,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,Lee REBOUND (Off:0 Def:1),7:43 PM
17,2,7,21,0021200261,Monroe Violation:Defensive Goaltending,,9:38,1,4.0,0,1,202328,Greg Monroe,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,7:43 PM
18,5,1,17,0021200261,,,9:38,1,5.0,5,0,201939,Stephen Curry,GSW,Golden State,1610612744.0,Warriors,101135,David Lee,GSW,Golden State,1610612744.0,Warriors,0,,,,,,6 - 2,-4,Curry 1' Layup (2 PTS) (Lee 1 AST),7:43 PM
19,4,5,18,0021200261,Monroe Traveling Turnover (P1.T1),,9:24,1,4.0,0,1,202328,Greg Monroe,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,7:44 PM
20,1,1,19,0021200261,,,9:09,1,5.0,5,0,201939,Stephen Curry,GSW,Golden State,1610612744.0,Warriors,202691,Klay Thompson,GSW,Golden State,1610612744.0,Warriors,0,,,,,,9 - 2,-7,Curry 26' 3PT Jump Shot (5 PTS) (Thompson 1 AST),7:44 PM
21,2,9,20,0021200261,PISTONS Timeout: Short (Full 0 Short 1),,9:02,1,2.0,0,0,1610612765,,,,,,0,,,,,,0,,,,,,,,,7:44 PM
22,1,2,22,0021200261,MISS Prince 16' Jump Shot,,8:53,1,4.0,0,0,2419,Tayshaun Prince,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,7:45 PM
23,0,4,23,0021200261,,,8:51,1,5.0,0,0,101135,David Lee,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,Lee REBOUND (Off:0 Def:2),7:45 PM
24,2,6,24,0021200261,Singler S.FOUL (P1.T1),,8:46,1,4.0,5,1,202713,Kyle Singler,DET,Detroit,1610612765.0,Pistons,202691,Klay Thompson,GSW,Golden State,1610612744.0,Warriors,0,,,,,,,,,7:46 PM
25,11,3,25,0021200261,,,8:46,1,5.0,0,0,202691,Klay Thompson,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,10 - 2,-8,Thompson Free Throw 1 of 2 (1 PTS),7:46 PM
26,12,3,26,0021200261,,,8:46,1,5.0,0,0,202691,Klay Thompson,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,11 - 2,-9,Thompson Free Throw 2 of 2 (2 PTS),7:46 PM
27,2,6,28,0021200261,,,8:32,1,5.0,4,1,203105,Festus Ezeli,GSW,Golden State,1610612744.0,Warriors,202328,Greg Monroe,DET,Detroit,1610612765.0,Pistons,0,,,,,,,,Ezeli S.FOUL (P1.T1),7:46 PM
28,11,3,29,0021200261,MISS Monroe Free Throw 1 of 2,,8:32,1,4.0,0,0,202328,Greg Monroe,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,7:47 PM
29,1,4,30,0021200261,PISTONS Rebound,,8:32,1,2.0,0,0,1610612765,,,,,,0,,,,,,0,,,,,,,,,7:47 PM
30,12,3,31,0021200261,Monroe Free Throw 2 of 2 (1 PTS),,8:32,1,4.0,0,0,202328,Greg Monroe,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,11 - 3,-8,,7:47 PM
31,1,2,33,0021200261,,,8:21,1,5.0,0,0,201939,Stephen Curry,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,MISS Curry 14' Jump Shot,7:47 PM
32,0,4,34,0021200261,,,8:20,1,5.0,0,0,101135,David Lee,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,Lee REBOUND (Off:1 Def:2),7:47 PM
33,1,2,35,0021200261,,,8:12,1,5.0,0,0,203084,Harrison Barnes,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,MISS Barnes 26' 3PT Jump Shot,7:48 PM
34,0,4,36,0021200261,Monroe REBOUND (Off:0 Def:1),,8:11,1,4.0,0,0,202328,Greg Monroe,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,7:48 PM
35,3,2,37,0021200261,MISS Maxiell 5' Hook Shot,,7:58,1,4.0,0,0,101131,Jason Maxiell,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,7:48 PM
36,0,4,38,0021200261,,,7:57,1,5.0,0,0,203084,Harrison Barnes,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,,,Barnes REBOUND (Off:0 Def:1),7:48 PM
37,42,1,39,0021200261,,,7:49,1,5.0,0,0,203084,Harrison Barnes,GSW,Golden State,1610612744.0,Warriors,0,,,,,,0,,,,,,13 - 3,-10,Barnes 1' Driving Layup (2 PTS),7:48 PM
38,1,2,40,0021200261,MISS Monroe 5' Jump Shot,,7:32,1,4.0,0,5,202328,Greg Monroe,DET,Detroit,1610612765.0,Pistons,0,,,,,,203105,Festus Ezeli,GSW,Golden State,1610612744.0,Warriors,,,Ezeli BLOCK (2 BLK),7:48 PM
39,0,4,41,0021200261,PISTONS Rebound,,7:32,1,2.0,0,0,1610612765,,,,,,0,,,,,,0,,,,,,,,,7:48 PM
