,AGE,BLK,CFID,CFPARAMS,DEF_RATING,DEF_WS,DREB,DREB_PCT,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PCT_BLK,PCT_DREB,PCT_STL,PLAYER_ID,PLAYER_NAME,STL,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,34.0,0.005,5,"920,1610612742",104.6,0.0,0.078,0.196,82,62,0.462,0.155,0.154,0.155,0.425,0.097,0.296,0.193,920,A.C. Green,0.014,DAL,1610612742,20,0.244
1,25.0,0.003,5,"243,1610612755",97.1,0.001,0.043,0.113,81,47,0.455,0.125,0.105,0.153,0.32,0.062,0.16,0.279,243,Aaron McKie,0.025,PHI,1610612755,34,0.42
2,26.0,0.023,5,"1425,1610612760",100.0,0.001,0.06,0.147,65,16,0.456,0.133,0.149,0.174,0.398,0.481,0.215,0.117,1425,Aaron Williams,0.011,SEA,1610612760,49,0.754
3,28.0,0.005,5,"228,1610612762",101.6,0.0,0.058,0.147,80,19,0.46,0.119,0.102,0.162,0.346,0.12,0.203,0.154,228,Adam Keefe,0.012,UTA,1610612762,61,0.763
4,23.0,0.034,5,"1502,1610612744",100.4,0.001,0.073,0.182,55,46,0.431,0.154,0.132,0.176,0.361,0.542,0.271,0.137,1502,Adonal Foyle,0.009,GSW,1610612744,9,0.164
5,31.0,0.0,5,"154,1610612742",121.5,-0.001,0.0,0.0,1,0,0.543,0.0,0.6,0.4,0.4,0.0,0.0,0.0,154,Adrian Caldwell,0.0,DAL,1610612742,1,1.0
6,25.0,0.008,5,"673,1610612737",101.8,0.0,0.055,0.134,69,27,0.455,0.14,0.139,0.157,0.381,0.153,0.196,0.123,673,Alan Henderson,0.009,ATL,1610612737,42,0.609
7,27.0,0.004,5,"275,1610612752",97.7,0.001,0.038,0.096,82,39,0.467,0.117,0.089,0.147,0.32,0.114,0.13,0.142,275,Allan Houston,0.01,NYK,1610612752,43,0.524
8,23.0,0.004,5,"947,1610612755",104.3,0.0,0.03,0.076,80,49,0.446,0.143,0.136,0.172,0.363,0.061,0.115,0.307,947,Allen Iverson,0.025,PHI,1610612755,31,0.388
9,28.0,0.032,5,"297,1610612748",95.5,0.001,0.089,0.212,58,19,0.474,0.133,0.101,0.149,0.329,0.556,0.302,0.133,297,Alonzo Mourning,0.01,MIA,1610612748,39,0.672
10,39.0,0.01,5,"175,1610612757",85.4,0.001,0.094,0.22,7,2,0.456,0.073,0.084,0.136,0.189,0.5,0.281,0.125,175,Alton Lister,0.01,POR,1610612757,5,0.714
11,23.0,0.001,5,"1541,1610612761",101.0,0.001,0.024,0.056,54,30,0.445,0.142,0.138,0.177,0.375,0.019,0.084,0.225,1541,Alvin Williams,0.016,TOR,1610612761,24,0.444
12,25.0,0.014,5,"692,1610612738",101.4,0.0,0.061,0.179,81,45,0.436,0.129,0.12,0.158,0.411,0.395,0.271,0.221,692,Andrew DeClercq,0.024,BOS,1610612738,36,0.444
13,32.0,0.018,5,"457,1610612749",103.5,0.0,0.064,0.175,57,34,0.454,0.122,0.163,0.194,0.36,0.519,0.245,0.18,457,Andrew Lang,0.012,MIL,1610612749,23,0.404
14,26.0,0.011,5,"358,1610612753",101.6,0.001,0.05,0.123,19,9,0.462,0.157,0.148,0.161,0.387,0.203,0.187,0.259,358,Anfernee Hardaway,0.021,ORL,1610612753,10,0.526
15,34.0,0.004,5,"194,1610612752",102.5,0.0,0.036,0.094,27,16,0.463,0.098,0.094,0.167,0.339,0.111,0.125,0.133,194,Anthony Bowie,0.013,NYK,1610612752,11,0.407
16,26.0,0.001,5,"924,1610612743",110.2,0.0,0.022,0.06,82,71,0.458,0.151,0.114,0.177,0.382,0.032,0.093,0.23,924,Anthony Goldwire,0.018,DEN,1610612743,11,0.134
17,23.0,0.001,5,"1533,1610612758",105.3,0.0,0.024,0.061,77,52,0.448,0.138,0.158,0.166,0.424,0.027,0.093,0.184,1533,Anthony Johnson,0.013,SAC,1610612758,25,0.325
18,31.0,0.003,5,"193,1610612766",102.2,0.0,0.097,0.247,81,31,0.468,0.127,0.124,0.161,0.398,0.076,0.346,0.125,193,Anthony Mason,0.01,CHH,1610612766,50,0.617
19,26.0,0.005,5,"292,1610612737",110.3,0.0,0.072,0.205,37,12,0.412,0.125,0.139,0.181,0.451,0.188,0.294,0.333,292,Anthony Miller,0.027,ATL,1610612737,25,0.676
20,23.0,0.006,5,"1515,1610612755",101.8,0.0,0.039,0.106,37,19,0.418,0.114,0.152,0.185,0.326,0.167,0.15,0.262,1515,Anthony Parker,0.024,PHI,1610612755,18,0.486
21,28.0,0.002,5,"324,1610612750",106.1,0.0,0.032,0.082,38,19,0.446,0.161,0.128,0.138,0.425,0.048,0.121,0.318,324,Anthony Peeler,0.023,MIN,1610612750,19,0.5
22,36.0,0.023,5,"156,1610612762",101.4,0.001,0.039,0.098,66,18,0.472,0.142,0.086,0.164,0.299,0.417,0.143,0.061,156,Antoine Carr,0.005,UTA,1610612762,48,0.727
23,21.0,0.008,5,"952,1610612738",104.2,0.0,0.075,0.224,82,46,0.434,0.131,0.139,0.159,0.431,0.197,0.333,0.179,952,Antoine Walker,0.019,BOS,1610612738,36,0.439
24,23.0,0.002,5,"1498,1610612763",111.6,0.0,0.027,0.069,74,57,0.443,0.143,0.176,0.19,0.412,0.061,0.103,0.208,1498,Antonio Daniels,0.012,VAN,1610612763,17,0.23
