,AST_PCT,PCT_AST_FGM,PLAYER_ID,PLAYER_NAME,TEAM_ID,YEAR
0,0.32,0.347,947.0,Allen Iverson,1610612755.0, 1996-97
1,0.086,0.638,297.0,Alonzo Mourning,1610612748.0, 1996-97
2,0.27,0.454,358.0,Anfernee Hardaway,1610612753.0, 1996-97
3,0.15,0.503,952.0,Antoine Walker,1610612738.0, 1996-97
4,0.079,0.737,686.0,Antonio McDyess,1610612743.0, 1996-97
5,0.38,0.261,757.0,Damon Stoudamire,1610612761.0, 1996-97
6,0.118,0.577,1122.0,Dominique Wilkins,1610612759.0, 1996-97
7,0.33,0.409,56.0,Gary Payton,1610612760.0, 1996-97
8,0.088,0.791,779.0,Glen Rice,1610612766.0, 1996-97
9,0.146,0.538,299.0,Glenn Robinson,1610612749.0, 1996-97
10,0.356,0.238,255.0,Grant Hill,1610612765.0, 1996-97
11,0.158,0.733,165.0,Hakeem Olajuwon,1610612745.0, 1996-97
12,0.134,0.597,711.0,Jerry Stackhouse,1610612755.0, 1996-97
13,0.234,0.777,252.0,Karl Malone,1610612762.0, 1996-97
14,0.182,0.612,383.0,Kendall Gill,1610612751.0, 1996-97
15,0.122,0.629,111.0,LaPhonso Ellis,1610612743.0, 1996-97
16,0.27,0.487,84.0,Latrell Sprewell,1610612744.0, 1996-97
17,0.208,0.53,893.0,Michael Jordan,1610612741.0, 1996-97
18,0.203,0.55,782.0,Mitch Richmond,1610612758.0, 1996-97
19,0.106,0.656,121.0,Patrick Ewing,1610612752.0, 1996-97
20,0.17,0.685,397.0,Reggie Miller,1610612754.0, 1996-97
21,0.083,0.677,22.0,Rik Smits,1610612754.0, 1996-97
22,0.313,0.335,208.0,Sam Cassell,1610612751.0, 1996-97
23,0.159,0.623,406.0,Shaquille O'Neal,1610612747.0, 1996-97
24,0.12,0.575,949.0,Shareef Abdur-Rahim,1610612763.0, 1996-97
25,0.098,0.671,431.0,Shawn Kemp,1610612760.0, 1996-97
26,0.203,0.489,120.0,Steven Smith,1610612737.0, 1996-97
27,0.337,0.416,210.0,Terrell Brandon,1610612739.0, 1996-97
28,0.404,0.256,896.0,Tim Hardaway,1610612748.0, 1996-97
29,0.194,0.66,339.0,Tom Gugliotta,1610612750.0, 1996-97
30,0.12,0.595,452.0,Vin Baker,1610612749.0, 1996-97
31,0.14,0.592,275.0,Allan Houston,1610612752.0, 1997-98
32,0.294,0.41,947.0,Allen Iverson,1610612755.0, 1997-98
33,0.052,0.705,297.0,Alonzo Mourning,1610612748.0, 1997-98
34,0.154,0.578,952.0,Antoine Walker,1610612738.0, 1997-98
35,0.176,0.719,185.0,Chris Webber,1610612764.0, 1997-98
36,0.268,0.529,17.0,Clyde Drexler,1610612745.0, 1997-98
37,0.159,0.632,764.0,David Robinson,1610612759.0, 1997-98
38,0.123,0.598,934.0,Derrick Coleman,1610612755.0, 1997-98
39,0.099,0.767,779.0,Glen Rice,1610612766.0, 1997-98
40,0.132,0.59,299.0,Glenn Robinson,1610612749.0, 1997-98
41,0.309,0.276,255.0,Grant Hill,1610612765.0, 1997-98
42,0.153,0.579,375.0,Isaiah Rider,1610612757.0, 1997-98
43,0.17,0.646,711.0,Jerry Stackhouse,1610612765.0, 1997-98
44,0.077,0.724,693.0,Joe Smith,1610612755.0, 1997-98
45,0.188,0.616,317.0,John Starks,1610612752.0, 1997-98
46,0.204,0.778,252.0,Karl Malone,1610612762.0, 1997-98
47,0.075,0.61,1496.0,Keith Van Horn,1610612751.0, 1997-98
48,0.165,0.517,977.0,Kobe Bryant,1610612747.0, 1997-98
49,0.222,0.436,714.0,Michael Finley,1610612742.0, 1997-98
50,0.174,0.509,893.0,Michael Jordan,1610612741.0, 1997-98
51,0.199,0.639,782.0,Mitch Richmond,1610612758.0, 1997-98
52,0.091,0.761,22.0,Rik Smits,1610612754.0, 1997-98
53,0.388,0.339,208.0,Sam Cassell,1610612751.0, 1997-98
54,0.125,0.707,406.0,Shaquille O'Neal,1610612747.0, 1997-98
55,0.131,0.593,949.0,Shareef Abdur-Rahim,1610612763.0, 1997-98
56,0.132,0.664,431.0,Shawn Kemp,1610612739.0, 1997-98
57,0.131,0.574,1495.0,Tim Duncan,1610612759.0, 1997-98
58,0.401,0.256,896.0,Tim Hardaway,1610612748.0, 1997-98
59,0.085,0.778,686.0,Antonio McDyess,1610612743.0, 1998-99
60,0.398,0.334,56.0,Gary Payton,1610612760.0, 1998-99
61,0.324,0.359,255.0,Grant Hill,1610612765.0, 1998-99
62,0.097,0.673,165.0,Hakeem Olajuwon,1610612745.0, 1998-99
63,0.176,0.412,977.0,Kobe Bryant,1610612747.0, 1998-99
64,0.089,0.549,441.0,Lamond Murray,1610612746.0, 1998-99
65,0.114,0.644,782.0,Mitch Richmond,1610612764.0, 1998-99
66,0.174,0.547,949.0,Shareef Abdur-Rahim,1610612763.0, 1998-99
67,0.117,0.605,1495.0,Tim Duncan,1610612759.0, 1998-99
68,0.164,0.58,1713.0,Vince Carter,1610612761.0, 1998-99
69,0.22,0.512,947.0,Allen Iverson,1610612755.0, 1999-00
70,0.086,0.692,297.0,Alonzo Mourning,1610612748.0, 1999-00
71,0.178,0.519,952.0,Antoine Walker,1610612738.0, 1999-00
72,0.108,0.787,686.0,Antonio McDyess,1610612743.0, 1999-00
73,0.074,0.591,76.0,Cedric Ceballos,1610612742.0, 1999-00
74,0.207,0.598,185.0,Chris Webber,1610612758.0, 1999-00
75,0.101,0.712,764.0,David Robinson,1610612759.0, 1999-00
