,AGE,BLK,CFID,CFPARAMS,DEF_RATING,DEF_WS,DREB,DREB_PCT,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PCT_BLK,PCT_DREB,PCT_STL,PLAYER_ID,PLAYER_NAME,STL,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
33,25.0,0,5,"989,1610612752",126.1,-0.03,0,0.0,7,6,12.1583333333,6,4,6,12,0.0,0.0,0.25,989,Ben Davis,1,NYK,1610612752,1,0.143
34,23.0,72,5,"1112,1610612764",94.3,2.31,212,0.207,67,33,1125.03833333,296,309,346,932,0.5,0.298,0.257,1112,Ben Wallace,61,WAS,1610612764,34,0.507
35,33.0,4,5,"104,1610612755",98.7,0.29,35,0.246,14,9,200.063333333,41,69,69,136,0.211,0.347,0.077,104,Benoit Benjamin,4,PHI,1610612755,5,0.357
36,26.0,1,5,"223,1610612750",103.3,0.13,17,0.145,11,3,145.953333333,43,38,36,130,0.063,0.207,0.097,223,Bill Curley,3,MIN,1610612750,8,0.727
37,35.0,5,5,"82,1610612741",93.1,1.02,48,0.114,48,13,466.523333333,133,123,124,354,0.156,0.157,0.058,82,Bill Wennington,4,CHI,1610612741,35,0.729
38,29.0,38,5,"182,1610612758",103.5,1.97,412,0.2,78,53,2349.50833333,709,773,857,2188,0.156,0.297,0.249,182,Billy Owens,93,SAC,1610612758,25,0.321
39,30.0,13,5,"902,1610612744",103.3,1.3,106,0.078,53,41,1469.54833333,477,438,550,1282,0.067,0.112,0.236,902,Bimbo Coles,51,GSW,1610612744,12,0.226
40,29.0,55,5,"183,1610612765",101.5,2.84,472,0.22,78,43,2624.61166667,738,647,847,1935,0.256,0.311,0.15,183,Bison Dele,67,DET,1610612765,35,0.449
41,32.0,27,5,"898,1610612763",108.7,0.36,156,0.093,81,62,1969.84333333,633,671,782,1696,0.138,0.141,0.266,898,Blue Edwards,86,VAN,1610612763,19,0.235
42,27.0,181,5,"448,1610612753",100.0,3.76,382,0.154,82,41,2954.64833333,900,838,1010,2479,0.514,0.232,0.223,448,Bo Outlaw,107,ORL,1610612753,41,0.5
43,34.0,0,5,"737,1610612761",98.2,0.01,1,0.2,1,1,5.05,3,5,5,4,0.0,0.333,0.0,737,Bob McCann,0,TOR,1610612761,0,0.0
44,25.0,7,5,"682,1610612739",97.8,1.46,69,0.092,46,21,943.4,282,283,359,744,0.086,0.138,0.222,682,Bob Sura,44,CLE,1610612739,25,0.543
45,27.0,0,5,"310,1610612763",105.9,0.47,54,0.074,61,42,875.18,281,309,354,756,0.0,0.107,0.154,310,Bobby Hurley,23,VAN,1610612763,19,0.311
46,25.0,11,5,"1517,1610612743",108.7,0.38,224,0.128,68,60,2044.74833333,661,583,827,1788,0.053,0.191,0.295,1517,Bobby Jackson,105,DEN,1610612743,8,0.118
47,28.0,18,5,"184,1610612766",103.3,1.63,157,0.1,62,22,1888.25833333,524,539,661,1651,0.11,0.139,0.249,184,Bobby Phills,81,CHH,1610612766,40,0.645
48,33.0,2,5,"38,1610612759",116.6,-0.08,9,0.108,9,3,101.485,36,30,18,70,0.143,0.17,0.111,38,Brad Lohaus,1,SAS,1610612759,6,0.667
49,23.0,3,5,"1585,1610612744",97.7,0.23,11,0.072,9,7,139.788333333,59,37,65,128,0.167,0.112,0.214,1585,Brandon Williams,6,GSW,1610612744,2,0.222
50,26.0,27,5,"699,1610612748",107.2,0.62,142,0.102,58,37,1603.09166667,541,537,603,1552,0.136,0.155,0.239,699,Brent Barry,64,MIA,1610612748,21,0.362
51,29.0,4,5,"85,1610612745",104.8,0.91,70,0.06,72,37,1337.065,413,372,526,1163,0.04,0.088,0.243,85,Brent Price,52,HOU,1610612745,35,0.486
52,22.0,18,5,"1510,1610612739",95.6,4.58,186,0.088,80,35,2484.0,689,644,875,1850,0.065,0.124,0.364,1510,Brevin Knight,196,CLE,1610612739,45,0.563
53,24.0,13,5,"967,1610612751",104.0,0.69,88,0.124,72,40,895.055,252,296,276,782,0.16,0.186,0.161,967,Brian Evans,29,NJN,1610612751,32,0.444
54,26.0,45,5,"258,1610612757",99.1,2.66,358,0.213,61,26,1922.27,461,533,688,1380,0.222,0.292,0.164,258,Brian Grant,44,POR,1610612757,35,0.574
55,30.0,0,5,"1680,1610612737",104.1,0.05,6,0.115,5,0,60.8,10,21,23,50,0.0,0.154,0.077,1680,Brian Oliver,1,ATL,1610612737,5,1.0
56,32.0,17,5,"216,1610612755",103.1,1.37,178,0.13,59,42,1527.995,467,436,567,1233,0.089,0.19,0.188,216,Brian Shaw,49,PHI,1610612755,17,0.288
57,27.0,1,5,"240,1610612752",108.7,0.03,14,0.098,30,13,167.528333333,56,56,79,146,0.1,0.147,0.286,240,Brooks Thompson,10,NYK,1610612752,17,0.567
58,27.0,29,5,"1477,1610612738",100.8,1.56,95,0.093,61,35,1302.66,382,397,501,1234,0.227,0.14,0.23,1477,Bruce Bowen,87,BOS,1610612738,26,0.426
59,25.0,80,5,"735,1610612763",109.1,0.32,389,0.174,74,58,2523.82666667,802,909,1010,2192,0.357,0.26,0.115,735,Bryant Reeves,39,VAN,1610612763,16,0.216
60,27.0,8,5,"179,1610612743",109.6,0.05,50,0.089,31,28,718.12,216,182,275,604,0.125,0.133,0.208,179,Bryant Stith,21,DEN,1610612743,3,0.097
61,27.0,31,5,"935,1610612762",102.2,2.24,248,0.131,82,20,2222.175,654,439,762,1592,0.13,0.188,0.24,935,Bryon Russell,90,UTA,1610612762,62,0.756
62,23.0,4,5,"1528,1610612742",109.6,0.03,46,0.138,39,32,389.42,138,149,159,374,0.078,0.221,0.217,1528,Bubba Wells,15,DAL,1610612742,7,0.179
63,38.0,15,5,"433,1610612752",99.0,1.05,105,0.172,41,19,739.035,194,101,238,510,0.306,0.235,0.155,433,Buck Williams,17,NYK,1610612752,22,0.537
