,PlayerID,PlayerName,TeamID,Total_Poss,Total_Points,Total_PPP,PRBallHandler_PPP,PRBallHandler_Points,PRBallHandler_Poss,Cut_PPP,Cut_Points,Cut_Poss,Handoff_PPP,Handoff_Points,Handoff_Poss,Isolation_PPP,Isolation_Points,Isolation_Poss,Misc_PPP,Misc_Points,Misc_Poss,OffScreen_PPP,OffScreen_Points,OffScreen_Poss,Postup_PPP,Postup_Points,Postup_Poss,OffRebound_PPP,OffRebound_Points,OffRebound_Poss,PRRollMan_PPP,PRRollMan_Points,PRRollMan_Poss,Spotup_PPP,Spotup_Points,Spotup_Poss,Transition_PPP,Transition_Points,Transition_Poss
12,201565.0,Derrick Rose,1610612741.0,949.0,787.0,0.829293993678,0.810069024563,354.0,437.0,0.724138021469,21.0,29.0,0.64705902338,22.0,34.0,0.829787015915,78.0,94.0,0.543478012085,25.0,46.0,1.0,13.0,13.0,0.0,0.0,0.0,0.850000023842,17.0,20.0,0.0,0.0,0.0,0.965986013412,142.0,147.0,0.891472995281,115.0,129.0
13,200768.0,Kyle Lowry,1610612761.0,1152.0,1147.0,0.995659722222,0.867347002029,340.0,392.0,1.72727000713,19.0,11.0,1.13115000725,69.0,61.0,0.833333015442,100.0,120.0,0.787878990173,52.0,66.0,0.958333015442,69.0,72.0,0.727272987366,16.0,22.0,1.13332998753,17.0,15.0,0.0,0.0,0.0,1.19047999382,225.0,189.0,1.17647004128,240.0,204.0
14,202738.0,Isaiah Thomas,1610612738.0,1296.0,1258.0,0.970679012346,0.818401992321,338.0,413.0,1.31817996502,29.0,22.0,0.916666984558,110.0,120.0,1.01979994774,103.0,101.0,0.919354975224,57.0,62.0,1.05208003521,101.0,96.0,0.0,0.0,0.0,1.25,15.0,12.0,0.0,0.0,0.0,1.08522999287,191.0,176.0,1.06802999973,314.0,294.0
15,2225.0,Tony Parker,1610612759.0,689.0,673.0,0.976777939042,0.948571026325,332.0,350.0,1.54999995232,31.0,20.0,0.694444000721,25.0,36.0,0.743589997292,29.0,39.0,0.75,18.0,24.0,0.811321020126,43.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1891900301,88.0,74.0,1.15053999424,107.0,93.0
16,2548.0,Dwyane Wade,1610612748.0,1101.0,975.0,0.885558583106,0.844560027122,326.0,386.0,1.05455005169,58.0,55.0,0.763635993004,42.0,55.0,0.64102602005,75.0,117.0,0.788461983204,41.0,52.0,1.04762005806,66.0,63.0,0.841666996479,101.0,120.0,1.17778003216,53.0,45.0,0.0,0.0,0.0,0.960525989532,73.0,76.0,1.06061005592,140.0,132.0
17,203903.0,Jordan  Clarkson,1610612747.0,939.0,879.0,0.936102236422,0.893257975578,318.0,356.0,1.21569001675,62.0,51.0,1.2264200449,65.0,53.0,0.588235020638,60.0,102.0,0.649999976158,26.0,40.0,1.03999996185,52.0,50.0,0.0,0.0,0.0,0.967742025852,30.0,31.0,0.0,0.0,0.0,1.2342300415,137.0,111.0,0.889654994011,129.0,145.0
18,101145.0,Monta Ellis,1610612754.0,928.0,790.0,0.851293103448,0.824324011803,305.0,370.0,1.29999995232,26.0,20.0,0.627119004726,37.0,59.0,0.666666984558,42.0,63.0,0.603774011135,32.0,53.0,0.773585021496,41.0,53.0,0.0,0.0,0.0,1.28570997715,18.0,14.0,0.0,0.0,0.0,0.978260993958,135.0,138.0,0.974684000015,154.0,158.0
19,201144.0,Mike Conley,1610612763.0,780.0,743.0,0.952564102564,0.860118985176,289.0,336.0,1.57895004749,30.0,19.0,0.972972989082,72.0,74.0,0.939999997616,47.0,50.0,0.804877996445,33.0,41.0,1.1875,76.0,64.0,0.0,0.0,0.0,1.33333003521,16.0,12.0,0.0,0.0,0.0,1.01999998093,102.0,100.0,0.928570985794,78.0,84.0
20,202710.0,Jimmy Butler,1610612741.0,1037.0,1059.0,1.02121504339,0.887849986553,285.0,321.0,1.54736995697,147.0,95.0,1.06154000759,69.0,65.0,1.0,130.0,130.0,0.744185984135,32.0,43.0,0.86792498827,46.0,53.0,0.915253996849,54.0,59.0,1.34783005714,31.0,23.0,1.39999997616,14.0,10.0,0.971962988377,104.0,107.0,1.12214004993,147.0,131.0
21,203471.0,Dennis Schroder,1610612737.0,726.0,617.0,0.849862258953,0.723349988461,285.0,394.0,1.0,14.0,14.0,1.12195003033,46.0,41.0,0.891304016113,41.0,46.0,0.428570985794,15.0,35.0,1.16216003895,43.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14772999287,101.0,88.0,1.01408004761,72.0,71.0
22,201952.0,Jeff Teague,1610612737.0,896.0,805.0,0.8984375,0.764227986336,282.0,369.0,1.38461995125,18.0,13.0,0.921568989754,47.0,51.0,0.842975020409,102.0,121.0,0.795917987823,39.0,49.0,0.466666996479,14.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33010005951,137.0,103.0,1.03750002384,166.0,160.0
23,2544.0,LeBron James,1610612739.0,1352.0,1336.0,0.988165680473,0.869427025318,273.0,314.0,1.38157999516,105.0,76.0,0.920000016689,23.0,25.0,0.839079976082,219.0,261.0,0.506328999996,40.0,79.0,1.05882000923,36.0,34.0,0.9375,135.0,144.0,1.39473998547,53.0,38.0,1.23076999187,48.0,39.0,0.958763003349,93.0,97.0,1.26938998699,311.0,245.0
