,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
0,0,12,0,0020300624,,,12:00,1,0,0,0,0,,,,,,0,,,,,,0,,,,,,,,,8:50 PM
1,0,10,1,0020300624,Jump Ball Duncan vs. Magloire: Tip to Armstrong,,12:00,1,4,5,5,1495,Tim Duncan,SAS,San Antonio,1610612759.0,Spurs,2048,Jamaal Magloire,NOH,New Orleans,1610612740.0,Hornets,353,Darrell Armstrong,NOH,New Orleans,1610612740.0,Hornets,,,,8:51 PM
2,1,6,2,0020300624,Nesterovic P.FOUL (P1.T1),,11:43,1,4,0,1,1725,Rasho Nesterovic,SAS,San Antonio,1610612759.0,Spurs,0,,,,,,0,,,,,,,,,8:52 PM
3,1,2,3,0020300624,,,11:32,1,5,0,0,120,Steven Smith,NOH,New Orleans,1610612740.0,Hornets,0,,,,,,0,,,,,,,,MISS Smith 6' Jump Shot,8:52 PM
4,0,4,4,0020300624,,,11:30,1,5,0,0,248,George Lynch,NOH,New Orleans,1610612740.0,Hornets,0,,,,,,0,,,,,,,,Lynch REBOUND (Off:1 Def:0),8:52 PM
5,5,2,5,0020300624,,,11:28,1,5,0,0,248,George Lynch,NOH,New Orleans,1610612740.0,Hornets,0,,,,,,0,,,,,,,,MISS Lynch 2' Layup,8:53 PM
6,0,4,6,0020300624,SPURS Rebound,,11:28,1,2,0,0,1610612759,,,,,,0,,,,,,0,,,,,,,,,8:53 PM
7,3,6,7,0020300624,,,11:28,1,5,0,1,2048,Jamaal Magloire,NOH,New Orleans,1610612740.0,Hornets,0,,,,,,0,,,,,,,,Magloire L.B.FOUL (P1.T1),8:53 PM
8,1,1,8,0020300624,Turkoglu 16' Jump Shot (2 PTS) (Duncan 1 AST),,11:14,1,4,4,0,2045,Hedo Turkoglu,SAS,San Antonio,1610612759.0,Spurs,1495,Tim Duncan,SAS,San Antonio,1610612759.0,Spurs,0,,,,,,0 - 2,2,,8:53 PM
9,47,2,9,0020300624,,,10:52,1,5,0,0,248,George Lynch,NOH,New Orleans,1610612740.0,Hornets,0,,,,,,0,,,,,,,,MISS Lynch 10' Turnaround Jump Shot,8:53 PM
10,0,4,10,0020300624,Turkoglu REBOUND (Off:0 Def:1),,10:51,1,4,0,0,2045,Hedo Turkoglu,SAS,San Antonio,1610612759.0,Spurs,0,,,,,,0,,,,,,,,,8:53 PM
11,1,2,11,0020300624,MISS Nesterovic 5' Jump Shot,,10:45,1,4,0,0,1725,Rasho Nesterovic,SAS,San Antonio,1610612759.0,Spurs,0,,,,,,0,,,,,,,,,8:53 PM
12,0,4,12,0020300624,,,10:43,1,5,0,0,353,Darrell Armstrong,NOH,New Orleans,1610612740.0,Hornets,0,,,,,,0,,,,,,,,Armstrong REBOUND (Off:0 Def:1),8:53 PM
13,2,6,13,0020300624,Parker S.FOUL (P1.T2),,10:36,1,4,0,1,2225,Tony Parker,SAS,San Antonio,1610612759.0,Spurs,0,,,,,,0,,,,,,,,,8:54 PM
14,11,3,14,0020300624,,,10:36,1,5,0,0,353,Darrell Armstrong,NOH,New Orleans,1610612740.0,Hornets,0,,,,,,0,,,,,,1 - 2,1,Armstrong Free Throw 1 of 2 (1 PTS),8:54 PM
