,AGE,AST,BLK,BLKA,CFID,CFPARAMS,DD2,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,L,MIN,OREB,PF,PFD,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,STL,TD3,TEAM_ABBREVIATION,TEAM_ID,TOV,W,W_PCT
28,32.0,146,84,35,5,"717,1610612757",15,433,132,49,0.371,658,328,0.498,287,223,0.777,69,26,1813.34666667,114,171,0,717,Arvydas Sabonis,361,928,547,63,0,POR,1610612757.0,151,43,0.623
29,25.0,3,3,6,5,"732,1610612764",0,33,1,1,1.0,40,12,0.3,28,15,0.536,31,15,150.426666667,19,29,0,732,Ashraf Amaya,-41,40,52,7,0,WAS,1610612764.0,10,16,0.516
30,32.0,513,15,51,5,"422,1610612759",11,115,26,6,0.231,685,327,0.477,203,140,0.69,76,57,2546.56333333,32,148,1,422,Avery Johnson,-377,800,147,96,0,SAS,1610612759.0,146,19,0.25
31,29.0,126,2,15,5,"769,1610612744",0,66,90,25,0.278,327,148,0.453,79,68,0.861,49,30,1052.74333333,7,54,0,769,B.J. Armstrong,-148,389,73,25,0,GSW,1610612744.0,53,19,0.388
32,24.0,0,1,6,5,"989,1610612756",0,15,0,0,0.0,26,10,0.385,20,9,0.45,20,8,104.781666667,12,16,0,989,Ben Davis,-13,29,27,4,0,PHX,1610612756.0,3,12,0.6
33,22.0,2,11,8,5,"1112,1610612764",0,33,0,0,0.0,46,16,0.348,20,6,0.3,34,13,204.776666667,25,27,1,1112,Ben Wallace,-20,38,58,8,0,WAS,1610612764.0,18,21,0.618
34,32.0,1,0,2,5,"104,1610612761",0,6,0,0,0.0,12,5,0.417,4,3,0.75,4,2,44.06,3,5,0,104,Benoit Benjamin,-11,13,9,1,0,TOR,1610612761.0,2,2,0.5
35,34.0,41,11,9,5,"82,1610612741",1,83,2,0,0.0,237,118,0.498,53,44,0.83,61,8,805.518333333,46,122,0,82,Bill Wennington,105,280,129,11,0,CHI,1610612741.0,31,53,0.869
36,28.0,187,25,45,5,"182,1610612758",9,258,72,25,0.347,640,299,0.467,145,101,0.697,66,40,2055.65833333,134,185,0,182,Billy Owens,-101,724,392,62,0,SAC,1610612758.0,133,26,0.394
37,29.0,149,7,21,5,"902,1610612744",0,79,102,30,0.294,314,122,0.389,49,37,0.755,51,32,1221.15166667,39,93,0,902,Bimbo Coles,-149,311,118,35,0,GSW,1610612744.0,59,19,0.373
38,28.0,12,5,6,5,"183,1610612741",0,19,0,0,0.0,63,26,0.413,15,11,0.733,9,3,144.486666667,14,20,0,183,Bison Dele,-3,63,33,3,0,CHI,1610612741.0,11,6,0.667
39,31.0,114,20,28,5,"898,1610612763",0,140,89,25,0.281,458,182,0.397,109,89,0.817,61,52,1473.99333333,49,130,1,898,Blue Edwards,-311,478,189,38,0,VAN,1610612763.0,81,9,0.148
