,AGE,CFID,CFPARAMS,GP,L,MIN,PCT_AST,PCT_BLK,PCT_BLKA,PCT_DREB,PCT_FG3A,PCT_FG3M,PCT_FGA,PCT_FGM,PCT_FTA,PCT_FTM,PCT_OREB,PCT_PF,PCT_PFD,PCT_PTS,PCT_REB,PCT_STL,PCT_TOV,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TEAM_ID,USG_PCT,W,W_PCT
0,,5,"1479,",1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1479,,,,0.0,0,0.0
1,26.0,5,"1425,1610612760",3,1,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.273,0.0,0.2,0.25,0.25,0.0,0.0,0.2,0.125,0.0,0.5,1425,Aaron Williams,SEA,1610612760.0,0.28,2,0.667
2,28.0,5,"228,1610612762",15,7,155.0,0.032,0.222,0.25,0.226,0.0,0.0,0.122,0.106,0.279,0.268,0.394,0.269,0.0,0.132,0.27,0.167,0.065,228,Adam Keefe,UTA,1610612762.0,0.127,8,0.533
3,25.0,5,"673,1610612737",4,3,126.0,0.087,0.077,0.25,0.145,0.022,0.0,0.19,0.227,0.316,0.289,0.313,0.224,0.0,0.22,0.191,0.167,0.2,673,Alan Henderson,ATL,1610612737.0,0.204,1,0.25
4,27.0,5,"275,1610612752",10,6,404.0,0.185,0.077,0.176,0.129,0.207,0.196,0.283,0.28,0.276,0.301,0.071,0.119,0.0,0.28,0.114,0.068,0.241,275,Allan Houston,NYK,1610612752.0,0.276,4,0.4
5,28.0,5,"297,1610612748",4,2,137.0,0.104,0.769,1.0,0.282,0.0,0.0,0.292,0.322,0.315,0.322,0.455,0.243,1.0,0.295,0.318,0.136,0.205,297,Alonzo Mourning,MIA,1610612748.0,0.283,2,0.5
6,39.0,5,"175,1610612757",2,2,11.0,0.0,1.0,0.0,0.2,0.0,0.0,0.188,0.143,0.0,0.0,0.333,0.714,0.0,0.125,0.25,0.0,0.25,175,Alton Lister,POR,1610612757.0,0.194,0,0.0
7,34.0,5,"194,1610612752",7,4,21.0,0.125,0.0,0.0,0.0,0.0,0.0,0.111,0.154,0.0,0.0,0.0,0.333,0.0,0.111,0.0,1.0,0.167,194,Anthony Bowie,NYK,1610612752.0,0.108,3,0.429
8,31.0,5,"193,1610612766",9,5,367.0,0.194,0.0,0.139,0.256,0.013,0.0,0.179,0.224,0.294,0.255,0.262,0.103,0.667,0.219,0.257,0.163,0.21,193,Anthony Mason,CHH,1610612766.0,0.193,4,0.444
9,26.0,5,"292,1610612737",4,3,32.0,0.091,0.25,0.333,0.174,0.0,0.0,0.16,0.143,0.143,0.25,0.714,0.238,0.0,0.148,0.3,0.333,0.3,292,Anthony Miller,ATL,1610612737.0,0.18,1,0.25
10,28.0,5,"324,1610612750",5,3,213.0,0.184,0.176,0.188,0.196,0.344,0.469,0.216,0.214,0.045,0.057,0.271,0.158,0.0,0.207,0.222,0.313,0.133,324,Anthony Peeler,MIN,1610612750.0,0.19,2,0.4
11,36.0,5,"156,1610612762",20,7,292.0,0.08,0.429,0.2,0.13,0.0,0.0,0.202,0.194,0.055,0.051,0.276,0.33,0.0,0.155,0.163,0.032,0.111,156,Antoine Carr,UTA,1610612762.0,0.174,13,0.65
12,29.0,5,"213,1610612754",16,6,458.0,0.088,0.45,0.167,0.292,0.0,0.0,0.146,0.148,0.287,0.251,0.474,0.259,0.5,0.171,0.336,0.164,0.177,213,Antonio Davis,IND,1610612754.0,0.173,10,0.625
13,23.0,5,"686,1610612756",4,3,145.0,0.066,0.5,0.423,0.385,0.0,0.0,0.256,0.282,0.246,0.209,0.486,0.158,0.0,0.26,0.414,0.08,0.143,686,Antonio McDyess,PHX,1610612756.0,0.242,1,0.25
14,33.0,5,"717,1610612757",4,3,107.0,0.122,0.273,0.333,0.375,0.074,0.091,0.222,0.228,0.237,0.261,0.2,0.352,0.0,0.228,0.313,0.389,0.313,717,Arvydas Sabonis,POR,1610612757.0,0.236,1,0.25
15,33.0,5,"422,1610612759",9,5,343.0,0.455,0.0,0.241,0.043,0.024,0.0,0.196,0.255,0.229,0.224,0.035,0.174,0.0,0.237,0.041,0.22,0.208,422,Avery Johnson,SAS,1610612759.0,0.203,4,0.444
16,30.0,5,"769,1610612766",9,5,146.0,0.353,0.0,0.333,0.105,0.167,0.333,0.19,0.186,0.067,0.064,0.067,0.147,0.0,0.164,0.094,0.261,0.136,769,B.J. Armstrong,CHH,1610612766.0,0.171,4,0.444
17,26.0,5,"223,1610612750",2,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223,Bill Curley,MIN,1610612750.0,0.0,1,0.5
18,35.0,5,"82,1610612741",16,4,120.0,0.054,0.167,0.273,0.164,0.0,0.0,0.202,0.222,0.104,0.071,0.1,0.404,0.0,0.18,0.144,0.222,0.267,82,Bill Wennington,CHI,1610612741.0,0.197,12,0.75
19,25.0,5,"682,1610612739",3,2,30.0,0.444,0.0,0.167,0.2,0.4,0.0,0.125,0.077,0.176,0.154,0.0,0.235,0.0,0.1,0.13,0.333,0.167,682,Bob Sura,CLE,1610612739.0,0.14,1,0.333
20,28.0,5,"184,1610612766",9,5,270.0,0.188,0.143,0.067,0.119,0.254,0.227,0.153,0.131,0.085,0.034,0.077,0.229,0.0,0.123,0.109,0.303,0.181,184,Bobby Phills,CHH,1610612766.0,0.152,4,0.444
21,33.0,5,"38,1610612759",4,1,9.0,0.25,0.0,0.333,0.222,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,1.0,0.0,38,Brad Lohaus,SAS,1610612759.0,0.044,3,0.75
22,29.0,5,"85,1610612745",5,3,74.0,0.333,0.0,0.143,0.167,0.5,0.556,0.142,0.15,0.056,0.049,0.071,0.316,0.0,0.146,0.145,0.308,0.273,85,Brent Price,HOU,1610612745.0,0.147,2,0.4
23,22.0,5,"1510,1610612739",4,3,132.0,0.418,0.091,0.083,0.225,0.0,0.0,0.121,0.075,0.108,0.091,0.0,0.239,0.0,0.078,0.163,0.385,0.16,1510,Brevin Knight,CLE,1610612739.0,0.126,1,0.25
24,24.0,5,"967,1610612751",3,3,2.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,967,Brian Evans,NJN,1610612751.0,0.0,0,0.0
25,26.0,5,"258,1610612757",4,3,134.0,0.097,0.231,0.136,0.347,0.0,0.0,0.173,0.196,0.225,0.25,0.474,0.25,0.0,0.199,0.391,0.174,0.096,258,Brian Grant,POR,1610612757.0,0.166,1,0.25
26,27.0,5,"935,1610612762",20,7,700.0,0.07,0.072,0.086,0.191,0.46,0.469,0.141,0.145,0.2,0.19,0.089,0.135,0.0,0.167,0.166,0.214,0.084,935,Bryon Russell,UTA,1610612762.0,0.14,13,0.65
27,38.0,5,"433,1610612752",3,2,45.0,0.043,0.333,0.5,0.29,0.0,0.0,0.132,0.138,0.32,0.3,0.875,0.156,0.0,0.169,0.41,0.0,0.214,433,Buck Williams,NYK,1610612752.0,0.167,1,0.333
