,PlayerID,PlayerName,TeamID,Total_Poss,Total_Points,Total_PPP,PRBallHandler,Cut,Handoff,Isolation,Misc,OffScreen,Postup,OffRebound,PRRollMan,Spotup,Transition,Offensive_Metric
0,202704.0,Reggie Jackson,1610612765.0,1165.0,1084.0,0.930472103004,43.5846189398,10.1827485195,-2.9357497257,6.73373878102,24.3754727151,-2.43545829369,-0.0,-1.97104632588,-0.0,24.8619937541,-14.2319111726,85.5220369602
1,203081.0,Damian Lillard,1610612757.0,1291.0,1250.0,0.968241673122,61.4899598379,-3.62449751731,2.07950081561,44.5051424297,8.08041538723,3.29315995348,-0.0,2.35974526725,-0.0,24.5543766357,-25.703396669,116.643667189
2,101108.0,Chris Paul,1610612746.0,1009.0,974.0,0.965312190287,49.9177228671,-0.0,-2.40243970781,27.9426763238,18.6541064041,-0.0,4.67095265926,13.1597435506,-0.0,8.49858273532,-2.85835581076,117.445599014
3,201566.0,Russell Westbrook,1610612760.0,1496.0,1402.0,0.937165775401,28.5688636009,3.60752721294,-0.0223268340008,-11.1499709188,5.40225290698,5.92903904668,18.7778313043,-9.422802918,-0.0,-13.7432702679,27.9227859752,48.0673619757
4,202689.0,Kemba Walker,1610612766.0,1164.0,1130.0,0.970790378007,20.0470550579,7.87657035074,23.4466774087,-11.4871135145,15.5281164408,13.3280934172,-0.0,8.47772896699,-0.0,36.8387741571,11.1430304365,108.614597751
5,203468.0,CJ McCollum,1610612757.0,1215.0,1168.0,0.961316872428,45.6441382671,-0.936933023084,10.7001777258,8.50798223175,7.09152170547,-9.02655810793,-0.0,-1.03354632588,-0.0,23.1583444707,-8.30511770485,79.7112540044
6,201939.0,Stephen Curry,1610612744.0,1382.0,1634.0,1.18234442836,130.75021071,23.2654307438,31.4804484636,21.4828073523,27.1185007849,69.6651536549,-0.0,-4.61350571772,-0.0,85.8542911925,54.9056285565,365.106813965
7,201942.0,DeMar DeRozan,1610612761.0,1322.0,1287.0,0.973524962179,71.2677792978,12.2528376105,14.9389633993,9.21440481834,28.6377044882,-21.9938161479,-0.788572217901,-0.181495424886,-0.0,13.7579417476,5.52207969438,117.900583387
8,201950.0,Jrue Holiday,1610612740.0,870.0,790.0,0.908045977011,24.1575696813,15.3963079628,13.062749278,19.3149879125,7.01205515094,-3.63886738822,-1.59068516386,-2.5411212423,-0.0,-5.27332570612,-17.1204990891,40.6572905055
9,201935.0,James Harden,1610612745.0,1634.0,1624.0,0.99388004896,63.0335767859,3.89485565993,-0.953201866047,46.5730132167,21.1062652664,-3.91137399873,1.26377833144,-5.03499328788,-0.0,41.2248525388,-6.92519978252,158.772268395
10,101150.0,Louis Williams,1610612747.0,838.0,852.0,1.01670644391,64.2058690161,1.01637388152,-2.91352848645,32.8984600611,0.359763758095,1.93267189047,-0.0,2.47157788579,-0.0,13.9163419238,-3.38748561435,104.265937276
11,202322.0,John Wall,1610612764.0,1288.0,1068.0,0.829192546584,-39.7516080143,-0.0,-1.15406786408,-12.6131194524,5.40225290698,3.16310228385,-2.12867857761,-4.02236103834,-0.0,-0.945805056989,-13.782222288,-91.4005539869
12,201565.0,Derrick Rose,1610612741.0,949.0,787.0,0.829293993678,0.206913739531,-9.99587057706,-5.19284066869,-0.991431025179,-0.0690799845174,0.611586848504,-0.0,-3.72135209735,-0.0,-0.824292513648,-23.8463679374,-54.2647971134
13,200768.0,Kyle Lowry,1610612761.0,1152.0,1147.0,0.995659722222,19.6732430489,10.0156248246,17.1156412442,-0.916465464198,12.5651644928,0.371092876782,-2.2116742828,1.09525728528,-0.0,49.205048299,18.6329579517,113.942999058
14,202738.0,Isaiah Thomas,1610612738.0,1296.0,1258.0,0.970679012346,3.01410480837,3.42339508987,3.69267238611,18.2621345984,21.2674845342,10.0116429176,-0.0,2.71645367412,-0.0,21.6668685961,-9.67205305737,73.9473899674
15,2225.0,Tony Parker,1610612759.0,689.0,673.0,0.976777939042,46.1767192787,10.8459109092,-4.71633087181,-2.86832251098,3.66765819362,-6.09025502028,-0.0,-0.0,-0.0,19.1311243049,5.53267872071,63.3086532377
16,2548.0,Dwyane Wade,1610612748.0,1101.0,975.0,0.885558583106,11.4346145155,-8.4437447934,-5.01737218876,-15.1103737525,9.93105164127,6.24790321665,-2.40739898975,5.7704780196,-0.0,-0.822337753778,-5.35117247738,-9.91335543565
17,203903.0,Jordan  Clarkson,1610612747.0,939.0,879.0,0.936102236422,26.6399580872,0.964605813026,22.3159826049,-15.2557589668,2.697727882,4.52634541037,-0.0,-3.03483187619,-0.0,35.9541637192,-26.983926198,27.0447229077
18,101145.0,Monta Ellis,1610612754.0,928.0,790.0,0.851293103448,4.52604424532,2.59657043995,-9.47119454208,-7.38488879208,1.84104958942,-7.35416328877,-0.0,3.90252399765,-0.0,0.87346399793,-19.118902335,-40.8367652719
19,201144.0,Mike Conley,1610612763.0,780.0,743.0,0.952564102564,14.633359721,11.3645456706,6.4710542512,4.582609394,8.53501390431,17.8254308066,-0.0,4.23083114908,-0.0,4.91732724705,-13.2804149932,55.0436915289
20,202710.0,Jimmy Butler,1610612741.0,1037.0,1059.0,1.02121504339,22.3341572626,51.0440004793,12.3125512678,20.4753028891,6.33423272541,-3.91137399873,2.68657380764,8.64673603132,5.41361743829,0.0178982031765,3.42617801836,110.511254237
21,203471.0,Dennis Schroder,1610612737.0,726.0,617.0,0.849862258953,-24.5483421938,-2.80184601861,10.9872285577,2.00106018721,-1.76505338507,8.99582278905,-0.0,-0.0,-0.0,17.7698493623,-6.10219215855,-11.6134605758
