GROUP_NAME,OFF_RATING,TEAM_ABBREVIATION
"Curry,Stephen - Green,Draymond - Iguodala,Andre - Thompson,Klay",129.2,GSW
"Crawford,Jamal - Jordan,DeAndre - Paul,Chris - Redick,JJ",121.3,LAC
"Durant,Kevin - Ibaka,Serge - Waiters,Dion - Westbrook,Russell",119.4,OKC
"Irving,Kyrie - Love,Kevin - Smith,JR - Thompson,Tristan",118.5,CLE
"Felton,Raymond - Matthews,Wesley - Nowitzki,Dirk - Pachulia,Zaza",116.9,DAL
"Joseph,Cory - Lowry,Kyle - Patterson,Patrick - Ross,Terrence",114.4,TOR
"Ariza,Trevor - Beverley,Patrick - Capela,Clint - Harden,James",114.2,HOU
"Dieng,Gorgui - Rubio,Ricky - Towns,Karl-Anthony - Wiggins,Andrew",113.1,MIN
"Collison,Darren - Cousins,DeMarcus - Gay,Rudy - Rondo,Rajon",110.3,SAC
"Batum,Nicolas - Jefferson,Al - Walker,Kemba - Williams,Marvin",109.9,CHA
"Faried,Kenneth - Gallinari,Danilo - Harris,Gary - Nelson,Jameer",109.1,DEN
"Aminu,Al-Farouq - Crabbe,Allen - Lillard,Damian - Plumlee,Mason",108.9,POR
"Ellis,Monta - George,Paul - Hill,George - Hill,Jordan",108.3,IND
"Johnson,Joe - Lopez,Brook - Sloan,Donald - Young,Thaddeus",108.1,BKN
"Gordon,Aaron - Oladipo,Victor - Payton,Elfrid - Vucevic,Nikola",107.9,ORL
"Hayward,Gordon - Hood,Rodney - Lyles,Trey - Neto,Raul",107.9,UTA
"Bradley,Avery - Crowder,Jae - Johnson,Amir - Thomas,Isaiah",107.6,BOS
"Dudley,Jared - Gortat,Marcin - Temple,Garrett - Wall,John",107.3,WAS
"Carter-Williams,Michael - Middleton,Khris - Monroe,Greg - Parker,Jabari",106.8,MIL
"Aldridge,LaMarcus - Duncan,Tim - Leonard,Kawhi - Parker,Tony",106.1,SAS
"Allen,Tony - Conley,Mike - Lee,Courtney - Randolph,Zach",106.1,MEM
"Caldwell-Pope,Kentavious - Drummond,Andre - Jackson,Reggie - Morris,Marcus",105.9,DET
"Bazemore,Kent - Horford,Al - Korver,Kyle - Millsap,Paul",105.8,ATL
"Afflalo,Arron - Anthony,Carmelo - Calderon,Jose - Porzingis,Kristaps",105.5,NYK
"Butler,Jimmy - Gasol,Pau - Mirotic,Nikola - Snell,Tony",102.8,CHI
"Bosh,Chris - Dragic,Goran - Wade,Dwyane - Whiteside,Hassan",102,MIA
"Bledsoe,Eric - Knight,Brandon - Morris,Markieff - Tucker,PJ",101.6,PHX
"Bryant,Kobe - Hibbert,Roy - Nance Jr.,Larry - Williams,Lou",99.2,LAL
"Davis,Anthony - Evans,Tyreke - Gee,Alonzo - Gordon,Eric",98.4,NOP
