C.48,C.pct,C,PID,MP,PG MP,Is Regular Season,Period,Pf.48,PF.pct,PF,PF MP,C MP,SF MP,SG MP,Pg.48,PG.pct,PG,Player,Sf.48,SF.pct,SF,Sg.48,SG.pct,SG,Team,Mins,Pos.Est
1.655303631,1,50456,Timofey MozgovCLEAll1,840.933333333,0,1,All,0,0,0,0,840.933333333,0,0,0,0,0,Timofey Mozgov,0,0,0,0,0,0,CLE,50456,5
0,0,0,TJ McConnellPHIAll1,1094.716666667,1079.95,1,All,0,0,0,0,0,0,14.766666667,-6.355849808,0.987,64797,T.J. McConnell,0,0,0,0,0.013,886,PHI,65683,1.013489031
0,0.008,508,TJ WarrenPHXAll1,1067.083333333,0,1,All,-1.128084606,0.239,15318,255.3,8.466666667,799.55,3.766666667,0,0,0,TJ Warren,-8.044525045,0.749,47973,0,0.004,226,PHX,64025,3.251589223
0,0.001,138,Tobias HarrisORLAll1,1607.833333333,0,1,All,-4.777109683,0.25,24115,401.916666667,2.3,1200.433333333,3.183333333,0,0,0,Tobias Harris,0.159942243,0.747,72026,0,0.002,191,ORL,96470,3.250855188
0,0,0,Toney DouglasNOPAll1,442.466666667,94.883333333,1,All,0,0,0,0,0,38.75,308.833333333,-16.188301423,0.214,5693,Toney Douglas,-9.909677419,0.088,2325,2.020507285,0.698,18530,NOP,26548,1.873135453
0,0,0,Tony AllenMEMAll1,1117.916666667,14.816666667,1,All,0,0.003,183,3.05,0,549.333333333,550.716666667,0,0.013,889,Tony Allen,7.689320388,0.491,32960,-8.280119844,0.493,33043,MEM,67075,2.483592993
0,0,0,Tony ParkerSASAll1,1282.75,1282.75,1,All,0,0,0,0,0,0,0,12.236211265,1,76965,Tony Parker,0,0,0,0,0,0,SAS,76965,1
0,0,0,Tony SnellCHIAll1,1018.383333333,0,1,All,0,0.007,420,7,0,838.6,172.783333333,0,0,0,Tony Snell,5.552110661,0.823,50316,-1.111218289,0.17,10367,CHI,61103,2.837209302
0,0,0,Tony WrotenPHIAll1,144.033333333,138.466666667,1,All,0,0,0,0,0,0,5.566666667,-24.265767935,0.961,8308,Tony Wroten,0,0,0,34.491017964,0.039,334,PHI,8642,1.038648461
0,0.008,826,Trevor ArizaHOUAll1,1832.516666667,0,1,All,2.437298046,0.473,51992,866.533333333,13.766666667,952.216666667,0,0,0,0,Trevor Ariza,-4.58719129,0.52,57133,0,0,0,HOU,109951,3.48789006
-13.464935065,0.175,11550,Trevor BookerUTAAll1,1098.566666667,0,1,All,4.397108327,0.825,54363,906.05,192.5,0.016666667,0,0,0,0,Trevor  Booker,0,0,1,0,0,0,UTA,65914,4.175213157
0,0,0,Trey BurkeUTAAll1,1162.35,1138.4,1,All,0,0,0,0,0,0,23.95,0.801124385,0.979,68304,Trey Burke,0,0,0,0,0.021,1437,UTA,69741,1.020604809
8.293736501,0.027,1389,Trey LylesUTAAll1,853.766666667,0,1,All,-1.444709754,0.973,49837,830.616666667,23.15,0,0,0,0,0,Trey Lyles,0,0,0,0,0,0,UTA,51226,4.027115137
7.644615596,0.846,72710,Tristan ThompsonCLEAll1,1432.016666667,0,1,All,7.84800545,0.154,13211,220.183333333,1211.833333333,0,0,0,0,0,Tristan Thompson,0,0,0,0,0,0,CLE,85921,4.846242479
0,0,0,Troy DanielsCHAAll1,283.916666667,0,1,All,0,0,0,0,0,99.416666667,184.5,0,0,0,Troy Daniels,10.621961442,0.35,5965,-10.666666667,0.65,11070,CHA,17035,2.350161432
0,0,0,Ty LawsonHOUAll1,1114.133333333,1114.133333333,1,All,0,0,0,0,0,0,0,-5.90234562,1,66848,Ty Lawson,0,0,0,0,0,0,HOU,66848,1
0,0,0,Tyler EnnisMILAll1,208.983333333,208.983333333,1,All,0,0,0,0,0,0,0,-9.646702289,1,12539,Tyler Ennis,0,0,0,0,0,0,MIL,12539,1
