,AST_PCT,AST_RATIO,AST_TO,CFID,CFPARAMS,DEF_RATING,DREB_PCT,EFG_PCT,GP,L,MIN,NET_RATING,OFF_RATING,OREB_PCT,PACE,PIE,REB_PCT,TEAM_ID,TEAM_NAME,TM_TOV_PCT,TS_PCT,W,W_PCT
0,0.663,19.1,1.71,10,Atlanta Hawks,98.8,0.746,0.516,82,34,3966.0,4.1,103.0,0.191,99.4,0.528,0.475,1610612737,Atlanta Hawks,0.15,0.552,48,0.585
1,0.616,17.6,1.76,10,Boston Celtics,100.9,0.746,0.488,82,34,3956.0,3.0,103.9,0.251,101.15,0.52,0.494,1610612738,Boston Celtics,0.135,0.531,48,0.585
2,0.583,17.1,1.51,10,Brooklyn Nets,108.5,0.757,0.492,82,61,3951.0,-7.6,100.9,0.241,97.37,0.46,0.494,1610612751,Brooklyn Nets,0.151,0.527,21,0.256
3,0.586,16.8,1.73,10,Charlotte Hornets,101.8,0.798,0.502,82,34,3971.0,3.3,105.1,0.2,97.8,0.511,0.496,1610612766,Charlotte Hornets,0.127,0.545,48,0.585
4,0.591,17.1,1.64,10,Chicago Bulls,103.9,0.749,0.487,82,40,3981.0,-1.8,102.1,0.245,98.25,0.494,0.502,1610612741,Chicago Bulls,0.14,0.526,42,0.512
5,0.587,17.5,1.67,10,Cleveland Cavaliers,102.3,0.785,0.524,82,25,3971.0,5.8,108.1,0.251,95.48,0.528,0.52,1610612739,Cleveland Cavaliers,0.141,0.558,57,0.695
6,0.592,17.2,1.73,10,Dallas Mavericks,104.3,0.762,0.502,82,40,4001.0,0.6,104.8,0.206,96.4,0.503,0.485,1610612742,Dallas Mavericks,0.131,0.544,42,0.512
7,0.601,17.0,1.55,10,Denver Nuggets,106.4,0.773,0.489,82,49,3966.0,-3.7,102.7,0.258,98.16,0.479,0.511,1610612743,Denver Nuggets,0.148,0.531,33,0.402
8,0.512,14.9,1.44,10,Detroit Pistons,103.4,0.793,0.491,82,38,3976.0,-0.2,103.3,0.27,97.39,0.486,0.521,1610612765,Detroit Pistons,0.137,0.522,44,0.537
9,0.68,20.5,1.91,10,Golden State Warriors,100.9,0.76,0.563,82,9,3976.0,11.6,112.5,0.235,101.65,0.567,0.513,1610612744,Golden State Warriors,0.149,0.593,73,0.89
10,0.589,16.5,1.39,10,Houston Rockets,105.6,0.728,0.516,82,41,3966.0,-0.2,105.5,0.257,100.08,0.49,0.491,1610612745,Houston Rockets,0.158,0.553,41,0.5
11,0.554,16.2,1.43,10,Indiana Pacers,100.2,0.76,0.497,82,37,3976.0,2.2,102.4,0.234,98.99,0.518,0.498,1610612754,Indiana Pacers,0.149,0.536,45,0.549
12,0.596,17.6,1.76,10,Los Angeles Clippers,100.9,0.738,0.524,82,29,3966.0,5.5,106.5,0.201,97.97,0.533,0.474,1610612746,Los Angeles Clippers,0.132,0.556,53,0.646
13,0.513,14.1,1.31,10,Los Angeles Lakers,109.3,0.747,0.46,82,65,3946.0,-10.7,98.6,0.231,97.99,0.424,0.48,1610612747,Los Angeles Lakers,0.139,0.509,17,0.207
14,0.562,16.1,1.56,10,Memphis Grizzlies,105.4,0.751,0.477,82,40,3966.0,-2.9,102.6,0.253,95.65,0.483,0.491,1610612763,Memphis Grizzlies,0.138,0.524,42,0.512
15,0.543,16.4,1.48,10,Miami Heat,101.5,0.778,0.508,82,34,3966.0,2.6,104.2,0.238,95.75,0.525,0.517,1610612748,Miami Heat,0.147,0.545,48,0.585
16,0.603,17.7,1.52,10,Milwaukee Bucks,105.7,0.731,0.499,82,49,3966.0,-3.5,102.2,0.249,96.55,0.483,0.492,1610612749,Milwaukee Bucks,0.157,0.537,33,0.402
17,0.619,17.8,1.56,10,Minnesota Timberwolves,107.1,0.747,0.498,82,53,3976.0,-2.8,104.3,0.243,97.59,0.497,0.498,1610612750,Minnesota Timberwolves,0.153,0.549,29,0.354
18,0.577,16.9,1.65,10,New Orleans Pelicans,107.3,0.788,0.498,82,52,3956.0,-4.1,103.2,0.212,98.91,0.472,0.49,1610612740,New Orleans Pelicans,0.135,0.537,30,0.366
19,0.557,16.1,1.53,10,New York Knicks,104.8,0.758,0.483,82,50,3961.0,-2.8,102.0,0.237,95.83,0.487,0.501,1610612752,New York Knicks,0.139,0.527,32,0.39
20,0.558,16.8,1.44,10,Oklahoma City Thunder,103.0,0.76,0.524,82,27,3966.0,6.9,109.9,0.311,99.37,0.546,0.547,1610612760,Oklahoma City Thunder,0.159,0.565,55,0.671
21,0.596,17.7,1.67,10,Orlando Magic,104.6,0.765,0.5,82,47,3981.0,-2.0,102.6,0.231,98.16,0.488,0.494,1610612753,Orlando Magic,0.142,0.533,35,0.427
22,0.594,16.3,1.31,10,Philadelphia 76ers,106.7,0.74,0.487,82,72,3961.0,-10.0,96.6,0.206,100.23,0.428,0.464,1610612755,Philadelphia 76ers,0.162,0.519,10,0.122
23,0.558,15.5,1.21,10,Phoenix Suns,107.0,0.771,0.487,82,59,3941.0,-7.6,99.4,0.254,100.86,0.45,0.506,1610612756,Phoenix Suns,0.169,0.526,23,0.28
24,0.552,16.2,1.46,10,Portland Trail Blazers,105.6,0.762,0.511,82,38,3961.0,0.6,106.1,0.259,98.31,0.493,0.51,1610612757,Portland Trail Blazers,0.148,0.548,44,0.537
25,0.612,17.7,1.52,10,Sacramento Kings,106.3,0.749,0.51,82,49,3961.0,-3.0,103.3,0.239,102.24,0.494,0.496,1610612758,Sacramento Kings,0.157,0.546,33,0.402
26,0.611,18.9,1.88,10,San Antonio Spurs,96.6,0.791,0.526,82,15,3941.0,11.8,108.4,0.23,95.72,0.578,0.52,1610612759,San Antonio Spurs,0.137,0.564,67,0.817
27,0.511,15.0,1.43,10,Toronto Raptors,102.7,0.777,0.504,82,26,3956.0,4.3,107.0,0.246,95.31,0.525,0.516,1610612761,Toronto Raptors,0.136,0.552,56,0.683
28,0.526,15.2,1.27,10,Utah Jazz,101.6,0.777,0.501,82,42,3991.0,1.6,103.1,0.259,93.26,0.508,0.519,1610612762,Utah Jazz,0.158,0.54,40,0.488
29,0.619,18.2,1.69,10,Washington Wizards,103.6,0.777,0.511,82,41,3951.0,-0.7,102.9,0.206,100.63,0.497,0.486,1610612764,Washington Wizards,0.143,0.544,41,0.5
