,AST_PCT,AST_RATIO,AST_TO,CFID,CFPARAMS,DEF_RATING,DREB_PCT,EFG_PCT,GP,L,MIN,NET_RATING,OFF_RATING,OREB_PCT,PACE,PIE,REB_PCT,TEAM_ID,TEAM_NAME,TM_TOV_PCT,TS_PCT,W,W_PCT
18,0.563,16.6,1.55,10,New Orleans Pelicans,107.3,0.738,0.495,82,48,3971.0,-2.6,104.7,0.269,94.51,0.483,0.5,1610612740,New Orleans Pelicans,0.145,0.537,34,0.415
19,0.542,16.1,1.54,10,New York Knicks,106.5,0.743,0.505,82,45,3971.0,-1.0,105.4,0.251,92.59,0.49,0.49,1610612752,New York Knicks,0.139,0.541,37,0.451
20,0.562,16.7,1.43,10,Oklahoma City Thunder,101.0,0.756,0.52,82,23,3961.0,7.1,108.1,0.265,97.91,0.543,0.522,1610612760,Oklahoma City Thunder,0.156,0.566,59,0.72
21,0.571,16.5,1.41,10,Orlando Magic,104.8,0.755,0.487,82,59,3991.0,-5.5,99.3,0.224,95.87,0.466,0.489,1610612753,Orlando Magic,0.153,0.525,23,0.28
22,0.576,16.0,1.29,10,Philadelphia 76ers,107.5,0.724,0.475,82,63,3971.0,-10.7,96.8,0.248,101.62,0.426,0.477,1610612755,Philadelphia 76ers,0.164,0.51,19,0.232
23,0.493,14.8,1.24,10,Phoenix Suns,103.8,0.737,0.519,82,34,3951.0,3.3,107.1,0.264,98.16,0.509,0.501,1610612756,Phoenix Suns,0.156,0.558,48,0.585
24,0.594,17.3,1.69,10,Portland Trail Blazers,104.7,0.747,0.504,82,28,3971.0,3.5,108.3,0.28,97.48,0.524,0.516,1610612757,Portland Trail Blazers,0.139,0.548,54,0.659
25,0.511,14.7,1.24,10,Sacramento Kings,106.3,0.766,0.484,82,54,3966.0,-3.4,102.9,0.278,96.75,0.473,0.519,1610612758,Sacramento Kings,0.156,0.532,28,0.341
26,0.621,19.1,1.75,10,San Antonio Spurs,100.1,0.764,0.537,82,20,3951.0,8.1,108.2,0.227,97.07,0.555,0.506,1610612759,San Antonio Spurs,0.148,0.571,62,0.756
27,0.581,16.5,1.5,10,Toronto Raptors,102.4,0.749,0.498,82,34,3991.0,3.5,105.8,0.272,94.42,0.512,0.509,1610612761,Toronto Raptors,0.148,0.545,48,0.585
28,0.564,16.1,1.39,10,Utah Jazz,109.1,0.745,0.484,82,57,3956.0,-8.4,100.6,0.255,93.57,0.451,0.492,1610612762,Utah Jazz,0.155,0.523,25,0.305
29,0.601,17.7,1.59,10,Washington Wizards,102.4,0.757,0.506,82,38,4011.0,0.9,103.3,0.252,95.45,0.504,0.5,1610612764,Washington Wizards,0.151,0.538,44,0.537
