,AST,AST_ADJ,AST_PTS_CREATED,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,FT_AST,GP,L,MIN,PASSES_MADE,PASSES_RECEIVED,PLAYER_ID,PLAYER_NAME,POTENTIAL_AST,SECONDARY_AST,TEAM_ABBREVIATION,TEAM_ID,W
0,46,66,107,0.078,0.112,4,26,15,324.0,587,697,201985,AJ Price,111,16,CLE,1610612739,11
1,261,384,615,0.083,0.122,35,82,32,1885.0,3135,3886,201166,Aaron Brooks,567,88,CHI,1610612741,50
2,33,45,80,0.042,0.057,1,47,33,797.0,791,581,203932,Aaron Gordon,65,11,ORL,1610612753,14
3,30,40,66,0.031,0.042,3,32,25,740.0,961,660,203940,Adreian Payne,72,7,MIN,1610612750,7
4,244,331,622,0.076,0.103,24,76,20,2318.0,3205,3000,201143,Al Horford,413,63,ATL,1610612737,56
5,113,161,262,0.067,0.096,15,65,40,1992.0,1683,1881,2744,Al Jefferson,226,33,CHA,1610612766,25
6,59,82,146,0.043,0.06,5,74,29,1366.0,1374,944,202329,Al-Farouq Aminu,124,18,DAL,1610612742,45
7,83,123,202,0.066,0.097,20,74,39,1744.0,1265,1283,101187,Alan Anderson,164,19,BKN,1610612751,35
8,82,113,196,0.063,0.087,11,27,18,899.0,1302,1464,202692,Alec Burks,171,20,UTA,1610612762,9
9,1,1,2,0.083,0.083,0,5,3,14.0,12,14,203945,Alex Kirk,1,0,CLE,1610612739,2
10,32,52,81,0.019,0.031,4,69,34,1518.0,1664,933,203458,Alex Len,85,16,PHX,1610612756,35
11,106,132,244,0.089,0.111,16,42,32,767.0,1189,1466,203144,Alexey Shved,245,10,NYK,1610612752,10
12,47,59,101,0.05,0.063,3,68,27,957.0,938,739,201582,Alexis Ajinca,87,9,NOP,1610612740,41
13,39,47,94,0.064,0.078,1,51,15,683.0,606,499,203459,Allen Crabbe,77,7,POR,1610612757,36
14,25,36,64,0.052,0.075,4,54,33,661.0,477,451,202087,Alonzo Gee,60,7,POR,1610612757,21
15,45,61,107,0.034,0.046,3,58,39,1236.0,1332,1146,2405,Amar'e Stoudemire,89,13,DAL,1610612742,19
16,117,168,261,0.046,0.067,14,75,31,1979.0,2523,1885,101161,Amir Johnson,212,37,TOR,1610612761,44
17,35,46,76,0.046,0.06,1,26,10,636.0,765,581,2760,Anderson Varejao,58,10,CLE,1610612739,16
18,1,1,2,0.059,0.059,0,4,2,22.0,17,18,203958,Andre Dawkins,2,0,MIA,1610612748,2
19,55,82,130,0.031,0.046,3,82,50,2502.0,1788,1202,203083,Andre Drummond,96,24,DET,1610612765,32
20,228,343,543,0.089,0.133,28,77,13,2069.0,2575,2591,2738,Andre Iguodala,436,88,GSW,1610612744,64
21,284,369,650,0.111,0.144,40,81,37,1253.0,2556,2728,1889,Andre Miller,541,45,SAC,1610612758,44
22,70,96,168,0.059,0.08,3,67,26,1286.0,1195,882,203460,Andre Roberson,131,23,OKC,1610612760,41
