,Transition_PPP,Transition_Poss,Transition_Points,TeamId,TeamName,Isolation_PPP,Isolation_Poss,Isolation_Points,PRBallHandler_PPP,PRBallHandler_Poss,PRBallHandler_Points,PRRollman_PPP,PRRollman_Poss,PRRollman_Points,Postup_PPP,Postup_Poss,Postup_Points,Spotup_PPP,Spotup_Poss,Spotup_Points,Handoff_PPP,Handoff_Poss,Handoff_Points,Cut_PPP,Cut_Poss,Cut_Points,OffScreen_PPP,OffScreen_Poss,OffScreen_Points,OffRebound_PPP,OffRebound_Poss,OffRebound_Points,Misc_PPP,Misc_Poss,Misc_Points,Total_Poss,Transition_Freq,Isolation_Freq,PRBallHandler_Freq,PRRollman_Freq,Postup_Freq,Spotup_Freq,Handoff_Freq,Cut_Freq,OffScreen_Freq,OffRebound_Freq,Misc_Freq
0,1.10099995136,1693,1864,1610612764,Washington Wizards,0.863946020603,441,381,0.778258025646,1619,1260,1.0676599741,606,647,0.840173006058,463,389,0.975651979446,1725,1683,0.84251999855,254,214,1.21456003189,783,951,0.892561972141,484,432,0.983098983765,355,349,0.533981025219,515,275,8938,18.9415976729,4.93398970687,18.1136719624,6.78004027747,5.18012978295,19.2996196017,2.84179906019,8.76034907138,5.41508167375,3.9718057731,5.76191541732
1,1.08555996418,1718,1865,1610612758,Sacramento Kings,0.762857019901,700,534,0.782959997654,1115,873,0.981261014938,587,576,0.904838979244,620,561,0.944505989552,1820,1719,0.884374976158,320,283,1.16910994053,751,878,0.92947602272,553,514,1.06896996498,522,558,0.55141800642,564,311,9270,18.5329018339,7.55124056095,12.0280474649,6.33225458468,6.6882416397,19.6332254585,3.45199568501,8.10140237325,5.96548004315,5.63106796117,6.08414239482
2,1.10747003555,1740,1927,1610612745,Houston Rockets,0.870629012585,858,747,0.832374989986,1217,1013,1.02708995342,443,455,0.829896986485,582,483,0.961122989655,1852,1780,0.873683989048,285,249,1.18087995052,680,803,0.963934004307,305,294,1.03899002075,513,533,0.564297020435,661,373,9136,19.0455341506,9.39141856392,13.3209281961,4.84894921191,6.3704028021,20.2714535902,3.11952714536,7.44308231173,3.338441331,5.61514886165,7.23511383538
3,1.15779995918,1597,1849,1610612744,Golden State Warriors,0.926702022552,573,531,0.980207979679,960,941,0.993492007256,461,458,0.801443994045,554,444,1.09661996365,1511,1657,1.06563997269,259,276,1.24872994423,981,1225,1.06150996685,1073,1139,0.913832008839,441,403,0.575209021568,718,413,9128,17.4956178791,6.27738825592,10.5170902717,5.05039439089,6.06923751096,16.5534618755,2.83742331288,10.7471516214,11.7550394391,4.83128834356,7.86590709904
4,1.13278996944,1476,1672,1610612760,Oklahoma City Thunder,0.858653008938,757,650,0.845957994461,1571,1329,1.02889001369,796,819,1.00327003002,612,614,0.955757975578,1537,1469,0.839196026325,199,167,1.23034000397,725,892,0.942660987377,436,411,1.07488000393,601,646,0.556190013886,525,292,9235,15.9826746075,8.19707634001,17.0113697888,8.61938278289,6.62696264212,16.6432051976,2.15484569572,7.85056848944,4.721169464,6.50785056849,5.68489442339
5,1.10238003731,1514,1669,1610612738,Boston Celtics,0.7828810215,479,375,0.780634999275,1322,1032,0.955621004105,676,646,0.868613004684,548,476,0.936585009098,1845,1728,0.862069010735,609,525,1.2579100132,632,795,0.952127993107,564,537,1.01731002331,520,529,0.563733994961,557,314,9266,16.339304986,5.16943665012,14.2672134686,7.29548888409,5.91409453918,19.9115044248,6.57241528167,6.82063457803,6.08676883229,5.61191452622,6.01122382905
6,1.10895001888,1386,1537,1610612754,Indiana Pacers,0.777211010456,588,457,0.782911002636,1580,1237,0.9700999856,602,584,0.77547198534,530,411,0.949926018715,1358,1290,0.798506975174,402,321,1.25332999229,750,940,0.978495001793,744,728,1.16929996014,443,518,0.521739006042,575,300,8958,15.4722036169,6.5639651708,17.637865595,6.72025005582,5.91649921858,15.1596338468,4.48760884126,8.37240455459,8.30542531815,4.94530029024,6.41884349185
7,1.11804997921,1313,1468,1610612737,Atlanta Hawks,0.8028460145,492,395,0.732699990273,1474,1080,1.02909994125,756,778,0.970179021358,503,488,0.978447973728,1856,1816,0.928759992123,379,352,1.21591997147,741,901,0.95895498991,536,514,1.04636001587,302,316,0.571734011173,467,267,8819,14.8883093321,5.57886381676,16.7139131421,8.57240049892,5.70359451185,21.0454700079,4.29753940356,8.40231318744,6.07778659712,3.42442453793,5.29538496428
8,1.07732999325,1332,1435,1610612756,Phoenix Suns,0.78268301487,589,461,0.771466016769,1514,1168,1.03276002407,519,536,0.746972024441,743,555,0.952947974205,1679,1600,0.706493020058,385,272,1.11877000332,682,763,0.928708970547,519,482,1.09169995785,578,631,0.447328001261,655,293,9195,14.4861337684,6.40565524742,16.4654703643,5.64437194127,8.08047852094,18.2599238717,4.1870581838,7.41707449701,5.64437194127,6.28602501359,7.12343665035
9,1.05128002167,1365,1435,1610612755,Philadelphia 76ers,0.73464101553,765,562,0.676374971867,1236,836,0.948979973793,588,558,0.855356991291,560,479,0.93686902523,1980,1855,0.900633990765,473,426,1.07476997375,749,805,0.877133011818,293,257,1.12313997746,471,529,0.424627989531,471,200,8951,15.2496927718,8.54653111384,13.8085130153,6.56909842476,6.25628421405,22.1204334711,5.28432577366,8.3677801363,3.27337727628,5.26198190146,5.26198190146
10,1.19615995884,1147,1372,1610612739,Cleveland Cavaliers,0.844960987568,774,654,0.816483974457,1553,1268,1.1578899622,551,638,0.885877013206,701,621,1.05410003662,1756,1851,0.894927978516,276,247,1.22681999207,604,741,1.01485002041,404,410,1.02057003975,389,397,0.511449992657,524,268,8679,13.2158082728,8.9180781196,17.893766563,6.34865767946,8.07696739256,20.232745708,3.18008987211,6.95932711142,4.65491416062,4.48208318931,6.0375619311
11,1.1326700449,1206,1366,1610612743,Denver Nuggets,0.710196971893,559,397,0.753717005253,1547,1166,1.04466998577,694,725,0.874182999134,612,535,0.903945028782,1749,1581,0.894272983074,454,406,1.19028997421,783,932,1.0228099823,263,269,1.02091002464,574,586,0.593309998512,568,337,9009,13.3866133866,6.20490620491,17.1717171717,7.70340770341,6.79320679321,19.4139194139,5.03940503941,8.69130869131,2.9193029193,6.37140637141,6.30480630481
12,1.13812994957,1209,1376,1610612749,Milwaukee Bucks,0.858299970627,741,636,0.73553699255,1089,801,1.01830995083,437,445,0.835786998272,883,738,0.896770000458,1579,1416,0.8976380229,381,342,1.15463995934,970,1120,0.905758976936,382,346,1.08177995682,538,582,0.504707992077,531,268,8740,13.8329519451,8.47826086957,12.4599542334,5.0,10.1029748284,18.0663615561,4.35926773455,11.0983981693,4.37070938215,6.15560640732,6.07551487414
13,1.13575005531,1186,1347,1610612750,Minnesota Timberwolves,0.887278974056,621,551,0.741078019142,1317,976,0.974323987961,740,721,0.908223986626,839,762,0.932552993298,1453,1355,0.950549006462,364,346,1.34117996693,595,798,0.895735025406,633,567,1.20683002472,498,601,0.54092502594,562,304,8808,13.4650317893,7.05040871935,14.9523160763,8.40145322434,9.52543142598,16.4963669391,4.13260672116,6.75522252498,7.18664850136,5.65395095368,6.38056312443
14,1.10860002041,1197,1327,1610612753,Orlando Magic,0.882353007793,476,420,0.740562975407,1457,1079,1.01022005081,783,791,0.896166026592,626,561,0.959336996078,1869,1793,0.864661991596,399,345,1.18254995346,619,732,0.918551981449,442,406,1.10095000267,525,578,0.542751014233,538,292,8931,13.4027544508,5.32975030792,16.3139626022,8.76721531743,7.00929347218,20.9271078267,4.46758481693,6.93091479118,4.94905385735,5.87840107491,6.02396148248
15,1.07854998112,1184,1277,1610612765,Detroit Pistons,0.780219972134,637,497,0.816649019718,1838,1501,1.01654005051,544,553,0.823759973049,766,631,1.0106600523,1689,1707,0.752767980099,271,204,1.25793004036,473,595,0.77429497242,319,247,1.01545000076,712,723,0.582257986069,620,361,9053,13.0785375014,7.03634154424,20.302662101,6.0090577709,8.46128355241,18.6567988512,2.99348282337,5.2247873633,3.52369380316,7.86479620015,6.8485584889
16,1.14033997059,1133,1292,1610612740,New Orleans Pelicans,0.797213971615,646,515,0.847419977188,1822,1544,1.03411996365,762,788,0.830123007298,571,474,0.932102024555,1679,1565,0.914372980595,327,299,1.23584997654,530,655,1.07044994831,440,471,1.00211000442,473,474,0.518962025642,501,260,8884,12.7532642954,7.27149932463,20.5087798289,8.57721746961,6.42728500675,18.8991445295,3.68077442593,5.96578117965,4.9527239982,5.32417829806,5.6393516434
17,1.1437599659,1113,1273,1610612746,Los Angeles Clippers,0.921498000622,828,763,0.878673970699,1599,1405,1.04728996754,719,753,0.815104007721,384,313,1.02294003963,1482,1516,0.850103020668,487,414,1.30209994316,523,681,1.04592001438,588,615,1.03745996952,347,360,0.606249988079,640,388,8710,12.7784156142,9.50631458094,18.3582089552,8.25487944891,4.40872560276,17.0149253731,5.59127439724,6.0045924225,6.75086107922,3.98392652124,7.34787600459
