,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,PPG,PPP,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,1,43.8155136268,954,11.6341463415,418,5.09756097561,536,6.53658536585,5.12581547064,82,13.8902439024,1.06150996685,1.39794967381,1139,1073,13.0853658537,4.75302889096,42.5908667288,7.26933830382,1610612744,Golden State Warriors,GSW,GoldenState,11.7550001144,28,55.1362683438,Offensive,2015,Reg
1,7,40.2843601896,633,7.71951219512,255,3.10975609756,378,4.60975609756,7.25806451613,82,8.87804878049,0.978495001793,0.940860215054,728,744,9.07317073171,7.12365591398,40.5913978495,8.33333333333,1610612754,Indiana Pacers,IND,Indiana,8.30543041229,22,50.0,Offensive,2015,Reg
2,2,45.0570342205,526,6.41463414634,237,2.89024390244,289,3.5243902439,4.93197278912,82,7.5,1.04592001438,1.19047619048,615,588,7.17073170732,4.59183673469,44.0476190476,6.63265306122,1610612746,Los Angeles Clippers,LAC,LAClippers,6.75086021423,27,54.2775665399,Offensive,2015,Reg
3,3,44.7937131631,509,6.20731707317,228,2.78048780488,281,3.42682926829,7.41989881956,82,7.48780487805,1.03541004658,1.51770657673,614,593,7.23170731707,6.91399662732,44.1821247892,8.26306913997,1610612766,Charlotte Hornets,CHA,Charlotte,6.7887802124,26,53.536345776,Offensive,2015,Reg
4,20,41.7132216015,537,6.5487804878,224,2.73170731707,313,3.81707317073,9.63665086888,82,6.91463414634,0.895735025406,2.21169036335,567,633,7.71951219512,9.16271721959,42.3380726698,7.74091627172,1610612750,Minnesota Timberwolves,MIN,Minnesota,7.18664979935,9,45.4376163873,Offensive,2015,Reg
5,26,38.6740331492,543,6.62195121951,210,2.56097560976,333,4.06097560976,4.74631751227,82,6.4756097561,0.869067013264,0.490998363339,531,611,7.4512195122,4.09165302782,38.4615384615,6.87397708674,1610612742,Dallas Mavericks,DAL,Dallas,7.01814985275,3,44.6593001842,Offensive,2015,Reg
6,10,41.2228796844,507,6.18292682927,209,2.5487804878,298,3.63414634146,5.14184397163,82,6.5487804878,0.952127993107,0.886524822695,537,564,6.87804878049,4.25531914894,41.3120567376,5.85106382979,1610612738,Boston Celtics,BOS,Boston,6.08677005768,19,48.6193293886,Offensive,2015,Reg
7,9,39.8340248963,482,5.87804878049,192,2.34146341463,290,3.53658536585,3.17164179104,82,6.26829268293,0.95895498991,0.932835820896,514,536,6.53658536585,3.17164179104,38.0597014925,7.83582089552,1610612737,Atlanta Hawks,ATL,Atlanta,6.07778978348,20,50.8298755187,Offensive,2015,Reg
8,13,41.5611814346,474,5.78048780488,197,2.40243902439,277,3.37804878049,10.1265822785,82,6.26829268293,0.92947602272,2.35081374322,514,553,6.74390243902,9.04159132007,42.6763110307,6.50994575045,1610612758,Sacramento Kings,SAC,Sacramento,5.96547985077,16,46.5189873418,Offensive,2015,Reg
9,23,38.416988417,518,6.31707317073,199,2.42682926829,319,3.89024390244,7.1906354515,82,6.40243902439,0.877925992012,1.00334448161,525,598,7.29268292683,7.02341137124,39.2976588629,6.85618729097,1610612761,Toronto Raptors,TOR,Toronto,6.93575000763,6,44.111969112,Offensive,2015,Reg
10,17,39.2405063291,474,5.78048780488,186,2.26829268293,288,3.51219512195,4.6468401487,82,5.96341463415,0.908922016621,0.557620817844,489,538,6.56097560976,3.90334572491,38.6617100372,7.80669144981,1610612757,Portland Trail Blazers,POR,Portland,5.99776983261,12,46.4135021097,Offensive,2015,Reg
11,22,39.0041493776,482,5.87804878049,188,2.29268292683,294,3.58536585366,5.64971751412,82,5.74390243902,0.887005984783,0.75329566855,471,531,6.4756097561,5.46139359699,40.3013182674,4.33145009416,1610612752,New York Knicks,NYK,NewYork,6.11257982254,7,43.6721991701,Offensive,2015,Reg
12,14,41.5011037528,453,5.5243902439,188,2.29268292683,265,3.23170731707,5.58766859345,82,5.87804878049,0.928708970547,0.578034682081,482,519,6.32926829268,4.62427745665,40.8477842004,7.70712909441,1610612756,Phoenix Suns,PHX,Phoenix,5.64437007904,15,48.233995585,Offensive,2015,Reg
13,0,46.7866323907,389,4.74390243902,182,2.21951219512,207,2.5243902439,7.27272727273,82,5.74390243902,1.07044994831,1.59090909091,471,440,5.36585365854,6.59090909091,46.5909090909,5.90909090909,1610612740,New Orleans Pelicans,NOP,NewOrleans,4.95272016525,29,55.0128534704,Offensive,2015,Reg
14,6,43.1034482759,406,4.9512195122,175,2.13414634146,231,2.81707317073,5.49450549451,82,5.4512195122,0.982418000698,1.0989010989,447,455,5.5487804878,4.61538461538,42.8571428571,6.37362637363,1610612759,San Antonio Spurs,SAS,SanAntonio,5.33224010468,23,50.3694581281,Offensive,2015,Reg
15,21,39.7163120567,423,5.15853658537,168,2.0487804878,255,3.10975609756,5.1652892562,82,5.26829268293,0.892561972141,1.23966942149,432,484,5.90243902439,4.7520661157,38.6363636364,8.67768595041,1610612764,Washington Wizards,WAS,Washington,5.4150800705,8,47.0449172577,Offensive,2015,Reg
16,12,43.6464088398,362,4.41463414634,158,1.92682926829,204,2.48780487805,6.65137614679,82,5.01219512195,0.942660987377,0.688073394495,411,436,5.31707317073,5.96330275229,41.9724770642,11.0091743119,1610612760,Oklahoma City Thunder,OKC,OklahomaCity,4.72116994858,17,50.2762430939,Offensive,2015,Reg
