,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
0,0,12,0,0029700164,,,12:00,1,0,0,0,0,,,,,,0,,,,,,0,,,,,,,,,11:39 AM
1,0,10,1,0029700164,Jump Ball Dele vs. Mutombo: Tip to Laettner,,12:00,1,4,5,5,183,Bison Dele,DET,Detroit,1610612765.0,Pistons,87,Dikembe Mutombo,ATL,Atlanta,1610612737.0,Hawks,363,Christian Laettner,ATL,Atlanta,1610612737.0,Hawks,,,,11:39 AM
2,1,2,2,0029700164,,,11:43,1,5,0,0,363,Christian Laettner,ATL,Atlanta,1610612737.0,Hawks,0,,,,,,0,,,,,,,,MISS Laettner 12' Jump Shot,11:40 AM
3,0,4,3,0029700164,Reid REBOUND (Off:0 Def:1),,11:41,1,4,0,0,690,Don Reid,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,11:40 AM
4,1,1,4,0029700164,Dele 13' Jump Shot (2 PTS) (Hill 1 AST),,11:29,1,4,4,0,183,Bison Dele,DET,Detroit,1610612765.0,Pistons,255,Grant Hill,DET,Detroit,1610612765.0,Pistons,0,,,,,,0 - 2,2,,11:40 AM
5,3,2,5,0029700164,,,11:11,1,5,0,0,87,Dikembe Mutombo,ATL,Atlanta,1610612737.0,Hawks,0,,,,,,0,,,,,,,,MISS Mutombo 12' Hook Shot,11:40 AM
6,0,4,6,0029700164,Dele REBOUND (Off:0 Def:1),,11:09,1,4,0,0,183,Bison Dele,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,11:40 AM
7,4,5,7,0029700164,Dele Traveling Turnover (P1.T1),,11:07,1,4,0,0,183,Bison Dele,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,11:40 AM
8,3,2,8,0029700164,,,10:58,1,5,0,0,87,Dikembe Mutombo,ATL,Atlanta,1610612737.0,Hawks,0,,,,,,0,,,,,,,,MISS Mutombo 11' Hook Shot,11:41 AM
9,0,4,9,0029700164,,,10:55,1,5,0,0,895,Tyrone Corbin,ATL,Atlanta,1610612737.0,Hawks,0,,,,,,0,,,,,,,,Corbin REBOUND (Off:1 Def:0),11:41 AM
10,5,1,10,0029700164,,,10:53,1,5,0,0,895,Tyrone Corbin,ATL,Atlanta,1610612737.0,Hawks,0,,,,,,0,,,,,,2 - 2,TIE,Corbin  Layup (2 PTS),11:41 AM
11,1,5,11,0029700164,Hunter Bad Pass Turnover (P1.T2),,10:33,1,4,0,0,283,Lindsey Hunter,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,11:41 AM
12,7,1,12,0029700164,,,10:22,1,5,5,0,87,Dikembe Mutombo,ATL,Atlanta,1610612737.0,Hawks,363,Christian Laettner,ATL,Atlanta,1610612737.0,Hawks,0,,,,,,4 - 2,-2,Mutombo  Dunk (2 PTS) (Laettner 1 AST),11:41 AM
13,1,2,13,0029700164,MISS Dumars 12' Jump Shot,,10:07,1,4,0,0,247,Joe Dumars,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,11:42 AM
14,0,4,14,0029700164,,,10:05,1,5,0,0,87,Dikembe Mutombo,ATL,Atlanta,1610612737.0,Hawks,0,,,,,,0,,,,,,,,Mutombo REBOUND (Off:0 Def:1),11:42 AM
15,1,2,15,0029700164,,,9:45,1,5,0,0,895,Tyrone Corbin,ATL,Atlanta,1610612737.0,Hawks,0,,,,,,0,,,,,,,,MISS Corbin 20' Jump Shot,11:42 AM
16,0,4,16,0029700164,,,9:44,1,3,0,0,1610612737,,,,,,0,,,,,,0,,,,,,,,Hawks Rebound,11:42 AM
17,3,6,17,0029700164,Hunter L.B.FOUL (P1.T1),,9:44,1,4,0,1,283,Lindsey Hunter,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,11:42 AM
18,1,1,18,0029700164,,,9:31,1,5,5,0,895,Tyrone Corbin,ATL,Atlanta,1610612737.0,Hawks,302,Mookie Blaylock,ATL,Atlanta,1610612737.0,Hawks,0,,,,,,6 - 2,-4,Corbin 19' Jump Shot (4 PTS) (Blaylock 1 AST),11:43 AM
19,7,1,19,0029700164,Dele  Dunk (4 PTS) (Hill 2 AST),,9:12,1,4,4,0,183,Bison Dele,DET,Detroit,1610612765.0,Pistons,255,Grant Hill,DET,Detroit,1610612765.0,Pistons,0,,,,,,6 - 4,-2,,11:43 AM
20,1,2,20,0029700164,,,8:50,1,5,0,0,1516,Ed Gray,ATL,Atlanta,1610612737.0,Hawks,0,,,,,,0,,,,,,,,MISS Gray 16' Jump Shot,11:43 AM
21,0,4,21,0029700164,,,8:48,1,5,0,0,363,Christian Laettner,ATL,Atlanta,1610612737.0,Hawks,0,,,,,,0,,,,,,,,Laettner REBOUND (Off:1 Def:0),11:43 AM
22,2,6,22,0029700164,Reid S.FOUL (P1.T2),,8:46,1,4,0,1,690,Don Reid,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,11:44 AM
23,11,3,23,0029700164,,,8:46,1,5,0,0,363,Christian Laettner,ATL,Atlanta,1610612737.0,Hawks,0,,,,,,0,,,,,,7 - 4,-3,Laettner Free Throw 1 of 2 (1 PTS),11:44 AM
24,12,3,24,0029700164,,,8:46,1,5,0,0,363,Christian Laettner,ATL,Atlanta,1610612737.0,Hawks,0,,,,,,0,,,,,,8 - 4,-4,Laettner Free Throw 2 of 2 (2 PTS),11:44 AM
25,5,2,25,0029700164,MISS Hill  Layup,,8:27,1,4,0,0,255,Grant Hill,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,11:44 AM
26,0,4,26,0029700164,Reid REBOUND (Off:1 Def:1),,8:26,1,4,0,0,690,Don Reid,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,11:45 AM
27,2,6,27,0029700164,,,8:26,1,5,0,1,87,Dikembe Mutombo,ATL,Atlanta,1610612737.0,Hawks,0,,,,,,0,,,,,,,,Mutombo S.FOUL (P1.T1),11:45 AM
28,11,3,28,0029700164,Reid Free Throw 1 of 2 (1 PTS),,8:26,1,4,0,0,690,Don Reid,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,8 - 5,-3,,11:45 AM
29,12,3,29,0029700164,Reid Free Throw 2 of 2 (2 PTS),,8:26,1,4,0,0,690,Don Reid,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,8 - 6,-2,,11:45 AM
30,2,6,30,0029700164,Reid S.FOUL (P2.T3),,8:11,1,4,0,1,690,Don Reid,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,11:45 AM
31,11,3,31,0029700164,,,8:11,1,5,0,0,363,Christian Laettner,ATL,Atlanta,1610612737.0,Hawks,0,,,,,,0,,,,,,9 - 6,-3,Laettner Free Throw 1 of 2 (3 PTS),11:45 AM
32,12,3,32,0029700164,,,8:11,1,5,0,0,363,Christian Laettner,ATL,Atlanta,1610612737.0,Hawks,0,,,,,,0,,,,,,10 - 6,-4,Laettner Free Throw 2 of 2 (4 PTS),11:46 AM
