,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
0,0,10,1,0029600231,Jump Ball O'Neal vs. McIlvaine: Tip to Payton,,12:00,1,4,5,5,406,Shaquille O'Neal,LAL,Los Angeles,1610612747.0,Lakers,29,Jim McIlvaine,SEA,Seattle,1610612760.0,SuperSonics,56,Gary Payton,SEA,Seattle,1610612760.0,SuperSonics,,,,11:41 PM
1,5,2,2,0029600231,Campbell BLOCK (1 BLK),,11:45,1,5,0,4,29,Jim McIlvaine,SEA,Seattle,1610612760.0,SuperSonics,0,,,,,,922,Elden Campbell,LAL,Los Angeles,1610612747.0,Lakers,,,MISS McIlvaine  Layup,11:42 PM
2,0,4,3,0029600231,,,11:43,1,5,0,0,29,Jim McIlvaine,SEA,Seattle,1610612760.0,SuperSonics,0,,,,,,0,,,,,,,,McIlvaine REBOUND (Off:1 Def:0),11:42 PM
3,1,1,4,0029600231,,,11:38,1,5,5,0,765,Hersey Hawkins,SEA,Seattle,1610612760.0,SuperSonics,96,Detlef Schrempf,SEA,Seattle,1610612760.0,SuperSonics,0,,,,,,3 - 0,-3,Hawkins 25' 3PT Jump Shot (3 PTS) (Schrempf 1 AST),11:42 PM
4,1,2,5,0029600231,MISS Robinson 25' 3PT Jump Shot,,11:22,1,4,0,0,716,Rumeal Robinson,LAL,Los Angeles,1610612747.0,Lakers,0,,,,,,0,,,,,,,,,11:42 PM
5,0,4,6,0029600231,,,11:19,1,5,0,0,56,Gary Payton,SEA,Seattle,1610612760.0,SuperSonics,0,,,,,,0,,,,,,,,Payton REBOUND (Off:0 Def:1),11:43 PM
6,1,1,7,0029600231,,,11:16,1,5,5,0,765,Hersey Hawkins,SEA,Seattle,1610612760.0,SuperSonics,56,Gary Payton,SEA,Seattle,1610612760.0,SuperSonics,0,,,,,,6 - 0,-6,Hawkins 25' 3PT Jump Shot (6 PTS) (Payton 1 AST),11:43 PM
7,1,2,8,0029600231,MISS Van Exel 8' Jump Shot,,10:59,1,4,0,0,89,Nick Van Exel,LAL,Los Angeles,1610612747.0,Lakers,0,,,,,,0,,,,,,,,,11:43 PM
8,0,4,9,0029600231,,,10:57,1,5,0,0,765,Hersey Hawkins,SEA,Seattle,1610612760.0,SuperSonics,0,,,,,,0,,,,,,,,Hawkins REBOUND (Off:0 Def:1),11:43 PM
9,1,2,10,0029600231,,,10:52,1,5,0,0,56,Gary Payton,SEA,Seattle,1610612760.0,SuperSonics,0,,,,,,0,,,,,,,,MISS Payton 18' Jump Shot,11:43 PM
