,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
0,0,12,0,0020301169,,,12:00,1,0,0,0,0,,,,,,0,,,,,,0,,,,,,,,,9:21 PM
1,0,10,1,0020301169,Jump Ball Camby vs. Divac: Tip to Miller,,12:00,1,4,5,4,948,Marcus Camby,DEN,Denver,1610612743.0,Nuggets,124,Vlade Divac,SAC,Sacramento,1610612758.0,Kings,1889,Andre Miller,DEN,Denver,1610612743.0,Nuggets,,,,9:21 PM
2,1,2,2,0020301169,MISS Anthony 18' Jump Shot,,11:42,1,4,0,0,2546,Carmelo Anthony,DEN,Denver,1610612743.0,Nuggets,0,,,,,,0,,,,,,,,,9:22 PM
3,0,4,3,0020301169,Nene REBOUND (Off:1 Def:0),,11:39,1,4,0,0,2403,Nene,DEN,Denver,1610612743.0,Nuggets,0,,,,,,0,,,,,,,,,9:22 PM
4,1,5,4,0020301169,Camby Bad Pass Turnover (P1.T1),,11:29,1,4,5,0,948,Marcus Camby,DEN,Denver,1610612743.0,Nuggets,124,Vlade Divac,SAC,Sacramento,1610612758.0,Kings,0,,,,,,,,Divac STEAL (1 STL),9:22 PM
5,1,2,5,0020301169,,,11:16,1,5,0,0,1710,Mike Bibby,SAC,Sacramento,1610612758.0,Kings,0,,,,,,0,,,,,,,,MISS Bibby  3PT Jump Shot,9:22 PM
6,0,4,6,0020301169,Camby REBOUND (Off:0 Def:1),,11:14,1,4,0,0,948,Marcus Camby,DEN,Denver,1610612743.0,Nuggets,0,,,,,,0,,,,,,,,,9:22 PM
7,1,2,7,0020301169,MISS Camby 18' Jump Shot,,11:03,1,4,0,0,948,Marcus Camby,DEN,Denver,1610612743.0,Nuggets,0,,,,,,0,,,,,,,,,9:22 PM
8,0,4,8,0020301169,,,11:01,1,5,0,0,978,Peja Stojakovic,SAC,Sacramento,1610612758.0,Kings,0,,,,,,0,,,,,,,,Stojakovic REBOUND (Off:0 Def:1),9:23 PM
9,44,2,9,0020301169,,,10:50,1,5,0,0,185,Chris Webber,SAC,Sacramento,1610612758.0,Kings,0,,,,,,0,,,,,,,,MISS Webber  Reverse Layup,9:23 PM
