,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
0,0,12,0,0020100036,,,12:00,1,0,0,0,0,,,,,,0,,,,,,0,,,,,,,,,8:42 PM
1,0,10,1,0020100036,Jump Ball Mihm vs. DeClercq: Tip to Miller,,12:00,1,4,5,4,2036,Chris Mihm,CLE,Cleveland,1610612739.0,Cavaliers,692,Andrew DeClercq,ORL,Orlando,1610612753.0,Magic,1889,Andre Miller,CLE,Cleveland,1610612739.0,Cavaliers,,,,8:43 PM
2,1,2,2,0020100036,MISS Jones 4' Jump Shot,,11:41,1,4,0,5,1908,Jumaine Jones,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,1503,Tracy McGrady,ORL,Orlando,1610612753.0,Magic,,,McGrady BLOCK (1 BLK),8:43 PM
3,0,4,3,0020100036,Jones REBOUND (Off:1 Def:0),,11:39,1,4,0,0,1908,Jumaine Jones,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,8:43 PM
4,5,2,4,0020100036,MISS Jones 3' Layup,,11:36,1,4,0,0,1908,Jumaine Jones,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,8:43 PM
5,0,4,5,0020100036,Doleac REBOUND (Off:1 Def:0),,11:32,1,4,0,0,1720,Michael Doleac,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,8:43 PM
6,4,6,6,0020100036,Mihm OFF.Foul (P1),,11:28,1,4,0,1,2036,Chris Mihm,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,8:43 PM
7,5,5,7,0020100036,Mihm Foul Turnover (P1.T1),,11:28,1,4,0,0,2036,Chris Mihm,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,8:43 PM
8,1,2,8,0020100036,,,11:11,1,5,0,0,1503,Tracy McGrady,ORL,Orlando,1610612753.0,Magic,0,,,,,,0,,,,,,,,MISS McGrady 17' Jump Shot,8:44 PM
9,0,4,9,0020100036,Doleac REBOUND (Off:1 Def:1),,11:09,1,4,0,0,1720,Michael Doleac,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,8:44 PM
10,1,2,10,0020100036,MISS Mihm 9' Jump Shot,,11:06,1,4,0,0,2036,Chris Mihm,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,8:44 PM
11,0,4,11,0020100036,,,11:06,1,5,0,0,353,Darrell Armstrong,ORL,Orlando,1610612753.0,Magic,0,,,,,,0,,,,,,,,Armstrong REBOUND (Off:0 Def:1),8:44 PM
12,1,1,12,0020100036,,,11:02,1,5,5,0,255,Grant Hill,ORL,Orlando,1610612753.0,Magic,353,Darrell Armstrong,ORL,Orlando,1610612753.0,Magic,0,,,,,,2 - 0,-2,Hill 7' Jump Shot (2 PTS) (Armstrong 1 AST),8:44 PM
13,1,1,13,0020100036,Person 24' 3PT Jump Shot (3 PTS) (Miller 1 AST),,10:43,1,4,4,0,445,Wesley Person,CLE,Cleveland,1610612739.0,Cavaliers,1889,Andre Miller,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,2 - 3,1,,8:44 PM
14,56,1,14,0020100036,,,10:26,1,5,5,0,1503,Tracy McGrady,ORL,Orlando,1610612753.0,Magic,353,Darrell Armstrong,ORL,Orlando,1610612753.0,Magic,0,,,,,,4 - 3,-1,McGrady 3' Running Hook Shot (2 PTS) (Armstrong 2 AST),8:45 PM
15,1,5,15,0020100036,Mihm Bad Pass Turnover (P2.T2),,10:06,1,4,0,0,2036,Chris Mihm,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,8:45 PM
16,1,2,16,0020100036,,,9:51,1,5,0,0,353,Darrell Armstrong,ORL,Orlando,1610612753.0,Magic,0,,,,,,0,,,,,,,,MISS Armstrong 22' Jump Shot,8:46 PM
17,0,4,17,0020100036,Mihm REBOUND (Off:0 Def:1),,9:47,1,4,0,0,2036,Chris Mihm,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,8:46 PM
18,5,2,18,0020100036,MISS Doleac 3' Layup,,9:41,1,4,0,5,1720,Michael Doleac,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,255,Grant Hill,ORL,Orlando,1610612753.0,Magic,,,Hill BLOCK (1 BLK),8:46 PM
19,0,4,19,0020100036,CAVALIERS Rebound,,9:41,1,2,0,0,1610612739,,,,,,0,,,,,,0,,,,,,,,,8:46 PM
20,1,2,20,0020100036,MISS Jones 16' Jump Shot,,9:35,1,4,0,0,1908,Jumaine Jones,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,8:46 PM
21,0,4,21,0020100036,,,9:33,1,5,0,0,692,Andrew DeClercq,ORL,Orlando,1610612753.0,Magic,0,,,,,,0,,,,,,,,DeClercq REBOUND (Off:0 Def:1),8:46 PM
22,1,6,22,0020100036,Miller P.FOUL (P1.T1),,9:27,1,4,0,1,1889,Andre Miller,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,8:46 PM
23,1,1,23,0020100036,,,9:18,1,5,5,0,270,Horace Grant,ORL,Orlando,1610612753.0,Magic,1503,Tracy McGrady,ORL,Orlando,1610612753.0,Magic,0,,,,,,6 - 3,-3,Grant 14' Jump Shot (2 PTS) (McGrady 1 AST),8:47 PM
24,2,6,24,0020100036,,,8:59,1,5,0,1,270,Horace Grant,ORL,Orlando,1610612753.0,Magic,0,,,,,,0,,,,,,,,Grant S.FOUL (P1.T1),8:47 PM
25,11,3,25,0020100036,Miller Free Throw 1 of 2 (1 PTS),,8:59,1,4,0,0,1889,Andre Miller,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,6 - 4,-2,,8:47 PM
26,12,3,26,0020100036,Miller Free Throw 2 of 2 (2 PTS),,8:59,1,4,0,0,1889,Andre Miller,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,6 - 5,-1,,8:47 PM
27,1,2,27,0020100036,,,8:44,1,5,0,0,1503,Tracy McGrady,ORL,Orlando,1610612753.0,Magic,0,,,,,,0,,,,,,,,MISS McGrady 17' Jump Shot,8:48 PM
28,0,4,28,0020100036,Mihm REBOUND (Off:0 Def:2),,8:42,1,4,0,0,2036,Chris Mihm,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,8:49 PM
29,63,2,29,0020100036,MISS Miller 11' Fadeaway Jumper,,8:28,1,4,0,0,1889,Andre Miller,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,8:49 PM
30,0,4,30,0020100036,,,8:25,1,5,0,0,353,Darrell Armstrong,ORL,Orlando,1610612753.0,Magic,0,,,,,,0,,,,,,,,Armstrong REBOUND (Off:0 Def:2),8:49 PM
31,1,2,31,0020100036,,,8:12,1,5,0,0,1503,Tracy McGrady,ORL,Orlando,1610612753.0,Magic,0,,,,,,0,,,,,,,,MISS McGrady 5' Jump Shot,8:49 PM
32,0,4,33,0020100036,,,8:09,1,5,0,0,692,Andrew DeClercq,ORL,Orlando,1610612753.0,Magic,0,,,,,,0,,,,,,,,DeClercq REBOUND (Off:1 Def:1),8:49 PM
33,5,2,32,0020100036,,,8:09,1,5,0,0,692,Andrew DeClercq,ORL,Orlando,1610612753.0,Magic,0,,,,,,0,,,,,,,,MISS DeClercq 2' Layup,8:49 PM
34,0,4,34,0020100036,,,8:08,1,5,0,0,1503,Tracy McGrady,ORL,Orlando,1610612753.0,Magic,0,,,,,,0,,,,,,,,McGrady REBOUND (Off:1 Def:0),8:49 PM
35,2,6,35,0020100036,Doleac S.FOUL (P1.T2),,8:08,1,4,0,1,1720,Michael Doleac,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,8:49 PM
36,11,3,36,0020100036,,,8:08,1,5,0,0,1503,Tracy McGrady,ORL,Orlando,1610612753.0,Magic,0,,,,,,0,,,,,,7 - 5,-2,McGrady Free Throw 1 of 2 (3 PTS),8:49 PM
37,12,3,37,0020100036,,,8:08,1,5,0,0,1503,Tracy McGrady,ORL,Orlando,1610612753.0,Magic,0,,,,,,0,,,,,,8 - 5,-3,McGrady Free Throw 2 of 2 (4 PTS),8:50 PM
38,5,2,38,0020100036,MISS Doleac 2' Layup,,7:57,1,4,0,0,1720,Michael Doleac,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,8:50 PM
39,0,4,39,0020100036,,,7:56,1,3,0,0,1610612753,,,,,,0,,,,,,0,,,,,,,,Magic Rebound,8:50 PM
40,3,6,40,0020100036,Mihm L.B.FOUL (P2.T3),,7:56,1,4,0,1,2036,Chris Mihm,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,0,,,,,,,,,8:50 PM
41,0,8,41,0020100036,SUB: Skinner FOR Mihm,,7:56,1,4,4,0,2036,Chris Mihm,CLE,Cleveland,1610612739.0,Cavaliers,1730,Brian Skinner,CLE,Cleveland,1610612739.0,Cavaliers,0,,,,,,,,,8:50 PM
42,1,2,42,0020100036,,,7:40,1,5,0,0,255,Grant Hill,ORL,Orlando,1610612753.0,Magic,0,,,,,,0,,,,,,,,MISS Hill 12' Jump Shot,8:51 PM
