,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL,PP36,TSA,TS
0,4,0,3,2,0,0.0,13,2,0.154,4,4,1.0,"DEC 28, 2016",0021600482,PHX @ SAS,29,0,4,-15,8,1626164,3,22016,2,3,1,L,9.93103448276,14.76,0.271002710027
1,4,0,1,5,1,0.2,18,6,0.333,3,3,1.0,"DEC 26, 2016",0021600467,PHX @ HOU,28,1,6,-17,16,1626164,2,22016,1,1,1,L,20.5714285714,19.32,0.414078674948
2,6,0,6,9,4,0.444,18,8,0.444,3,3,1.0,"DEC 23, 2016",0021600453,PHX vs. PHI,38,0,3,12,23,1626164,6,22016,2,4,1,W,21.7894736842,19.32,0.595238095238
3,7,0,4,4,2,0.5,25,11,0.44,5,4,0.8,"DEC 21, 2016",0021600435,PHX vs. HOU,36,2,3,-5,28,1626164,6,22016,0,1,1,L,28.0,27.2,0.514705882353
4,3,1,1,5,1,0.2,15,6,0.4,6,5,0.833,"DEC 19, 2016",0021600416,PHX @ MIN,29,1,2,-3,18,1626164,2,22016,0,2,1,L,22.3448275862,17.64,0.510204081633
5,5,0,2,5,3,0.6,22,11,0.5,7,6,0.857,"DEC 17, 2016",0021600399,PHX @ OKC,33,1,3,-13,31,1626164,3,22016,1,6,1,L,33.8181818182,25.08,0.618022328549
6,5,0,3,6,2,0.333,19,6,0.316,4,3,0.75,"DEC 15, 2016",0021600387,PHX vs. SAS,36,1,4,-18,17,1626164,4,22016,2,4,1,L,17.0,20.76,0.409441233141
7,0,1,1,5,1,0.2,16,3,0.188,5,5,1.0,"DEC 13, 2016",0021600372,PHX vs. NYK,36,0,2,7,12,1626164,1,22016,0,1,1,W,12.0,18.2,0.32967032967
8,5,0,5,8,2,0.25,15,6,0.4,3,2,0.667,"DEC 11, 2016",0021600359,PHX vs. NOP,38,0,1,7,16,1626164,5,22016,1,4,1,L,15.1578947368,16.32,0.490196078431
9,4,0,2,6,1,0.167,17,6,0.353,2,2,1.0,"DEC 09, 2016",0021600344,PHX @ LAL,28,1,6,11,15,1626164,3,22016,0,2,1,W,19.2857142857,17.88,0.419463087248
10,5,0,2,6,2,0.333,13,4,0.308,4,3,0.75,"DEC 07, 2016",0021600329,PHX vs. IND,31,2,5,-3,13,1626164,4,22016,1,4,1,L,15.0967741935,14.76,0.440379403794
11,1,0,2,3,1,0.333,13,9,0.692,3,2,0.667,"DEC 06, 2016",0021600320,PHX @ UTA,26,0,1,-25,21,1626164,2,22016,1,4,1,L,29.0769230769,14.32,0.733240223464
12,5,0,0,5,1,0.2,17,8,0.471,5,4,0.8,"DEC 03, 2016",0021600299,PHX @ GSW,33,1,4,-5,21,1626164,1,22016,0,2,1,L,22.9090909091,19.2,0.546875
13,4,0,1,2,1,0.5,13,5,0.385,6,2,0.333,"NOV 30, 2016",0021600274,PHX vs. ATL,33,0,2,2,13,1626164,1,22016,1,1,1,W,14.1818181818,15.64,0.415601023018
14,4,0,3,10,4,0.4,27,11,0.407,5,4,0.8,"NOV 27, 2016",0021600246,PHX vs. DEN,36,0,5,14,30,1626164,3,22016,1,1,1,L,30.0,29.2,0.513698630137
15,2,1,2,3,1,0.333,10,4,0.4,2,2,1.0,"NOV 25, 2016",0021600236,PHX vs. MIN,33,0,3,-12,11,1626164,2,22016,2,4,1,L,12.0,10.88,0.505514705882
16,1,1,3,3,1,0.333,10,4,0.4,2,2,1.0,"NOV 23, 2016",0021600214,PHX @ ORL,34,0,4,3,11,1626164,3,22016,2,2,1,W,11.6470588235,10.88,0.505514705882
17,2,0,1,9,6,0.667,26,12,0.462,0,0,0.0,"NOV 21, 2016",0021600200,PHX @ WAS,37,1,4,-17,30,1626164,2,22016,0,2,1,L,29.1891891892,26.0,0.576923076923
19,3,0,1,5,1,0.2,11,4,0.364,4,4,1.0,"NOV 18, 2016",0021600176,PHX @ IND,23,0,3,11,13,1626164,1,22016,1,1,1,W,20.347826087,12.76,0.509404388715
20,2,0,3,3,2,0.667,18,10,0.556,3,2,0.667,"NOV 16, 2016",0021600166,PHX @ DEN,37,1,4,-16,24,1626164,4,22016,1,4,1,L,23.3513513514,19.32,0.621118012422
21,3,1,3,5,1,0.2,18,6,0.333,6,6,1.0,"NOV 13, 2016",0021600143,PHX @ GSW,32,1,1,-18,19,1626164,4,22016,2,1,1,L,21.375,20.64,0.460271317829
22,3,0,5,4,0,0.0,18,5,0.278,1,1,1.0,"NOV 12, 2016",0021600139,PHX vs. BKN,32,1,2,-12,11,1626164,6,22016,1,0,1,L,12.375,18.44,0.298264642082
23,4,2,2,5,1,0.2,9,3,0.333,5,4,0.8,"NOV 09, 2016",0021600113,PHX vs. DET,33,0,2,10,11,1626164,2,22016,1,3,1,W,12.0,11.2,0.491071428571
24,0,0,0,6,2,0.333,18,8,0.444,5,5,1.0,"NOV 08, 2016",0021600103,PHX @ POR,31,0,3,-9,23,1626164,0,22016,1,2,1,L,26.7096774194,20.2,0.569306930693
25,7,0,2,7,3,0.429,29,13,0.448,10,10,1.0,"NOV 06, 2016",0021600092,PHX @ LAL,45,1,3,-4,39,1626164,3,22016,0,2,1,L,31.2,33.4,0.583832335329
26,3,0,4,7,3,0.429,22,13,0.591,9,9,1.0,"NOV 04, 2016",0021600075,PHX @ NOP,41,0,6,2,38,1626164,4,22016,0,6,1,W,33.3658536585,25.96,0.731895223421
27,2,0,3,2,1,0.5,15,6,0.4,4,2,0.5,"NOV 02, 2016",0021600063,PHX vs. POR,39,0,3,8,15,1626164,3,22016,2,2,1,W,13.8461538462,16.76,0.447494033413
28,2,1,0,4,1,0.25,12,3,0.25,0,0,0.0,"OCT 30, 2016",0021600036,PHX vs. GSW,28,0,0,-10,7,1626164,0,22016,0,2,1,L,9.0,12.0,0.291666666667
29,1,0,4,8,2,0.25,25,8,0.32,5,3,0.6,"OCT 28, 2016",0021600021,PHX @ OKC,44,2,3,-1,21,1626164,6,22016,0,1,1,L,17.1818181818,27.2,0.386029411765
