,PLAYER_ID,PLAYER_NAME,PP36,PP36_STD,PP36_STD / MEAN,PP36_VAR,TS,TS_STD,TS_VAR
0,201566.0,Russell Westbrook,31.6894350428,7.21350781369,0.227631316366,52.0346949781,54.4299898412,9.21770093209,84.9660104735
1,203076.0,Anthony Davis,28.4784661898,8.78682068402,0.308542623941,77.2082177332,57.383762369,11.5992369592,134.542298035
2,201935.0,James Harden,28.1839295132,7.79170461874,0.276459129487,60.7106608657,61.8728877832,12.9015171384,166.449144474
3,202738.0,Isaiah Thomas,29.831876466,6.49102036874,0.217586727276,42.1333454274,61.4932194965,11.0794529102,122.754276789
4,201942.0,DeMar DeRozan,28.4826044202,6.75935005897,0.237315027771,45.6888132197,55.8538517948,11.9450312166,142.683770767
5,202326.0,DeMarcus Cousins,28.8611832646,6.88324989008,0.23849506886,47.3791290493,56.3052822908,10.5234095385,110.742148315
6,203081.0,Damian Lillard,26.33902353,7.59338921513,0.288294256865,57.6595597724,58.048928611,12.4948412591,156.12105809
7,201142.0,Kevin Durant,27.1532215556,6.08157228902,0.223972403295,36.9855215066,65.8094837546,12.4094975535,153.995629529
8,2544.0,LeBron James,25.0942614498,5.16177078199,0.205695265921,26.6438776058,60.1021650514,8.08716897789,65.402302077
9,202710.0,Jimmy Butler,24.345222708,8.55058868537,0.351222446717,73.1125668664,58.6398752631,16.1039589219,259.337492958
10,201939.0,Stephen Curry,26.4614228831,7.77773971406,0.293927493938,60.4932350597,62.8260919499,14.205809511,201.805023863
11,202695.0,Kawhi Leonard,26.908339171,6.95951206901,0.258637741437,48.4348082387,62.3103272994,12.1935770848,148.683322123
12,202681.0,Kyrie Irving,24.6413776888,6.55213325161,0.265899631682,42.9304501468,57.7276643039,13.9298197825,194.039879174
13,203468.0,CJ McCollum,24.3943182342,7.09002160608,0.290642334744,50.2684063747,58.3475884911,11.5243377235,132.810359964
14,203507.0,Giannis Antetokounmpo,23.5260644844,7.08594102908,0.301195341609,50.2105602677,59.7911289323,14.1269614472,199.57103973
15,202689.0,Kemba Walker,24.5774317782,6.38013360958,0.259593177479,40.7061048761,58.7761214477,13.3835548309,179.119539912
16,202322.0,John Wall,22.8152649647,7.66705088971,0.336049171534,58.7836693454,54.305902011,11.6161027386,134.933842834
17,203078.0,Bradley Beal,23.1404423163,6.83614892063,0.2954199763,46.7329320651,57.9189896958,13.7409667887,188.814168287
18,200768.0,Kyle Lowry,21.5655196976,7.06623164999,0.327663406636,49.9316297313,64.7674582564,17.2037038218,295.967425189
19,202330.0,Gordon Hayward,22.8454092197,6.78201584745,0.296865588278,45.995738955,60.2799957093,14.291645329,204.251126211
