,AGE,AST_PCT,AST_RATIO,AST_TO,CFID,CFPARAMS,DEF_RATING,DREB_PCT,EFG_PCT,FGA,FGA_PG,FGM,FGM_PG,FG_PCT,GP,L,MIN,NET_RATING,OFF_RATING,OREB_PCT,PACE,PIE,PLAYER_ID,PLAYER_NAME,REB_PCT,TEAM_ABBREVIATION,TEAM_ID,TM_TOV_PCT,TS_PCT,USG_PCT,W,W_PCT
23,26.0,0.305,47.1,2.6,5,"369,1610612752",86.6,0.14,0.315,27,3.0,8,0.9,0.296,9,3,21.3,21.6,108.2,0.022,85.83,0.091,369,Charlie Ward,0.084,NYK,1610612752,18.1,0.348,0.118,6,0.667
24,24.0,0.0,0.0,0.0,5,"685,1610612750",97.8,0.417,0.667,3,3.0,2,2.0,0.667,1,1,12.2,-0.3,97.5,0.0,86.4,0.129,685,Cherokee Parks,0.208,MIN,1610612750,0.0,0.667,0.133,0,0.0
25,23.0,0.143,25.0,1.0,5,"713,1610612750",143.4,0.333,0.0,2,2.0,0,0.0,0.0,1,1,8.8,-33.1,110.3,0.0,84.92,0.0,713,Chris Carr,0.133,MIN,1610612750,25.0,0.0,0.164,0,0.0
26,29.0,0.304,32.0,2.11,5,"164,1610612752",105.4,0.148,0.489,87,8.7,38,3.8,0.437,10,4,33.9,-6.2,99.3,0.033,87.12,0.111,164,Chris Childs,0.09,NYK,1610612752,15.2,0.535,0.182,6,0.6
27,32.0,0.073,18.0,0.0,5,"201,1610612757",107.0,0.346,0.455,11,2.8,5,1.3,0.455,4,3,18.7,-3.6,103.4,0.159,78.54,0.088,201,Chris Dudley,0.243,POR,1610612757,0.0,0.44,0.096,1,0.25
28,31.0,0.053,7.4,0.83,5,"356,1610612762",97.0,0.175,0.48,50,2.5,20,1.0,0.4,20,7,9.1,4.1,101.1,0.035,85.33,0.089,356,Chris Morris,0.108,UTA,1610612762,8.9,0.504,0.169,13,0.65
29,24.0,0.167,16.8,0.63,5,"185,1610612764",108.0,0.202,0.717,30,10.0,19,6.3,0.633,3,3,37.3,-2.4,105.6,0.096,84.89,0.117,185,Chris Webber,0.153,WAS,1610612764,26.9,0.701,0.218,0,0.0
30,25.0,0.167,16.1,0.4,5,"43,1610612764",112.9,0.154,0.6,5,1.7,2,0.7,0.4,3,3,7.0,7.7,120.6,0.0,90.18,0.036,43,Chris Whitney,0.069,WAS,1610612764,40.2,0.643,0.228,0,0.0
31,27.0,0.127,11.1,0.84,5,"363,1610612737",104.1,0.149,0.418,153,15.3,62,6.2,0.405,10,6,41.4,-0.1,104.0,0.062,84.9,0.102,363,Christian Laettner,0.109,ATL,1610612737,13.2,0.495,0.252,4,0.4
32,30.0,0.125,15.8,1.2,5,"361,1610612757",114.9,0.125,0.394,47,11.8,17,4.3,0.362,4,3,42.3,-11.3,103.7,0.089,85.52,0.055,361,Clifford Robinson,0.106,POR,1610612757,13.2,0.444,0.186,1,0.25
33,35.0,0.217,20.4,2.14,5,"17,1610612745",107.1,0.118,0.515,241,15.1,105,6.6,0.436,16,7,40.2,3.7,110.9,0.049,89.48,0.112,17,Clyde Drexler,0.084,HOU,1610612745,9.5,0.548,0.218,9,0.563
34,28.0,0.2,34.7,0.0,5,"916,1610612747",96.0,0.286,1.0,1,0.3,1,0.3,1.0,3,0,2.7,-6.5,89.5,0.0,113.37,0.103,916,Corie Blount,0.143,LAL,1610612747,0.0,0.798,0.106,3,1.0
35,31.0,0.176,23.2,3.31,5,"105,1610612748",97.7,0.13,0.5,117,6.9,46,2.7,0.393,17,9,30.3,-2.5,95.2,0.037,85.57,0.116,105,Dan Majerle,0.084,MIA,1610612748,7.0,0.526,0.136,8,0.471
36,38.0,0.085,14.8,1.25,5,"7,1610612753",100.7,0.114,0.391,23,4.6,9,1.8,0.391,5,3,19.1,13.7,114.3,0.055,83.82,0.02,7,Dan Schayes,0.084,ORL,1610612753,11.8,0.444,0.16,2,0.4
37,31.0,0.132,10.5,0.88,5,"330,1610612756",105.2,0.243,0.578,45,9.0,26,5.2,0.578,5,3,24.0,-6.5,98.7,0.039,96.12,0.15,330,Danny Manning,0.143,PHX,1610612756,12.0,0.64,0.229,2,0.4
38,29.0,0.218,23.7,2.43,5,"353,1610612753",95.7,0.137,0.548,42,8.4,20,4.0,0.476,5,3,29.6,15.8,111.6,0.027,84.21,0.166,353,Darrell Armstrong,0.086,ORL,1610612753,9.8,0.597,0.196,2,0.4
39,26.0,0.295,29.6,6.5,5,"239,1610612746",122.8,0.019,0.54,25,8.3,11,3.7,0.44,3,3,27.3,-16.5,106.2,0.015,82.4,0.072,239,Darrick Martin,0.017,LAC,1610612746,4.5,0.57,0.201,0,0.0
40,25.0,0.05,12.0,1.0,5,"241,1610612737",95.5,0.081,0.4,5,0.8,2,0.3,0.4,6,3,5.7,5.9,101.4,0.083,90.17,-0.018,241,Darrin Hancock,0.082,ATL,1610612737,12.0,0.316,0.111,3,0.5
