Receiver_Name,Passer_Name,Assists
"Aminu, Al-Farouq","Plumlee, Mason",45
"Davis, Anthony","Gordon, Eric",45
"Biyombo, Bismack","Lowry, Kyle",45
"Lopez, Brook","Young, Thaddeus",45
"Fournier, Evan","Vucevic, Nikola",45
"Randle, Julius","Russell, D'Angelo",45
"Mbah a Moute, Luc","Paul, Chris",45
"Brewer, Corey","Harden, James",44
"Gallinari, Danilo","Mudiay, Emmanuel",44
"Powell, Dwight","Barea, Jose Juan",44
"Korver, Kyle","Horford, Al",44
"Belinelli, Marco","Collison, Darren",44
"Hood, Rodney","Hayward, Gordon",44
"Gay, Rudy","Collison, Darren",44
"Jefferson, Al","Walker, Kemba",43
"Drummond, Andre","Morris, Marcus",43
"Nowitzki, Dirk","Parsons, Chandler",43
"Barnes, Harrison","Green, Draymond",43
"Terry, Jason","Harden, James",43
"Aldridge, LaMarcus","Leonard, Kawhi",43
"Aldridge, LaMarcus","Duncan, Tim",43
"James, LeBron","Irving, Kyrie",43
"Millsap, Paul","Horford, Al",43
"Adams, Steven","Durant, Kevin",43
"Horford, Al","Bazemore, Kent",42
"Bogut, Andrew","Green, Draymond",42
"Miles, CJ","Ellis, Monta",42
"Jordan, DeAndre","Crawford, Jamal",42
"Rose, Derrick","Butler, Jimmy",42
"Nowitzki, Dirk","Matthews, Wesley",42
"McDermott, Doug","Brooks, Aaron",42
"Redick, JJ","Jordan, DeAndre",42
"Leonard, Kawhi","Duncan, Tim",42
"Koufos, Kosta","Collison, Darren",42
"Bargnani, Andrea","Larkin, Shane",41
"Davis, Anthony","Smith, Ish",41
"Lee, Courtney","Gasol, Marc",41
"Lillard, Damian","McCollum, CJ",41
"Nowitzki, Dirk","Felton, Raymond",41
"Fournier, Evan","Oladipo, Victor",41
"Thomas, Isaiah","Johnson, Amir",41
"Smith, J.R.","Love, Kevin",41
"Crowder, Jae","Sullinger, Jared",41
"Harden, James","Beverley, Patrick",41
"Butler, Jimmy","Rose, Derrick",41
"Irving, Kyrie","James, LeBron",41
"Barnes, Matt","Conley, Mike",41
"Rondo, Rajon","Cousins, DeMarcus",41
"Len, Alex","Booker, Devin",40
"Bogdanovic, Bojan","Larkin, Shane",40
"Favors, Derrick","Mack, Shelvin",40
"Gortat, Marcin","Dudley, Jared",40
"Patterson, Patrick","Lowry, Kyle",40
"Gibson, Taj","Butler, Jimmy",40
"Gordon, Aaron","Payton, Elfrid",39
"Portis, Bobby","Brooks, Aaron",39
"Waiters, Dion","Westbrook, Russell",39
"Kanter, Enes","Durant, Kevin",39
"Hill, George","Ellis, Monta",39
"Wiggins, Andrew","LaVine, Zach",38
"Arthur, Darrell","Barton, Will",38
"Booker, Devin","Tucker, PJ",38
"Calderon, Jose","Anthony, Carmelo",38
"Leonard, Kawhi","Mills, Patty",38
"Olynyk, Kelly","Thomas, Isaiah",38
"Love, Kevin","Dellavedova, Matthew",38
"James, LeBron","Smith, J.R.",38
"Mirotic, Nikola","Gasol, Pau",38
"Baynes, Aron","Blake, Steve",37
"Cunningham, Dante","Holiday, Jrue",37
"Crawford, Jamal","Paul, Chris",37
"Harden, James","Ariza, Trevor",37
"Teague, Jeff","Millsap, Paul",37
"Grant, Jerami","Smith, Ish",37
"Leonard, Kawhi","Aldridge, LaMarcus",37
"Thompson, Klay","Livingston, Shaun",37
"Teletovic, Mirza","Knight, Brandon",37
"Noel, Nerlens","McConnell, TJ",37
"Muhammad, Shabazz","LaVine, Zach",37
"Lyles, Trey","Hayward, Gordon",37
"Landry, Carl","Smith, Ish",36
"Bosh, Chris","Udrih, Beno",36
"Waiters, Dion","Durant, Kevin",36
"Henderson, Gerald","McCollum, CJ",36
"Hayward, Gordon","Hood, Rodney",36
"Canaan, Isaiah","McConnell, TJ",36
"Clarkson, Jordan","Randle, Julius",36
"Bazemore, Kent","Horford, Al",36
"Garnett, Kevin","Rubio, Ricky",36
Nene,"Sessions, Ramon",36
"Gobert, Rudy","Hayward, Gordon",36
"Jones, Terrence","Harden, James",36
"Matthews, Wesley","Parsons, Chandler",36
"Iguodala, Andre","Green, Draymond",35
"Carroll, DeMarre","Lowry, Kyle",35
"Williams, Derrick","Grant, Jerian",35
"Green, Draymond","Iguodala, Andre",35
"Davis, Ed","Lillard, Damian",35
"Ezeli, Festus","Green, Draymond",35
"Kaminsky, Frank","Lin, Jeremy",35
"Sullinger, Jared","Bradley, Avery",35
"Caldwell-Pope, Kentavious","Morris, Marcus",35
"Korver, Kyle","Schroder, Dennis",35
"Ellis, Monta","George, Paul",35
"Ellis, Monta","Hill, George",35
"Stauskas, Nik","Smith, Ish",35
"Favors, Derrick","Neto, Raul",34
"Harris, Devin","Barea, Jose Juan",34
"Howard, Dwight","Beverley, Patrick",34
"Green, Gerald","Dragic, Goran",34
"Antetokounmpo, Giannis","Parker, Jabari",34
"Dragic, Goran","Wade, Dwyane",34
"Thompson, Hollis","Smith, Ish",34
"Smith, J.R.","Irving, Kyrie",34
"Okafor, Jahlil","Smith, Ish",34
"Jerebko, Jonas","Turner, Evan",34
"Leonard, Meyers","McCollum, CJ",34
"Plumlee, Miles","Antetokounmpo, Giannis",34
"Teletovic, Mirza","Booker, Devin",34
"Teletovic, Mirza","Price, Ronnie",34
"Stauskas, Nik","McConnell, TJ",34
"Patterson, Patrick","DeRozan, DeMar",34
"George, Paul","Mahinmi, Ian",34
"Livingston, Shaun","Green, Draymond",34
"Ellington, Wayne","Sloan, Donald",34
"Gordon, Aaron","Oladipo, Victor",33
"Jefferson, Al","Batum, Nicolas",33
"Bradley, Avery","Johnson, Amir",33
"Aldrich, Cole","Prigioni, Pablo",33
"Russell, D'Angelo","Bryant, Kobe",33
"Green, Draymond","Thompson, Klay",33
"Green, Draymond","Livingston, Shaun",33
"Kaminsky, Frank","Walker, Kemba",33
"Crowder, Jae","Turner, Evan",33
"Okafor, Jahlil","McConnell, TJ",33
"Henson, John","Middleton, Khris",33
"Hill, Jordan","Ellis, Monta",33
"Porzingis, Kristaps","Afflalo, Arron",33
"Aldridge, LaMarcus","Mills, Patty",33
"Barnes, Matt","Chalmers, Mario",33
Nene,"Wall, John",33
"Millsap, Paul","Korver, Kyle",33
"Barton, Will","Nelson, Jameer",33
"Stoudemire, Amar'e","Dragic, Goran",32
"Bogdanovic, Bojan","Sloan, Donald",32
"Bass, Brandon","Russell, D'Angelo",32
"Parsons, Chandler","Felton, Raymond",32
"Rose, Derrick","Gasol, Pau",32
"Davis, Ed","McCollum, CJ",32
"Gordon, Eric","Holiday, Jrue",32
"Turner, Evan","Thomas, Isaiah",32
"Barnes, Harrison","Thompson, Klay",32
"Green, JaMychal","Chalmers, Mario",32
"Smith, Jason","Payton, Elfrid",32
"Hill, Jordan","George, Paul",32
"Thompson, Klay","Iguodala, Andre",32
"Aldridge, LaMarcus","Ginobili, Manu",32
"Barbosa, Leandro","Livingston, Shaun",32
"Morris, Marcus","Blake, Steve",32
"Muhammad, Shabazz","Jones, Tyus",32
"Hawes, Spencer","Lin, Jeremy",32
"Gibson, Taj","Gasol, Pau",32
"Mozgov, Timofey","Dellavedova, Matthew",32
"Bogdanovic, Bojan","Johnson, Joe",31
"Knight, Brandon","Bledsoe, Eric",31
"Arthur, Darrell","Mudiay, Emmanuel",31
"Payton, Elfrid","Vucevic, Nikola",31
"Mudiay, Emmanuel","Harris, Gary",31
"Dragic, Goran","Deng, Luol",31
"Mahinmi, Ian","Hill, George",31
"Smith, Jason","Fournier, Evan",31
"Lamb, Jeremy","Lin, Jeremy",31
"Gortat, Marcin","Sessions, Ramon",31
"Turner, Myles","Hill, George",31
"Sessions, Ramon","Wall, John",31
"Gay, Rudy","Cousins, DeMarcus",31
"Curry, Stephen","Barnes, Harrison",31
"Warren, TJ","Knight, Brandon",31
"Horford, Al","Korver, Kyle",30
"Drummond, Andre","Caldwell-Pope, Kentavious",30
"Anthony, Carmelo","Lopez, Robin",30
"Lee, Courtney","Conley, Mike",30
"West, David","Parker, Tony",30
"Favors, Derrick","Burke, Trey",30
"Williams, Derrick","Galloway, Langston",30
"McDermott, Doug","Noah, Joakim",30
"Payton, Elfrid","Oladipo, Victor",30
"Henderson, Gerald","Lillard, Damian",30
"Antetokounmpo, Giannis","Monroe, Greg",30
"Hayward, Gordon","Neto, Raul",30
"Crowder, Jae","Johnson, Amir",30
"Harden, James","Terry, Jason",30
"Lin, Jeremy","Batum, Nicolas",30
"Johnson, Joe","Jack, Jarrett",30
"Randle, Julius","Clarkson, Jordan",30
"Martin, Kevin","Rubio, Ricky",30
"Middleton, Khris","Bayless, Jerryd",30
"Lowry, Kyle","Joseph, Cory",30
"Allen, Lavoy","George, Paul",30
"Ginobili, Manu","Mills, Patty",30
"Ginobili, Manu","Diaw, Boris",30
"Hezonja, Mario","Payton, Elfrid",30
"Mills, Patty","Ginobili, Manu",30
"Anderson, Ryan","Cole, Norris",30
"Ross, Terrence","DeRozan, DeMar",30
"Sefolosha, Thabo","Horford, Al",30
"Chandler, Tyson","Booker, Devin",30
"Rush, Brandon","Green, Draymond",29
"McCollum, CJ","Aminu, Al-Farouq",29
"Miles, CJ","Hill, George",29
"Anthony, Carmelo","Afflalo, Arron",29
"Brewer, Corey","Lawson, Ty",29
"Green, Danny","Leonard, Kawhi",29
"Kaminsky, Frank","Batum, Nicolas",29
"Dudley, Jared","Sessions, Ramon",29
"Wall, John","Porter, Otto",29
"Leuer, Jon","Bledsoe, Eric",29
"Leonard, Kawhi","Green, Danny",29
"Faried, Kenneth","Harris, Gary",29
"Thompson, Klay","Barnes, Harrison",29
"Aldridge, LaMarcus","Green, Danny",29
"Casspi, Omri","Cousins, DeMarcus",29
"Beverley, Patrick","Ariza, Trevor",29
"Hibbert, Roy","Clarkson, Jordan",29
"Anderson, Ryan","Smith, Ish",29
"Larkin, Shane","Lopez, Brook",29
"Harris, Tobias","Vucevic, Nikola",29
"LaVine, Zach","Wiggins, Andrew",29
"Bradley, Avery","Crowder, Jae",28
"Bosh, Chris","Johnson, Tyler",28
"Russell, D'Angelo","Clarkson, Jordan",28
"Schroder, Dennis","Horford, Al",28
"Howard, Dwight","Ariza, Trevor",28
"Mudiay, Emmanuel","Jokic, Nikola",28
"Gordon, Eric","Smith, Ish",28
"Hayward, Gordon","Gobert, Rudy",28
"Thomas, Isaiah","Bradley, Avery",28
"Thomas, Isaiah","Turner, Evan",28
"Smith, J.R.","Dellavedova, Matthew",28
"Parker, Jabari","Monroe, Greg",28
"Crowder, Jae","Smart, Marcus",28
"Lamb, Jeremy","Hawes, Spencer",28
"Olynyk, Kelly","Smart, Marcus",28
"Bazemore, Kent","Korver, Kyle",28
"Bryant, Kobe","Randle, Julius",28
"Porzingis, Kristaps","Galloway, Langston",28
"Allen, Lavoy","Ellis, Monta",28
"Morris, Markieff","Bledsoe, Eric",28
"Mirotic, Nikola","Rose, Derrick",28
"Mills, Patty","Diaw, Boris",28
"Hood, Rodney","Mack, Shelvin",28
"Muhammad, Shabazz","Dieng, Gorgui",28
"Muhammad, Shabazz","Bjelica, Nemanja",28
"Prince, Tayshaun","Rubio, Ricky",28
"Ariza, Trevor","Lawson, Ty",28
"Thompson, Tristan","Irving, Kyrie",28
"Ellington, Wayne","Larkin, Shane",28
"Johnson, Wesley","Prigioni, Pablo",28
"LaVine, Zach","Dieng, Gorgui",28
"Randolph, Zach","Chalmers, Mario",28
"Wiggins, Andrew","Dieng, Gorgui",27
"Morrow, Anthony","Westbrook, Russell",27
"Bogdanovic, Bojan","Jack, Jarrett",27
"Bass, Brandon","Williams, Lou",27
"West, David","Diaw, Boris",27
"Jordan, DeAndre","Griffin, Blake",27
"Dedmon, Dewayne","Payton, Elfrid",27
"Kanter, Enes","Waiters, Dion",27
"Parker, Jabari","Bayless, Jerryd",27
"Parker, Jabari","Mayo, O.J.",27
"Green, Jeff","Conley, Mike",27
"Teague, Jeff","Horford, Al",27
"Lin, Jeremy","Walker, Kemba",27
"Wall, John","Beal, Bradley",27
"Bazemore, Kent","Schroder, Dennis",27
"Love, Kevin","Williams, Mo",27
"Galloway, Langston","Grant, Jerian",27
"Williams, Lou","Clarkson, Jordan",27
"Gortat, Marcin","Porter, Otto",27
"Smart, Marcus","Turner, Evan",27
"Harkless, Maurice","McCollum, CJ",27
"Harkless, Maurice","Lillard, Damian",27
"Dunleavy, Mike","Gasol, Pau",27
"Hairston, PJ","Batum, Nicolas",27
"Sefolosha, Thabo","Millsap, Paul",27
"Robinson, Thomas","Larkin, Shane",27
"Parker, Tony","Duncan, Tim",27
"Barton, Will","Foye, Randy",27
"LaVine, Zach","Towns, Karl-Anthony",27
"Horford, Al","Scott, Mike",26
"Crabbe, Allen","Leonard, Meyers",26
"Iguodala, Andre","Curry, Stephen",26
"Tolliver, Anthony","Blake, Steve",26
"Anthony, Carmelo","Porzingis, Kristaps",26
"Frye, Channing","Payton, Elfrid",26
"Brewer, Corey","Beverley, Patrick",26
"Lee, Courtney","Batum, Nicolas",26
"Motiejunas, Donatas","Harden, James",26
"Powell, Dwight","Felton, Raymond",26
"Ilyasova, Ersan","Caldwell-Pope, Kentavious",26
"Antetokounmpo, Giannis","Bayless, Jerryd",26
"Thomas, Isaiah","Smart, Marcus",26
"Thomas, Isaiah","Crowder, Jae",26
"Crowder, Jae","Bradley, Avery",26
"Green, Jeff","Paul, Chris",26
"Green, Jeff","Chalmers, Mario",26
"Bryant, Kobe","Clarkson, Jordan",26
"O'Quinn, Kyle","Galloway, Langston",26
"Nance Jr., Larry","Williams, Lou",26
"Gasol, Marc","Chalmers, Mario",26
"Williams, Marvin","Lin, Jeremy",26
"Plumlee, Mason","Aminu, Al-Farouq",26
"Vucevic, Nikola","Gordon, Aaron",26
"Vonleh, Noah","Lillard, Damian",26
"Casspi, Omri","Belinelli, Marco",26
"Parker, Tony","Leonard, Kawhi",26
"Lyles, Trey","Hood, Rodney",26
"Jefferson, Al","Lin, Jeremy",25
"Crabbe, Allen","Plumlee, Mason",25
"Crabbe, Allen","Davis, Ed",25
"Davis, Anthony","Douglas, Toney",25
"Baynes, Aron","Johnson, Stanley",25
"Griffin, Blake","Redick, JJ",25
"Bogdanovic, Bojan","Lopez, Brook",25
"Bass, Brandon","Huertas, Marcelo",25
"Joseph, Cory","Lowry, Kyle",25
"Collison, Darren","Cousins, DeMarcus",25
"West, David","Mills, Patty",25
"Schroder, Dennis","Millsap, Paul",25
"McDermott, Doug","Gibson, Taj",25
"McDermott, Doug","Rose, Derrick",25
"Moore, E'Twaun","Gasol, Pau",25
"Gordon, Eric","Evans, Tyreke",25
"Hayward, Gordon","Favors, Derrick",25
"Thompson, Hollis","Grant, Jerami",25
"Bayless, Jerryd","Antetokounmpo, Giannis",25
"Lauvergne, Joffrey","Barton, Will",25
"Lauvergne, Joffrey","Augustin, D.J.",25
"Henson, John","Carter-Williams, Michael",25
"Love, Kevin","Smith, J.R.",25
"Bryant, Kobe","Williams, Lou",25
"Thomas, Lance","Galloway, Langston",25
"Mills, Patty","West, David",25
"Sessions, Ramon",Nene,25
"Jackson, Reggie","Morris, Marcus",25
"Hibbert, Roy","Bryant, Kobe",25
"Kilpatrick, Sean","Larkin, Shane",25
"Muhammad, Shabazz","Rubio, Ricky",25
"Gibson, Taj","Rose, Derrick",25
"Johnson, Wesley","Crawford, Jamal",25
"Barton, Will","Mudiay, Emmanuel",25
"Biyombo, Bismack","Joseph, Cory",24
"Diaw, Boris","Ginobili, Manu",24
"Miles, CJ","George, Paul",24
"Gallinari, Danilo","Nelson, Jameer",24
"West, David","Ginobili, Manu",24
"DeRozan, DeMar","Joseph, Cory",24
"McDermott, Doug","Gasol, Pau",24
"Moore, E'Twaun","Rose, Derrick",24
"Kanter, Enes","Payne, Cameron",24
"Fournier, Evan","Gordon, Aaron",24
"Neal, Gary","Wall, John",24
"Hayward, Gordon","Mack, Shelvin",24
"Monroe, Greg","Bayless, Jerryd",24
"Barnes, Harrison","Iguodala, Andre",24
"Butler, Jimmy","Mirotic, Nikola",24
"Lauvergne, Joffrey","Nelson, Jameer",24
"Wall, John","Dudley, Jared",24
"Hill, Jordan","Hill, George",24
"Towns, Karl-Anthony","Dieng, Gorgui",24
"Faried, Kenneth","Gallinari, Danilo",24
"Humphries, Kris","Wall, John",24
"Porzingis, Kristaps","Lopez, Robin",24
"Barnes, Matt","Randolph, Zach",24
"Carter-Williams, Michael","Antetokounmpo, Giannis",24
"Carter-Williams, Michael","Middleton, Khris",24
"Teletovic, Mirza","Goodwin, Archie",24
"Batum, Nicolas","Williams, Marvin",24
"Mirotic, Nikola","Brooks, Aaron",24
"Tucker, PJ","Knight, Brandon",24
"Acy, Quincy","Rondo, Rajon",24
"Neto, Raul","Hayward, Gordon",24
"Holmes, Richaun","McConnell, TJ",24
"Rubio, Ricky","Wiggins, Andrew",24
"Anderson, Ryan","Gordon, Eric",24
"Johnson, Stanley","Blake, Steve",24
"Warren, TJ","Bledsoe, Eric",24
"Harris, Tobias","Oladipo, Victor",24
"Parker, Tony","Green, Danny",24
"Randolph, Zach","Barnes, Matt",24
"Gordon, Aaron","Fournier, Evan",23
"Rivers, Austin","Crawford, Jamal",23
"Bradley, Avery","Olynyk, Kelly",23
"Paul, Chris","Griffin, Blake",23
"Russell, D'Angelo","Randle, Julius",23
"Arthur, Darrell","Nelson, Jameer",23
"Lee, David","Turner, Evan",23
"Carroll, DeMarre","DeRozan, DeMar",23
"Williams, Deron","Pachulia, Zaza",23
"Booker, Devin","Len, Alex",23
"Nowitzki, Dirk","Pachulia, Zaza",23
"Harris, Gary","Nelson, Jameer",23
"Dieng, Gorgui","Towns, Karl-Anthony",23
"Barnes, Harrison","Livingston, Shaun",23
"Canaan, Isaiah","Smith, Ish",23
"Winslow, Justise","Dragic, Goran",23
"Towns, Karl-Anthony","Garnett, Kevin",23
"Leonard, Kawhi","West, David",23
"Walker, Kemba","Lin, Jeremy",23
"Faried, Kenneth","Jokic, Nikola",23
"Caldwell-Pope, Kentavious","Blake, Steve",23
"James, LeBron","Williams, Mo",23
"Gasol, Marc","Green, Jeff",23
"Gortat, Marcin","Beal, Bradley",23
"Noel, Nerlens","Stauskas, Nik",23
"Jokic, Nikola","Gallinari, Danilo",23
"Hairston, PJ","Walker, Kemba",23
"Millsap, Paul","Sefolosha, Thabo",23
"Jefferson, Richard","James, LeBron",23
"Anderson, Ryan","Evans, Tyreke",23
"Ross, Terrence","Patterson, Patrick",23
"Duncan, Tim","Leonard, Kawhi",23
"Mozgov, Timofey","Irving, Kyrie",23
"Booker, Trevor","Burke, Trey",23
"Lyles, Trey","Neto, Raul",23
"Barton, Will","Jokic, Nikola",23
"Barton, Will","Augustin, D.J.",23
"Randolph, Zach","Gasol, Marc",23
"Pachulia, Zaza","Nowitzki, Dirk",23
"Afflalo, Arron","Galloway, Langston",22
"Diaw, Boris","Mills, Patty",22
"Miles, CJ","Stuckey, Rodney",22
"Parsons, Chandler","Matthews, Wesley",22
"Parsons, Chandler","Pachulia, Zaza",22
"Paul, Chris","Redick, JJ",22
"Aldrich, Cole","Crawford, Jamal",22
"Collison, Darren","Casspi, Omri",22
"Williams, Deron","Parsons, Chandler",22
"Williams, Deron","Matthews, Wesley",22
"Williams, Deron","Felton, Raymond",22
"Booker, Devin","Knight, Brandon",22
