,AGE,BLK,BLKA,CFID,CFPARAMS,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
95,30.0,0.002,0.005,5,"1114,1610612759",9,5,0.543,0.114,0.097,0.165,0.341,0.053,0.002,1114,Jaren Jackson,0.017,0.017,0.038,0.01,SAS,1610612759.0,4,0.444
96,25.0,0.006,0.012,5,"467,1610612756",4,3,0.524,0.156,0.138,0.15,0.513,0.04,0.0,467,Jason Kidd,0.0,0.061,0.04,0.079,PHX,1610612756.0,1,0.25
97,30.0,0.014,0.009,5,"420,1610612751",3,3,0.553,0.194,0.123,0.204,0.398,0.038,0.0,420,Jayson Williams,0.057,0.0,0.019,0.085,NJN,1610612751.0,0,0.0
98,35.0,0.003,0.01,5,"204,1610612762",20,7,0.537,0.155,0.073,0.157,0.407,0.043,0.003,204,Jeff Hornacek,0.022,0.03,0.041,0.051,UTA,1610612762.0,13,0.65
99,19.0,0.286,0.286,5,"979,1610612757",1,1,0.46,0.0,0.286,0.0,0.286,0.143,0.0,979,Jermaine O'Neal,0.0,0.0,0.0,0.0,POR,1610612757.0,0,0.0
100,36.0,0.025,0.028,5,"760,1610612760",10,6,0.535,0.161,0.093,0.174,0.362,0.08,0.0,760,Jerome Kersey,0.053,0.035,0.035,0.075,SEA,1610612760.0,4,0.4
101,25.0,0.053,0.009,5,"29,1610612760",6,4,0.522,0.184,0.316,0.228,0.808,0.193,0.0,29,Jim McIlvaine,0.044,0.018,0.0,0.07,SEA,1610612760.0,2,0.333
102,32.0,0.002,0.014,5,"317,1610612752",10,6,0.543,0.109,0.067,0.161,0.315,0.06,0.0,317,John Starks,0.026,0.067,0.057,0.073,NYK,1610612752.0,4,0.4
103,36.0,0.003,0.011,5,"304,1610612762",20,7,0.544,0.157,0.064,0.146,0.414,0.049,0.001,304,John Stockton,0.011,0.032,0.038,0.081,UTA,1610612762.0,13,0.65
104,28.0,0.0,0.0,5,"468,1610612747",7,2,0.574,0.293,0.037,0.257,0.44,0.037,0.0,468,Jon Barry,0.0,0.0,0.0,0.0,LAL,1610612747.0,5,0.714
105,30.0,0.009,0.0,5,"146,1610612741",16,4,0.507,0.112,0.147,0.103,0.414,0.06,0.0,146,Jud Buechler,0.0,0.0,0.017,0.0,CHI,1610612741.0,12,0.75
106,34.0,0.014,0.02,5,"252,1610612762",20,7,0.542,0.157,0.07,0.155,0.413,0.047,0.0,252,Karl Malone,0.029,0.03,0.057,0.14,UTA,1610612762.0,13,0.65
107,30.0,0.0,0.01,5,"173,1610612748",4,2,0.556,0.153,0.163,0.22,0.363,0.086,0.0,173,Keith Askins,0.0,0.0,0.0,0.0,MIA,1610612748.0,2,0.5
108,22.0,0.0,0.007,5,"1496,1610612751",3,3,0.536,0.216,0.118,0.23,0.446,0.049,0.0,1496,Keith Van Horn,0.042,0.0,0.035,0.111,NJN,1610612751.0,0,0.0
109,23.0,0.062,0.044,5,"1509,1610612757",4,3,0.51,0.142,0.115,0.222,0.549,0.106,0.0,1509,Kelvin Cato,0.027,0.0,0.018,0.124,POR,1610612757.0,1,0.25
110,30.0,0.006,0.022,5,"383,1610612751",3,3,0.558,0.168,0.129,0.229,0.414,0.084,0.0,383,Kendall Gill,0.011,0.034,0.034,0.123,NJN,1610612751.0,0,0.0
111,24.0,0.009,0.0,5,"954,1610612751",3,3,0.555,0.203,0.132,0.22,0.44,0.053,0.0,954,Kerry Kittles,0.04,0.022,0.035,0.053,NJN,1610612751.0,0,0.0
