,AST,FG2A,FG2M,FG2_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FREQUENCY,G,PASS,PASS_FROM,PASS_TEAMMATE_PLAYER_ID,PASS_TYPE,PLAYER_ID,PLAYER_NAME_LAST_FIRST,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME
0,23,18,10,0.556,43,15,0.349,61,25,0.41,0.088,82,295,"Ingles, Joe",204060,received,203957,"Exum, Dante",UTA,1610612762,Utah Jazz
1,0,0,0,0.0,0,0,0.0,0,0,0.0,0.001,82,5,"Cooley, Jack",204022,received,203957,"Exum, Dante",UTA,1610612762,Utah Jazz
2,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,82,1,"Benimon, Jerrelle",203968,received,203957,"Exum, Dante",UTA,1610612762,Utah Jazz
3,0,0,0,0.0,1,0,0.0,1,0,0.0,0.002,82,7,"Cotton, Bryce",203955,received,203957,"Exum, Dante",UTA,1610612762,Utah Jazz
4,5,2,0,0.0,18,6,0.333,20,6,0.3,0.048,82,160,"Hood, Rodney",203918,received,203957,"Exum, Dante",UTA,1610612762,Utah Jazz
5,0,0,0,0.0,0,0,0.0,0,0,0.0,0.001,82,2,"Christopher, Patrick",203565,received,203957,"Exum, Dante",UTA,1610612762,Utah Jazz
6,2,1,1,1.0,4,1,0.25,5,2,0.4,0.007,82,25,"Clark, Ian",203546,received,203957,"Exum, Dante",UTA,1610612762,Utah Jazz
7,8,8,5,0.625,20,5,0.25,28,10,0.357,0.041,82,138,"Burke, Trey",203504,received,203957,"Exum, Dante",UTA,1610612762,Utah Jazz
8,12,23,8,0.348,26,10,0.385,49,18,0.367,0.213,82,710,"Gobert, Rudy",203497,received,203957,"Exum, Dante",UTA,1610612762,Utah Jazz
9,1,1,1,1.0,1,1,1.0,2,2,1.0,0.004,82,15,"Johnson, Chris",203187,received,203957,"Exum, Dante",UTA,1610612762,Utah Jazz
10,4,9,3,0.333,10,4,0.4,19,7,0.368,0.028,82,94,"Burks, Alec",202692,received,203957,"Exum, Dante",UTA,1610612762,Utah Jazz
11,1,8,4,0.5,2,0,0.0,10,4,0.4,0.075,82,249,"Kanter, Enes",202683,received,203957,"Exum, Dante",UTA,1610612762,Utah Jazz
12,1,2,0,0.0,6,1,0.167,8,1,0.125,0.023,82,77,"Millsap, Elijah",202407,received,203957,"Exum, Dante",UTA,1610612762,Utah Jazz
13,1,3,1,0.333,4,0,0.0,7,1,0.143,0.013,82,43,"Evans, Jeremy",202379,received,203957,"Exum, Dante",UTA,1610612762,Utah Jazz
14,11,18,5,0.278,35,8,0.229,53,13,0.245,0.164,82,548,"Booker, Trevor",202344,received,203957,"Exum, Dante",UTA,1610612762,Utah Jazz
15,0,0,0,0.0,1,0,0.0,1,0,0.0,0.001,82,5,"Williams, Elliot",202343,received,203957,"Exum, Dante",UTA,1610612762,Utah Jazz
16,30,26,11,0.423,71,25,0.352,97,36,0.371,0.131,82,439,"Hayward, Gordon",202330,received,203957,"Exum, Dante",UTA,1610612762,Utah Jazz
17,7,15,4,0.267,20,6,0.3,35,10,0.286,0.148,82,496,"Favors, Derrick",202324,received,203957,"Exum, Dante",UTA,1610612762,Utah Jazz
18,1,2,0,0.0,2,1,0.5,4,1,0.25,0.01,82,32,"Novak, Steve",200779,received,203957,"Exum, Dante",UTA,1610612762,Utah Jazz
