,AST,FG2A,FG2M,FG2_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FREQUENCY,G,PASS,PASS_FROM,PASS_TEAMMATE_PLAYER_ID,PASS_TYPE,PLAYER_ID,PLAYER_NAME_LAST_FIRST,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME
0,7,40,18,0.45,20,3,0.15,60,21,0.35,0.231,25,399,"Davis, Anthony",203076,received,201936,"Evans, Tyreke",NOP,1610612740,New Orleans Pelicans
1,2,28,9,0.321,6,2,0.333,34,11,0.324,0.089,25,153,"Cole, Norris",202708,received,201936,"Evans, Tyreke",NOP,1610612740,New Orleans Pelicans
2,2,2,1,0.5,3,2,0.667,5,3,0.6,0.012,25,21,"Smith, Ish",202397,received,201936,"Evans, Tyreke",NOP,1610612740,New Orleans Pelicans
3,0,0,0,0.0,0,0,0.0,0,0,0.0,0.003,25,6,"Babbitt, Luke",202337,received,201936,"Evans, Tyreke",NOP,1610612740,New Orleans Pelicans
4,5,18,9,0.5,9,6,0.667,27,15,0.556,0.078,25,135,"Gee, Alonzo",202087,received,201936,"Evans, Tyreke",NOP,1610612740,New Orleans Pelicans
5,1,12,3,0.25,1,1,1.0,13,4,0.308,0.05,25,87,"Cunningham, Dante",201967,received,201936,"Evans, Tyreke",NOP,1610612740,New Orleans Pelicans
6,2,2,2,1.0,1,1,1.0,3,3,1.0,0.009,25,16,"Douglas, Toney",201962,received,201936,"Evans, Tyreke",NOP,1610612740,New Orleans Pelicans
7,8,17,8,0.471,15,7,0.467,32,15,0.469,0.086,25,149,"Holiday, Jrue",201950,received,201936,"Evans, Tyreke",NOP,1610612740,New Orleans Pelicans
8,1,20,9,0.45,9,4,0.444,29,13,0.448,0.177,25,305,"Asik, Omer",201600,received,201936,"Evans, Tyreke",NOP,1610612740,New Orleans Pelicans
9,3,20,12,0.6,7,2,0.286,27,14,0.519,0.093,25,161,"Anderson, Ryan",201583,received,201936,"Evans, Tyreke",NOP,1610612740,New Orleans Pelicans
10,4,10,4,0.4,3,2,0.667,13,6,0.462,0.06,25,104,"Ajinca, Alexis",201582,received,201936,"Evans, Tyreke",NOP,1610612740,New Orleans Pelicans
11,4,27,12,0.444,9,2,0.222,36,14,0.389,0.102,25,176,"Gordon, Eric",201569,received,201936,"Evans, Tyreke",NOP,1610612740,New Orleans Pelicans
12,0,1,0,0.0,0,0,0.0,1,0,0.0,0.008,25,13,"Perkins, Kendrick",2570,received,201936,"Evans, Tyreke",NOP,1610612740,New Orleans Pelicans
