,AST,FG2A,FG2M,FG2_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FREQUENCY,G,PASS,PASS_FROM,PASS_TEAMMATE_PLAYER_ID,PASS_TYPE,PLAYER_ID,PLAYER_NAME_LAST_FIRST,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME
0,6,22,10,0.455,1,0,0.0,23,10,0.435,0.068,64,89,"Porter, Otto",203490,received,2743,"Humphries, Kris",WAS,1610612764,Washington Wizards
1,0,0,0,0.0,0,0,0.0,0,0,0.0,0.002,64,3,"Rice Jr., Glen",203318,received,2743,"Humphries, Kris",WAS,1610612764,Washington Wizards
2,23,57,25,0.439,0,0,0.0,57,25,0.439,0.172,64,226,"Beal, Bradley",203078,received,2743,"Humphries, Kris",WAS,1610612764,Washington Wizards
3,8,15,8,0.533,0,0,0.0,15,8,0.533,0.054,64,71,"Seraphin, Kevin",202338,received,2743,"Humphries, Kris",WAS,1610612764,Washington Wizards
4,58,119,58,0.487,4,0,0.0,123,58,0.472,0.239,64,314,"Wall, John",202322,received,2743,"Humphries, Kris",WAS,1610612764,Washington Wizards
5,2,8,2,0.25,0,0,0.0,8,2,0.25,0.032,64,42,"Temple, Garrett",202066,received,2743,"Humphries, Kris",WAS,1610612764,Washington Wizards
6,0,0,0,0.0,0,0,0.0,0,0,0.0,0.002,64,3,"Blair, DeJuan",201971,received,2743,"Humphries, Kris",WAS,1610612764,Washington Wizards
7,9,21,10,0.476,2,0,0.0,23,10,0.435,0.046,64,61,"Sessions, Ramon",201196,received,2743,"Humphries, Kris",WAS,1610612764,Washington Wizards
8,2,5,2,0.4,0,0,0.0,5,2,0.4,0.014,64,18,"Bynum, Will",101198,received,2743,"Humphries, Kris",WAS,1610612764,Washington Wizards
9,5,7,5,0.714,0,0,0.0,7,5,0.714,0.052,64,69,"Gortat, Marcin",101162,received,2743,"Humphries, Kris",WAS,1610612764,Washington Wizards
10,4,10,4,0.4,0,0,0.0,10,4,0.4,0.029,64,38,"Webster, Martell",101110,received,2743,"Humphries, Kris",WAS,1610612764,Washington Wizards
11,13,30,16,0.533,0,0,0.0,30,16,0.533,0.091,64,120,"Butler, Rasual",2446,received,2743,"Humphries, Kris",WAS,1610612764,Washington Wizards
12,5,7,5,0.714,0,0,0.0,7,5,0.714,0.015,64,20,Nene,2403,received,2743,"Humphries, Kris",WAS,1610612764,Washington Wizards
13,0,0,0,0.0,0,0,0.0,0,0,0.0,0.002,64,2,"Gooden, Drew",2400,received,2743,"Humphries, Kris",WAS,1610612764,Washington Wizards
14,25,44,26,0.591,0,0,0.0,44,26,0.591,0.125,64,165,"Miller, Andre",1889,received,2743,"Humphries, Kris",WAS,1610612764,Washington Wizards
15,8,30,8,0.267,0,0,0.0,30,8,0.267,0.057,64,75,"Pierce, Paul",1718,received,2743,"Humphries, Kris",WAS,1610612764,Washington Wizards
