,AST,FG2A,FG2M,FG2_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FREQUENCY,G,PASS,PASS_FROM,PASS_TEAMMATE_PLAYER_ID,PASS_TYPE,PLAYER_ID,PLAYER_NAME_LAST_FIRST,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME
0,2,2,1,0.5,2,1,0.5,4,2,0.5,0.034,34,20,"Plumlee, Mason",203486,received,1891,"Terry, Jason",BKN,1610612751,Brooklyn Nets
1,8,3,0,0.0,15,9,0.6,18,9,0.5,0.106,34,62,"Teletovic, Mirza",203141,received,1891,"Terry, Jason",BKN,1610612751,Brooklyn Nets
2,1,1,1,1.0,0,0,0.0,1,1,1.0,0.002,34,1,"Shengelia, Tornike",203129,received,1891,"Terry, Jason",BKN,1610612751,Brooklyn Nets
3,1,1,1,1.0,3,2,0.667,4,3,0.75,0.019,34,11,"Taylor, Tyshawn",203116,received,1891,"Terry, Jason",BKN,1610612751,Brooklyn Nets
4,4,2,1,0.5,7,4,0.571,9,5,0.556,0.039,34,23,"Teague, Marquis",203104,received,1891,"Terry, Jason",BKN,1610612751,Brooklyn Nets
5,0,0,0,0.0,1,0,0.0,1,0,0.0,0.005,34,3,"Lopez, Brook",201572,received,1891,"Terry, Jason",BKN,1610612751,Brooklyn Nets
6,3,8,2,0.25,8,2,0.25,16,4,0.25,0.102,34,60,"Anderson, Alan",101187,received,1891,"Terry, Jason",BKN,1610612751,Brooklyn Nets
7,1,2,1,0.5,7,1,0.143,9,2,0.222,0.07,34,41,"Blatche, Andray",101154,received,1891,"Terry, Jason",BKN,1610612751,Brooklyn Nets
8,5,6,2,0.333,17,6,0.353,23,8,0.348,0.162,34,95,"Williams, Deron",101114,received,1891,"Terry, Jason",BKN,1610612751,Brooklyn Nets
9,5,11,2,0.182,15,5,0.333,26,7,0.269,0.218,34,128,"Livingston, Shaun",2733,received,1891,"Terry, Jason",BKN,1610612751,Brooklyn Nets
10,1,2,1,0.5,0,0,0.0,2,1,0.5,0.022,34,13,"Evans, Reggie",2501,received,1891,"Terry, Jason",BKN,1610612751,Brooklyn Nets
11,3,1,1,1.0,5,2,0.4,6,3,0.5,0.038,34,22,"Johnson, Joe",2207,received,1891,"Terry, Jason",BKN,1610612751,Brooklyn Nets
12,1,1,0,0.0,2,1,0.5,3,1,0.333,0.043,34,25,"Kirilenko, Andrei",1905,received,1891,"Terry, Jason",BKN,1610612751,Brooklyn Nets
13,2,2,1,0.5,8,1,0.125,10,2,0.2,0.056,34,33,"Pierce, Paul",1718,received,1891,"Terry, Jason",BKN,1610612751,Brooklyn Nets
14,3,4,1,0.25,6,3,0.5,10,4,0.4,0.084,34,49,"Garnett, Kevin",708,received,1891,"Terry, Jason",BKN,1610612751,Brooklyn Nets
