,AST,FG2A,FG2M,FG2_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FREQUENCY,G,PASS,PASS_FROM,PASS_TEAMMATE_PLAYER_ID,PASS_TYPE,PLAYER_ID,PLAYER_NAME_LAST_FIRST,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME
0,1,2,1,0.5,1,0,0.0,3,1,0.333,0.009,76,13,"McCullough, Chris",1626191,received,201961,"Ellington, Wayne",BKN,1610612751,Brooklyn Nets
1,0,2,0,0.0,3,0,0.0,5,0,0.0,0.011,76,17,"Hollis-Jefferson, Rondae",1626178,received,201961,"Ellington, Wayne",BKN,1610612751,Brooklyn Nets
2,2,2,0,0.0,3,2,0.667,5,2,0.4,0.005,76,7,"Kilpatrick, Sean",203930,received,201961,"Ellington, Wayne",BKN,1610612751,Brooklyn Nets
3,1,7,2,0.286,2,0,0.0,9,2,0.222,0.014,76,21,"Brown, Markel",203900,received,201961,"Ellington, Wayne",BKN,1610612751,Brooklyn Nets
4,0,1,0,0.0,1,0,0.0,2,0,0.0,0.003,76,5,"Karasev, Sergey",203508,received,201961,"Ellington, Wayne",BKN,1610612751,Brooklyn Nets
5,28,40,18,0.45,57,17,0.298,97,35,0.361,0.196,76,295,"Larkin, Shane",203499,received,201961,"Ellington, Wayne",BKN,1610612751,Brooklyn Nets
6,1,3,2,0.667,2,1,0.5,5,3,0.6,0.013,76,20,"Reed, Willie",203186,received,201961,"Ellington, Wayne",BKN,1610612751,Brooklyn Nets
7,1,4,1,0.25,2,1,0.5,6,2,0.333,0.016,76,24,"Sims, Henry",203156,received,201961,"Ellington, Wayne",BKN,1610612751,Brooklyn Nets
8,7,15,7,0.467,9,3,0.333,24,10,0.417,0.044,76,67,"Robinson, Thomas",203080,received,201961,"Ellington, Wayne",BKN,1610612751,Brooklyn Nets
9,12,20,9,0.45,23,10,0.435,43,19,0.442,0.076,76,114,"Bogdanovic, Bojan",202711,received,201961,"Ellington, Wayne",BKN,1610612751,Brooklyn Nets
10,34,57,21,0.368,56,24,0.429,113,45,0.398,0.234,76,353,"Sloan, Donald",202388,received,201961,"Ellington, Wayne",BKN,1610612751,Brooklyn Nets
11,15,41,14,0.341,18,4,0.222,59,18,0.305,0.107,76,162,"Lopez, Brook",201572,received,201961,"Ellington, Wayne",BKN,1610612751,Brooklyn Nets
12,21,30,15,0.5,27,11,0.407,57,26,0.456,0.111,76,168,"Young, Thaddeus",201152,received,201961,"Ellington, Wayne",BKN,1610612751,Brooklyn Nets
13,2,8,4,0.5,0,0,0.0,8,4,0.5,0.021,76,31,"Bargnani, Andrea",200745,received,201961,"Ellington, Wayne",BKN,1610612751,Brooklyn Nets
14,9,6,2,0.333,18,8,0.444,24,10,0.417,0.042,76,64,"Jack, Jarrett",101127,received,201961,"Ellington, Wayne",BKN,1610612751,Brooklyn Nets
15,19,25,12,0.48,42,14,0.333,67,26,0.388,0.097,76,146,"Johnson, Joe",2207,received,201961,"Ellington, Wayne",BKN,1610612751,Brooklyn Nets
