,AST,FG2A,FG2M,FG2_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FREQUENCY,G,PASS,PASS_FROM,PASS_TEAMMATE_PLAYER_ID,PASS_TYPE,PLAYER_ID,PLAYER_NAME_LAST_FIRST,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME
0,0,1,1,1.0,0,0,0.0,1,1,1.0,0.002,35,3,"Black, Tarik",204028,received,977,"Bryant, Kobe",LAL,1610612747,Los Angeles Lakers
1,0,0,0,0.0,0,0,0.0,0,0,0.0,0.001,35,1,"Randle, Julius",203944,received,977,"Bryant, Kobe",LAL,1610612747,Los Angeles Lakers
2,0,3,0,0.0,1,0,0.0,4,0,0.0,0.006,35,11,"Clarkson, Jordan",203903,received,977,"Bryant, Kobe",LAL,1610612747,Los Angeles Lakers
3,1,3,2,0.667,2,1,0.5,5,3,0.6,0.009,35,17,"Kelly, Ryan",203527,received,977,"Bryant, Kobe",LAL,1610612747,Los Angeles Lakers
4,0,5,1,0.2,0,0,0.0,5,1,0.2,0.012,35,24,"Sacre, Robert",203135,received,977,"Bryant, Kobe",LAL,1610612747,Los Angeles Lakers
5,23,108,51,0.472,34,8,0.235,142,59,0.415,0.215,35,417,"Lin, Jeremy",202391,received,977,"Bryant, Kobe",LAL,1610612747,Los Angeles Lakers
6,3,41,13,0.317,18,3,0.167,59,16,0.271,0.109,35,211,"Davis, Ed",202334,received,977,"Bryant, Kobe",LAL,1610612747,Los Angeles Lakers
7,0,0,0,0.0,1,0,0.0,1,0,0.0,0.001,35,1,"Henry, Xavier",202333,received,977,"Bryant, Kobe",LAL,1610612747,Los Angeles Lakers
8,14,56,19,0.339,25,11,0.44,81,30,0.37,0.107,35,207,"Johnson, Wesley",202325,received,977,"Bryant, Kobe",LAL,1610612747,Los Angeles Lakers
9,1,11,7,0.636,2,0,0.0,13,7,0.538,0.015,35,29,"Ellington, Wayne",201961,received,977,"Bryant, Kobe",LAL,1610612747,Los Angeles Lakers
10,21,87,35,0.402,34,11,0.324,121,46,0.38,0.193,35,375,"Hill, Jordan",201941,received,977,"Bryant, Kobe",LAL,1610612747,Los Angeles Lakers
11,0,16,6,0.375,7,2,0.286,23,8,0.348,0.03,35,59,"Young, Nick",201156,received,977,"Bryant, Kobe",LAL,1610612747,Los Angeles Lakers
12,10,84,33,0.393,28,8,0.286,112,41,0.366,0.18,35,350,"Price, Ronnie",101179,received,977,"Bryant, Kobe",LAL,1610612747,Los Angeles Lakers
13,12,57,18,0.316,18,5,0.278,75,23,0.307,0.121,35,235,"Boozer, Carlos",2430,received,977,"Bryant, Kobe",LAL,1610612747,Los Angeles Lakers
