,AST,FG2A,FG2M,FG2_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FREQUENCY,G,PASS,PASS_FROM,PASS_TEAMMATE_PLAYER_ID,PASS_TYPE,PLAYER_ID,PLAYER_NAME_LAST_FIRST,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME
0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.009,42,6,"Raduljica, Miroslav",203545,received,202327,"Udoh, Ekpe",MIL,1610612749,Milwaukee Bucks
1,2,7,2,0.286,0,0,0.0,7,2,0.286,0.063,42,41,"Antetokounmpo, Giannis",203507,received,202327,"Udoh, Ekpe",MIL,1610612749,Milwaukee Bucks
2,4,14,5,0.357,0,0,0.0,14,5,0.357,0.131,42,85,"Wolters, Nate",203489,received,202327,"Udoh, Ekpe",MIL,1610612749,Milwaukee Bucks
3,3,9,5,0.556,0,0,0.0,9,5,0.556,0.111,42,72,"Middleton, Khris",203114,received,202327,"Udoh, Ekpe",MIL,1610612749,Milwaukee Bucks
4,4,12,4,0.333,0,0,0.0,12,4,0.333,0.086,42,56,"Henson, John",203089,received,202327,"Udoh, Ekpe",MIL,1610612749,Milwaukee Bucks
5,3,18,7,0.389,0,0,0.0,18,7,0.389,0.184,42,120,"Knight, Brandon",202688,received,202327,"Udoh, Ekpe",MIL,1610612749,Milwaukee Bucks
6,0,1,0,0.0,0,0,0.0,1,0,0.0,0.006,42,4,"Adrien, Jeff",202399,received,202327,"Udoh, Ekpe",MIL,1610612749,Milwaukee Bucks
7,3,7,3,0.429,0,0,0.0,7,3,0.429,0.063,42,41,"Neal, Gary",202390,received,202327,"Udoh, Ekpe",MIL,1610612749,Milwaukee Bucks
8,0,0,0,0.0,0,0,0.0,0,0,0.0,0.002,42,1,"Sanders, Larry",202336,received,202327,"Udoh, Ekpe",MIL,1610612749,Milwaukee Bucks
9,9,16,9,0.563,0,0,0.0,16,9,0.563,0.106,42,69,"Mayo, O.J.",201564,received,202327,"Udoh, Ekpe",MIL,1610612749,Milwaukee Bucks
10,6,13,6,0.462,0,0,0.0,13,6,0.462,0.058,42,38,"Sessions, Ramon",201196,received,202327,"Udoh, Ekpe",MIL,1610612749,Milwaukee Bucks
11,1,3,1,0.333,0,0,0.0,3,1,0.333,0.026,42,17,"Ilyasova, Ersan",101141,received,202327,"Udoh, Ekpe",MIL,1610612749,Milwaukee Bucks
12,2,3,2,0.667,0,0,0.0,3,2,0.667,0.028,42,18,"Pachulia, Zaza",2585,received,202327,"Udoh, Ekpe",MIL,1610612749,Milwaukee Bucks
13,4,13,5,0.385,0,0,0.0,13,5,0.385,0.078,42,51,"Ridnour, Luke",2557,received,202327,"Udoh, Ekpe",MIL,1610612749,Milwaukee Bucks
14,1,4,1,0.25,0,0,0.0,4,1,0.25,0.049,42,32,"Butler, Caron",2406,received,202327,"Udoh, Ekpe",MIL,1610612749,Milwaukee Bucks
