,AST,FG2A,FG2M,FG2_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FREQUENCY,G,PASS,PASS_FROM,PASS_TEAMMATE_PLAYER_ID,PASS_TYPE,PLAYER_ID,PLAYER_NAME_LAST_FIRST,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME
0,2,7,5,0.714,2,0,0.0,9,5,0.556,0.005,80,26,"Payne, Cameron",1626166,received,201566,"Westbrook, Russell",OKC,1610612760,Oklahoma City Thunder
1,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,80,2,"Huestis, Josh",203962,received,201566,"Westbrook, Russell",OKC,1610612760,Oklahoma City Thunder
2,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,80,2,"McGary, Mitch",203956,received,201566,"Westbrook, Russell",OKC,1610612760,Oklahoma City Thunder
3,16,232,118,0.509,70,20,0.286,302,138,0.457,0.353,80,1992,"Adams, Steven",203500,received,201566,"Westbrook, Russell",OKC,1610612760,Oklahoma City Thunder
4,12,78,33,0.423,21,6,0.286,99,39,0.394,0.062,80,351,"Roberson, Andre",203460,received,201566,"Westbrook, Russell",OKC,1610612760,Oklahoma City Thunder
5,19,53,30,0.566,41,14,0.341,94,44,0.468,0.048,80,268,"Waiters, Dion",203079,received,201566,"Westbrook, Russell",OKC,1610612760,Oklahoma City Thunder
6,2,25,11,0.44,6,0,0.0,31,11,0.355,0.021,80,118,"Singler, Kyle",202713,received,201566,"Westbrook, Russell",OKC,1610612760,Oklahoma City Thunder
7,3,99,51,0.515,35,10,0.286,134,61,0.455,0.144,80,812,"Kanter, Enes",202683,received,201566,"Westbrook, Russell",OKC,1610612760,Oklahoma City Thunder
8,3,14,8,0.571,8,2,0.25,22,10,0.455,0.013,80,74,"Morrow, Anthony",201627,received,201566,"Westbrook, Russell",OKC,1610612760,Oklahoma City Thunder
9,13,126,54,0.429,59,20,0.339,185,74,0.4,0.167,80,939,"Ibaka, Serge",201586,received,201566,"Westbrook, Russell",OKC,1610612760,Oklahoma City Thunder
10,1,5,4,0.8,2,0,0.0,7,4,0.571,0.004,80,24,"Augustin, D.J.",201571,received,201566,"Westbrook, Russell",OKC,1610612760,Oklahoma City Thunder
11,65,219,116,0.53,55,16,0.291,274,132,0.482,0.146,80,825,"Durant, Kevin",201142,received,201566,"Westbrook, Russell",OKC,1610612760,Oklahoma City Thunder
12,3,13,5,0.385,8,4,0.5,21,9,0.429,0.011,80,63,"Foye, Randy",200751,received,201566,"Westbrook, Russell",OKC,1610612760,Oklahoma City Thunder
13,2,20,11,0.55,10,2,0.2,30,13,0.433,0.025,80,140,"Collison, Nick",2555,received,201566,"Westbrook, Russell",OKC,1610612760,Oklahoma City Thunder
