,AST,FG2A,FG2M,FG2_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FREQUENCY,G,PASS,PASS_FROM,PASS_TEAMMATE_PLAYER_ID,PASS_TYPE,PLAYER_ID,PLAYER_NAME_LAST_FIRST,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME
0,2,3,1,0.333,4,2,0.5,7,3,0.429,0.002,77,11,"Nedovic, Nemanja",203517,received,201939,"Curry, Stephen",GSW,1610612744,Golden State Warriors
1,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,77,1,"Dedmon, Dewayne",203473,received,201939,"Curry, Stephen",GSW,1610612744,Golden State Warriors
2,2,0,0,0.0,4,2,0.5,4,2,0.5,0.003,77,17,"Bazemore, Kent",203145,received,201939,"Curry, Stephen",GSW,1610612744,Golden State Warriors
3,19,87,43,0.494,98,42,0.429,185,85,0.459,0.147,77,757,"Green, Draymond",203110,received,201939,"Curry, Stephen",GSW,1610612744,Golden State Warriors
4,17,52,27,0.519,44,18,0.409,96,45,0.469,0.08,77,413,"Barnes, Harrison",203084,received,201939,"Curry, Stephen",GSW,1610612744,Golden State Warriors
5,32,58,28,0.483,55,31,0.564,113,59,0.522,0.078,77,399,"Thompson, Klay",202691,received,201939,"Curry, Stephen",GSW,1610612744,Golden State Warriors
6,4,9,7,0.778,5,4,0.8,14,11,0.786,0.01,77,49,"Crawford, Jordan",202348,received,201939,"Curry, Stephen",GSW,1610612744,Golden State Warriors
7,1,1,1,1.0,0,0,0.0,1,1,1.0,0.001,77,4,"Douglas, Toney",201962,received,201939,"Curry, Stephen",GSW,1610612744,Golden State Warriors
8,1,11,5,0.455,10,2,0.2,21,7,0.333,0.021,77,109,"Speights, Marreese",201578,received,201939,"Curry, Stephen",GSW,1610612744,Golden State Warriors
9,0,0,0,0.0,1,0,0.0,1,0,0.0,0.001,77,7,"Armstrong, Hilton",200756,received,201939,"Curry, Stephen",GSW,1610612744,Golden State Warriors
10,24,159,85,0.535,96,33,0.344,255,118,0.463,0.224,77,1151,"Lee, David",101135,received,201939,"Curry, Stephen",GSW,1610612744,Golden State Warriors
11,24,121,57,0.471,102,46,0.451,223,103,0.462,0.231,77,1187,"Bogut, Andrew",101106,received,201939,"Curry, Stephen",GSW,1610612744,Golden State Warriors
12,61,101,60,0.594,99,43,0.434,200,103,0.515,0.139,77,712,"Iguodala, Andre",2738,received,201939,"Curry, Stephen",GSW,1610612744,Golden State Warriors
13,4,15,6,0.4,12,5,0.417,27,11,0.407,0.015,77,75,"Blake, Steve",2581,received,201939,"Curry, Stephen",GSW,1610612744,Golden State Warriors
14,2,24,7,0.292,19,8,0.421,43,15,0.349,0.047,77,242,"O'Neal, Jermaine",979,received,201939,"Curry, Stephen",GSW,1610612744,Golden State Warriors
