,AST,FG2A,FG2M,FG2_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FREQUENCY,G,PASS,PASS_FROM,PASS_TEAMMATE_PLAYER_ID,PASS_TYPE,PLAYER_ID,PLAYER_NAME_LAST_FIRST,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME
0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.004,15,1,"Franklin, Jamaal",203479,received,202347,"Pondexter, Quincy",MEM,1610612763,Memphis Grizzlies
1,2,3,1,0.333,2,1,0.5,5,2,0.4,0.052,15,13,"Leuer, Jon",202720,received,202347,"Pondexter, Quincy",MEM,1610612763,Memphis Grizzlies
2,0,1,0,0.0,1,0,0.0,2,0,0.0,0.036,15,9,"Davis, Ed",202334,received,202347,"Pondexter, Quincy",MEM,1610612763,Memphis Grizzlies
3,1,4,0,0.0,2,1,0.5,6,1,0.167,0.073,15,18,"Calathes, Nick",201979,received,202347,"Pondexter, Quincy",MEM,1610612763,Memphis Grizzlies
4,1,1,1,1.0,2,0,0.0,3,1,0.333,0.073,15,18,"Koufos, Kosta",201585,received,202347,"Pondexter, Quincy",MEM,1610612763,Memphis Grizzlies
5,5,9,5,0.556,11,3,0.273,20,8,0.4,0.238,15,59,"Bayless, Jerryd",201573,received,202347,"Pondexter, Quincy",MEM,1610612763,Memphis Grizzlies
6,2,4,2,0.5,2,0,0.0,6,2,0.333,0.089,15,22,"Gasol, Marc",201188,received,202347,"Pondexter, Quincy",MEM,1610612763,Memphis Grizzlies
7,4,7,3,0.429,5,3,0.6,12,6,0.5,0.206,15,51,"Conley, Mike",201144,received,202347,"Pondexter, Quincy",MEM,1610612763,Memphis Grizzlies
8,0,1,1,1.0,0,0,0.0,1,1,1.0,0.016,15,4,"Allen, Tony",2754,received,202347,"Pondexter, Quincy",MEM,1610612763,Memphis Grizzlies
9,1,2,0,0.0,2,1,0.5,4,1,0.25,0.052,15,13,"Prince, Tayshaun",2419,received,202347,"Pondexter, Quincy",MEM,1610612763,Memphis Grizzlies
10,2,4,2,0.5,1,0,0.0,5,2,0.4,0.073,15,18,"Randolph, Zach",2216,received,202347,"Pondexter, Quincy",MEM,1610612763,Memphis Grizzlies
11,2,3,2,0.667,5,2,0.4,8,4,0.5,0.089,15,22,"Miller, Mike",2034,received,202347,"Pondexter, Quincy",MEM,1610612763,Memphis Grizzlies
