,AGE,AST,BLK,BLKA,CFID,CFPARAMS,DD2,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,L,MIN,OREB,PF,PFD,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,STL,TD3,TEAM_ABBREVIATION,TEAM_ID,TOV,W,W_PCT
147,33.0,0.024,0.006,0.009,5,"273,1610612744",0,0.021,0.006,0.0,0.0,0.104,0.038,0.369,0.021,0.011,0.545,50,43,0.428,0.023,0.047,0.0,273,Duane Ferrell,-0.149,0.088,0.044,0.02,0,GSW,1610612744,0.017,7,0.14
148,22.0,0.032,0.01,0.016,5,"1516,1610612737",0,0.034,0.044,0.017,0.391,0.192,0.073,0.381,0.062,0.052,0.846,30,11,0.449,0.009,0.069,0.0,1516,Ed Gray,-0.071,0.216,0.043,0.014,0,ATL,1610612737,0.029,19,0.633
149,26.0,0.023,0.046,0.0,5,"1055,1610612761",0,0.068,0.0,0.0,0.0,0.068,0.023,0.333,0.046,0.023,0.5,4,4,0.399,0.023,0.091,0.0,1055,Ed Stokes,-0.388,0.068,0.091,0.023,0,TOR,1610612761,0.046,0,0.0
150,39.0,0.027,0.001,0.01,5,"698,1610612745",0,0.031,0.06,0.02,0.333,0.165,0.069,0.417,0.041,0.034,0.831,75,38,0.452,0.015,0.027,0.0,698,Eddie Johnson,-0.025,0.192,0.046,0.01,0,HOU,1610612745,0.019,37,0.493
151,26.0,0.037,0.008,0.01,5,"224,1610612747",1,0.033,0.056,0.022,0.389,0.153,0.074,0.484,0.046,0.035,0.763,80,20,0.444,0.013,0.025,0.0,224,Eddie Jones,0.093,0.205,0.046,0.024,0,LAL,1610612747,0.022,60,0.75
152,29.0,0.02,0.026,0.017,5,"922,1610612747",6,0.078,0.001,0.0,0.5,0.156,0.072,0.463,0.086,0.059,0.693,81,21,0.447,0.036,0.052,0.001,922,Elden Campbell,0.007,0.205,0.114,0.009,0,LAL,1610612747,0.029,60,0.741
153,30.0,0.038,0.0,0.007,5,"695,1610612737",2,0.035,0.048,0.02,0.419,0.145,0.066,0.456,0.025,0.024,0.937,59,27,0.467,0.01,0.03,0.0,695,Eldridge Recasner,-0.023,0.176,0.046,0.013,0,ATL,1610612737,0.029,32,0.542
154,29.0,0.061,0.001,0.007,5,"386,1610612749",1,0.023,0.013,0.004,0.34,0.148,0.063,0.43,0.029,0.024,0.844,81,45,0.461,0.006,0.034,0.0,386,Elliot Perry,-0.063,0.156,0.028,0.024,0,MIL,1610612749,0.034,36,0.444
155,29.0,0.044,0.002,0.004,5,"1023,1610612745",0,0.027,0.053,0.02,0.375,0.105,0.047,0.444,0.027,0.023,0.838,45,28,0.442,0.007,0.041,0.0,1023,Emanual Davis,-0.01,0.136,0.035,0.013,0,HOU,1610612745,0.039,17,0.378
156,26.0,0.007,0.018,0.007,5,"376,1610612765",0,0.086,0.0,0.0,0.0,0.095,0.04,0.424,0.026,0.011,0.4,48,28,0.456,0.045,0.084,0.002,376,Eric Montross,-0.11,0.091,0.131,0.009,0,DET,1610612765,0.019,20,0.417
