,AGE,AST,BLK,BLKA,CFID,CFPARAMS,DD2,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,L,MIN,OREB,PF,PFD,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,STL,TD3,TEAM_ABBREVIATION,TEAM_ID,TOV,W,W_PCT
0,23.0,1.7,0.1,0.2,5,"201166,1610612745",0,0.8,2.1,0.7,0.33,4.4,1.8,0.413,1.0,0.8,0.857,51,15,11.9,0.3,1.4,1.0,201166,Aaron Brooks,-0.1,5.2,1.1,0.3,0,HOU,1610612745,0.9,36,0.706
1,23.0,0.7,0.3,0.5,5,"201189,1610612741",2,1.6,0.0,0.0,0.0,3.3,1.7,0.505,1.6,0.9,0.566,61,38,10.1,1.1,1.9,1.3,201189,Aaron Gray,-0.4,4.3,2.8,0.3,0,CHI,1610612741,0.9,23,0.377
2,36.0,0.3,0.5,0.2,5,"1425,1610612746",0,1.5,0.0,0.0,0.0,1.8,0.9,0.491,0.6,0.5,0.778,30,21,9.9,0.5,1.5,0.7,1425,Aaron Williams,-3.3,2.3,2.0,0.4,0,LAC,1610612746,0.4,9,0.3
3,23.0,2.0,0.0,0.4,5,"201151,1610612737",0,0.8,0.6,0.1,0.206,4.2,1.7,0.401,0.9,0.7,0.792,56,31,15.5,0.2,1.3,1.0,201151,Acie Law,-2.2,4.2,1.0,0.5,0,ATL,1610612737,1.0,25,0.446
4,33.0,0.2,0.5,0.3,5,"1502,1610612753",0,1.7,0.0,0.0,0.0,1.9,0.9,0.458,0.4,0.2,0.471,82,30,9.4,0.9,1.1,0.5,1502,Adonal Foyle,-0.2,1.9,2.5,0.2,0,ORL,1610612753,0.4,52,0.634
5,33.0,0.8,0.1,0.1,5,"1559,1610612760",0,0.9,0.0,0.0,0.0,2.2,0.9,0.395,0.3,0.1,0.556,35,25,8.8,0.8,0.8,0.2,1559,Adrian Griffin,0.3,1.9,1.7,0.5,0,SEA,1610612760,0.6,10,0.286
6,28.0,1.6,0.2,0.5,5,"1733,1610612744",7,4.1,5.0,1.9,0.375,11.4,5.0,0.434,2.3,1.8,0.774,81,33,27.0,1.3,3.3,2.2,1733,Al Harrington,1.9,13.6,5.4,0.9,0,GSW,1610612744,1.1,48,0.593
7,22.0,1.5,0.9,0.6,5,"201143,1610612737",25,6.6,0.1,0.0,0.0,8.2,4.1,0.499,2.6,1.9,0.731,81,44,31.4,3.1,3.3,2.2,201143,Al Horford,-1.4,10.1,9.7,0.7,0,ATL,1610612737,1.7,37,0.457
8,23.0,1.4,1.5,1.5,5,"2744,1610612750",55,7.4,0.1,0.0,0.0,17.6,8.8,0.5,4.8,3.5,0.721,82,60,35.6,3.8,2.7,3.9,2744,Al Jefferson,-6.7,21.0,11.1,0.9,0,MIN,1610612750,2.0,22,0.268
9,24.0,1.2,0.5,0.7,5,"201154,1610612746",7,3.3,1.6,0.5,0.331,11.0,4.7,0.429,3.6,2.7,0.743,79,56,27.3,1.2,2.5,3.0,201154,Al Thornton,-5.1,12.7,4.5,0.6,0,LAC,1610612746,1.6,23,0.291
10,24.0,0.0,0.2,0.5,5,"201169,1610612756",0,0.7,0.7,0.2,0.25,3.7,1.3,0.364,1.0,0.8,0.833,6,0,8.0,0.7,0.3,0.8,201169,Alando Tucker,-1.0,3.7,1.3,0.0,0,PHX,1610612756,0.0,6,1.0
