,AVG_DRIB_PER_TOUCH,AVG_SEC_PER_TOUCH,ELBOW_TOUCHES,FRONT_CT_TOUCHES,GP,L,MIN,PAINT_TOUCHES,PLAYER_ID,PLAYER_NAME,POINTS,POST_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_PAINT_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_TOUCH,TEAM_ABBREVIATION,TEAM_ID,TIME_OF_POSS,TOUCHES,W
217,1.26,2.38,1,12,4,4,13.0,0,203098,John Jenkins,7,0,0.0,0.0,0.0,0.438,PHX,1610612756,0.6,16,0
218,3.5,3.86,0,17,5,2,11.0,0,101249,John Lucas III,2,0,0.0,0.0,0.0,0.118,MIN,1610612750,1.1,17,3
219,6.08,6.07,28,4178,52,18,1902.0,11,202322,John Wall,1176,11,0.321,0.364,0.364,0.253,WAS,1610612764,470.0,4648,34
220,0.67,1.54,2,31,7,5,46.0,7,203948,Johnny O'Bryant III,20,8,0.0,0.571,1.0,0.408,DEN,1610612743,1.3,49,2
221,0.52,1.55,86,1266,50,25,1352.0,82,202720,Jon Leuer,560,109,0.267,1.159,1.138,0.23,DET,1610612765,63.0,2437,25
222,0.45,1.12,17,870,54,18,894.0,32,201973,Jonas Jerebko,219,37,0.118,0.781,0.838,0.132,BOS,1610612738,31.0,1655,36
223,0.37,1.58,120,1184,53,23,1428.0,210,202685,Jonas Valanciunas,660,244,0.358,1.152,1.061,0.263,TOR,1610612761,66.0,2508,30
224,4.2,4.2,4,502,17,13,231.0,0,1626780,Jonathan Gibson,106,3,0.0,0.0,0.0,0.184,DAL,1610612742,40.3,576,4
225,2.25,2.81,20,1131,50,9,905.0,22,203613,Jonathon Simmons,322,23,0.3,0.591,0.522,0.235,SAS,1610612759,64.2,1370,41
226,2.82,3.62,41,1983,58,39,1587.0,32,203903,Jordan Clarkson,792,39,0.659,0.938,0.872,0.336,LAL,1610612747,142.3,2360,19
227,4.35,4.5,1,85,2,1,35.0,1,200770,Jordan Farmar,12,1,0.0,0.0,0.0,0.125,SAC,1610612758,7.2,96,1
228,0.54,1.93,3,28,5,3,40.0,1,201941,Jordan Hill,10,1,0.0,0.0,0.0,0.192,MIN,1610612750,1.7,52,2
229,2.68,3.16,11,399,35,11,380.0,7,203895,Jordan McRae,158,11,0.545,0.571,0.364,0.297,CLE,1610612739,28.0,532,24
230,0.75,1.45,6,115,14,8,100.0,11,1626175,Jordan Mickey,32,15,0.667,1.182,0.867,0.163,BOS,1610612738,4.7,196,6
231,3.6,3.88,12,554,24,18,292.0,4,101181,Jose Calderon,80,4,0.167,0.0,0.0,0.113,LAL,1610612747,46.0,710,6
232,0.2,1.1,0,10,1,1,7.0,0,203962,Josh Huestis,7,0,0.0,0.0,0.0,0.5,OKC,1610612760,0.3,14,0
233,0.94,1.9,69,488,22,16,381.0,17,201177,Josh McRoberts,107,27,0.029,0.471,0.407,0.123,MIA,1610612748,27.6,869,6
234,3.42,3.57,23,1187,28,21,875.0,13,1626196,Josh Richardson,314,18,0.304,0.154,0.333,0.206,MIA,1610612748,90.8,1525,7
235,3.76,3.96,36,2805,42,21,1359.0,39,201950,Jrue Holiday,685,50,0.417,0.718,0.56,0.197,NOP,1610612740,229.3,3477,21
236,0.57,1.23,7,373,39,23,508.0,29,1627823,Juan Hernangomez,171,39,0.429,0.897,0.718,0.263,DEN,1610612743,13.4,651,16
237,1.45,2.41,187,1914,50,33,1412.0,107,203944,Julius Randle,646,112,0.305,0.963,0.839,0.225,LAL,1610612747,115.1,2870,17
238,0.86,1.89,33,863,50,32,707.0,17,1626147,Justin Anderson,329,20,0.485,0.706,0.7,0.251,DAL,1610612742,41.3,1310,18
239,0.35,1.07,39,856,43,36,826.0,67,203120,Justin Hamilton,304,77,0.231,1.03,1.0,0.204,BKN,1610612751,26.4,1488,7
240,0.97,1.7,32,1196,57,34,1120.0,37,203200,Justin Holiday,420,44,0.5,1.054,1.023,0.278,NYK,1610612752,42.8,1509,23
241,2.42,2.92,29,757,18,14,625.0,18,1626159,Justise Winslow,196,24,0.138,0.611,0.792,0.173,MIA,1610612748,55.0,1131,4
242,0.51,1.54,91,980,45,26,821.0,148,203994,Jusuf Nurkic,368,206,0.242,0.791,0.752,0.215,POR,1610612757,43.9,1708,19
243,1.17,2.1,2,141,28,7,193.0,11,203909,KJ McDaniels,67,11,1.0,0.727,1.091,0.37,HOU,1610612745,6.3,181,21
244,0.5,1.68,267,2497,57,35,2079.0,222,1626157,Karl-Anthony Towns,1351,301,0.386,1.023,0.9,0.324,MIN,1610612750,116.6,4170,22
245,2.89,3.53,85,2390,49,11,1646.0,54,202695,Kawhi Leonard,1252,70,0.494,0.926,1.029,0.454,SAS,1610612759,162.3,2756,38
246,5.84,5.27,4,580,35,12,342.0,2,1627770,Kay Felder,147,3,0.0,0.0,0.667,0.214,CLE,1610612739,60.3,686,23
247,0.53,1.39,45,1359,50,17,1077.0,112,203482,Kelly Olynyk,473,128,0.156,1.054,1.016,0.217,BOS,1610612738,50.6,2183,33
248,0.93,1.52,20,815,52,20,1088.0,30,1626162,Kelly Oubre Jr.,330,33,0.55,0.833,0.848,0.279,WAS,1610612764,29.9,1183,32
249,5.46,5.36,28,4022,53,31,1827.0,13,202689,Kemba Walker,1181,30,0.393,0.769,0.467,0.256,CHA,1610612766,411.7,4612,22
250,0.58,1.41,62,799,46,25,1032.0,152,202702,Kenneth Faried,450,174,0.452,0.993,0.954,0.288,DEN,1610612743,36.7,1563,21
251,1.7,2.25,32,1790,53,24,1450.0,43,203145,Kent Bazemore,565,54,0.344,0.884,0.741,0.246,ATL,1610612737,86.1,2293,29
252,1.43,2.17,81,1775,51,27,1722.0,32,203484,Kentavious Caldwell-Pope,722,32,0.432,0.625,0.625,0.342,DET,1610612765,76.4,2113,24
253,1.56,2.48,191,2643,55,9,1880.0,105,201142,Kevin Durant,1403,109,0.581,1.162,1.101,0.408,GSW,1610612744,142.1,3438,46
254,0.42,1.56,116,1503,44,13,1396.0,85,201567,Kevin Love,875,140,0.216,0.776,0.836,0.322,CLE,1610612739,70.5,2720,31
255,0.46,1.38,34,290,30,18,380.0,53,202338,Kevin Seraphin,139,60,0.235,0.887,0.817,0.258,IND,1610612754,12.3,538,12
256,0.45,1.35,36,341,42,6,390.0,85,1626172,Kevon Looney,121,91,0.194,0.941,0.857,0.199,GSW,1610612744,13.6,607,36
257,1.89,2.51,4,100,4,2,79.0,1,203114,Khris Middleton,42,5,0.0,0.0,0.0,0.271,MIL,1610612749,6.5,155,2
258,1.26,1.9,130,2144,53,8,1811.0,98,202691,Klay Thompson,1175,99,0.569,1.031,1.01,0.467,GSW,1610612744,79.7,2518,45
259,0.36,1.39,130,753,57,33,1091.0,213,201585,Kosta Koufos,346,231,0.177,0.906,0.84,0.23,SAC,1610612758,35.0,1505,24
260,4.22,4.71,16,1665,53,32,882.0,10,1627739,Kris Dunn,190,23,0.0,0.4,0.174,0.097,MIN,1610612750,154.1,1964,21
261,0.43,1.19,72,622,44,18,522.0,58,2743,Kris Humphries,206,67,0.181,0.655,0.537,0.184,ATL,1610612737,22.2,1122,26
262,0.45,1.44,185,1870,49,28,1620.0,136,204001,Kristaps Porzingis,898,156,0.432,0.897,0.955,0.305,NYK,1610612752,70.5,2948,21
263,1.36,2.09,20,707,49,11,638.0,23,203937,Kyle Anderson,145,27,0.0,0.739,0.667,0.147,SAS,1610612759,34.4,986,38
264,0.55,1.27,45,1174,50,24,1348.0,25,2594,Kyle Korver,504,46,0.578,0.6,0.37,0.324,CLE,1610612739,33.0,1557,26
265,4.44,4.64,35,3811,54,24,2042.0,28,200768,Kyle Lowry,1234,46,0.314,0.536,0.217,0.268,TOR,1610612761,355.6,4601,30
266,0.29,1.47,146,903,55,33,840.0,96,203124,Kyle O'Quinn,352,106,0.212,0.771,0.821,0.216,NYK,1610612752,39.8,1627,22
267,0.65,1.36,7,178,26,13,265.0,5,202713,Kyle Singler,53,6,0.286,0.8,0.667,0.192,OKC,1610612760,6.3,276,13
268,0.81,1.33,0,41,8,0,28.0,0,1627787,Kyle Wiltjer,10,0,0.0,0.0,0.0,0.156,HOU,1610612745,1.4,64,8
269,4.68,4.82,50,3200,47,14,1656.0,47,202681,Kyrie Irving,1167,65,0.4,0.915,0.785,0.308,CLE,1610612739,303.8,3783,33
270,0.79,1.88,270,1889,49,11,1587.0,116,200746,LaMarcus Aldridge,861,185,0.274,0.957,0.795,0.324,SAS,1610612759,83.1,2657,38
271,2.89,3.26,0,62,4,3,30.0,2,203934,Lamar Patterson,9,2,0.0,0.0,0.0,0.127,ATL,1610612737,3.9,71,1
272,3.66,3.82,1,297,9,7,184.0,5,202362,Lance Stephenson,65,6,0.0,1.2,1.0,0.19,MIN,1610612750,21.7,342,2
273,0.41,1.41,16,519,32,21,558.0,10,202498,Lance Thomas,149,17,0.0,0.6,0.647,0.197,NYK,1610612752,17.8,757,11
274,2.2,2.5,40,1281,54,32,1091.0,6,204038,Langston Galloway,457,12,0.3,0.0,0.0,0.305,SAC,1610612758,62.5,1499,22
275,0.38,1.22,154,773,39,25,869.0,103,1626204,Larry Nance Jr.,270,111,0.117,0.748,0.775,0.182,LAL,1610612747,30.1,1486,14
276,0.25,1.08,36,375,37,17,513.0,53,202730,Lavoy Allen,95,55,0.111,0.604,0.655,0.12,IND,1610612754,14.3,794,20
277,3.4,4.23,208,3541,50,13,1880.0,108,2544,LeBron James,1290,120,0.226,0.981,0.825,0.294,CLE,1610612739,309.1,4386,37
278,2.45,2.81,13,850,50,36,661.0,7,2571,Leandro Barbosa,290,9,0.154,0.571,0.444,0.295,PHX,1610612756,46.1,984,14
279,3.18,3.77,14,2289,58,39,1403.0,18,101150,Lou Williams,1078,29,0.5,1.056,0.931,0.391,LAL,1610612747,173.5,2759,19
280,0.74,1.46,29,721,53,21,1197.0,46,201601,Luc Mbah a Moute,325,59,0.586,1.043,0.864,0.285,LAC,1610612746,27.7,1141,32
281,0.22,0.98,61,542,47,21,1015.0,134,203512,Lucas Nogueira,247,124,0.066,0.918,1.04,0.221,TOR,1610612761,18.2,1116,26
282,0.56,1.31,26,446,31,25,379.0,28,2449,Luis Scola,151,36,0.231,0.786,0.694,0.205,BKN,1610612751,16.1,737,6
283,0.53,1.23,11,628,48,25,752.0,9,202337,Luke Babbitt,214,16,0.182,0.0,0.125,0.168,MIA,1610612748,26.2,1277,23
284,1.02,1.67,50,1266,54,36,1455.0,44,2736,Luol Deng,419,67,0.3,0.727,0.478,0.2,LAL,1610612747,58.4,2091,18
285,1.67,2.44,3,211,22,13,198.0,2,1627781,Malachi Richardson,79,3,0.667,2.5,1.667,0.305,SAC,1610612758,10.5,259,9
286,4.62,4.29,37,2431,53,30,1368.0,55,1627763,Malcolm Brogdon,503,68,0.216,0.764,0.706,0.167,MIL,1610612749,215.8,3016,23
287,4.52,4.56,11,1876,55,24,975.0,8,1627098,Malcolm Delaney,325,8,0.0,0.5,0.5,0.152,ATL,1610612737,162.7,2141,31
288,1.66,2.06,3,91,18,11,84.0,0,1627736,Malik Beasley,44,0,0.0,0.0,0.0,0.393,DEN,1610612743,3.8,112,7
289,1.84,2.57,24,1282,47,11,865.0,21,1938,Manu Ginobili,351,23,0.25,0.476,0.522,0.233,SAS,1610612759,64.5,1509,36
290,0.6,1.98,583,2977,54,21,1854.0,180,201188,Marc Gasol,1113,294,0.247,0.817,0.786,0.278,MEM,1610612763,131.8,4000,33
291,4.56,4.56,4,446,23,18,237.0,4,1626273,Marcelo Huertas,63,10,0.5,0.0,0.4,0.114,LAL,1610612747,41.9,551,5
292,0.31,1.21,207,1227,54,20,1855.0,327,101162,Marcin Gortat,642,338,0.222,1.049,1.006,0.231,WAS,1610612764,56.2,2781,34
