,AST,AST_ADJ,AST_PTS_CREATED,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,FT_AST,GP,L,MIN,PASSES_MADE,PASSES_RECEIVED,PLAYER_ID,PLAYER_NAME,POTENTIAL_AST,SECONDARY_AST,TEAM_ABBREVIATION,TEAM_ID,W
319,50,79,121,0.054,0.085,6,50,29,855.0,925,856,201563,Michael Beasley,105,23,MIL,1610612749,21
320,77,91,176,0.073,0.086,3,30,14,624.0,1055,1091,203487,Michael Carter-Williams,133,11,CHI,1610612741,16
321,2,2,5,0.074,0.074,0,9,2,32.0,27,21,1627771,Michael Gbinije,3,0,DET,1610612765,7
322,94,139,237,0.054,0.08,9,65,36,1911.0,1745,1253,203077,Michael Kidd-Gilchrist,192,37,CHA,1610612766,29
323,332,459,796,0.101,0.14,37,54,26,1791.0,3279,3892,201144,Mike Conley,726,90,MEM,1610612763,28
324,38,56,96,0.064,0.095,1,42,13,674.0,592,588,2399,Mike Dunleavy,79,16,ATL,1610612737,29
325,12,14,30,0.076,0.089,2,15,10,82.0,157,107,2034,Mike Miller,21,0,DEN,1610612743,5
326,72,106,184,0.056,0.082,9,54,24,1027.0,1291,1016,203488,Mike Muscala,140,26,ATL,1610612737,30
327,17,18,40,0.077,0.081,0,18,11,195.0,221,201,203118,Mike Scott,29,1,ATL,1610612737,7
328,1,2,3,0.045,0.091,1,2,2,25.0,22,21,1627861,Mike Tobey,3,0,CHA,1610612766,0
329,20,26,48,0.071,0.093,1,37,21,377.0,281,221,203101,Miles Plumlee,34,5,CHA,1610612766,16
330,52,69,128,0.063,0.083,4,56,35,776.0,828,806,1627851,Mindaugas Kuzminskas,96,13,NYK,1610612752,21
331,36,46,83,0.039,0.049,0,53,27,824.0,933,820,203141,Mirza Teletovic,67,10,MIL,1610612749,26
332,194,260,455,0.112,0.15,13,57,26,1528.0,1733,1886,101145,Monta Ellis,381,53,IND,1610612754,31
333,60,77,156,0.054,0.069,3,51,15,925.0,1118,943,1626149,Montrezl Harrell,97,14,HOU,1610612745,36
334,81,115,206,0.038,0.054,6,64,30,1985.0,2141,1776,1626167,Myles Turner,147,28,IND,1610612754,34
335,76,113,184,0.046,0.069,10,63,36,1150.0,1641,1203,202357,Nemanja Bjelica,155,27,MIN,1610612750,27
336,48,72,130,0.042,0.063,7,56,17,975.0,1138,926,2403,Nene,113,17,HOU,1610612745,39
337,34,53,80,0.041,0.063,3,35,16,709.0,835,638,203457,Nerlens Noel,61,16,DAL,1610612742,19
338,8,10,19,0.06,0.075,2,14,9,81.0,133,102,2555,Nick Collison,16,0,OKC,1610612760,5
339,56,84,138,0.049,0.073,10,58,39,1503.0,1145,1486,201156,Nick Young,115,18,LAL,1610612747,19
