,AGE,BLK,CFID,CFPARAMS,DEF_RATING,DEF_WS,DREB,DREB_PCT,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PCT_BLK,PCT_DREB,PCT_STL,PLAYER_ID,PLAYER_NAME,STL,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
28,34.0,0.02,5,"288,1610612749",103.8,0.001,0.14,0.168,82,46,2115.67666667,0.31,0.35,0.38,0.91,0.211,0.25,0.172,288,Armen Gilliam,0.03,MIL,1610612749,36,0.439
29,33.0,0.03,5,"717,1610612757",98.9,0.001,0.25,0.284,73,33,2330.555,0.23,0.29,0.36,0.73,0.346,0.385,0.189,717,Arvydas Sabonis,0.03,POR,1610612757,40,0.548
30,23.0,0.02,5,"1506,1610612754",105.0,0.001,0.14,0.169,26,5,243.475,0.21,0.28,0.34,0.8,0.25,0.238,0.191,1506,Austin Croshere,0.04,IND,1610612754,21,0.808
31,33.0,0.01,5,"422,1610612759",96.7,0.002,0.04,0.048,75,25,2671.62666667,0.29,0.23,0.33,0.71,0.049,0.066,0.245,422,Avery Johnson,0.03,SAS,1610612759,50,0.667
32,30.0,0.0,5,"769,1610612766",105.9,0.001,0.07,0.084,66,30,832.285,0.31,0.33,0.39,0.86,0.0,0.121,0.196,769,B.J. Armstrong,0.03,CHH,1610612766,36,0.545
33,25.0,0.0,5,"989,1610612752",126.1,-0.002,0.0,0.0,7,6,12.1583333333,0.49,0.33,0.49,0.99,0.0,0.0,0.25,989,Ben Davis,0.08,NYK,1610612752,1,0.143
34,23.0,0.06,5,"1112,1610612764",94.3,0.002,0.19,0.207,67,33,1125.03833333,0.26,0.27,0.31,0.83,0.5,0.298,0.257,1112,Ben Wallace,0.05,WAS,1610612764,34,0.507
35,33.0,0.02,5,"104,1610612755",98.7,0.001,0.17,0.246,14,9,200.063333333,0.2,0.34,0.34,0.68,0.211,0.347,0.077,104,Benoit Benjamin,0.02,PHI,1610612755,5,0.357
36,26.0,0.01,5,"223,1610612750",103.3,0.001,0.12,0.145,11,3,145.953333333,0.29,0.26,0.25,0.89,0.063,0.207,0.097,223,Bill Curley,0.02,MIN,1610612750,8,0.727
37,35.0,0.01,5,"82,1610612741",93.1,0.002,0.1,0.114,48,13,466.523333333,0.29,0.26,0.27,0.76,0.156,0.157,0.058,82,Bill Wennington,0.01,CHI,1610612741,35,0.729
38,29.0,0.02,5,"182,1610612758",103.5,0.001,0.18,0.2,78,53,2349.50833333,0.3,0.33,0.36,0.93,0.156,0.297,0.249,182,Billy Owens,0.04,SAC,1610612758,25,0.321
39,30.0,0.01,5,"902,1610612744",103.3,0.001,0.07,0.078,53,41,1469.54833333,0.32,0.3,0.37,0.87,0.067,0.112,0.236,902,Bimbo Coles,0.03,GSW,1610612744,12,0.226
40,29.0,0.02,5,"183,1610612765",101.5,0.001,0.18,0.22,78,43,2624.61166667,0.28,0.25,0.32,0.74,0.256,0.311,0.15,183,Bison Dele,0.03,DET,1610612765,35,0.449
41,32.0,0.01,5,"898,1610612763",108.7,0.0,0.08,0.093,81,62,1969.84333333,0.32,0.34,0.4,0.86,0.138,0.141,0.266,898,Blue Edwards,0.04,VAN,1610612763,19,0.235
42,27.0,0.06,5,"448,1610612753",100.0,0.001,0.13,0.154,82,41,2954.64833333,0.3,0.28,0.34,0.84,0.514,0.232,0.223,448,Bo Outlaw,0.04,ORL,1610612753,41,0.5
43,34.0,0.0,5,"737,1610612761",98.2,0.002,0.2,0.2,1,1,5.05,0.59,0.99,0.99,0.79,0.0,0.333,0.0,737,Bob McCann,0.0,TOR,1610612761,0,0.0
44,25.0,0.01,5,"682,1610612739",97.8,0.002,0.07,0.092,46,21,943.4,0.3,0.3,0.38,0.79,0.086,0.138,0.222,682,Bob Sura,0.05,CLE,1610612739,25,0.543
45,27.0,0.0,5,"310,1610612763",105.9,0.001,0.06,0.074,61,42,875.18,0.32,0.35,0.4,0.86,0.0,0.107,0.154,310,Bobby Hurley,0.03,VAN,1610612763,19,0.311
46,25.0,0.01,5,"1517,1610612743",108.7,0.0,0.11,0.128,68,60,2044.74833333,0.32,0.29,0.4,0.87,0.053,0.191,0.295,1517,Bobby Jackson,0.05,DEN,1610612743,8,0.118
47,28.0,0.01,5,"184,1610612766",103.3,0.001,0.08,0.1,62,22,1888.25833333,0.28,0.29,0.35,0.87,0.11,0.139,0.249,184,Bobby Phills,0.04,CHH,1610612766,40,0.645
48,33.0,0.02,5,"38,1610612759",116.6,-0.001,0.09,0.108,9,3,101.485,0.35,0.3,0.18,0.69,0.143,0.17,0.111,38,Brad Lohaus,0.01,SAS,1610612759,6,0.667
49,23.0,0.02,5,"1585,1610612744",97.7,0.002,0.08,0.072,9,7,139.788333333,0.42,0.26,0.46,0.92,0.167,0.112,0.214,1585,Brandon Williams,0.04,GSW,1610612744,2,0.222
50,26.0,0.02,5,"699,1610612748",107.2,0.0,0.09,0.102,58,37,1603.09166667,0.34,0.33,0.38,0.97,0.136,0.155,0.239,699,Brent Barry,0.04,MIA,1610612748,21,0.362
51,29.0,0.0,5,"85,1610612745",104.8,0.001,0.05,0.06,72,37,1337.065,0.31,0.28,0.39,0.87,0.04,0.088,0.243,85,Brent Price,0.04,HOU,1610612745,35,0.486
52,22.0,0.01,5,"1510,1610612739",95.6,0.002,0.07,0.088,80,35,2484.0,0.28,0.26,0.35,0.74,0.065,0.124,0.364,1510,Brevin Knight,0.08,CLE,1610612739,45,0.563
53,24.0,0.01,5,"967,1610612751",104.0,0.001,0.1,0.124,72,40,895.055,0.28,0.33,0.31,0.87,0.16,0.186,0.161,967,Brian Evans,0.03,NJN,1610612751,32,0.444
54,26.0,0.02,5,"258,1610612757",99.1,0.001,0.19,0.213,61,26,1922.27,0.24,0.28,0.36,0.72,0.222,0.292,0.164,258,Brian Grant,0.02,POR,1610612757,35,0.574
55,30.0,0.0,5,"1680,1610612737",104.1,0.001,0.1,0.115,5,0,60.8,0.16,0.35,0.38,0.82,0.0,0.154,0.077,1680,Brian Oliver,0.02,ATL,1610612737,5,1.0
56,32.0,0.01,5,"216,1610612755",103.1,0.001,0.12,0.13,59,42,1527.995,0.31,0.29,0.37,0.81,0.089,0.19,0.188,216,Brian Shaw,0.03,PHI,1610612755,17,0.288
57,27.0,0.01,5,"240,1610612752",108.7,0.0,0.08,0.098,30,13,167.528333333,0.33,0.33,0.47,0.87,0.1,0.147,0.286,240,Brooks Thompson,0.06,NYK,1610612752,17,0.567
58,27.0,0.02,5,"1477,1610612738",100.8,0.001,0.07,0.093,61,35,1302.66,0.29,0.3,0.38,0.95,0.227,0.14,0.23,1477,Bruce Bowen,0.07,BOS,1610612738,26,0.426
59,25.0,0.03,5,"735,1610612763",109.1,0.0,0.15,0.174,74,58,2523.82666667,0.32,0.36,0.4,0.87,0.357,0.26,0.115,735,Bryant Reeves,0.02,VAN,1610612763,16,0.216
60,27.0,0.01,5,"179,1610612743",109.6,0.0,0.07,0.089,31,28,718.12,0.3,0.25,0.38,0.84,0.125,0.133,0.208,179,Bryant Stith,0.03,DEN,1610612743,3,0.097
61,27.0,0.01,5,"935,1610612762",102.2,0.001,0.11,0.131,82,20,2222.175,0.29,0.2,0.34,0.72,0.13,0.188,0.24,935,Bryon Russell,0.04,UTA,1610612762,62,0.756
62,23.0,0.01,5,"1528,1610612742",109.6,0.0,0.12,0.138,39,32,389.42,0.35,0.38,0.41,0.96,0.078,0.221,0.217,1528,Bubba Wells,0.04,DAL,1610612742,7,0.179
63,38.0,0.02,5,"433,1610612752",99.0,0.001,0.14,0.172,41,19,739.035,0.26,0.14,0.32,0.69,0.306,0.235,0.155,433,Buck Williams,0.02,NYK,1610612752,22,0.537
64,26.0,0.01,5,"384,1610612764",102.6,0.001,0.09,0.103,82,40,2840.04166667,0.3,0.3,0.32,0.91,0.135,0.148,0.19,384,Calbert Cheaney,0.03,WAS,1610612764,42,0.512
65,31.0,0.02,5,"61,1610612759",98.4,0.001,0.13,0.145,58,16,516.043333333,0.3,0.24,0.37,0.75,0.169,0.213,0.241,61,Carl Herrera,0.04,SAS,1610612759,42,0.724
66,28.0,0.02,5,"1063,1610612739",99.5,0.001,0.09,0.102,43,27,421.52,0.31,0.32,0.39,0.81,0.179,0.146,0.247,1063,Carl Thomas,0.05,CLE,1610612739,16,0.372
67,27.0,0.02,5,"435,1610612757",106.0,0.001,0.09,0.106,21,14,375.8,0.36,0.44,0.42,1.04,0.127,0.159,0.159,435,Carlos Rogers,0.03,POR,1610612757,7,0.333
68,28.0,0.02,5,"76,1610612742",98.8,0.001,0.15,0.165,47,21,991.55,0.29,0.3,0.34,0.81,0.142,0.245,0.196,76,Cedric Ceballos,0.03,DAL,1610612742,26,0.553
69,23.0,0.02,5,"1538,1610612739",96.3,0.002,0.1,0.121,82,35,2528.80166667,0.26,0.28,0.4,0.77,0.158,0.169,0.185,1538,Cedric Henderson,0.04,CLE,1610612739,47,0.573
70,35.0,0.01,5,"787,1610612745",107.3,0.0,0.25,0.297,68,32,2245.83,0.32,0.28,0.34,0.88,0.181,0.422,0.19,787,Charles Barkley,0.03,HOU,1610612745,36,0.529
71,41.0,0.05,5,"279,1610612745",109.5,0.0,0.1,0.111,24,14,125.553333333,0.35,0.37,0.43,0.99,0.667,0.171,0.038,279,Charles Jones,0.01,HOU,1610612745,10,0.417
72,23.0,0.0,5,"1525,1610612765",98.6,0.002,0.08,0.11,30,12,233.196666667,0.26,0.25,0.42,0.62,0.05,0.151,0.167,1525,Charles O'Bannon,0.04,DET,1610612765,18,0.6
73,34.0,0.01,5,"891,1610612752",97.4,0.002,0.19,0.228,79,37,2729.91333333,0.25,0.2,0.32,0.67,0.125,0.31,0.272,891,Charles Oakley,0.05,NYK,1610612752,42,0.532
74,22.0,0.02,5,"1520,1610612746",102.6,0.001,0.05,0.052,34,19,292.478333333,0.33,0.23,0.5,0.97,0.14,0.08,0.222,1520,Charles Smith,0.04,LAC,1610612746,15,0.441
75,27.0,0.02,5,"369,1610612752",95.2,0.002,0.1,0.122,82,39,2322.61166667,0.24,0.19,0.31,0.65,0.21,0.162,0.376,369,Charlie Ward,0.06,NYK,1610612752,43,0.524
76,21.0,0.0,5,"1497,1610612761",106.4,0.0,0.06,0.072,80,52,2215.02,0.33,0.37,0.39,0.99,0.014,0.113,0.212,1497,Chauncey Billups,0.05,TOR,1610612761,28,0.35
77,25.0,0.05,5,"685,1610612750",105.6,0.001,0.17,0.191,79,36,1702.905,0.36,0.31,0.36,0.92,0.391,0.291,0.134,685,Cherokee Parks,0.02,MIN,1610612750,43,0.544
78,23.0,0.04,5,"1512,1610612742",103.9,0.001,0.15,0.174,41,31,679.455,0.32,0.4,0.38,0.95,0.355,0.27,0.277,1512,Chris Anstey,0.05,DAL,1610612742,10,0.244
79,24.0,0.01,5,"713,1610612750",102.9,0.001,0.1,0.105,51,23,1168.43666667,0.32,0.34,0.41,0.88,0.081,0.15,0.096,713,Chris Carr,0.01,MIN,1610612750,28,0.549
80,30.0,0.0,5,"164,1610612752",98.5,0.001,0.08,0.103,68,31,1600.535,0.26,0.19,0.33,0.67,0.058,0.142,0.23,164,Chris Childs,0.03,NYK,1610612752,37,0.544
81,23.0,0.03,5,"1544,1610612737",108.0,0.0,0.08,0.084,40,16,255.746666667,0.34,0.4,0.53,1.03,0.304,0.125,0.197,1544,Chris Crawford,0.05,ATL,1610612737,24,0.6
82,33.0,0.06,5,"201,1610612752",90.1,0.003,0.2,0.221,51,22,856.301666667,0.25,0.18,0.31,0.56,0.689,0.299,0.103,201,Chris Dudley,0.02,NYK,1610612752,29,0.569
83,23.0,0.01,5,"1612,1610612761",108.9,0.0,0.06,0.073,38,31,287.285,0.37,0.46,0.53,0.95,0.095,0.112,0.318,1612,Chris Garner,0.07,TOR,1610612761,7,0.184
84,30.0,0.02,5,"423,1610612751",105.5,0.001,0.16,0.2,57,27,1358.62,0.32,0.29,0.35,0.91,0.254,0.307,0.181,423,Chris Gatling,0.04,NJN,1610612751,30,0.526
85,28.0,0.01,5,"168,1610612752",94.9,0.002,0.13,0.157,80,38,2182.53333333,0.26,0.18,0.31,0.66,0.197,0.214,0.122,168,Chris Mills,0.02,NYK,1610612752,42,0.525
86,32.0,0.03,5,"356,1610612762",103.2,0.001,0.15,0.164,54,11,538.041666667,0.33,0.26,0.38,0.7,0.254,0.249,0.248,356,Chris Morris,0.05,UTA,1610612762,43,0.796
87,34.0,0.02,5,"904,1610612754",97.2,0.002,0.1,0.107,82,24,2177.87333333,0.3,0.29,0.3,0.79,0.181,0.156,0.28,904,Chris Mullin,0.04,IND,1610612754,58,0.707
88,24.0,0.01,5,"997,1610612758",105.3,0.001,0.09,0.098,35,31,417.116666667,0.31,0.38,0.33,0.83,0.105,0.141,0.284,997,Chris Robinson,0.05,SAC,1610612758,4,0.114
89,25.0,0.04,5,"185,1610612764",101.8,0.001,0.18,0.209,71,32,2809.0,0.29,0.28,0.33,0.89,0.468,0.301,0.23,185,Chris Webber,0.04,WAS,1610612764,39,0.549
90,26.0,0.01,5,"43,1610612764",101.9,0.001,0.09,0.108,82,40,1073.47,0.29,0.23,0.29,0.82,0.056,0.153,0.2,43,Chris Whitney,0.03,WAS,1610612764,42,0.512
91,28.0,0.03,5,"363,1610612737",100.7,0.001,0.15,0.174,74,27,2286.52666667,0.28,0.25,0.33,0.78,0.255,0.254,0.188,363,Christian Laettner,0.03,ATL,1610612737,47,0.635
92,34.0,0.01,5,"456,1610612759",96.8,0.002,0.13,0.14,61,19,1451.94666667,0.3,0.22,0.36,0.71,0.052,0.192,0.16,456,Chuck Person,0.02,SAS,1610612759,42,0.689
93,30.0,0.01,5,"359,1610612737",101.4,0.001,0.1,0.119,77,30,1205.835,0.3,0.26,0.34,0.84,0.1,0.17,0.121,359,Chucky Brown,0.02,ATL,1610612737,47,0.61
94,27.0,0.03,5,"221,1610612744",101.6,0.001,0.17,0.194,79,55,2324.77,0.3,0.3,0.38,0.82,0.303,0.285,0.213,221,Clar. Weatherspoon,0.04,GSW,1610612744,24,0.304
95,31.0,0.04,5,"361,1610612756",100.7,0.001,0.11,0.129,80,25,2368.24833333,0.29,0.25,0.34,0.89,0.345,0.182,0.211,361,Clifford Robinson,0.04,PHX,1610612756,55,0.688
96,25.0,0.0,5,"32,1610612750",105.4,0.001,0.1,0.214,6,5,30.6616666667,0.16,0.2,0.49,0.65,0.0,0.375,0.0,32,Clifford Rozier,0.0,MIN,1610612750,1,0.167
97,36.0,0.02,5,"17,1610612745",105.0,0.001,0.1,0.113,70,31,2475.465,0.32,0.27,0.34,0.86,0.216,0.16,0.279,17,Clyde Drexler,0.05,HOU,1610612745,39,0.557
98,27.0,0.01,5,"1133,1610612766",99.9,0.001,0.09,0.104,59,22,737.546666667,0.29,0.22,0.38,0.84,0.135,0.152,0.244,1133,Corey Beck,0.04,CHH,1610612766,37,0.627
99,29.0,0.02,5,"916,1610612747",100.5,0.001,0.18,0.201,70,19,1026.15,0.33,0.28,0.37,0.87,0.195,0.295,0.168,916,Corie Blount,0.03,LAL,1610612747,51,0.729
100,24.0,0.02,5,"722,1610612758",103.4,0.001,0.1,0.114,79,54,2814.51,0.3,0.33,0.36,0.92,0.167,0.172,0.178,722,Corliss Williamson,0.03,SAC,1610612758,25,0.316
101,25.0,0.01,5,"724,1610612743",105.0,0.001,0.1,0.117,60,31,1295.15833333,0.28,0.23,0.39,0.78,0.067,0.17,0.311,724,Cory Alexander,0.05,DEN,1610612743,29,0.483
102,29.0,0.04,5,"905,1610612754",99.4,0.001,0.17,0.193,78,23,2171.03333333,0.32,0.29,0.29,0.8,0.39,0.286,0.155,905,Dale Davis,0.02,IND,1610612754,55,0.705
103,37.0,0.0,5,"107,1610612760",100.8,0.001,0.07,0.084,79,20,1942.33833333,0.32,0.26,0.32,0.76,0.035,0.129,0.156,107,Dale Ellis,0.03,SEA,1610612760,59,0.747
104,24.0,0.0,5,"757,1610612757",105.6,0.001,0.07,0.089,71,47,2842.51666667,0.32,0.43,0.37,0.95,0.017,0.134,0.224,757,Damon Stoudamire,0.04,POR,1610612757,24,0.338
105,32.0,0.01,5,"105,1610612748",96.9,0.002,0.11,0.128,72,23,1928.07166667,0.3,0.2,0.31,0.73,0.066,0.187,0.209,105,Dan Majerle,0.04,MIA,1610612748,49,0.681
106,39.0,0.03,5,"7,1610612753",100.4,0.001,0.11,0.146,74,39,1274.16333333,0.28,0.28,0.36,0.79,0.232,0.213,0.157,7,Dan Schayes,0.03,ORL,1610612753,35,0.473
107,31.0,0.0,5,"344,1610612738",102.7,0.001,0.07,0.094,80,44,1689.75666667,0.31,0.31,0.37,0.92,0.038,0.142,0.21,344,Dana Barros,0.05,BOS,1610612738,36,0.45
108,31.0,0.02,5,"198,1610612739",98.4,0.001,0.09,0.111,69,30,1037.94833333,0.26,0.27,0.4,0.76,0.172,0.157,0.146,198,Danny Ferry,0.03,CLE,1610612739,39,0.565
109,22.0,0.02,5,"1504,1610612743",109.3,0.0,0.15,0.182,80,69,1813.42833333,0.31,0.26,0.4,0.83,0.195,0.277,0.132,1504,Danny Fortson,0.02,DEN,1610612743,11,0.138
110,32.0,0.03,5,"330,1610612756",95.7,0.002,0.16,0.178,70,24,1800.76166667,0.27,0.2,0.33,0.71,0.245,0.247,0.207,330,Danny Manning,0.04,PHX,1610612756,46,0.657
111,30.0,0.0,5,"353,1610612753",100.6,0.001,0.08,0.096,48,25,1237.655,0.27,0.29,0.34,0.82,0.04,0.144,0.254,353,Darrell Armstrong,0.05,ORL,1610612753,23,0.479
112,27.0,0.0,5,"239,1610612746",107.0,0.0,0.06,0.072,82,65,2293.30666667,0.34,0.29,0.39,0.97,0.042,0.108,0.219,239,Darrick Martin,0.04,LAC,1610612746,17,0.207
113,24.0,0.04,5,"1032,1610612764",96.8,0.002,0.09,0.101,71,34,634.411666667,0.36,0.27,0.3,0.81,0.357,0.149,0.176,1032,Darvin Ham,0.03,WAS,1610612764,37,0.521
114,30.0,0.02,5,"128,1610612753",101.1,0.001,0.13,0.153,77,36,1123.65333333,0.29,0.28,0.36,0.84,0.225,0.223,0.179,128,David Benoit,0.03,ORL,1610612753,41,0.532
115,32.0,0.08,5,"764,1610612759",94.7,0.002,0.22,0.231,73,23,2459.075,0.28,0.21,0.34,0.65,0.511,0.319,0.209,764,David Robinson,0.03,SAS,1610612759,50,0.685
116,25.0,0.02,5,"710,1610612751",102.3,0.001,0.2,0.215,40,22,486.791666667,0.36,0.25,0.36,0.81,0.222,0.328,0.144,710,David Vaughn,0.03,NJN,1610612751,18,0.45
117,27.0,0.01,5,"133,1610612766",102.2,0.001,0.06,0.069,81,31,2846.715,0.28,0.26,0.34,0.86,0.135,0.097,0.285,133,David Wesley,0.05,CHH,1610612766,50,0.617
118,34.0,0.01,5,"766,1610612760",98.2,0.002,0.11,0.117,58,13,543.038333333,0.34,0.3,0.4,0.8,0.059,0.178,0.181,766,David Wingate,0.04,SEA,1610612760,45,0.776
119,24.0,0.01,5,"1545,1610612750",100.9,0.001,0.05,0.057,34,17,147.816666667,0.39,0.26,0.32,0.88,0.071,0.088,0.25,1545,DeJuan Wheat,0.04,MIN,1610612750,17,0.5
