,Year,Team,Assist_Distribution,Offensive_Rating
127,1994.0,SAS,7.56609358214,110.4
128,1994.0,NYK,8.51651695625,105.7
129,1994.0,CHI,4.93349821937,106.1
130,1994.0,PHI,8.46529589239,101.7
131,1994.0,DET,9.86561780833,102.7
132,1994.0,MIL,9.24436491993,102.5
133,1994.0,MIN,9.99026721336,101.9
134,1994.0,DAL,5.20644887982,100.4
135,1995.0,ORL,7.89763410093,115.1
136,1995.0,PHO,9.5560851546,114.5
137,1995.0,SEA,8.97986620175,114.8
138,1995.0,SAS,9.02001938133,111.7
139,1995.0,UTA,15.9997088365,114.3
140,1995.0,GSW,11.6875925001,106.7
141,1995.0,LAL,9.05282748274,109.1
142,1995.0,HOU,7.9658211417,109.7
143,1995.0,DAL,8.52105886408,107.6
144,1995.0,POR,11.5950001471,109.7
145,1995.0,BOS,9.70842681084,108.6
146,1995.0,CHI,5.70009471442,109.5
147,1995.0,DEN,10.8356006909,109.1
148,1995.0,MIA,8.02477058441,108.2
149,1995.0,CHH,10.821535458,109.6
150,1995.0,WSB,8.51712448153,105.4
151,1995.0,MIL,9.61190239112,106.2
152,1995.0,IND,10.9286646364,109.6
153,1995.0,NYK,6.68097319861,107.2
154,1995.0,DET,7.97903004524,105.1
155,1995.0,SAC,9.14149535071,105.5
156,1995.0,NJN,12.65819674,105.2
157,1995.0,LAC,10.5758269709,101.5
158,1995.0,ATL,9.9037465007,106.6
159,1995.0,PHI,10.6172723072,104.1
160,1995.0,MIN,7.23499111717,102.6
161,1995.0,CLE,12.4512643916,105.3
162,1996.0,CHI,6.19153067849,115.2
163,1996.0,ORL,8.73594461251,112.9
164,1996.0,SEA,8.95685612971,110.3
165,1996.0,PHO,11.4120259444,110.3
166,1996.0,BOS,8.22461905851,106.4
167,1996.0,SAS,11.311746438,110.2
168,1996.0,LAL,8.64339316534,111.4
169,1996.0,CHH,10.102418613,111.2
170,1996.0,HOU,7.24808293317,109.3
171,1996.0,WSB,9.5704490846,108.7
172,1996.0,DAL,11.6522377378,106.1
173,1996.0,UTA,15.0168179349,113.3
174,1996.0,GSW,10.7784294859,108.4
175,1996.0,SAC,9.02166262498,106.2
176,1996.0,LAC,7.73965939118,106.5
177,1996.0,IND,10.7949520994,110.8
178,1996.0,POR,12.3269147266,106.0
179,1996.0,ATL,7.32483878025,109.4
180,1996.0,MIN,9.98106434057,104.1
181,1996.0,DEN,11.5308361926,105.2
182,1996.0,TOR,10.1035502766,103.8
183,1996.0,NYK,5.27388812113,106.0
184,1996.0,MIA,9.90908097849,105.3
185,1996.0,MIL,7.74587652025,105.6
186,1996.0,DET,9.26550373946,107.9
187,1996.0,PHI,9.472716915,102.2
188,1996.0,NJN,12.3635879845,101.9
189,1996.0,CLE,11.289963472,109.9
190,1996.0,VAN,11.9743415853,97.6
191,1997.0,CHI,5.65738034541,114.4
192,1997.0,UTA,14.3080474169,113.6
193,1997.0,PHO,12.4226328045,109.3
194,1997.0,SEA,9.92679049701,111.2
195,1997.0,HOU,6.59171829482,108.8
196,1997.0,BOS,7.72526326607,103.9
197,1997.0,PHI,9.42059945358,104.6
198,1997.0,LAL,10.0479435518,108.3
199,1997.0,GSW,9.66388090279,107.2
200,1997.0,WSB,11.496148949,106.6
201,1997.0,POR,8.68830283771,107.9
202,1997.0,CHH,8.93216957523,110.9
203,1997.0,DEN,13.7634209092,104.5
204,1997.0,LAC,8.45007213357,105.1
205,1997.0,NJN,11.6493626532,104.7
206,1997.0,SAC,5.99380616117,105.0
207,1997.0,MIN,10.7799689141,105.5
208,1997.0,TOR,11.1951722072,104.6
209,1997.0,NYK,7.71163409581,104.4
210,1997.0,IND,10.2436337164,105.8
211,1997.0,MIL,8.06671167128,106.2
212,1997.0,MIA,12.27292882,106.8
213,1997.0,ATL,7.72310053774,108.5
214,1997.0,DET,10.6528880377,110.6
215,1997.0,ORL,8.55429470049,105.6
216,1997.0,DAL,9.74543793612,101.1
217,1997.0,SAS,10.6266417738,103.3
218,1997.0,VAN,9.01209537114,100.3
219,1997.0,CLE,10.9271621132,104.6
220,1998.0,LAL,7.95895808802,111.9
221,1998.0,MIN,10.6073611694,107.8
