,AST,AST_ADJ,AST_PTS_CREATED,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,FT_AST,GP,L,MIN,PASSES_MADE,PASSES_RECEIVED,PLAYER_ID,PLAYER_NAME,POTENTIAL_AST,SECONDARY_AST,TEAM_ABBREVIATION,TEAM_ID,W
325,27,44,67,0.021,0.034,3,35,17,814.0,1289,962,202703,Nikola Mirotic,55,13,CHI,1610612741,18
326,112,139,283,0.058,0.072,9,40,24,1130.0,1921,1528,202696,Nikola Vucevic,242,17,ORL,1610612753,16
327,9,19,24,0.019,0.041,3,35,20,400.0,468,264,203943,Noah Vonleh,22,7,POR,1610612757,15
328,31,38,77,0.085,0.104,1,35,11,491.0,365,418,1626181,Norman Powell,58,6,TOR,1610612761,24
329,15,20,38,0.026,0.034,1,29,18,474.0,581,279,201600,Omer Asik,30,4,NOP,1610612740,11
330,26,38,63,0.047,0.069,2,22,13,397.0,549,405,201956,Omri Casspi,45,10,SAC,1610612758,9
331,63,88,151,0.046,0.065,7,40,19,1351.0,1356,1046,203490,Otto Porter,130,17,WAS,1610612764,21
332,41,66,104,0.036,0.058,8,39,27,1066.0,1140,838,200782,PJ Tucker,88,18,PHX,1610612756,12
333,12,23,27,0.019,0.036,1,36,11,628.0,631,436,1627783,Pascal Siakam,28,10,TOR,1610612761,25
334,8,10,21,0.077,0.096,0,19,13,113.0,104,95,1626192,Pat Connaughton,15,2,POR,1610612757,6
335,128,167,326,0.115,0.15,10,29,6,896.0,1115,1089,201976,Patrick Beverley,255,28,HOU,1610612745,23
336,26,38,60,0.086,0.125,0,31,5,348.0,304,329,1627775,Patrick McCaw,54,11,GSW,1610612744,26
337,51,75,134,0.044,0.065,4,33,11,924.0,1157,820,202335,Patrick Patterson,85,19,TOR,1610612761,22
338,135,173,300,0.086,0.11,2,39,8,856.0,1575,1771,201988,Patty Mills,242,36,SAS,1610612759,31
339,103,126,243,0.064,0.078,9,37,8,985.0,1609,1260,2200,Pau Gasol,170,13,SAS,1610612759,29
340,107,143,254,0.091,0.122,17,32,14,1134.0,1171,1369,202331,Paul George,204,19,IND,1610612754,18
341,149,181,359,0.084,0.103,12,38,14,1302.0,1764,1802,200794,Paul Millsap,297,21,ATL,1610612737,24
342,2,3,5,0.011,0.017,0,12,5,148.0,174,151,1718,Paul Pierce,7,1,LAC,1610612746,7
343,5,5,11,0.061,0.061,0,11,6,102.0,82,81,1627835,Paul Zipser,9,0,CHI,1610612741,5
344,7,9,16,0.149,0.191,1,5,3,29.0,47,64,203510,Pierre Jackson,12,1,DAL,1610612742,2
