,AST,AST_ADJ,AST_PTS_CREATED,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,FT_AST,GP,L,MIN,PASSES_MADE,PASSES_RECEIVED,PLAYER_ID,PLAYER_NAME,POTENTIAL_AST,SECONDARY_AST,TEAM_ABBREVIATION,TEAM_ID,W
0,180,249,442,0.103,0.143,22,69,33,1108.0,1743,2144,201166,Aaron Brooks,357,47,CHI,1610612741,36
1,128,169,291,0.057,0.075,12,77,45,1857.0,2242,1512,203932,Aaron Gordon,214,29,ORL,1610612753,32
2,2,3,4,0.036,0.055,0,21,6,93.0,55,53,1626151,Aaron Harrison,7,1,CHA,1610612766,15
3,29,41,69,0.039,0.055,4,52,34,486.0,743,480,203940,Adreian Payne,54,8,MIN,1610612750,18
4,263,352,646,0.068,0.09,24,82,34,2631.0,3894,3524,201143,Al Horford,541,65,ATL,1610612737,48
5,70,88,168,0.081,0.101,8,47,14,1096.0,869,970,2744,Al Jefferson,129,10,CHA,1610612766,33
6,138,197,344,0.067,0.095,20,82,38,2341.0,2064,1786,202329,Al-Farouq Aminu,245,39,POR,1610612757,44
7,14,17,32,0.097,0.117,1,13,5,192.0,145,143,101187,Alan Anderson,22,2,WAS,1610612764,8
8,5,7,12,0.056,0.078,0,10,7,68.0,90,53,1626210,Alan Williams,6,2,PHX,1610612756,3
9,63,85,146,0.062,0.083,7,31,18,797.0,1021,1224,202692,Alec Burks,141,15,UTA,1610612762,13
10,97,120,232,0.046,0.057,2,78,55,1821.0,2115,1539,203458,Alex Len,194,21,PHX,1610612756,23
11,2,2,5,0.034,0.034,0,8,6,72.0,59,48,1627293,Alex Stepheson,3,0,MEM,1610612763,2
12,31,46,80,0.029,0.043,3,59,39,861.0,1078,768,201582,Alexis Ajinca,63,11,NOP,1610612740,20
13,99,146,247,0.06,0.089,18,81,38,2105.0,1643,1797,203459,Allen Crabbe,202,29,POR,1610612757,43
14,72,99,179,0.06,0.082,5,73,46,1632.0,1204,843,202087,Alonzo Gee,130,21,NOP,1610612740,27
15,27,35,60,0.039,0.051,1,52,22,762.0,687,551,2405,Amar'e Stoudemire,54,7,MIA,1610612748,30
16,135,195,321,0.053,0.076,13,78,34,1777.0,2554,1821,101161,Amir Johnson,256,47,BOS,1610612738,44
